PeakID (cmd=annotatePeaks.pl GATA2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_17576	chr6	100276624	100276811	+	0	NA	Intergenic	NA	-117567	LOC102724406								
Interval_5985	chr14	61472310	61472490	+	0	NA	intron (PRKCH, intron 9 of 13)	NA	-98140	FLJ22447								
Interval_13863	chr3	106386041	106386343	+	0	NA	promoter-TSS (LOC101929485)	NA	-511	LOC101929485								
Interval_1172	chr1	151445712	151445867	+	0	NA	intron (POGZ, intron 1 of 17)	NA	13398	POGZ								
Interval_14684	chr4	17982367	17982619	+	0	NA	intron (LCORL, intron 1 of 6)	NA	39367	LCORL								
Interval_8017	chr17	16286138	16286331	+	0	NA	intron (PIGL, intron 2 of 6)	NA	4176	MIR1288								
Interval_13816	chr3	100492430	100492614	+	0	NA	promoter-TSS (TMEM45A)	NA	-26671	TMEM45A								
Interval_1316	chr1	161554884	161555265	+	0	NA	Intergenic	NA	-5046	FCGR3A								
Interval_14183	chr3	149000308	149000481	+	0	NA	intron (GYG1, intron 4 of 5)	NA	8986	GYG1								
Interval_10604	chr2	70638728	70638888	+	0	NA	Intergenic	NA	-84793	TGFA								
Interval_8416	chr17	56297205	56297710	+	0	NA	intron (ANKFN1, intron 2 of 16)	NA	-25766	ANKFN1								
Interval_200	chr1	23444447	23444594	+	0	NA	intron (ASAP3, intron 4 of 23)	NA	-19749	TCEA3								
Interval_3890	chr11	115504449	115504627	+	0	NA	promoter-TSS (CADM1)	NA	-15	CADM1								
Interval_11955	chr20	15776741	15777058	+	0	NA	intron (MACROD2, intron 4 of 13)	NA	796522	KIF16B								
Interval_762	chr1	89538526	89538656	+	0	NA	intron (LRRC8B, intron 2 of 6)	NA	-20122	LRRC8B								
Interval_11221	chr2	169622489	169622684	+	0	NA	intron (PPIG, intron 9 of 13)	NA	38246	PPIG								
Interval_20974	chr9	93457682	93457889	+	0	NA	intron (FAM120A, intron 1 of 17)	NA	5889	FAM120A								
Interval_9028	chr18	51279529	51279882	+	0	NA	Intergenic	NA	-82024	MEX3C								
Interval_20601	chr8	144517739	144518064	+	0	NA	promoter-TSS (LRRC14)	NA	-75	RECQL4								
Interval_15046	chr4	76902178	76902689	+	0	NA	Intergenic	NA	-4584	SOWAHB								
Interval_13896	chr3	111667790	111668332	+	0	NA	Intergenic	NA	-6615	PLCXD2								
Interval_11633	chr2	222193411	222193593	+	0	NA	Intergenic	NA	-104645	CCDC140								
Interval_2799	chr10	93475983	93476242	+	0	NA	intron (MYOF, intron 1 of 55)	NA	6205	MYOF								
Interval_17330	chr6	46770945	46771259	+	0	NA	Intergenic	NA	-22255	MEP1A								
Interval_21944	chrX	150503108	150503251	+	0	NA	intron (MAMLD1, intron 3 of 5)	NA	-87767	MTM1								
Interval_9113	chr18	63161855	63162023	+	0	NA	intron (BCL2, intron 2 of 2)	NA	157839	BCL2								
Interval_5785	chr14	30284052	30284182	+	0	NA	Intergenic	NA	-275006	G2E3								
Interval_8022	chr17	17016273	17016594	+	0	NA	Intergenic	NA	-26043	MPRIP								
Interval_10824	chr2	102848537	102848711	+	0	NA	Intergenic	NA	86593	TMEM182								
Interval_13235	chr3	16802299	16802788	+	0	NA	Intergenic	NA	-82416	PLCL2								
Interval_6892	chr15	69574308	69574566	+	0	NA	Intergenic	NA	12717	RP11-279F6.1								
Interval_5514	chr13	50686701	50686998	+	0	NA	Intergenic	NA	-28548	LOC102723697								
Interval_20151	chr8	101359220	101359373	+	0	NA	Intergenic	NA	-9597	NACAP1								
Interval_21062	chr9	105115478	105115608	+	0	NA	Intergenic	NA	-123781	LOC101928579								
Interval_3023	chr10	123153641	123153839	+	0	NA	promoter-TSS (BUB3)	NA	-504	BUB3								
Interval_3195	chr11	13254106	13254549	+	0	NA	Intergenic	NA	-23463	ARNTL								
Interval_9108	chr18	62843066	62843242	+	0	NA	intron (PHLPP1, intron 3 of 16)	NA	127715	PHLPP1								
Interval_6396	chr14_GL000225v1_random	34488	34859	+	0	NA	Intergenic	NA	-1616	LOC100287823								
Interval_16915	chr6	11460367	11460598	+	0	NA	Intergenic	NA	-77745	TMEM170B								
Interval_18231	chr7	11347169	11347328	+	0	NA	Intergenic	NA	373376	PHF14								
Interval_354	chr1	36247617	36247975	+	0	NA	intron (THRAP3, intron 1 of 11)	NA	-39685	THRAP3								
Interval_3225	chr11	17209115	17209673	+	0	NA	Intergenic	NA	-1411	PIK3C2A								
Interval_16050	chr5	74316289	74316631	+	0	NA	Intergenic	NA	-6026	LOC101929082								
Interval_9891	chr19	45902025	45902219	+	0	NA	intron (MYPOP, intron 1 of 2)	NA	482	MYPOP								
Interval_3165	chr11	10589071	10589264	+	0	NA	intron (MRVI1-AS1, intron 3 of 4)	NA	-20349	LYVE1								
Interval_16556	chr5	146203165	146203666	+	0	NA	promoter-TSS (RBM27)	NA	-135	RBM27								
Interval_15690	chr5	14720735	14720885	+	0	NA	intron (ANKH, intron 8 of 11)	NA	8116	LOC100130744								
Interval_4904	chr12	101830945	101831137	+	0	NA	promoter-TSS (GNPTAB)	NA	-174	GNPTAB								
Interval_6857	chr15	67254160	67254571	+	0	NA	promoter-TSS (IQCH)	NA	323	AAGAB								
Interval_10211	chr2	20494460	20494594	+	0	NA	Intergenic	NA	44680	LOC102724948								
Interval_7099	chr15	93492027	93492168	+	0	NA	Intergenic	NA	-69520	LOC100996663								
Interval_21370	chr9	137307839	137308033	+	0	NA	intron (EXD3, intron 18 of 18)	NA	-5685	NRARP								
Interval_6839	chr15	65783978	65784114	+	0	NA	intron (DENND4A, intron 1 of 32)	NA	7923	DENND4A								
Interval_6081	chr14	72239857	72240291	+	0	NA	intron (RGS6, intron 2 of 16)	NA	-276757	MIR7843								
Interval_10669	chr2	84643146	84643347	+	0	NA	intron (DNAH6, intron 33 of 76)	NA	126791	DNAH6								
Interval_17247	chr6	39197708	39197838	+	0	NA	intron (KCNK5, intron 1 of 4)	NA	31435	KCNK5								
Interval_8052	chr17	20711919	20712049	+	0	NA	promoter-TSS (LOC100287072)	NA	-462	LOC100287072								
Interval_7603	chr16	58970218	58970573	+	0	NA	Intergenic	NA	-236038	GOT2								
Interval_10703	chr2	87486550	87486847	+	0	NA	intron (LINC00152, intron 3 of 3)	NA	-3150	LOC101928152								
Interval_8047	chr17	19978191	19978405	+	0	NA	promoter-TSS (AKAP10)	NA	-461	AKAP10								
Interval_18658	chr7	75971985	75972261	+	0	NA	intron (POR, intron 2 of 15)	NA	22551	TMEM120A								
Interval_15343	chr4	128872155	128872312	+	0	NA	exon (JADE1, exon 11 of 11)	NA	62610	JADE1								
Interval_16340	chr5	124611025	124611166	+	0	NA	Intergenic	NA	137707	ZNF608								
Interval_17446	chr6	73585308	73585816	+	0	NA	Intergenic	NA	-64530	EEF1A1								
Interval_19600	chr8	38549362	38549616	+	0	NA	Intergenic	NA	-20827	C8orf86								
Interval_10300	chr2	35220595	35220837	+	0	NA	Intergenic	NA	-250737	MIR548AD								
Interval_14553	chr3	197444190	197444620	+	0	NA	Intergenic	NA	62342	LOC100129516								
Interval_5702	chr14	20197870	20198023	+	0	NA	exon (OR11G2, exon 1 of 1)	NA	610	OR11G2								
Interval_15197	chr4	102794213	102794343	+	0	NA	TTS (UBE2D3)	NA	17241	LOC102723704								
Interval_21617	chrX	35289778	35289908	+	0	NA	Intergenic	NA	347047	FAM47B								
Interval_8687	chr17	80822850	80823356	+	0	NA	exon (RPTOR, exon 9 of 30)	NA	-17471	RP11-28G8.1								
Interval_20621	chr9	1647796	1647926	+	0	NA	Intergenic	NA	187651	LOC101929228								
Interval_1454	chr1	178972203	178972333	+	0	NA	Intergenic	NA	-32982	LOC102724754								
Interval_5247	chr13	23461987	23462157	+	0	NA	Intergenic	NA	-7440	LINC00327								
Interval_10937	chr2	127025877	127026099	+	0	NA	Intergenic	NA	81339	BIN1								
Interval_12321	chr20	56827126	56827332	+	0	NA	Intergenic	NA	197927	TFAP2C								
Interval_3065	chr10	131897643	131897899	+	0	NA	Intergenic	NA	-2873	PPP2R2D								
Interval_8217	chr17	38557399	38557673	+	0	NA	intron (SRCIN1, intron 11 of 19)	NA	-9798	LOC101929513								
Interval_7572	chr16	56715209	56715382	+	0	NA	Intergenic	NA	-14810	NUP93								
Interval_14671	chr4	15756402	15756539	+	0	NA	Intergenic	NA	-21838	CD38								
Interval_14151	chr3	142932894	142933024	+	0	NA	intron (RP11-372E1.4, intron 1 of 4)	NA	6284	RP11-372E1.4								
Interval_8826	chr18	11752747	11752885	+	0	NA	intron (GNAL, intron 1 of 11)	NA	1344	GNAL								
Interval_3854	chr11	109984983	109985250	+	0	NA	Intergenic	NA	-107831	ZC3H12C								
Interval_21547	chrX	13283685	13283944	+	0	NA	Intergenic	NA	-26838	GS1-600G8.3								
Interval_5841	chr14	39432437	39432575	+	0	NA	promoter-TSS (FBXO33)	NA	-6	FBXO33								
Interval_12380	chr20	64255576	64255810	+	0	NA	promoter-TSS (PCMTD2)	NA	-2	PCMTD2								
Interval_7912	chr17	6846165	6846480	+	0	NA	Intergenic	NA	-7254	ALOX12P2								
Interval_5535	chr13	57865831	57865961	+	0	NA	Intergenic	NA	235792	PCDH17								
Interval_11666	chr2	226772545	226773035	+	0	NA	intron (IRS1, intron 1 of 1)	NA	27039	IRS1								
Interval_19957	chr8	79372310	79372497	+	0	NA	Intergenic	NA	-238411	STMN2								
Interval_12697	chr22	11212939	11213158	+	0	NA	Intergenic	NA	-268043	LOC102723780								
Interval_7331	chr16	17474038	17474404	+	0	NA	Intergenic	NA	-3340	XYLT1								
Interval_2629	chr10	73487286	73487583	+	0	NA	intron (PPP3CB, intron 1 of 12)	NA	-8318	LOC101929145								
Interval_16161	chr5	91162437	91162774	+	0	NA	intron (GPR98, intron 89 of 89)	NA	40026	LOC102724662								
Interval_4565	chr12	55708106	55708337	+	0	NA	promoter-TSS (ITGA7)	NA	-186	ITGA7								
Interval_17260	chr6	41379310	41379678	+	0	NA	Intergenic	NA	3587	LOC100505711								
Interval_12608	chr21	38639255	38639532	+	0	NA	intron (ERG, intron 1 of 10)	NA	129581	LINC00114								
Interval_18641	chr7	74233973	74234180	+	0	NA	intron (RFC2, intron 9 of 9)	NA	20382	RFC2								
Interval_19250	chr8	6708172	6708300	+	0	NA	promoter-TSS (LOC102723801)	NA	-121	AGPAT5								
Interval_9272	chr19	2236311	2236428	+	0	NA	promoter-TSS (MIR6789)	NA	307	PLEKHJ1								
Interval_11537	chr2	209148097	209148371	+	0	NA	Intergenic	NA	323908	LOC101927991								
Interval_5846	chr14	39717120	39717260	+	0	NA	Intergenic	NA	-284690	FBXO33								
Interval_13620	chr3	56758751	56758939	+	0	NA	intron (ARHGEF3, intron 5 of 12)	NA	-75603	FAM208A								
Interval_16802	chr5	180048542	180048729	+	0	NA	intron (RNF130, intron 1 of 7)	NA	23495	RNF130								
Interval_3393	chr11	46915030	46915256	+	0	NA	intron (LRP4, intron 1 of 38)	NA	3395	LRP4								
Interval_5724	chr14	21269451	21269939	+	0	NA	promoter-TSS (HNRNPC)	NA	-216	HNRNPC								
Interval_10399	chr2	44202521	44202702	+	0	NA	intron (PPM1B, intron 2 of 5)	NA	33750	PPM1B								
Interval_10791	chr2	100870852	100871024	+	0	NA	intron (NPAS2, intron 1 of 20)	NA	-30573	NPAS2								
Interval_17666	chr6	110750475	110750845	+	0	NA	intron (CDK19, intron 1 of 12)	NA	-83156	CDK19								
Interval_12027	chr20	24122027	24122406	+	0	NA	Intergenic	NA	-77551	FLJ33581								
Interval_2961	chr10	114083201	114083341	+	0	NA	Intergenic	NA	39224	ADRB1								
Interval_12737	chr22	19854811	19855055	+	0	NA	promoter-TSS (C22orf29)	NA	6	GNB1L								
Interval_4828	chr12	92157076	92157206	+	0	NA	intron (LOC101928617, intron 1 of 1)	NA	10457	LOC101928617								
Interval_8935	chr18	34709923	34710074	+	0	NA	promoter-TSS (DTNA)	NA	116679	DTNA								
Interval_10570	chr2	66568773	66568938	+	0	NA	intron (MEIS1, intron 11 of 11)	NA	-5175	AC007392.3								
Interval_13167	chr3	10163810	10164004	+	0	NA	promoter-TSS (IRAK2)	NA	-972	IRAK2								
Interval_3773	chr11	94578111	94578460	+	0	NA	intron (PIWIL4, intron 4 of 19)	NA	10977	PIWIL4								
Interval_19271	chr8	8744630	8744857	+	0	NA	Intergenic	NA	42587	CLDN23								
Interval_8174	chr17	34859386	34859539	+	0	NA	Intergenic	NA	102047	CCT6B								
Interval_20486	chr8	129958400	129958741	+	0	NA	intron (FAM49B, intron 2 of 14)	NA	49883	MIR5194								
Interval_20462	chr8	129061979	129062366	+	0	NA	Intergenic	NA	179068	LINC00977								
Interval_1695	chr1	205777986	205778259	+	0	NA	Intergenic	NA	-2640	RAB7L1								
Interval_10896	chr2	115221472	115221772	+	0	NA	intron (DPP10, intron 1 of 25)	NA	-60279	DPP10-AS1								
Interval_18908	chr7	112940060	112940223	+	0	NA	promoter-TSS (C7orf60)	NA	-264	C7orf60								
Interval_8031	chr17	18183685	18183895	+	0	NA	exon (ALKBH5, exon 1 of 4)	NA	237	ALKBH5								
Interval_14856	chr4	48674891	48675060	+	0	NA	intron (FRYL, intron 2 of 63)	NA	105324	FRYL								
Interval_18022	chr6	154805840	154805994	+	0	NA	intron (SCAF8, intron 11 of 21)	NA	-47443	MIR1273C								
Interval_5418	chr13	36890215	36890377	+	0	NA	intron (SMAD9, intron 1 of 5)	NA	29976	SMAD9								
Interval_16427	chr5	133984910	133985063	+	0	NA	intron (VDAC1, intron 5 of 8)	NA	-16271	C5orf15								
Interval_1443	chr1	178095436	178095608	+	0	NA	intron (RASAL2, intron 1 of 17)	NA	-1529	RASAL2-AS1								
Interval_18518	chr7	47576060	47576285	+	0	NA	intron (TNS3, intron 1 of 30)	NA	5972	TNS3								
Interval_8617	chr17	75308477	75308727	+	0	NA	Intergenic	NA	-19153	SLC25A19								
Interval_8125	chr17	29722219	29722707	+	0	NA	intron (SSH2, intron 4 of 16)	NA	-99555	CORO6								
Interval_10444	chr2	48146129	48146259	+	0	NA	Intergenic	NA	-107433	LOC102724008								
Interval_4946	chr12	105899784	105899914	+	0	NA	Intergenic	NA	193075	CASC18								
Interval_13480	chr3	45064708	45065196	+	0	NA	Intergenic	NA	34817	CLEC3B								
Interval_1704	chr1	206100366	206100541	+	0	NA	intron (C1orf186, intron 4 of 5)	NA	16595	AVPR1B								
Interval_7050	chr15	89022199	89022329	+	0	NA	Intergenic	NA	-47888	LOC102724566								
Interval_1389	chr1	169926256	169926427	+	0	NA	intron (KIFAP3, intron 19 of 20)	NA	-32745	SCYL3								
Interval_68	chr1	9196181	9196411	+	0	NA	Intergenic	NA	13115	LOC102724571								
Interval_16680	chr5	160703055	160703261	+	0	NA	intron (ATP10B, intron 3 of 25)	NA	149052	ATP10B								
Interval_19410	chr8	22639496	22639633	+	0	NA	TTS (BIN3-IT1)	NA	2645	BIN3-IT1								
Interval_13497	chr3	46087071	46087211	+	0	NA	Intergenic	NA	-59654	XCR1								
Interval_5982	chr14	61019554	61019760	+	0	NA	intron (SLC38A6, intron 5 of 12)	NA	29927	LOC101927756								
Interval_6538	chr15	34338000	34338139	+	0	NA	promoter-TSS (SLC12A6)	NA	-1225	SLC12A6								
Interval_2206	chr10	15703450	15703674	+	0	NA	intron (ITGA8, intron 2 of 29)	NA	16767	ITGA8								
Interval_3679	chr11	78349161	78349406	+	0	NA	intron (GAB2, intron 1 of 10)	NA	68539	GAB2								
Interval_17774	chr6	130267515	130267887	+	0	NA	intron (SAMD3, intron 2 of 13)	NA	-52052	SAMD3								
Interval_4494	chr12	49698650	49698780	+	0	NA	intron (FMNL3, intron 1 of 26)	NA	8678	FMNL3								
Interval_14517	chr3	194705886	194706183	+	0	NA	Intergenic	NA	-2387	AC090505.6								
Interval_9169	chr18	72852553	72852850	+	0	NA	TTS (MIR548AV)	NA	681	MIR548AV								
Interval_9461	chr19	12890892	12891052	+	0	NA	promoter-TSS (GCDH)	NA	-157	GCDH								
Interval_1504	chr1	182839945	182840082	+	0	NA	intron (DHX9, intron 1 of 27)	NA	709	DHX9								
Interval_5083	chr12	120437809	120437927	+	0	NA	promoter-TSS (COX6A1)	NA	-222	COX6A1								
Interval_17169	chr6	34249187	34249327	+	0	NA	promoter-TSS (C6orf1)	NA	-149	C6orf1								
Interval_13239	chr3	17309949	17310176	+	0	NA	intron (TBC1D5, intron 11 of 20)	NA	276404	TBC1D5								
Interval_18985	chr7	127495210	127495518	+	0	NA	Intergenic	NA	18481	AC000124.1								
Interval_21244	chr9	125241336	125241597	+	0	NA	promoter-TSS (HSPA5)	NA	-79	HSPA5								
Interval_4991	chr12	110693590	110694163	+	0	NA	intron (HVCN1, intron 1 of 7)	NA	4812	HVCN1								
Interval_1674	chr1	203653279	203653576	+	0	NA	intron (ATP2B4, intron 1 of 20)	NA	26640	ATP2B4								
Interval_19417	chr8	22974834	22975083	+	0	NA	Intergenic	NA	-12453	RHOBTB2								
Interval_567	chr1	59315227	59315469	+	0	NA	intron (FGGY, intron 1 of 13)	NA	18395	FGGY								
Interval_18785	chr7	99155408	99155717	+	0	NA	Intergenic	NA	-11442	SMURF1								
Interval_4042	chr11	130383842	130384207	+	0	NA	Intergenic	NA	44928	ADAMTS8								
Interval_154	chr1	18312781	18312991	+	0	NA	intron (IGSF21, intron 3 of 9)	NA	-168044	KLHDC7A								
Interval_7655	chr16	68379458	68379900	+	0	NA	intron (SMPD3, intron 2 of 3)	NA	68637	PRMT7								
Interval_13183	chr3	11661706	11661967	+	0	NA	intron (VGLL4, intron 2 of 5)	NA	58932	VGLL4								
Interval_1102	chr1	143223180	143223358	+	0	NA	Intergenic	NA	81067	LOC101929814								
Interval_8715	chr17_KI270729v1_random	4297	4431	+	0	NA	NA	NA	NA	NA								
Interval_16390	chr5	130552983	130553153	+	0	NA	Intergenic	NA	612280	HINT1								
Interval_10254	chr2	27890650	27890825	+	0	NA	promoter-TSS (RBKS)	NA	122	BRE								
Interval_16705	chr5	166860593	166860747	+	0	NA	Intergenic	NA	65700	LOC102557615								
Interval_3870	chr11	112042792	112043118	+	0	NA	intron (DLAT, intron 7 of 13)	NA	18141	DLAT								
Interval_14027	chr3	128010303	128010583	+	0	NA	Intergenic	NA	33674	LOC102723759								
Interval_17340	chr6	47722324	47722454	+	0	NA	TTS (GPR115)	NA	23836	GPR115								
Interval_20182	chr8	103353985	103354312	+	0	NA	Intergenic	NA	-17367	CTHRC1								
Interval_14796	chr4	39855978	39856144	+	0	NA	intron (PDS5A, intron 26 of 32)	NA	121209	PDS5A								
Interval_7765	chr16	85055217	85055892	+	0	NA	intron (KIAA0513, intron 1 of 12)	NA	-7658	KIAA0513								
Interval_18809	chr7	101729486	101729630	+	0	NA	Intergenic	NA	-87666	CUX1								
Interval_11012	chr2	136222943	136223190	+	0	NA	Intergenic	NA	-106823	CXCR4								
Interval_21405	chrUn_GL000216v2	149447	149635	+	0	NA	NA	NA	NA	NA								
Interval_4050	chr11	131491672	131491820	+	0	NA	intron (NTM, intron 1 of 9)	NA	49121	AP003025.2								
Interval_7034	chr15	85496637	85496794	+	0	NA	intron (AKAP13, intron 2 of 38)	NA	29489	LOC101929656								
Interval_8161	chr17	32610839	32611075	+	0	NA	intron (MYO1D, intron 20 of 21)	NA	-13695	LOC102724697								
Interval_19341	chr8	17530772	17531276	+	0	NA	intron (SLC7A2, intron 1 of 11)	NA	-7753	SLC7A2								
Interval_12023	chr20	23646742	23646959	+	0	NA	Intergenic	NA	-8802	CST3								
Interval_15699	chr5	17012133	17012430	+	0	NA	Intergenic	NA	-204542	BASP1								
Interval_7973	chr17	10172516	10172728	+	0	NA	intron (GAS7, intron 1 of 13)	NA	-136061	GAS7								
Interval_20840	chr9	37164356	37164486	+	0	NA	intron (ZCCHC7, intron 2 of 8)	NA	43949	ZCCHC7								
Interval_21602	chrX	27809232	27809530	+	0	NA	intron (MAGEB10, intron 1 of 2)	NA	1391	MAGEB10								
Interval_20869	chr9	69597246	69597381	+	0	NA	intron (APBA1, intron 1 of 11)	NA	-28194	APBA1								
Interval_3227	chr11	17275862	17276110	+	0	NA	promoter-TSS (NUCB2)	NA	15628	NUCB2								
Interval_1730	chr1	208724151	208724341	+	0	NA	Intergenic	NA	427259	LOC100509303								
Interval_19702	chr8	51406013	51406510	+	0	NA	intron (PXDNL, intron 16 of 21)	NA	-309575	LOC102724313								
Interval_19343	chr8	17603571	17603719	+	0	NA	intron (PDGFRL, intron 3 of 6)	NA	27212	PDGFRL								
Interval_5457	chr13	42486970	42487181	+	0	NA	Intergenic	NA	-75661	TNFSF11								
Interval_755	chr1	89101748	89101902	+	0	NA	Intergenic	NA	24334	GBP2								
Interval_16786	chr5	177516931	177517254	+	0	NA	promoter-TSS (DDX41)	NA	-139	DDX41								
Interval_20107	chr8	97775067	97775302	+	0	NA	promoter-TSS (LAPTM4B)	NA	-397	LAPTM4B								
Interval_12069	chr20	31803899	31804287	+	0	NA	Intergenic	NA	-15282	MYLK2								
Interval_336	chr1	33127338	33127701	+	0	NA	Intergenic	NA	46406	ADC								
Interval_19389	chr8	20347780	20348022	+	0	NA	Intergenic	NA	-43920	LZTS1								
Interval_17706	chr6	117610315	117610451	+	0	NA	Intergenic	NA	-7841	GOPC								
Interval_21825	chrX	109842050	109842241	+	0	NA	Intergenic	NA	-108820	ACSL4								
Interval_16277	chr5	112976422	112976601	+	0	NA	promoter-TSS (DCP2)	NA	-199	DCP2								
Interval_20782	chr9	30609832	30609977	+	0	NA	Intergenic	NA	-201450	LOC401497								
