chrom	start	end	peak_number	foldchange	-log10pvalue	-log10qvalue	relative_summit_pos
chr1	28926992	28927150	1057	3.96007	6.3057300000000005	3.77982	72
chr1	30435498	30435666	1068	4.65715	6.66505	4.1177	118
chr1	30719207	30719396	1070	4.19112	5.68631	3.21508	84
chr1	30747398	30747614	1072	7.13952	13.15166	10.27532	67
chr1	30778466	30778624	1077	4.09488	5.53592	3.07448	70
chr1	30816333	30816518	1079	3.30225	4.28263	1.9329	71
chr1	30823976	30824644	1082	17.43955	41.76863	38.14099	195
chr1	30983977	30984145	1092	4.36304	6.19962	3.68121	62
chr1	31154859	31155159	1096	5.09151	9.57319	6.85982	148
chr1	31524309	31524702	1115	4.36304	6.19962	3.68121	179
chr1	31571488	31571673	1117	4.99557	7.77614	5.16345	84
chr1	31605885	31606227	1118	6.22296	13.21275	10.33327	155
chr1	31625838	31626040	1120	6.34624	11.0259	8.243260000000001	96
chr1	31873001	31873191	1129	7.2145100000000015	12.4484	9.59912	99
chr1	31939519	31939725	1133	5.55126	8.363480000000001	5.70897	72
chr1	31954719	31954924	1137	3.96007	6.3057300000000005	3.77982	151
chr1	32107766	32108085	1147	6.93473	14.09789	11.1899	182
chr1	32623194	32623429	1162	6.54929	10.61635	7.85385	101
chr1	32963843	32964078	1176	4.36304	6.19962	3.68121	126
chr1	33036890	33037063	1184	6.7740300000000016	11.72939	8.916	94
chr1	33140353	33140526	1195	3.9627	5.80311	3.3199300000000003	94
chr1	33548370	33548600	1208	5.05121	7.28678	4.69877	113
chr1	35642162	35642320	1229	5.45026	8.20275	5.55897	105
chr1	35769207	35769642	1231	5.15632	8.03704	5.398	143
chr1	35942806	35942978	1239	3.6772	5.55754	3.09058	90
chr1	36116031	36116198	1242	4.91385	7.34817	4.75654	78
chr1	36162225	36162467	1252	5.4668199999999985	8.537889999999999	5.87779	57
chr1	36223117	36223469	1255	5.55126	8.363480000000001	5.70897	64
chr1	36463893	36464120	1270	5.73283	9.29726	6.59191	82
chr1	36822760	36822920	1281	5.78719	8.73954	6.0702300000000005	34
chr1	37085262	37085453	1282	5.61383	10.15934	7.409560000000001	122
chr1	37288964	37289310	1283	6.53267	11.72599	8.91414	82
chr1	37595875	37596149	1295	6.78868	15.15085	12.20057	116
chr1	37795844	37796100	1307	4.95338	8.33222	5.67935	150
chr1	38012901	38013059	1320	4.3438300000000005	6.42959	3.89848	40
chr1	39102937	39103148	1336	4.36304	6.19962	3.68121	144
chr1	39799774	39799987	1351	5.65607	8.53041	5.87045	62
chr1	40131091	40131296	1368	3.9664	5.33485	2.88225	96
chr1	40450923	40451081	1381	3.63248	5.02459	2.59822	66
chr1	40926654	40926830	1399	5.55296	9.004430000000003	6.31281	57
chr1	41053349	41053636	1403	4.62315	7.45915	4.8600400000000015	241
chr1	41242117	41242367	1407	5.12665	7.40592	4.8127900000000015	154
chr1	41739798	41740017	1426	5.11523	7.669510000000002	5.06059	74
chr1	41890967	41891143	1435	3.9664	5.33485	2.88225	88
chr1	42135555	42135772	1438	6.40525	10.3841	7.62852	89
chr1	42456559	42456744	1442	5.76412	9.69567	6.97618	94
chr1	42658213	42658565	1444	6.22296	13.21275	10.33327	132
chr1	42846435	42846665	1452	5.2589	7.8982800000000015	5.27054	87
chr1	42944289	42944451	1458	4.75968	7.1013	4.51853	53
chr1	43389670	43389923	1469	4.95338	8.33222	5.67935	114
chr1	43835077	43835465	1481	17.25457	60.14271	56.19724	222
chr1	45394013	45394290	1526	7.13952	13.15166	10.27532	129
chr1	45820163	45820361	1548	5.40943	7.85381	5.23844	122
chr1	46003396	46003559	1549	5.32334	8.30688	5.65952	57
chr1	46521424	46521582	1565	5.5507300000000015	9.00078	6.31281	103
chr1	46616803	46616961	1577	5.2836	9.23283	6.53139	71
chr1	48472143	48472364	1595	6.74288	12.0765	9.24931	110
chr1	49914357	49914532	1607	4.50436	6.42357	3.893380000000001	99
chr1	51616908	51617147	1627	14.10069	50.36268	46.57838	135
chr1	51729506	51729835	1628	5.65607	8.53041	5.87045	152
chr1	51863475	51863716	1629	7.899380000000002	13.56425	10.67482	110
chr1	52424293	52424488	1640	7.1974100000000005	12.82774	9.96895	91
chr1	52569411	52569578	1644	5.2222300000000015	7.8399199999999984	5.22484	105
chr1	53220157	53220543	1657	9.15036	17.39635	14.367770000000002	82
chr1	53327782	53328002	1661	6.10436	9.5604	6.84992	108
chr1	54861022	54861233	1702	3.0773200000000003	4.66485	2.28043	154
chr1	54965694	54965926	1707	5.59196	9.41023	6.70223	128
chr1	55138846	55139267	1711	5.26424	7.6235300000000015	5.01542	270
chr1	55816453	55816688	1722	8.39789	14.793170000000002	11.85653	115
chr1	58524545	58524833	1745	9.8277	20.57753	17.452779999999994	139
chr1	59414856	59415127	1778	5.55296	9.004430000000003	6.31281	127
chr1	59564422	59564832	1783	5.43393	7.892760000000001	5.26716	123
chr1	59696781	59697004	1789	4.75968	7.1013	4.51853	146
chr1	60510209	60510467	1797	4.74639	10.88256	8.11104	114
chr1	63367474	63367660	1837	4.8041	6.64445	4.09976	77
chr1	63594373	63594579	1842	7.746180000000002	13.31429	10.43182	122
chr1	64321018	64321247	1846	6.34624	11.0259	8.243260000000001	82
chr1	66270622	66270791	1877	4.36304	6.19962	3.68121	26
chr1	66380416	66380664	1883	9.50337	18.47268	15.41244	97
chr1	66395753	66395981	1886	5.96476	10.39135	7.63478	119
chr1	68781058	68781285	1921	9.00873	18.15127	15.10341	95
chr1	70910221	70910382	1946	5.15632	8.03704	5.398	53
chr1	70930181	70930430	1947	5.19499	10.81805	8.04753	113
chr1	75725354	75725515	1969	5.9272800000000005	9.61252	6.89565	62
chr1	76936731	76936930	1984	7.347539999999999	12.27482	9.43491	80
chr1	77539882	77540104	2003	5.9496	10.00133	7.264769999999999	129
chr1	78549944	78550102	2018	3.63248	5.02459	2.59822	47
chr1	78645841	78646031	2021	6.35864	10.30895	7.55542	87
chr1	78855387	78855603	2022	4.29293	6.6154199999999985	4.07253	71
chr1	79113907	79114124	2026	3.39434	4.84054	2.44286	119
chr1	83548000	83548409	2039	7.4099	12.37622	9.52971	136
chr1	83818898	83819145	2044	8.62958	16.06384	13.084000000000001	140
chr1	84225620	84225949	2048	5.2836	9.23283	6.53139	151
chr1	84283552	84283710	2050	4.84136	6.702999999999999	4.1543199999999985	99
chr1	84299327	84299608	2052	4.75968	7.1013	4.51853	176
chr1	85058315	85058650	2074	9.916	21.270670000000006	18.12086	144
chr1	85244832	85245083	2079	5.9496	10.00133	7.264769999999999	126
chr1	85259622	85259780	2080	4.10077	5.78178	3.30492	65
chr1	86366031	86366221	2093	5.9272800000000005	9.61252	6.89565	75
chr1	87423995	87424177	2118	4.91385	7.34817	4.75654	91
chr1	87826761	87826976	2122	5.9272800000000005	9.61252	6.89565	98
chr1	89274706	89274864	2137	4.71339	6.50218	3.96743	19
chr1	89670177	89670491	2155	8.98939	16.65604	13.65291	204
chr1	89757596	89757901	2160	6.5006900000000005	12.48186	9.63211	202
chr1	89843289	89843530	2168	6.27428	12.08451	9.25263	132
chr1	89953132	89953315	2172	5.02935	7.532589999999999	4.92923	57
chr1	93681775	93681933	2226	4.23377	5.7529	3.27785	128
chr1	94721315	94721506	2253	5.2836	9.23283	6.53139	47
chr1	94746957	94747185	2257	5.2836	9.23283	6.53139	128
chr1	94767990	94768253	2258	5.51041	8.29847	5.65259	67
chr1	94808184	94808351	2259	4.91385	7.34817	4.75654	86
chr1	97164056	97164250	2284	4.44594	5.8642699999999985	3.3680800000000004	110
chr1	98053786	98053989	2291	3.56976	4.51031	2.13461	111
chr1	100351013	100351401	2312	9.12272	18.85464	15.77833	181
chr1	100351508	100351711	2313	4.75777	7.09823	4.51853	129
chr1	100627423	100627610	2323	4.20547	7.57828	4.97293	101
chr1	100895110	100895271	2329	5.2589	7.8982800000000015	5.27054	124
chr1	103142527	103142685	2348	3.9627	5.80311	3.3199300000000003	28
chr1	103275827	103276075	2352	5.9279199999999985	8.96455	6.281619999999998	152
chr1	103525643	103525972	2354	4.95338	8.33222	5.67935	134
chr1	107840786	107840960	2378	4.62315	7.45915	4.8600400000000015	106
chr1	107869097	107869287	2379	7.45011	13.24261	10.36125	68
chr1	107877273	107877504	2380	5.01432	7.22855	4.641369999999998	145
chr1	107965845	107966003	2386	4.36304	6.19962	3.68121	74
chr1	108043746	108044038	2388	6.7740300000000016	11.72939	8.916	180
chr1	108118582	108118777	2392	5.32334	8.30688	5.65952	110
chr1	108671324	108671518	2405	4.75968	7.1013	4.51853	139
chr1	109371623	109371785	2429	3.39434	4.84054	2.44286	51
chr1	109814942	109815281	2446	4.65715	6.66505	4.1177	202
chr1	111140234	111140392	2487	3.9664	5.33485	2.88225	84
chr1	111204375	111204537	2490	4.10077	5.78178	3.30492	42
chr1	111213001	111213198	2492	7.13665	13.146870000000002	10.27532	105
chr1	111219960	111220152	2493	6.6045	13.08071	10.2128	73
chr1	111392617	111392775	2497	4.75968	7.1013	4.51853	56
chr1	111416659	111416911	2499	4.55847	6.2598	3.7375	48
chr1	112697723	112697881	2525	4.36304	6.19962	3.68121	58
chr1	112714030	112714252	2528	5.15425	8.03369	5.398	104
chr1	112715177	112715662	2529	16.37951	42.16287	38.52752	191
chr1	112955371	112955594	2535	6.1353800000000005	9.94884	7.22307	150
chr1	113072920	113073279	2539	6.14231	10.31719	7.562360000000001	181
chr1	113780453	113780806	2545	4.75777	7.09823	4.51853	126
chr1	114336579	114336781	2572	6.6045	13.08071	10.2128	106
chr1	114831790	114831990	2586	4.70582	7.30208	4.71318	118
chr1	114861719	114861877	2589	3.95195	4.9151099999999985	2.49904	70
chr1	115056408	115056637	2590	5.2836	9.23283	6.53139	137
chr1	115641883	115642041	2599	4.08769	5.30851	2.86801	79
chr1	115981453	115981641	2607	4.82066	6.92306	4.35578	80
chr1	116373630	116373803	2613	5.45026	8.20275	5.55897	76
chr1	116418545	116418808	2615	6.7740300000000016	11.72939	8.916	118
chr1	116570380	116570551	2618	5.15425	8.03369	5.398	103
chr1	116826920	116827098	2624	2.96857	4.08996	1.7597599999999998	51
chr1	117060026	117060346	2638	10.31264	22.50445	19.32147	171
chr1	117605588	117606288	2645	26.17825	81.36267	77.10878000000002	368
chr1	118012642	118012807	2653	5.9496	10.00133	7.264769999999999	82
chr1	118785404	118785573	2658	6.3436900000000005	11.02168	8.243260000000001	118
chr1	119140208	119140485	2672	3.96007	6.3057300000000005	3.77982	96
chr1	119702477	119702649	2681	3.63248	5.02459	2.59822	51
chr1	121408410	121408573	2704	4.408519999999998	5.8059	3.3209	140
chr1	145845120	145845374	2731	6.5518	11.3648	8.56204	147
chr1	145927475	145927728	2741	5.44237	11.68022	8.87008	122
chr1	145957696	145958179	2744	6.6045	13.08071	10.2128	329
chr1	145964613	145964864	2745	4.36304	6.19962	3.68121	100
chr1	146007252	146007450	2750	3.63248	5.02459	2.59822	71
chr1	146036842	146037275	2752	4.62315	7.45915	4.8600400000000015	296
chr1	148263790	148263997	2772	4.95338	8.33222	5.67935	131
chr1	149899476	149899654	2791	5.4297900000000014	9.13958	6.445130000000002	105
chr1	150176744	150176906	2804	6.01386	9.41531	6.70705	49
chr1	150236016	150236218	2809	7.53313	14.245020000000002	11.32968	86
chr1	150521261	150521584	2819	8.72608	17.673820000000006	14.63489	125
chr1	150613559	150613911	2828	5.55296	9.004430000000003	6.31281	78
chr1	150629067	150629334	2829	5.09151	9.57319	6.85982	139
chr1	151070370	151070742	2851	15.06626	38.42849	34.87078	211
chr1	151146609	151146827	2853	6.33756	11.39846	8.594389999999999	93
chr1	151277251	151277470	2862	5.33381	8.01748	5.3875199999999985	114
chr1	151458974	151459172	2872	4.8041	6.64445	4.09976	81
chr1	151459382	151459642	2873	10.90052	22.37789	19.20487	107
chr1	151829133	151829334	2887	5.15425	8.03369	5.398	165
chr1	151921480	151921802	2892	5.55296	9.004430000000003	6.31281	50
chr1	151959025	151959197	2895	4.52579	7.8878	5.26716	71
chr1	152052616	152052774	2909	3.63351	4.4277	2.06813	129
chr1	152519996	152520154	2915	3.63248	5.02459	2.59822	62
chr1	153470781	153470996	2929	5.76412	9.69567	6.97618	87
chr1	153663303	153663464	2943	5.9496	10.00133	7.264769999999999	104
chr1	153734783	153735061	2947	4.82066	6.92306	4.35578	142
chr1	154192193	154192363	2971	4.65715	6.66505	4.1177	103
chr1	154220508	154220998	2973	16.21494	39.69063	36.10662	298
chr1	154419596	154419785	2987	5.15425	8.03369	5.398	131
chr1	154431653	154431816	2988	4.75968	7.1013	4.51853	89
chr1	154493383	154493587	2995	7.34668	13.49668	10.60974	110
chr1	154559658	154559888	2997	4.36129	6.19684	3.68121	113
chr1	154625297	154625455	3001	4.75968	7.1013	4.51853	63
chr1	154745261	154745572	3005	6.93473	14.09789	11.1899	101
chr1	154791390	154791634	3008	6.40525	10.3841	7.62852	125
chr1	154974024	154974182	3012	4.29293	6.6154199999999985	4.07253	70
chr1	154974393	154974665	3013	7.86925	16.68109	13.6774	86
chr1	154974841	154975125	3014	7.18497	14.541379999999998	11.61501	121
chr1	154983053	154983361	3016	5.61383	10.15934	7.409560000000001	148
chr1	155017581	155017771	3023	6.8672	11.88181	9.06478	101
chr1	155062708	155062866	3027	3.39434	4.84054	2.44286	108
chr1	155084785	155085044	3032	5.65724	11.3511	8.54958	125
chr1	155226693	155226851	3044	3.39434	4.84054	2.44286	52
chr1	155323040	155323220	3053	5.13275	7.6974300000000015	5.088	121
chr1	155323413	155323571	3054	5.15425	8.03369	5.398	25
chr1	155323736	155324029	3055	3.71071	6.09937	3.5934	46
chr1	155324145	155324587	3056	7.30121	13.85469	10.95474	339
chr1	155529212	155529393	3058	6.34624	11.0259	8.243260000000001	54
chr1	155978489	155978677	3077	4.62315	7.45915	4.8600400000000015	85
chr1	156151394	156151651	3092	5.4297900000000014	9.13958	6.445130000000002	140
chr1	156498857	156499015	3111	3.11148	4.15704	1.82234	44
chr1	156502906	156503067	3113	4.29293	6.6154199999999985	4.07253	74
chr1	157148456	157148693	3152	6.34624	11.0259	8.243260000000001	94
chr1	157249425	157249601	3154	4.71339	6.50218	3.96743	45
chr1	157403845	157404006	3156	4.50907	6.18262	3.67488	41
chr1	157404792	157405031	3158	5.2836	9.23283	6.53139	129
chr1	157659656	157659853	3166	5.9496	10.00133	7.264769999999999	106
chr1	158819719	158819949	3192	5.55296	9.004430000000003	6.31281	98
chr1	158952490	158952692	3196	6.1353800000000005	9.94884	7.22307	98
chr1	159084953	159085228	3205	4.20547	7.57828	4.97293	137
chr1	159829334	159829492	3216	5.08052	7.6142	5.0063900000000015	78
chr1	159880006	159880295	3217	5.96476	10.39135	7.63478	147
chr1	159889882	159890054	3218	3.9664	5.33485	2.88225	108
chr1	160031952	160032166	3231	4.47357	6.64025	4.0959	88
chr1	160193288	160193446	3236	4.44784	6.87482	4.31019	23
chr1	160204572	160204828	3237	5.37437	10.45117	7.691139999999999	111
chr1	160285089	160285357	3243	6.93473	14.09789	11.1899	136
chr1	160291937	160292172	3244	3.9664	5.33485	2.88225	26
chr1	160347037	160347212	3246	5.09151	9.57319	6.85982	81
chr1	160722789	160723028	3254	8.32944	16.51219	13.51138	136
chr1	161021097	161021265	3267	5.3882	7.820089999999999	5.2053699999999985	78
chr1	161115326	161115499	3275	4.1634400000000005	5.42554	2.96874	52
chr1	161121900	161122060	3277	5.55296	9.004430000000003	6.31281	33
chr1	161127864	161128106	3278	6.74017	12.07199	9.24931	110
chr1	161177748	161178020	3284	3.96007	6.3057300000000005	3.77982	69
chr1	161185749	161186192	3287	9.11905	18.8484	15.77683	297
chr1	161196964	161197160	3288	5.27676	8.88238	6.20973	136
chr1	161201855	161202086	3289	4.10077	5.78178	3.30492	86
chr1	161389852	161390437	3298	21.13509	62.52594000000001	58.54446	339
chr1	161404113	161404287	3300	4.959969999999998	7.142810000000001	4.5589900000000005	57
chr1	161440362	161440546	3303	4.93994	6.85819	4.29577	145
chr1	161499798	161500019	3305	7.68549	14.95275	12.01187	96
chr1	161739884	161740194	3322	5.3255	7.7206	5.1108	239
chr1	161934221	161934423	3329	3.39434	4.84054	2.44286	111
chr1	162152464	162152704	3335	5.32334	8.30688	5.65952	99
chr1	162918990	162919208	3341	5.15632	8.03704	5.398	75
chr1	164774431	164774675	3365	4.62315	7.45915	4.8600400000000015	99
chr1	165665664	165665826	3378	5.21916	8.45674	5.7994900000000005	59
chr1	167803500	167803660	3424	4.75968	7.1013	4.51853	54
chr1	168228905	168229116	3436	5.15425	8.03369	5.398	117
chr1	168466174	168466441	3439	4.62315	7.45915	4.8600400000000015	140
chr1	168535800	168535958	3442	3.29713	5.29865	2.86085	30
chr1	170532124	170532304	3470	3.9627	5.80311	3.3199300000000003	114
chr1	173150022	173150206	3516	5.08865	7.3459	4.75585	118
chr1	173193635	173193809	3517	5.2589	7.8982800000000015	5.27054	49
chr1	173224992	173225159	3521	5.73283	9.29726	6.59191	103
chr1	173422473	173422637	3527	5.08052	7.6142	5.0063900000000015	89
chr1	173429987	173430173	3529	5.45026	8.20275	5.55897	78
chr1	174789580	174789738	3543	3.9664	5.33485	2.88225	63
chr1	175090917	175091126	3553	5.56048	8.688410000000001	6.0238	135
chr1	175124891	175125073	3554	4.86021	6.732639999999999	4.18336	125
chr1	175154706	175154907	3556	4.46073	6.1071300000000015	3.60085	108
chr1	175591459	175591644	3564	4.66219	7.52545	4.92346	44
chr1	176540552	176540710	3571	4.29293	6.6154199999999985	4.07253	56
chr1	178056209	178056459	3584	5.5414900000000005	8.657910000000001	5.99379	149
chr1	179293638	179293866	3612	3.6772	5.55754	3.09058	71
chr1	180151020	180151205	3626	5.2589	7.8982800000000015	5.27054	112
chr1	180156323	180156547	3628	4.29293	6.6154199999999985	4.07253	105
chr1	180631835	180632205	3638	9.91201	21.26385	18.11889	148
chr1	181089643	181089917	3660	4.75968	7.1013	4.51853	131
chr1	181099662	181099820	3661	5.16817	7.75385	5.14285	26
chr1	181128678	181128864	3665	3.9627	5.80311	3.3199300000000003	140
chr1	181515114	181515274	3678	2.9664900000000003	4.6317	2.2514	59
chr1	181633675	181633843	3681	5.9272800000000005	9.61252	6.89565	49
chr1	181667912	181668070	3683	5.40943	7.85381	5.23844	95
chr1	182149501	182149723	3687	5.69714	8.9077	6.23177	129
chr1	183101792	183101980	3727	4.14807	5.40177	2.94614	83
chr1	183105450	183105679	3729	6.59875	10.69613	7.929589999999999	131
chr1	183318468	183318669	3734	4.55847	6.2598	3.7375	102
chr1	183472255	183472433	3738	3.51694	5.95948	3.4614199999999995	141
chr1	183580343	183580561	3744	4.78998	7.74147	5.1310400000000005	113
chr1	183600210	183600445	3745	6.961289999999999	12.43846	9.58947	114
chr1	183770378	183770941	3751	6.27428	12.08451	9.25263	291
chr1	184036747	184037006	3764	3.39434	4.84054	2.44286	104
chr1	184158949	184159162	3768	4.29293	6.6154199999999985	4.07253	67
chr1	184367005	184367339	3773	5.15632	8.03704	5.398	59
chr1	184735110	184735276	3778	4.62315	7.45915	4.8600400000000015	81
chr1	184752714	184752957	3779	4.95338	8.33222	5.67935	118
chr1	184843806	184844024	3787	5.43393	7.892760000000001	5.26716	102
chr1	184946190	184946356	3795	5.9279199999999985	8.96455	6.281619999999998	22
chr1	186983313	186983478	3835	4.61129	6.86272	4.298769999999998	101
chr1	190759914	190760102	3843	4.29293	6.6154199999999985	4.07253	53
chr1	191889236	191889413	3848	5.9279199999999985	8.96455	6.281619999999998	50
chr1	192877625	192877831	3866	6.34624	11.0259	8.243260000000001	130
chr1	193241163	193241426	3872	10.07956	20.46519	17.34274	108
chr1	197771472	197771630	3892	5.9279199999999985	8.96455	6.281619999999998	122
chr1	198159083	198159245	3907	3.9627	5.80311	3.3199300000000003	93
chr1	198939996	198940274	3921	5.69714	8.9077	6.23177	148
chr1	199613510	199613752	3933	7.4099	12.37622	9.52971	128
chr1	200857929	200858192	3956	5.96476	10.39135	7.63478	110
