PeakID (cmd=annotatePeaks.pl GFI1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_7061	chr7	141864765	141865031	+	0	NA	Intergenic	NA	-23477	PRSS37								
Interval_1801	chr12	108313418	108313606	+	0	NA	intron (CMKLR1, intron 1 of 2)	NA	25805	CMKLR1								
Interval_6496	chr6	106223352	106223593	+	0	NA	intron (ATG5, intron 3 of 4)	NA	101963	ATG5								
Interval_2209	chr14	85333409	85333553	+	0	NA	Intergenic	NA	-60434	LINC00911								
Interval_6833	chr7	41478243	41478579	+	0	NA	Intergenic	NA	-215537	INHBA-AS1								
Interval_2894	chr17	17052184	17052328	+	0	NA	intron (MPRIP, intron 1 of 22)	NA	9496	MPRIP								
Interval_4466	chr20	23225292	23225711	+	0	NA	Intergenic	NA	37879	LOC100505664								
Interval_305	chr1	103561850	103562131	+	0	NA	intron (AMY2B, intron 1 of 11)	NA	7346	AMY2B								
Interval_5014	chr3	67657228	67657477	+	0	NA	intron (RP11-81N13.1, intron 1 of 6)	NA	2655	RP11-81N13.1								
Interval_3435	chr19	4177505	4177649	+	0	NA	intron (SIRT6, intron 2 of 6)	NA	4989	SIRT6								
Interval_7422	chr8	81154067	81154469	+	0	NA	Intergenic	NA	-42223	PAG1								
Interval_5093	chr3	112778006	112778181	+	0	NA	Intergenic	NA	-28774	RP11-572C15.5								
Interval_6951	chr7	101118402	101118546	+	0	NA	Intergenic	NA	-8615	SERPINE1								
Interval_5257	chr3	179801397	179801566	+	0	NA	exon (PEX5L, exon 15 of 15)	NA	-98056	RP11-791G22.1								
Interval_6535	chr6	123010349	123010396	+	0	NA	intron (CLVS2, intron 2 of 5)	NA	14401	CLVS2								
Interval_2307	chr15	29825155	29825554	+	0	NA	intron (TJP1, intron 2 of 27)	NA	-4685	TJP1								
Interval_1757	chr12	94837291	94837484	+	0	NA	Intergenic	NA	2933	KRT19P2								
Interval_228	chr1	66415981	66416129	+	0	NA	Intergenic	NA	85327	PDE4B								
Interval_4488	chr20	37005393	37005631	+	0	NA	intron (RBL1, intron 19 of 20)	NA	-53736	SAMHD1								
Interval_5575	chr4	101593747	101593898	+	0	NA	Intergenic	NA	-196785	BANK1								
Interval_3357	chr18	74014105	74014330	+	0	NA	Intergenic	NA	133648	FBXO15								
Interval_1401	chr11	104074048	104074364	+	0	NA	intron (PDGFD, intron 1 of 6)	NA	37626	DDI1								
Interval_6005	chr5	124697797	124697944	+	0	NA	intron (ZNF608, intron 3 of 9)	NA	50954	ZNF608								
Interval_1865	chr12	123559499	123559840	+	0	NA	Intergenic	NA	23256	MIR3908								
Interval_4974	chr3	53252795	53252947	+	0	NA	intron (TKT, intron 1 of 14)	NA	3181	TKT								
Interval_4579	chr20	60142814	60142985	+	0	NA	intron (RP5-1043L13.1-2, intron 1 of 4)	NA	4407	RP5-1043L13.1-2								
Interval_3639	chr19	47941263	47941518	+	0	NA	Intergenic	NA	1849	SNAR-C4								
Interval_4999	chr3	58260937	58261326	+	0	NA	intron (ABHD6, intron 2 of 8)	NA	23599	ABHD6								
Interval_846	chr10	34996969	34997158	+	0	NA	Intergenic	NA	82566	MIR3611								
Interval_4810	chr22	50621036	50621317	+	0	NA	Intergenic	NA	6975	ARSA								
Interval_4500	chr20	38891962	38892156	+	0	NA	intron (PPP1R16B, intron 3 of 9)	NA	-34253	FAM83D								
Interval_2150	chr14	68741841	68742239	+	0	NA	Intergenic	NA	51874	ZFP36L1								
Interval_4951	chr3	46406531	46406714	+	0	NA	promoter-TSS (CCRL2)	NA	418	LOC102724297								
Interval_5276	chr3	186109590	186109895	+	0	NA	promoter-TSS (ETV5)	NA	-630	ETV5								
Interval_7647	chr9	2158444	2158668	+	0	NA	promoter-TSS (SMARCA2)	NA	100	SMARCA2								
Interval_5780	chr5	33676046	33676200	+	0	NA	intron (ADAMTS12, intron 5 of 23)	NA	215896	ADAMTS12								
Interval_2949	chr17	35851446	35851590	+	0	NA	Intergenic	NA	17373	C17orf66								
Interval_1838	chr12	116552019	116552619	+	0	NA	Intergenic	NA	-7062	MAP1LC3B2								
Interval_6970	chr7	106101438	106101487	+	0	NA	intron (SYPL1, intron 2 of 5)	NA	11152	SYPL1								
Interval_7606	chr8	133165815	133166183	+	0	NA	Intergenic	NA	-25040	WISP1								
Interval_4138	chr2	160704027	160704291	+	0	NA	Intergenic	NA	-210352	RBMS1								
Interval_4014	chr2	106272037	106272400	+	0	NA	Intergenic	NA	-77879	UXS1								
Interval_5695	chr4	169566310	169566616	+	0	NA	intron (NEK1, intron 12 of 34)	NA	46166	NEK1								
Interval_5885	chr5	72282160	72282304	+	0	NA	intron (MRPS27, intron 4 of 11)	NA	38025	MRPS27								
Interval_3611	chr19	43445008	43445161	+	0	NA	Intergenic	NA	20595	LYPD3								
Interval_626	chr1	220836458	220836665	+	0	NA	intron (HLX-AS1, intron 1 of 2)	NA	7306	RP11-295M18.2								
Interval_6781	chr7	26665042	26665329	+	0	NA	intron (SKAP2, intron 12 of 12)	NA	26100	C7orf71								
Interval_2188	chr14	76904972	76905581	+	0	NA	Intergenic	NA	74034	C14orf166B								
Interval_5935	chr5	88827778	88827922	+	0	NA	intron (MEF2C, intron 2 of 11)	NA	56684	MEF2C								
Interval_461	chr1	165600901	165601191	+	0	NA	Intergenic	NA	-18942	RP11-280O1.2								
Interval_6563	chr6	132749121	132749438	+	0	NA	intron (VNN2, intron 3 of 3)	NA	11524	VNN2								
Interval_4568	chr20	57727973	57728242	+	0	NA	Intergenic	NA	-16571	PMEPA1								
Interval_5832	chr5	54610356	54610786	+	0	NA	Intergenic	NA	92753	LOC102467080								
Interval_3344	chr18	70135774	70135993	+	0	NA	intron (RTTN, intron 20 of 47)	NA	69843	RTTN								
Interval_3885	chr2	55862394	55862611	+	0	NA	Intergenic	NA	61661	EFEMP1								
Interval_2710	chr16	57040315	57040602	+	0	NA	intron (NLRC5, intron 16 of 32)	NA	50911	NLRC5								
Interval_1794	chr12	105358962	105359106	+	0	NA	intron (C12orf75, intron 2 of 5)	NA	28398	C12orf75								
Interval_5246	chr3	172750241	172750538	+	0	NA	promoter-TSS (ECT2)	NA	-293	ECT2								
Interval_6044	chr5	138633231	138633668	+	0	NA	Intergenic	NA	-57820	HSPA9								
Interval_4959	chr3	48528091	48528372	+	0	NA	intron (PFKFB4, intron 10 of 14)	NA	21750	MIR6823								
Interval_7298	chr8	42958179	42958345	+	0	NA	intron (HOOK3, intron 7 of 21)	NA	61372	HOOK3								
Interval_7202	chr8	25226962	25227119	+	0	NA	intron (DOCK5, intron 1 of 50)	NA	42268	DOCK5								
Interval_131	chr1	33088569	33088818	+	0	NA	intron (ADC, intron 1 of 7)	NA	7583	ADC								
Interval_7775	chr9	98886258	98886776	+	0	NA	Intergenic	NA	-14140	LOC102724684								
Interval_486	chr1	171828994	171829222	+	0	NA	Intergenic	NA	-12370	DNM3								
Interval_5675	chr4	158811335	158811480	+	0	NA	intron (FNIP2, intron 1 of 15)	NA	42212	FNIP2								
Interval_4968	chr3	52244948	52245260	+	0	NA	promoter-TSS (PPM1M)	NA	-1066	PPM1M								
Interval_5071	chr3	105811541	105811691	+	0	NA	intron (CBLB, intron 3 of 18)	NA	56639	CBLB								
Interval_4885	chr3	21532770	21532914	+	0	NA	intron (ZNF385D, intron 4 of 9)	NA	127116	VENTXP7								
Interval_2591	chr16	11812444	11812676	+	0	NA	Intergenic	NA	16272	BCAR4								
Interval_4787	chr22	42680731	42681065	+	0	NA	Intergenic	NA	-33909	CYB5R3								
Interval_5783	chr5	35313358	35313619	+	0	NA	Intergenic	NA	-118246	PRLR								
Interval_3954	chr2	85354599	85354758	+	0	NA	promoter-TSS (ELMOD3)	NA	20	RETSAT								
Interval_1057	chr10	110537374	110537624	+	0	NA	Intergenic	NA	-30192	SMC3								
Interval_843	chr10	32985756	32985993	+	0	NA	intron (LOC101929475, intron 1 of 1)	NA	-30928	LOC101929475								
Interval_4282	chr2	218081209	218081353	+	0	NA	intron (RUFY4, intron 11 of 13)	NA	12266	RUFY4								
Interval_2100	chr14	54570798	54570949	+	0	NA	intron (SAMD4A, intron 1 of 11)	NA	61004	CGRRF1								
Interval_6179	chr5	180090477	180090623	+	0	NA	Intergenic	NA	-18420	RNF130								
Interval_100	chr1	25774743	25775061	+	0	NA	intron (MAN1C1, intron 8 of 11)	NA	-25274	SEPN1								
Interval_6083	chr5	147282922	147282979	+	0	NA	intron (STK32A, intron 4 of 12)	NA	47934	STK32A								
Interval_6162	chr5	175478029	175478293	+	0	NA	promoter-TSS (SFXN1)	NA	-350	SFXN1								
Interval_4748	chr22	30606066	30606224	+	0	NA	promoter-TSS (TCN2)	NA	868	PES1								
Interval_5057	chr3	100047589	100047842	+	0	NA	intron (FILIP1L, intron 1 of 4)	NA	-67215	CMSS1								
Interval_2736	chr16	69312059	69312234	+	0	NA	intron (VPS4A, intron 1 of 10)	NA	762	VPS4A								
Interval_4716	chr22	22099085	22099282	+	0	NA	promoter-TSS (LOC102724653)	NA	-623	LOC102724653								
Interval_6596	chr6	139713429	139713675	+	0	NA	Intergenic	NA	-57521	LOC100132735								
Interval_1540	chr12	10395366	10395631	+	0	NA	intron (KLRC4-KLRK1, intron 4 of 12)	NA	-5444	KLRK1								
Interval_1814	chr12	110313028	110313230	+	0	NA	intron (ATP2A2, intron 5 of 19)	NA	31345	ATP2A2								
Interval_1736	chr12	90250929	90251119	+	0	NA	Intergenic	NA	-424298	LOC102724834								
Interval_5898	chr5	74686070	74686259	+	0	NA	intron (HEXB, intron 1 of 13)	NA	1020	HEXB								
Interval_3623	chr19	45115874	45116083	+	0	NA	intron (PPP1R37, intron 1 of 12)	NA	22805	PPP1R37								
Interval_6702	chr6	169827822	169827966	+	0	NA	Intergenic	NA	-29069	LINC00242								
Interval_4997	chr3	58052381	58052568	+	0	NA	intron (FLNB, intron 1 of 39)	NA	44054	FLNB								
Interval_725	chr1	241454592	241454642	+	0	NA	Intergenic	NA	65168	FH								
Interval_969	chr10	86756555	86756741	+	0	NA	promoter-TSS (BMPR1A)	NA	9	BMPR1A								
Interval_6543	chr6	128134867	128135031	+	0	NA	intron (PTPRK, intron 7 of 30)	NA	72249	RP11-103C16.2								
Interval_2027	chr13	114167439	114167619	+	0	NA	Intergenic	NA	-11719	LOC101929355								
Interval_2526	chr15	96484870	96485068	+	0	NA	Intergenic	NA	92264	LOC101927263								
Interval_7161	chr8	19356207	19356415	+	0	NA	intron (SH2D4A, intron 4 of 8)	NA	42316	SH2D4A								
Interval_7568	chr8	124702938	124703108	+	0	NA	intron (MTSS1, intron 2 of 13)	NA	25450	MTSS1								
Interval_6623	chr6	148510151	148510315	+	0	NA	intron (SASH1, intron 1 of 12)	NA	167216	SASH1								
Interval_6684	chr6	163984654	163984863	+	0	NA	Intergenic	NA	-313274	LOC102724152								
Interval_7178	chr8	21674663	21674832	+	0	NA	Intergenic	NA	114552	GFRA2								
Interval_215	chr1	63314142	63314335	+	0	NA	intron (LINC00466, intron 2 of 11)	NA	2992	LINC00466								
Interval_827	chr10	30373550	30373843	+	0	NA	Intergenic	NA	-5081	MIR7162								
Interval_5784	chr5	35319323	35319467	+	0	NA	Intergenic	NA	-124153	PRLR								
Interval_783	chr10	12350832	12350976	+	0	NA	intron (CAMK1D, intron 1 of 10)	NA	154728	CDC123								
Interval_238	chr1	71667288	71667502	+	0	NA	intron (NEGR1, intron 4 of 6)	NA	169617	NEGR1-IT1								
Interval_1081	chr10	119750375	119750669	+	0	NA	intron (INPP5F, intron 1 of 15)	NA	24475	INPP5F								
Interval_2921	chr17	29195520	29196063	+	0	NA	Intergenic	NA	-15402	MYO18A								
Interval_26	chr1	9784615	9784926	+	0	NA	intron (CLSTN1, intron 1 of 18)	NA	39722	CLSTN1								
Interval_623	chr1	219324913	219325332	+	0	NA	Intergenic	NA	86627	LOC102723886								
Interval_7650	chr9	3398252	3398455	+	0	NA	intron (RFX3, intron 1 of 17)	NA	-66694	DSERG1								
Interval_7232	chr8	29408729	29408950	+	0	NA	Intergenic	NA	-58089	DUSP4								
Interval_3758	chr2	17804314	17804637	+	0	NA	Intergenic	NA	-12044	MSGN1								
Interval_606	chr1	212752902	212753231	+	0	NA	intron (NSL1, intron 4 of 5)	NA	38710	NSL1								
Interval_801	chr10	21927120	21927377	+	0	NA	intron (DNAJC1, intron 3 of 11)	NA	76473	DNAJC1								
Interval_2373	chr15	54150431	54150656	+	0	NA	intron (UNC13C, intron 3 of 31)	NA	172181	UNC13C								
Interval_7968	chrX	7083886	7084278	+	0	NA	intron (HDHD1, intron 2 of 3)	NA	-63778	MIR4767								
Interval_2731	chr16	66885907	66886137	+	0	NA	exon (PDP2, exon 2 of 2)	NA	5509	PDP2								
Interval_4126	chr2	157464209	157464546	+	0	NA	Intergenic	NA	-20285	CYTIP								
Interval_7439	chr8	92511475	92511619	+	0	NA	Intergenic	NA	143994	LOC102724710								
Interval_1534	chr12	10128384	10128533	+	0	NA	intron (CLEC7A, intron 1 of 3)	NA	1811	CLEC7A								
Interval_887	chr10	58322750	58322940	+	0	NA	Intergenic	NA	-12134	UBE2D1								
Interval_1843	chr12	118309741	118309898	+	0	NA	intron (TAOK3, intron 1 of 20)	NA	49263	TAOK3								
Interval_7755	chr9	90809089	90809319	+	0	NA	intron (SYK, intron 1 of 13)	NA	7474	SYK								
Interval_5285	chr3	187736453	187736635	+	0	NA	promoter-TSS (BCL6)	NA	4712	BCL6								
Interval_2807	chr16	87368638	87368833	+	0	NA	intron (FBXO31, intron 2 of 9)	NA	15359	TRNAM13								
Interval_1943	chr13	34258134	34258432	+	0	NA	Intergenic	NA	382402	LINC00457								
Interval_1596	chr12	26937558	26937752	+	0	NA	promoter-TSS (FGFR1OP2)	NA	666	ASUN								
Interval_1525	chr12	9039602	9039751	+	0	NA	intron (KLRG1, intron 5 of 5)	NA	25394	LINC00612								
Interval_4171	chr2	173874761	173875219	+	0	NA	Intergenic	NA	90712	SP3								
Interval_6898	chr7	80135700	80135899	+	0	NA	promoter-TSS (GNAI1)	NA	44	GNAI1								
Interval_3694	chr19	54389554	54389744	+	0	NA	Intergenic	NA	-19096	LAIR1								
Interval_5872	chr5	65925093	65925402	+	0	NA	Intergenic	NA	-1352	ERBB2IP								
Interval_207	chr1	58979170	58979464	+	0	NA	Intergenic	NA	-41092	RP4-794H19.4								
Interval_4758	chr22	36276799	36276995	+	0	NA	Intergenic	NA	9970	MIR6819								
Interval_5178	chr3	143566037	143566227	+	0	NA	intron (SLC9A9, intron 8 of 15)	NA	-67942	LOC102724120								
Interval_7023	chr7	131424250	131424700	+	0	NA	intron (MKLN1, intron 9 of 18)	NA	-96869	MKLN1-AS								
Interval_2855	chr17	7315631	7315966	+	0	NA	promoter-TSS (GPS2)	NA	-459	GPS2								
Interval_4793	chr22	44684892	44685171	+	0	NA	intron (PRR5, intron 2 of 9)	NA	16484	PRR5								
Interval_6649	chr6	154167351	154167495	+	0	NA	intron (IPCEF1, intron 12 of 12)	NA	98852	IPCEF1								
Interval_5204	chr3	152344326	152344521	+	0	NA	intron (MBNL1, intron 3 of 11)	NA	-3433	TMEM14E								
Interval_4229	chr2	200383498	200383666	+	0	NA	intron (SPATS2L, intron 1 of 11)	NA	77299	SPATS2L								
Interval_1883	chr12	127559809	127560079	+	0	NA	Intergenic	NA	76175	RP11-526P6.1								
Interval_7479	chr8	101137029	101137512	+	0	NA	Intergenic	NA	68462	ZNF706								
Interval_5517	chr4	75726720	75726864	+	0	NA	intron (USO1, intron 1 of 23)	NA	2147	USO1								
Interval_4099	chr2	144143817	144143996	+	0	NA	intron (GTDC1, intron 7 of 14)	NA	176790	GTDC1								
Interval_4870	chr3	16504182	16504460	+	0	NA	intron (RFTN1, intron 1 of 9)	NA	9348	RFTN1								
Interval_2190	chr14	76961743	76962079	+	0	NA	Intergenic	NA	66788	IRF2BPL								
Interval_2616	chr16	21656777	21657075	+	0	NA	exon (METTL9, exon 5 of 5)	NA	-4260	IGSF6								
Interval_5734	chr5	1108891	1109050	+	0	NA	intron (SLC12A7, intron 1 of 23)	NA	3087	SLC12A7								
Interval_3401	chr18	80147949	80148177	+	0	NA	exon (PARD6G-AS1, exon 1 of 3)	NA	139	PARD6G-AS1								
Interval_7348	chr8	59043702	59044005	+	0	NA	intron (TOX, intron 1 of 8)	NA	75355	TOX								
Interval_6343	chr6	35418083	35418301	+	0	NA	intron (PPARD, intron 3 of 5)	NA	-34147	FANCE								
Interval_7045	chr7	138570415	138570662	+	0	NA	intron (TRIM24, intron 10 of 18)	NA	110204	TRIM24								
Interval_1178	chr11	11246684	11246906	+	0	NA	Intergenic	NA	106562	CSNK2A3								
Interval_2061	chr14	31770221	31770481	+	0	NA	intron (NUBPL, intron 1 of 5)	NA	208952	NUBPL								
Interval_7717	chr9	34865661	34865900	+	0	NA	intron (LOC101929761, intron 2 of 3)	NA	-27194	FAM205B								
Interval_7550	chr8	121531434	121531597	+	0	NA	Intergenic	NA	-107831	HAS2-AS1								
Interval_183	chr1	51168314	51168615	+	0	NA	Intergenic	NA	-67809	RNF11								
Interval_3292	chr18	58104100	58104412	+	0	NA	intron (NEDD4L, intron 1 of 30)	NA	-151265	NEDD4L								
Interval_1212	chr11	34308917	34309166	+	0	NA	intron (ABTB2, intron 1 of 16)	NA	48967	ABTB2								
Interval_6262	chr6	16320855	16321177	+	0	NA	intron (ATXN1, intron 8 of 8)	NA	82436	GMPR								
Interval_388	chr1	150364495	150364749	+	0	NA	exon (RPRD2, exon 1 of 11)	NA	474	RPRD2								
Interval_4541	chr20	50169459	50169603	+	0	NA	Intergenic	NA	-3039	RP11-112L6.4								
Interval_3297	chr18	58533286	58533472	+	0	NA	intron (ALPK2, intron 2 of 9)	NA	-82227	MIR3591								
Interval_7385	chr8	66129410	66130424	+	0	NA	intron (TRIM55, intron 2 of 8)	NA	2874	TRIM55								
Interval_7938	chrUn_KI270467v1	3754	3822	+	0	NA	NA	NA	NA	NA								
Interval_6155	chr5	173294060	173294266	+	0	NA	intron (LOC101928115, intron 1 of 1)	NA	566	LOC101928115								
Interval_1205	chr11	33064343	33064576	+	0	NA	intron (TCP11L1, intron 8 of 10)	NA	-11691	LINC00294								
Interval_4146	chr2	162058270	162058492	+	0	NA	intron (DPP4, intron 2 of 25)	NA	15677	DPP4								
Interval_4398	chr20	4371830	4371991	+	0	NA	Intergenic	NA	-122898	ADRA1D								
Interval_2956	chr17	36877262	36877468	+	0	NA	Intergenic	NA	-14246	LOC102723456								
Interval_2860	chr17	8041248	8041590	+	0	NA	intron (ALOX15B, intron 3 of 13)	NA	2379	ALOX15B								
Interval_1611	chr12	32115637	32115788	+	0	NA	intron (BICD1, intron 1 of 9)	NA	8933	BICD1								
Interval_1186	chr11	14645199	14645601	+	0	NA	intron (PDE3B, intron 1 of 14)	NA	1755	PDE3B								
Interval_5957	chr5	97547860	97548217	+	0	NA	intron (LOC102546227, intron 2 of 3)	NA	43342	LOC102546227								
Interval_2669	chr16	46399494	46399556	+	0	NA	Intergenic	NA	169572	ANKRD26P1								
Interval_6277	chr6	24217405	24217673	+	0	NA	intron (DCDC2, intron 7 of 9)	NA	91353	NRSN1								
Interval_7873	chr9	128470659	128470920	+	0	NA	intron (ODF2, intron 5 of 20)	NA	14632	ODF2								
Interval_4023	chr2	110983179	110983383	+	0	NA	intron (ACOXL, intron 12 of 17)	NA	130904	FLJ44006								
Interval_2516	chr15	94083823	94084200	+	0	NA	intron (LOC101927112, intron 1 of 8)	NA	-17132	LOC101927091								
Interval_4422	chr20	10856559	10856900	+	0	NA	Intergenic	NA	52543	RP4-697P8.3								
Interval_3957	chr2	85500332	85500698	+	0	NA	Intergenic	NA	38371	LOC100630918								
Interval_6258	chr6	15194622	15194766	+	0	NA	Intergenic	NA	54002	JARID2-AS1								
Interval_3164	chr17	83247179	83247226	+	0	NA	Intergenic	NA	20305	FLJ43681								
Interval_4867	chr3	16181466	16181610	+	0	NA	intron (GALNT15, intron 1 of 9)	NA	6959	GALNT15								
Interval_6172	chr5	178467492	178467856	+	0	NA	intron (COL23A1, intron 2 of 28)	NA	122898	COL23A1								
Interval_6664	chr6	158666933	158667433	+	0	NA	intron (SYTL3, intron 5 of 17)	NA	17169	SYTL3								
Interval_3303	chr18	58887554	58887911	+	0	NA	intron (ZNF532, intron 3 of 10)	NA	24793	ZNF532								
Interval_2628	chr16	25760110	25760158	+	0	NA	intron (HS3ST4, intron 1 of 1)	NA	68108	HS3ST4								
Interval_3442	chr19	5136030	5136418	+	0	NA	intron (KDM4B, intron 7 of 14)	NA	157023	PTPRS								
Interval_3067	chr17	62968611	62968755	+	0	NA	intron (TANC2, intron 1 of 26)	NA	2131	TANC2								
Interval_7737	chr9	72305022	72305166	+	0	NA	promoter-TSS (RP11-63P12.6)	NA	-312	RP11-63P12.6								
Interval_2859	chr17	7644905	7645091	+	0	NA	Intergenic	NA	-5938	ATP1B2								
Interval_2119	chr14	60862348	60862658	+	0	NA	intron (MNAT1, intron 6 of 7)	NA	118561	TRMT5								
Interval_5390	chr4	17814274	17814494	+	0	NA	intron (NCAPG, intron 3 of 20)	NA	3571	NCAPG								
Interval_3479	chr19	10270350	10270559	+	0	NA	promoter-TSS (ICAM1)	NA	-387	ICAM1								
Interval_5506	chr4	70849544	70849715	+	0	NA	Intergenic	NA	-9737	GRSF1								
Interval_57	chr1	19263149	19263298	+	0	NA	Intergenic	NA	10851	AKR7L								
Interval_1882	chr12	127514159	127514349	+	0	NA	Intergenic	NA	121865	RP11-526P6.1								
Interval_4490	chr20	37336681	37336830	+	0	NA	Intergenic	NA	-9373	SRC								
Interval_38	chr1	12745999	12746266	+	0	NA	promoter-TSS (C1orf158)	NA	-83	C1orf158								
Interval_3121	chr17	74478814	74479035	+	0	NA	intron (CD300A, intron 4 of 4)	NA	12279	CD300A								
Interval_5897	chr5	74576982	74577203	+	0	NA	Intergenic	NA	64332	ENC1								
Interval_543	chr1	197200582	197200883	+	0	NA	promoter-TSS (ZBTB41)	NA	-190	ZBTB41								
Interval_3086	chr17	66277653	66277910	+	0	NA	Intergenic	NA	-25016	PRKCA								
Interval_4513	chr20	44210486	44210919	+	0	NA	promoter-TSS (OSER1-AS1)	NA	-258	OSER1-AS1								
Interval_3339	chr18	68439208	68439389	+	0	NA	Intergenic	NA	275818	TMX3								
Interval_1570	chr12	15753224	15753563	+	0	NA	intron (EPS8, intron 1 of 20)	NA	-20618	EPS8								
Interval_2154	chr14	69503721	69504134	+	0	NA	intron (PLEKHD1, intron 6 of 12)	NA	19173	PLEKHD1								
Interval_4923	chr3	37955908	37956184	+	0	NA	intron (CTDSPL, intron 2 of 6)	NA	-13406	MIR26A1								
Interval_6103	chr5	154967519	154967728	+	0	NA	exon (MRPL22, exon 6 of 6)	NA	26550	MRPL22								
Interval_5544	chr4	83548581	83548804	+	0	NA	intron (AGPAT9, intron 3 of 12)	NA	12778	AGPAT9								
Interval_1121	chr10	133787338	133787385	+	0	NA	Intergenic	NA	103693	LOC102723538								
Interval_7907	chrUn_GL000216v2	38038	38085	+	0	NA	NA	NA	NA	NA								
Interval_2230	chr14	91257888	91258083	+	0	NA	intron (GPR68, intron 1 of 1)	NA	-13549	GPR68								
Interval_3288	chr18	57630457	57630819	+	0	NA	intron (RP11-35G9.3, intron 1 of 2)	NA	336	RP11-35G9.3								
Interval_58	chr1	19509965	19510151	+	0	NA	Intergenic	NA	-57842	CAPZB								
Interval_295	chr1	100597178	100597325	+	0	NA	Intergenic	NA	49753	RP11-84O12.4								
Interval_4771	chr22	39003223	39003374	+	0	NA	Intergenic	NA	-5078	APOBEC3B-AS1								
Interval_4979	chr3	54443770	54443992	+	0	NA	intron (CACNA2D3, intron 4 of 36)	NA	195976	ESRG								
Interval_3616	chr19	43696269	43696667	+	0	NA	Intergenic	NA	-19597	IRGC								
Interval_3544	chr19	20420588	20420745	+	0	NA	intron (ZNF826P, intron 1 of 2)	NA	4299	ZNF826P								
Interval_4554	chr20	53611549	53611745	+	0	NA	Intergenic	NA	-2860	ZNF217								
Interval_2650	chr16	34581256	34581314	+	0	NA	Intergenic	NA	149293	LOC102724523								
Interval_6391	chr6	47335556	47335862	+	0	NA	Intergenic	NA	-25762	TNFRSF21								
Interval_5299	chr3	188917225	188917403	+	0	NA	Intergenic	NA	155941	LOC102724756								
Interval_4223	chr2	198277594	198277675	+	0	NA	Intergenic	NA	97463	AC005235.1								
Interval_27	chr1	10209533	10209987	+	0	NA	promoter-TSS (KIF1B)	NA	-946	KIF1B								
Interval_5911	chr5	80126413	80126590	+	0	NA	intron (SERINC5, intron 11 of 12)	NA	-42836	CTD-2201I18.1								
Interval_3294	chr18	58213323	58213926	+	0	NA	intron (NEDD4L, intron 1 of 28)	NA	-41897	NEDD4L								
Interval_3166	chr17_KI270729v1_random	5829	5928	+	0	NA	NA	NA	NA	NA								
Interval_5398	chr4	20642082	20642419	+	0	NA	Intergenic	NA	-58183	PACRGL								
Interval_4741	chr22	29178939	29179158	+	0	NA	Intergenic	NA	4239	LOC102724925								
Interval_4019	chr2	109255580	109255902	+	0	NA	intron (SH3RF3, intron 1 of 9)	NA	16786	LOC102724819								
Interval_6243	chr6	12290075	12290421	+	0	NA	promoter-TSS (EDN1)	NA	-48	EDN1								
