chr	start	end	interval_id	num_peaks	num_samples	DFAM71927V3_1_745_R1.bool	MV411_4_321_R1.bool	DFAM71927V3_1_745_R1.fc	MV411_4_321_R1.fc	DFAM71927V3_1_745_R1.qval	MV411_4_321_R1.qval	DFAM71927V3_1_745_R1.pval	MV411_4_321_R1.pval	DFAM71927V3_1_745_R1.start	MV411_4_321_R1.start	DFAM71927V3_1_745_R1.end	MV411_4_321_R1.end	DFAM71927V3_1_745_R1.summit	MV411_4_321_R1.summit
chr1	8120931	8121557	Interval_16	1	1	FALSE	TRUE	NA	10.23943	NA	20.49155	NA	24.66822	NA	8120931	NA	8121557	NA	288
chr1	8137995	8138155	Interval_17	1	1	FALSE	TRUE	NA	6.37178	NA	7.38483	NA	11.0681	NA	8137995	NA	8138155	NA	67
chr1	8404601	8404771	Interval_18	1	1	FALSE	TRUE	NA	6.07147	NA	6.22893	NA	9.84565	NA	8404601	NA	8404771	NA	72
chr1	8419239	8419391	Interval_19	1	1	FALSE	TRUE	NA	5.41861	NA	4.93666	NA	8.46034	NA	8419239	NA	8419391	NA	68
chr1	8525957	8526160	Interval_20	1	1	FALSE	TRUE	NA	6.719	NA	8.69577	NA	12.44476	NA	8525957	NA	8526160	NA	91
chr1	8877806	8878042	Interval_21	1	1	FALSE	TRUE	NA	10.50206	NA	18.16235	NA	22.26574	NA	8877806	NA	8878042	NA	118
chr1	8973929	8974360	Interval_22	1	1	FALSE	TRUE	NA	31.6584	NA	92.54073	NA	97.74913	NA	8973929	NA	8974360	NA	203
chr1	9135478	9135701	Interval_23	1	1	FALSE	TRUE	NA	5.41441	NA	5.22747	NA	8.77784	NA	9135478	NA	9135701	NA	108
chr1	9227493	9227553	Interval_24	1	1	TRUE	FALSE	11.86624	NA	16.98157	NA	22.41412	NA	9227493	NA	9227553	NA	34	NA
chr1	9685949	9686135	Interval_25	1	1	FALSE	TRUE	NA	6.88314	NA	8.1837	NA	11.90785	NA	9685949	NA	9686135	NA	55
chr1	9784614	9784926	Interval_26	1	1	FALSE	TRUE	NA	18.92661	NA	54.55622	NA	59.33597	NA	9784614	NA	9784926	NA	136
chr1	10209532	10209987	Interval_27	1	1	FALSE	TRUE	NA	13.75492	NA	28.35328	NA	32.71466	NA	10209532	NA	10209987	NA	237
chr1	10388040	10388386	Interval_28	1	1	FALSE	TRUE	NA	18.67582	NA	54.89902	NA	59.68831	NA	10388040	NA	10388386	NA	195
chr1	10515698	10515857	Interval_29	1	1	FALSE	TRUE	NA	5.15791	NA	4.54191	NA	8.03962	NA	10515698	NA	10515857	NA	81
chr1	10937542	10937597	Interval_30	1	1	TRUE	FALSE	5.36341	NA	3.77407	NA	8.45494	NA	10937542	NA	10937597	NA	31	NA
chr1	11153892	11154118	Interval_31	2	2	TRUE	TRUE	6.14817	7.01197	4.9463	9.16549	9.76377	12.93825	11153991	11153892	11154039	11154118	12	136
chr1	11908093	11908532	Interval_32	1	1	FALSE	TRUE	NA	8.63859	NA	12.62991	NA	16.54951	NA	11908093	NA	11908532	NA	140
chr1	11909734	11909903	Interval_33	1	1	FALSE	TRUE	NA	4.25418	NA	2.70511	NA	6.02659	NA	11909734	NA	11909903	NA	135
chr1	11983542	11983765	Interval_34	1	1	FALSE	TRUE	NA	6.82629	NA	9.67075	NA	13.47211	NA	11983542	NA	11983765	NA	42
chr1	12161859	12162119	Interval_35	1	1	FALSE	TRUE	NA	7.55639	NA	14.05042	NA	18.03028	NA	12161859	NA	12162119	NA	128
chr1	12376786	12377054	Interval_36	1	1	FALSE	TRUE	NA	11.946	NA	26.51269	NA	30.83514	NA	12376786	NA	12377054	NA	125
chr1	12604495	12604675	Interval_37	1	1	FALSE	TRUE	NA	5.56998	NA	6.45485	NA	10.08279	NA	12604495	NA	12604675	NA	106
chr1	12745998	12746266	Interval_38	1	1	FALSE	TRUE	NA	8.56954	NA	12.51794	NA	16.43487	NA	12745998	NA	12746266	NA	103
chr1	13593675	13593847	Interval_39	1	1	FALSE	TRUE	NA	3.55752	NA	2.52272	NA	5.80684	NA	13593675	NA	13593847	NA	27
chr1	14181394	14181470	Interval_40	1	1	TRUE	FALSE	7.71697	NA	7.60852	NA	12.63759	NA	14181394	NA	14181470	NA	29	NA
chr1	14543582	14543758	Interval_41	1	1	FALSE	TRUE	NA	6.12272	NA	6.30504	NA	9.92839	NA	14543582	NA	14543758	NA	92
chr1	14733093	14733307	Interval_42	1	1	FALSE	TRUE	NA	5.11972	NA	5.07883	NA	8.61641	NA	14733093	NA	14733307	NA	155
chr1	15261492	15261707	Interval_43	1	1	FALSE	TRUE	NA	5.59733	NA	7.54512	NA	11.23798	NA	15261492	NA	15261707	NA	121
chr1	15526222	15526513	Interval_44	1	1	FALSE	TRUE	NA	8.70374	NA	17.17812	NA	21.26063	NA	15526222	NA	15526513	NA	175
chr1	15617140	15617292	Interval_45	1	1	FALSE	TRUE	NA	4.6209	NA	3.23472	NA	6.60781	NA	15617140	NA	15617292	NA	17
chr1	15618101	15618527	Interval_46	1	1	FALSE	TRUE	NA	8.11612	NA	16.0754	NA	20.1218	NA	15618101	NA	15618527	NA	228
chr1	15836836	15837051	Interval_47	1	1	FALSE	TRUE	NA	6.25224	NA	6.83477	NA	10.4967	NA	15836836	NA	15837051	NA	44
chr1	15960176	15960366	Interval_48	1	1	FALSE	TRUE	NA	4.09577	NA	2.70511	NA	6.02328	NA	15960176	NA	15960366	NA	94
chr1	16158124	16158299	Interval_49	2	2	TRUE	TRUE	5.35677	7.59783	3.7464	10.94935	8.42522	14.80387	16158124	16158143	16158172	16158299	19	56
chr1	16612614	16612851	Interval_50	1	1	FALSE	TRUE	NA	9.20605	NA	31.33999	NA	35.75787	NA	16612614	NA	16612851	NA	107
chr1	16888922	16889152	Interval_51	1	1	FALSE	TRUE	NA	3.79469	NA	3.14475	NA	6.50969	NA	16888922	NA	16889152	NA	138
chr1	17562489	17562707	Interval_52	1	1	FALSE	TRUE	NA	9.58676	NA	15.61259	NA	19.6393	NA	17562489	NA	17562707	NA	126
chr1	17640590	17640865	Interval_53	1	1	FALSE	TRUE	NA	9.12533	NA	16.90571	NA	20.97254	NA	17640590	NA	17640865	NA	137
chr1	18491167	18491331	Interval_54	1	1	FALSE	TRUE	NA	4.47786	NA	4.32343	NA	7.80018	NA	18491167	NA	18491331	NA	79
chr1	18502869	18502917	Interval_55	1	1	TRUE	FALSE	6.27526	NA	5.43177	NA	10.30844	NA	18502869	NA	18502917	NA	38	NA
chr1	18952204	18952407	Interval_56	1	1	FALSE	TRUE	NA	5.18975	NA	4.88813	NA	8.40816	NA	18952204	NA	18952407	NA	107
chr1	19263148	19263298	Interval_57	1	1	FALSE	TRUE	NA	5.00179	NA	4.03673	NA	7.48862	NA	19263148	NA	19263298	NA	20
chr1	19509964	19510151	Interval_58	1	1	FALSE	TRUE	NA	6.93883	NA	8.27081	NA	11.99883	NA	19509964	NA	19510151	NA	74
chr1	19580017	19580289	Interval_59	1	1	FALSE	TRUE	NA	6.42153	NA	8.59691	NA	12.34346	NA	19580017	NA	19580289	NA	75
chr1	20038044	20038273	Interval_60	1	1	FALSE	TRUE	NA	10.92206	NA	22.85616	NA	27.09542	NA	20038044	NA	20038273	NA	116
chr1	20058304	20058803	Interval_61	1	1	FALSE	TRUE	NA	11.63005	NA	44.55862	NA	49.20387	NA	20058304	NA	20058803	NA	355
chr1	20102867	20103293	Interval_62	1	1	FALSE	TRUE	NA	31.40092	NA	111.25605	NA	116.65561	NA	20102867	NA	20103293	NA	180
chr1	20446705	20446858	Interval_63	1	1	FALSE	TRUE	NA	4.85091	NA	3.80621	NA	7.24749	NA	20446705	NA	20446858	NA	36
chr1	20522341	20522577	Interval_64	1	1	FALSE	TRUE	NA	7.85023	NA	12.71864	NA	16.6473	NA	20522341	NA	20522577	NA	134
chr1	20589909	20590122	Interval_65	1	1	FALSE	TRUE	NA	5.05006	NA	4.67079	NA	8.17662	NA	20589909	NA	20590122	NA	73
chr1	20950758	20950912	Interval_66	1	1	FALSE	TRUE	NA	4.198	NA	3.58538	NA	7.00181	NA	20950758	NA	20950912	NA	86
chr1	21233567	21233773	Interval_67	1	1	FALSE	TRUE	NA	4.43709	NA	3.45992	NA	6.85689	NA	21233567	NA	21233773	NA	118
chr1	21288009	21288181	Interval_68	1	1	FALSE	TRUE	NA	7.9195	NA	11.03219	NA	14.88998	NA	21288009	NA	21288181	NA	108
chr1	21294465	21294700	Interval_69	1	1	FALSE	TRUE	NA	6.67652	NA	9.82848	NA	13.63425	NA	21294465	NA	21294700	NA	91
chr1	21384679	21384968	Interval_70	1	1	FALSE	TRUE	NA	12.31423	NA	22.25071	NA	26.47083	NA	21384679	NA	21384968	NA	140
chr1	21696982	21697163	Interval_71	1	1	FALSE	TRUE	NA	6.25224	NA	6.83477	NA	10.4967	NA	21696982	NA	21697163	NA	74
chr1	21768137	21768518	Interval_72	1	1	FALSE	TRUE	NA	5.46103	NA	5.93495	NA	9.53842	NA	21768137	NA	21768518	NA	131
chr1	21783422	21783567	Interval_73	1	1	FALSE	TRUE	NA	3.3584	NA	1.63444	NA	4.77826	NA	21783422	NA	21783567	NA	72
chr1	21936488	21936662	Interval_74	1	1	FALSE	TRUE	NA	5.23465	NA	5.2582	NA	8.81127	NA	21936488	NA	21936662	NA	69
chr1	22024827	22025192	Interval_75	1	1	FALSE	TRUE	NA	9.89812	NA	19.33188	NA	23.47567	NA	22024827	NA	22025192	NA	149
chr1	22606006	22606263	Interval_76	1	1	FALSE	TRUE	NA	7.32851	NA	10.93982	NA	14.7934	NA	22606006	NA	22606263	NA	138
chr1	22717030	22717236	Interval_77	1	1	FALSE	TRUE	NA	8.72441	NA	15.17975	NA	19.19858	NA	22717030	NA	22717236	NA	89
chr1	23013552	23013801	Interval_78	1	1	FALSE	TRUE	NA	6.16637	NA	10.90362	NA	14.756	NA	23013552	NA	23013801	NA	120
chr1	23100303	23100476	Interval_79	1	1	FALSE	TRUE	NA	5.43401	NA	5.2582	NA	8.80996	NA	23100303	NA	23100476	NA	69
chr1	23343436	23343758	Interval_80	1	1	FALSE	TRUE	NA	9.21549	NA	17.06047	NA	21.13503	NA	23343436	NA	23343758	NA	214
chr1	23378215	23378625	Interval_81	1	1	FALSE	TRUE	NA	19.23741	NA	45.48725	NA	50.14645	NA	23378215	NA	23378625	NA	151
chr1	23400361	23400543	Interval_82	1	1	FALSE	TRUE	NA	5.6594	NA	5.6055	NA	9.17787	NA	23400361	NA	23400543	NA	62
chr1	23528263	23528421	Interval_83	1	1	FALSE	TRUE	NA	6.15649	NA	6.70514	NA	10.34037	NA	23528263	NA	23528421	NA	80
chr1	23559554	23560253	Interval_84	2	2	TRUE	TRUE	10.06347	20.86328	12.09572	54.71813	17.34612	59.5001	23559994	23559554	23560194	23560253	85	543
chr1	23726861	23727008	Interval_85	1	1	FALSE	TRUE	NA	6.18789	NA	7.09405	NA	10.76349	NA	23726861	NA	23727008	NA	92
chr1	23728109	23728392	Interval_86	1	1	FALSE	TRUE	NA	9.54089	NA	15.03296	NA	19.04281	NA	23728109	NA	23728392	NA	148
chr1	23772132	23772377	Interval_87	1	1	FALSE	TRUE	NA	6.99666	NA	12.09857	NA	16.00152	NA	23772132	NA	23772377	NA	125
chr1	23790543	23790696	Interval_88	1	1	FALSE	TRUE	NA	3.86743	NA	1.97784	NA	5.1796	NA	23790543	NA	23790696	NA	55
chr1	23896626	23896798	Interval_89	1	1	TRUE	FALSE	6.70898	NA	5.51121	NA	10.40552	NA	23896626	NA	23896798	NA	74	NA
chr1	24174039	24174488	Interval_90	1	1	FALSE	TRUE	NA	25.41686	NA	65.93921	NA	70.86501	NA	24174039	NA	24174488	NA	294
chr1	24191350	24191548	Interval_91	1	1	FALSE	TRUE	NA	7.83626	NA	15.05507	NA	19.06847	NA	24191350	NA	24191548	NA	74
chr1	24635370	24635535	Interval_92	1	1	FALSE	TRUE	NA	6.91087	NA	8.22842	NA	11.95317	NA	24635370	NA	24635535	NA	92
chr1	24848058	24848240	Interval_93	1	1	FALSE	TRUE	NA	5.59255	NA	5.19481	NA	8.73989	NA	24848058	NA	24848240	NA	71
chr1	24863783	24864018	Interval_94	1	1	FALSE	TRUE	NA	11.19465	NA	28.22307	NA	32.58254	NA	24863783	NA	24864018	NA	126
chr1	25204987	25205242	Interval_95	1	1	FALSE	TRUE	NA	4.03186	NA	3.79713	NA	7.23815	NA	25204987	NA	25205242	NA	85
chr1	25259982	25260127	Interval_96	1	1	FALSE	TRUE	NA	4.97155	NA	3.73752	NA	7.16107	NA	25259982	NA	25260127	NA	24
chr1	25624786	25625080	Interval_97	1	1	FALSE	TRUE	NA	7.62312	NA	10.55681	NA	14.39578	NA	25624786	NA	25625080	NA	76
chr1	25699047	25699441	Interval_98	1	1	FALSE	TRUE	NA	23.01672	NA	58.40444	NA	63.23767	NA	25699047	NA	25699441	NA	189
chr1	25730870	25731078	Interval_99	1	1	FALSE	TRUE	NA	8.14106	NA	11.3844	NA	15.25748	NA	25730870	NA	25731078	NA	93
chr1	25774742	25775061	Interval_100	1	1	TRUE	FALSE	14.46196	NA	21.85984	NA	27.47042	NA	25774742	NA	25775061	NA	132	NA
chr1	26081659	26081870	Interval_101	1	1	FALSE	TRUE	NA	7.85023	NA	12.71864	NA	16.6473	NA	26081659	NA	26081870	NA	109
chr1	26306992	26307226	Interval_102	1	1	FALSE	TRUE	NA	9.62141	NA	15.15892	NA	19.17707	NA	26306992	NA	26307226	NA	112
chr1	26363970	26364115	Interval_103	1	1	FALSE	TRUE	NA	6.12164	NA	6.9889	NA	10.65331	NA	26363970	NA	26364115	NA	46
chr1	26607306	26607465	Interval_104	1	1	FALSE	TRUE	NA	6.72132	NA	7.92559	NA	11.64305	NA	26607306	NA	26607465	NA	64
chr1	26864267	26864528	Interval_105	1	1	FALSE	TRUE	NA	10.05533	NA	17.96345	NA	22.06235	NA	26864267	NA	26864528	NA	118
chr1	27046011	27046266	Interval_106	1	1	FALSE	TRUE	NA	14.3352	NA	35.47285	NA	39.97389	NA	27046011	NA	27046266	NA	123
chr1	27097473	27097768	Interval_107	1	1	FALSE	TRUE	NA	12.09402	NA	22.48045	NA	26.70349	NA	27097473	NA	27097768	NA	156
chr1	27772846	27773140	Interval_108	1	1	FALSE	TRUE	NA	9.58676	NA	15.61259	NA	19.6393	NA	27772846	NA	27773140	NA	135
chr1	27773872	27774064	Interval_109	1	1	FALSE	TRUE	NA	5.61704	NA	5.53889	NA	9.1089	NA	27773872	NA	27774064	NA	86
chr1	27887200	27887478	Interval_110	1	1	FALSE	TRUE	NA	7.1676	NA	10.66514	NA	14.51077	NA	27887200	NA	27887478	NA	143
chr1	27904638	27904902	Interval_111	1	1	FALSE	TRUE	NA	13.0103	NA	25.20389	NA	29.49517	NA	27904638	NA	27904902	NA	130
chr1	28112694	28112924	Interval_112	1	1	FALSE	TRUE	NA	5.40232	NA	6.51247	NA	10.14383	NA	28112694	NA	28112924	NA	109
chr1	28190664	28190874	Interval_113	1	1	FALSE	TRUE	NA	4.43709	NA	3.45992	NA	6.85689	NA	28190664	NA	28190874	NA	126
chr1	28249200	28249476	Interval_114	1	1	FALSE	TRUE	NA	6.41947	NA	7.46033	NA	11.14684	NA	28249200	NA	28249476	NA	151
chr1	28295276	28295437	Interval_115	1	1	FALSE	TRUE	NA	5.80234	NA	6.82714	NA	10.48636	NA	28295276	NA	28295437	NA	72
chr1	28378524	28378675	Interval_116	1	1	FALSE	TRUE	NA	5.20412	NA	4.33118	NA	7.81109	NA	28378524	NA	28378675	NA	116
chr1	28428058	28428234	Interval_117	1	1	FALSE	TRUE	NA	5.87547	NA	5.61984	NA	9.19353	NA	28428058	NA	28428234	NA	111
chr1	28590163	28590392	Interval_118	1	1	FALSE	TRUE	NA	4.98053	NA	6.73452	NA	10.38229	NA	28590163	NA	28590392	NA	85
chr1	28648778	28649144	Interval_119	1	1	FALSE	TRUE	NA	7.29732	NA	8.81955	NA	12.58327	NA	28648778	NA	28649144	NA	139
chr1	28744308	28744571	Interval_120	1	1	FALSE	TRUE	NA	11.19833	NA	22.16096	NA	26.3774	NA	28744308	NA	28744571	NA	118
chr1	29238882	29239162	Interval_121	1	1	FALSE	TRUE	NA	6.07147	NA	6.22893	NA	9.84565	NA	29238882	NA	29239162	NA	76
chr1	30740476	30740700	Interval_122	1	1	FALSE	TRUE	NA	6.96138	NA	9.08167	NA	12.85338	NA	30740476	NA	30740700	NA	93
chr1	30868968	30869355	Interval_123	1	1	FALSE	TRUE	NA	22.60758	NA	72.57087	NA	77.57027	NA	30868968	NA	30869355	NA	199
chr1	31263532	31263749	Interval_124	1	1	FALSE	TRUE	NA	10.94598	NA	18.33695	NA	22.45371	NA	31263532	NA	31263749	NA	82
chr1	31594012	31594273	Interval_125	1	1	FALSE	TRUE	NA	9.37912	NA	20.58352	NA	24.76167	NA	31594012	NA	31594273	NA	107
chr1	31937852	31937900	Interval_126	1	1	TRUE	FALSE	6.8083	NA	5.81493	NA	10.72801	NA	31937852	NA	31937900	NA	18	NA
chr1	32068962	32069299	Interval_127	1	1	FALSE	TRUE	NA	7.55639	NA	14.05042	NA	18.03028	NA	32068962	NA	32069299	NA	131
chr1	32572132	32572185	Interval_128	1	1	TRUE	FALSE	5.11284	NA	23.67262	NA	29.34301	NA	32572132	NA	32572185	NA	25	NA
chr1	32981209	32981427	Interval_129	1	1	FALSE	TRUE	NA	11.6023	NA	22.84851	NA	27.08298	NA	32981209	NA	32981427	NA	115
chr1	32985217	32985391	Interval_130	1	1	FALSE	TRUE	NA	4.68934	NA	3.83194	NA	7.27495	NA	32985217	NA	32985391	NA	53
chr1	33088568	33088818	Interval_131	1	1	FALSE	TRUE	NA	6.99666	NA	12.09857	NA	16.00152	NA	33088568	NA	33088818	NA	134
chr1	33339266	33339414	Interval_132	1	1	FALSE	TRUE	NA	4.26903	NA	4.49481	NA	7.99083	NA	33339266	NA	33339414	NA	84
chr1	33461140	33461350	Interval_133	1	1	FALSE	TRUE	NA	6.42153	NA	8.59691	NA	12.34346	NA	33461140	NA	33461350	NA	81
chr1	34924953	34925098	Interval_134	1	1	FALSE	TRUE	NA	5.7803	NA	6.11461	NA	9.72241	NA	34924953	NA	34925098	NA	74
chr1	35079704	35079903	Interval_135	1	1	FALSE	TRUE	NA	8.02434	NA	11.6448	NA	15.52456	NA	35079704	NA	35079903	NA	64
chr1	35894307	35894573	Interval_136	1	1	FALSE	TRUE	NA	13.61009	NA	32.10199	NA	36.53784	NA	35894307	NA	35894573	NA	124
chr1	36450748	36450893	Interval_137	1	1	FALSE	TRUE	NA	4.7784	NA	4.25206	NA	7.72196	NA	36450748	NA	36450893	NA	92
chr1	36599870	36600047	Interval_138	1	1	FALSE	TRUE	NA	6.82629	NA	9.67075	NA	13.47211	NA	36599870	NA	36600047	NA	92
chr1	37450109	37450269	Interval_139	1	1	FALSE	TRUE	NA	5.31746	NA	6.70539	NA	10.34443	NA	37450109	NA	37450269	NA	97
chr1	37628205	37628384	Interval_140	1	1	FALSE	TRUE	NA	4.11548	NA	4.72799	NA	8.24406	NA	37628205	NA	37628384	NA	66
chr1	37723974	37724138	Interval_141	1	1	FALSE	TRUE	NA	4.75773	NA	5.08211	NA	8.62432	NA	37723974	NA	37724138	NA	69
chr1	37851006	37851200	Interval_142	1	1	FALSE	TRUE	NA	5.4076	NA	5.85932	NA	9.44671	NA	37851006	NA	37851200	NA	92
chr1	37875958	37876177	Interval_143	1	1	FALSE	TRUE	NA	12.1671	NA	27.54515	NA	31.88602	NA	37875958	NA	37876177	NA	102
chr1	39043540	39043738	Interval_144	1	1	FALSE	TRUE	NA	11.29898	NA	19.45847	NA	23.60372	NA	39043540	NA	39043738	NA	94
chr1	39102673	39103276	Interval_145	1	1	FALSE	TRUE	NA	12.83894	NA	26.17135	NA	30.48376	NA	39102673	NA	39103276	NA	461
chr1	39107061	39107328	Interval_146	1	1	FALSE	TRUE	NA	6.71679	NA	11.14464	NA	15.01215	NA	39107061	NA	39107328	NA	152
chr1	39842936	39843217	Interval_147	1	1	FALSE	TRUE	NA	4.6917	NA	3.58134	NA	6.99212	NA	39842936	NA	39843217	NA	170
chr1	39890395	39890678	Interval_148	1	1	FALSE	TRUE	NA	10.23943	NA	20.49155	NA	24.66822	NA	39890395	NA	39890678	NA	141
chr1	40344564	40345161	Interval_149	1	1	FALSE	TRUE	NA	34.26046	NA	103.03571	NA	108.35565	NA	40344564	NA	40345161	NA	275
chr1	40385719	40385884	Interval_150	1	1	FALSE	TRUE	NA	5.41861	NA	4.93666	NA	8.46034	NA	40385719	NA	40385884	NA	98
chr1	40390096	40390450	Interval_151	1	1	FALSE	TRUE	NA	21.86684	NA	54.77351	NA	59.55911	NA	40390096	NA	40390450	NA	206
chr1	40397282	40397473	Interval_152	1	1	FALSE	TRUE	NA	6.55821	NA	7.31723	NA	10.99455	NA	40397282	NA	40397473	NA	49
chr1	40526042	40526091	Interval_153	1	1	TRUE	FALSE	8.03883	NA	8.35038	NA	13.40616	NA	40526042	NA	40526091	NA	25	NA
chr1	40531710	40531972	Interval_154	1	1	FALSE	TRUE	NA	5.24804	NA	4.39044	NA	7.881	NA	40531710	NA	40531972	NA	126
chr1	40640572	40640670	Interval_155	1	1	TRUE	FALSE	5.29132	NA	3.4903	NA	8.14582	NA	40640572	NA	40640670	NA	88	NA
chr1	41333409	41333764	Interval_156	1	1	FALSE	TRUE	NA	4.5062	NA	5.21923	NA	8.76648	NA	41333409	NA	41333764	NA	213
chr1	41752082	41752293	Interval_157	1	1	FALSE	TRUE	NA	8.21211	NA	12.85986	NA	16.79618	NA	41752082	NA	41752293	NA	123
chr1	42709138	42709189	Interval_158	1	1	TRUE	FALSE	8.2695	NA	11.20895	NA	16.41082	NA	42709138	NA	42709189	NA	30	NA
chr1	43368427	43368860	Interval_159	1	1	FALSE	TRUE	NA	18.95043	NA	48.93924	NA	53.64803	NA	43368427	NA	43368860	NA	167
chr1	43772437	43772761	Interval_160	1	1	FALSE	TRUE	NA	6.15706	NA	9.30519	NA	13.08685	NA	43772437	NA	43772761	NA	192
chr1	43813988	43814135	Interval_161	1	1	FALSE	TRUE	NA	5.03759	NA	5.87853	NA	9.47283	NA	43813988	NA	43814135	NA	83
chr1	43833065	43833264	Interval_162	1	1	FALSE	TRUE	NA	4.79665	NA	3.73752	NA	7.16058	NA	43833065	NA	43833264	NA	102
chr1	43834693	43834924	Interval_163	1	1	FALSE	TRUE	NA	3.49816	NA	2.82609	NA	6.15269	NA	43834693	NA	43834924	NA	127
chr1	43836706	43836926	Interval_164	1	1	FALSE	TRUE	NA	4.198	NA	3.58538	NA	7.00181	NA	43836706	NA	43836926	NA	102
chr1	43853202	43853471	Interval_165	1	1	FALSE	TRUE	NA	9.27816	NA	14.60737	NA	18.6037	NA	43853202	NA	43853471	NA	131
chr1	44485644	44485925	Interval_166	1	1	FALSE	TRUE	NA	5.75418	NA	5.43485	NA	8.99915	NA	44485644	NA	44485925	NA	92
chr1	44672389	44672545	Interval_167	1	1	FALSE	TRUE	NA	5.11972	NA	5.07883	NA	8.61641	NA	44672389	NA	44672545	NA	128
chr1	44698233	44698518	Interval_168	1	1	FALSE	TRUE	NA	16.56078	NA	44.66331	NA	49.30996	NA	44698233	NA	44698518	NA	157
chr1	44721525	44721993	Interval_169	1	1	FALSE	TRUE	NA	8.21047	NA	12.39668	NA	16.31084	NA	44721525	NA	44721993	NA	115
chr1	44730789	44731185	Interval_170	1	1	FALSE	TRUE	NA	8.02646	NA	13.02084	NA	16.95925	NA	44730789	NA	44731185	NA	171
chr1	44819442	44819706	Interval_171	1	1	FALSE	TRUE	NA	5.80115	NA	6.14462	NA	9.75684	NA	44819442	NA	44819706	NA	138
chr1	44860533	44860707	Interval_172	1	1	FALSE	TRUE	NA	6.85563	NA	8.13942	NA	11.86288	NA	44860533	NA	44860707	NA	54
chr1	44986690	44986835	Interval_173	1	1	FALSE	TRUE	NA	4.37337	NA	2.66532	NA	5.97078	NA	44986690	NA	44986835	NA	97
chr1	45409435	45409705	Interval_174	1	1	FALSE	TRUE	NA	12.50447	NA	24.36289	NA	28.63542	NA	45409435	NA	45409705	NA	135
chr1	45543728	45544108	Interval_175	1	1	FALSE	TRUE	NA	12.96994	NA	30.28545	NA	34.68473	NA	45543728	NA	45544108	NA	194
chr1	46581991	46582160	Interval_176	1	1	FALSE	TRUE	NA	6.32479	NA	7.31505	NA	10.99042	NA	46581991	NA	46582160	NA	52
chr1	48219214	48219263	Interval_177	1	1	TRUE	FALSE	11.47812	NA	14.79974	NA	20.15057	NA	48219214	NA	48219263	NA	25	NA
chr1	48470400	48470720	Interval_178	1	1	FALSE	TRUE	NA	8.12161	NA	12.24692	NA	16.16002	NA	48470400	NA	48470720	NA	138
chr1	48617300	48617599	Interval_179	1	1	FALSE	TRUE	NA	4.93858	NA	7.62485	NA	11.31938	NA	48617300	NA	48617599	NA	157
chr1	49203088	49203136	Interval_180	1	1	TRUE	FALSE	7.17173	NA	7.13566	NA	12.14968	NA	49203088	NA	49203136	NA	27	NA
