PeakID (cmd=annotatePeaks.pl JUND.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1683	chr2	90395898	90396127	+	0	NA	Intergenic	NA	36509	LOC101060017								
Interval_681	chr12	48716794	48717098	+	0	NA	promoter-TSS (CCNT1)	NA	52	CCNT1								
Interval_982	chr15	74553050	74553231	+	0	NA	intron (ARID3B, intron 2 of 8)	NA	11963	ARID3B								
Interval_3277	chr8	139894634	139894850	+	0	NA	intron (TRAPPC9, intron 20 of 22)	NA	-191686	KCNK9								
Interval_961	chr15	64246864	64247098	+	0	NA	intron (CSNK1G1, intron 4 of 11)	NA	-83826	PPIB								
Interval_3401	chrM	9037	9651	+	0	NA	promoter-TSS (TRNG)	NA	-647	TRNG								
Interval_1277	chr17	82217726	82217934	+	0	NA	Intergenic	NA	-5017	CCDC57								
Interval_2786	chr6	144095630	144095814	+	0	NA	promoter-TSS (SF3B5)	NA	-105	SF3B5								
Interval_3248	chr8	127441172	127441522	+	0	NA	Intergenic	NA	-20004	LOC101930033								
Interval_2441	chr5	18625356	18625537	+	0	NA	Intergenic	NA	818140	RP11-454P21.1								
Interval_2831	chr7	6175684	6175927	+	0	NA	intron (CYTH3, intron 5 of 12)	NA	70833	USP42								
Interval_3419	chrUn_KI270330v1	1269	1593	+	0	NA	NA	NA	NA	NA								
Interval_2932	chr7	99562949	99563220	+	0	NA	intron (ZNF655, intron 4 of 5)	NA	4383	ZNF655								
Interval_3055	chr8	37793265	37793480	+	0	NA	Intergenic	NA	-3511	GPR124								
Interval_3102	chr8	60911810	60911983	+	0	NA	Intergenic	NA	11723	LOC101929576								
Interval_2759	chr6	119120077	119120283	+	0	NA	intron (FAM184A, intron 1 of 16)	NA	29013	FAM184A								
Interval_3023	chr8	23761588	23761895	+	0	NA	Intergenic	NA	-34782	LOC101929258								
Interval_1036	chr16	21358611	21358790	+	0	NA	intron (SNX29P1, intron 2 of 5)	NA	9337	SNX29P1								
Interval_3145	chr8	86036819	86037037	+	0	NA	Intergenic	NA	32694	PSKH2								
Interval_3094	chr8	58397167	58397462	+	0	NA	Intergenic	NA	-14047	UBXN2B								
Interval_3395	chrM	5010	5167	+	0	NA	promoter-TSS (TRNQ)	NA	-424	TRNW								
Interval_729	chr12	94305578	94305922	+	0	NA	TTS (CCDC41)	NA	154232	CCDC41								
Interval_1001	chr15	93250327	93250620	+	0	NA	Intergenic	NA	44401	UNQ9370								
Interval_2927	chr7	92633385	92633578	+	0	NA	intron (CDK6, intron 5 of 7)	NA	-43087	FAM133B								
Interval_356	chr10	60666304	60666550	+	0	NA	intron (ANK3, intron 1 of 43)	NA	-111904	CDK1								
Interval_960	chr15	64093906	64094209	+	0	NA	promoter-TSS (SNX1)	NA	-49	FAM96A								
Interval_2333	chr4	71338986	71339237	+	0	NA	promoter-TSS (SLC4A4)	NA	105858	SLC4A4								
Interval_3119	chr8	74146851	74147232	+	0	NA	Intergenic	NA	-120607	LOC101926965								
Interval_1308	chr18	23231354	23231739	+	0	NA	intron (CABLES1, intron 4 of 6)	NA	95783	CABLES1								
Interval_3410	chrM	15621	16548	+	0	NA	promoter-TSS (TRNP)	NA	-61	TRNP								
Interval_3196	chr8	114379802	114379975	+	0	NA	Intergenic	NA	-1002735	CSMD3								
Interval_2185	chr3	125633128	125633400	+	0	NA	Intergenic	NA	-37727	OSBPL11								
Interval_247	chr1	211613513	211613694	+	0	NA	Intergenic	NA	-34846	SLC30A1								
Interval_2914	chr7	81846451	81846732	+	0	NA	Intergenic	NA	-76455	HGF								
Interval_1837	chr20	5674198	5674489	+	0	NA	Intergenic	NA	-63347	GPCPD1								
Interval_628	chr12	6138924	6139102	+	0	NA	Intergenic	NA	-14343	VWF								
Interval_1222	chr17	55704481	55704776	+	0	NA	Intergenic	NA	18236	TMEM100								
Interval_425	chr10	110076888	110077150	+	0	NA	promoter-TSS (ADD3)	NA	-68638	ADD3-AS1								
Interval_398	chr10	88901647	88902011	+	0	NA	intron (STAMBPL1, intron 3 of 11)	NA	8641	STAMBPL1								
Interval_2861	chr7	34247613	34247815	+	0	NA	Intergenic	NA	342214	BMPER								
Interval_14	chr1	11806037	11806255	+	0	NA	promoter-TSS (MTHFR)	NA	50	CLCN6								
Interval_3079	chr8	49954639	49954812	+	0	NA	intron (SNTG1, intron 1 of 16)	NA	42946	SNTG1								
Interval_3068	chr8	42155566	42155875	+	0	NA	intron (AP3M2, intron 2 of 8)	NA	1586	AP3M2								
Interval_1484	chr19	29719207	29719380	+	0	NA	Intergenic	NA	-3748	C19orf12								
Interval_1628	chr2	42810418	42810591	+	0	NA	promoter-TSS (TRNAI13)	NA	-32	TRNAI13								
Interval_1714	chr2	135741438	135741728	+	0	NA	promoter-TSS (UBXN4)	NA	-36	UBXN4								
Interval_2896	chr7	69189918	69190019	+	0	NA	Intergenic	NA	407527	LOC100507468								
Interval_725	chr12	92593975	92594183	+	0	NA	Intergenic	NA	-108764	C12orf74								
Interval_692	chr12	57055991	57056164	+	0	NA	exon (TMEM194A, exon 9 of 9)	NA	-5960	MYO1A								
Interval_1453	chr19	11346368	11346557	+	0	NA	promoter-TSS (CCDC159)	NA	-22	CCDC159								
Interval_1119	chr16	82996243	82996441	+	0	NA	intron (CDH13, intron 2 of 12)	NA	-120468	LOC102724182								
Interval_2542	chr5	131536578	131536814	+	0	NA	intron (RAPGEF6, intron 6 of 24)	NA	85673	LOC101927670								
Interval_3270	chr8	133575906	133576137	+	0	NA	Intergenic	NA	-86284	ST3GAL1								
Interval_1192	chr17	35448155	35448328	+	0	NA	intron (SLFN13, intron 1 of 5)	NA	541	SLFN13								
Interval_2151	chr3	98585353	98585542	+	0	NA	exon (CPOX, exon 5 of 7)	NA	8164	CPOX								
Interval_2472	chr5	65035448	65035976	+	0	NA	Intergenic	NA	-124682	LOC101928713								
Interval_1184	chr17	31274461	31274634	+	0	NA	promoter-TSS (LOC101927057)	NA	-861	LOC101927057								
Interval_3278	chr8	140050146	140050342	+	0	NA	intron (TRAPPC9, intron 17 of 22)	NA	-347188	KCNK9								
Interval_442	chr10	119681978	119682328	+	0	NA	Intergenic	NA	30806	BAG3								
Interval_957	chr15	59300436	59300609	+	0	NA	intron (MYO1E, intron 1 of 27)	NA	72350	MYO1E								
Interval_548	chr11	66970882	66971114	+	0	NA	Intergenic	NA	-4285	C11orf86								
Interval_2843	chr7	17564908	17565081	+	0	NA	Intergenic	NA	-6085	AC017060.1								
Interval_1854	chr20	20076451	20076633	+	0	NA	intron (C20orf26, intron 6 of 25)	NA	-20496	CRNKL1								
Interval_973	chr15	70308246	70308535	+	0	NA	Intergenic	NA	-210473	TLE3								
Interval_348	chr10	44725458	44725751	+	0	NA	Intergenic	NA	-185712	TMEM72								
Interval_303	chr1	241647748	241647976	+	0	NA	Intergenic	NA	-4416	WDR64								
Interval_2860	chr7	34143587	34143764	+	0	NA	TTS (BMPER)	NA	238175	BMPER								
Interval_2091	chr3	36679471	36679787	+	0	NA	Intergenic	NA	60232	DCLK3								
Interval_2617	chr6	2733315	2733628	+	0	NA	intron (MYLK4, intron 2 of 7)	NA	31910	MYLK4								
Interval_1803	chr2	223699625	223699845	+	0	NA	Intergenic	NA	-97236	SCG2								
Interval_2742	chr6	104326430	104326718	+	0	NA	TTS (LOC102724443)	NA	12106	LOC102724443								
Interval_1005	chr15	97960371	97960546	+	0	NA	promoter-TSS (ARRDC4)	NA	-245	ARRDC4								
Interval_856	chr14	64654364	64654547	+	0	NA	Intergenic	NA	49795	LOC101927856								
Interval_137	chr1	121407527	121407704	+	0	NA	Intergenic	NA	-9710	SRGAP2-AS1								
Interval_1629	chr2	43130982	43131318	+	0	NA	Intergenic	NA	-28705	LOC100506047								
Interval_363	chr10	63703126	63703367	+	0	NA	Intergenic	NA	72569	LOC101929846								
Interval_2179	chr3	122509217	122509393	+	0	NA	intron (KPNA1, intron 1 of 13)	NA	5634	KPNA1								
Interval_2612	chr6	154451	154625	+	0	NA	Intergenic	NA	-6379	LINC00266-3								
Interval_3152	chr8	90230866	90231447	+	0	NA	intron (LINC00534, intron 1 of 3)	NA	9668	LINC00534								
Interval_2937	chr7	106346745	106346961	+	0	NA	Intergenic	NA	-61121	NAMPT								
Interval_578	chr11	99633016	99633327	+	0	NA	intron (CNTN5, intron 1 of 21)	NA	612195	CNTN5								
Interval_2010	chr22	35377049	35377291	+	0	NA	Intergenic	NA	-3897	HMOX1								
Interval_3226	chr8	124629748	124630105	+	0	NA	intron (MTSS1, intron 3 of 11)	NA	90824	NDUFB9								
Interval_3098	chr8	58842095	58842289	+	0	NA	intron (TOX, intron 4 of 8)	NA	-182347	NSMAF								
Interval_1557	chr19	51822371	51822583	+	0	NA	intron (FPR3, intron 1 of 1)	NA	20834	AC006272.1								
Interval_2960	chr7	139131697	139131871	+	0	NA	Intergenic	NA	-1984	TTC26								
Interval_1017	chr16	9079012	9079190	+	0	NA	Intergenic	NA	-12579	C16orf72								
Interval_2934	chr7	101138548	101138804	+	0	NA	exon (SERPINE1, exon 9 of 9)	NA	11587	SERPINE1								
Interval_757	chr12	120231254	120231513	+	0	NA	intron (PXN, intron 1 of 12)	NA	30092	PXN-AS1								
Interval_3030	chr8	27333233	27333422	+	0	NA	intron (PTK2B, intron 2 of 31)	NA	7825	PTK2B								
Interval_929	chr15	41774213	41774487	+	0	NA	promoter-TSS (MAPKBP1)	NA	-84	MAPKBP1								
Interval_1355	chr18	62715111	62715353	+	0	NA	promoter-TSS (PHLPP1)	NA	-207	PHLPP1								
Interval_2000	chr22	31692254	31692459	+	0	NA	intron (PRR14L, intron 7 of 8)	NA	-29792	PISD								
Interval_1134	chr17	2982989	2983162	+	0	NA	intron (RAP1GAP2, intron 10 of 24)	NA	-16931	LOC101927911								
Interval_1052	chr16	30994441	30994769	+	0	NA	intron (STX1B, intron 7 of 9)	NA	9937	HSD3B7								
Interval_1136	chr17	4969360	4969533	+	0	NA	TTS (MIR6864)	NA	276	MIR6864								
Interval_1427	chr19	6678605	6678936	+	0	NA	intron (C3, intron 38 of 40)	NA	-8345	TNFSF14								
Interval_475	chr11	10581775	10581968	+	0	NA	exon (MRVI1, exon 18 of 20)	NA	-13053	LYVE1								
Interval_1651	chr2	60515913	60516254	+	0	NA	intron (BCL11A, intron 2 of 4)	NA	11612	LOC102724155								
Interval_1807	chr2	227655491	227655749	+	0	NA	Intergenic	NA	-22300	C2orf83								
Interval_254	chr1	217907506	217907822	+	0	NA	intron (LINC00210, intron 1 of 3)	NA	14764	LINC00210								
Interval_2025	chr22	41028901	41029115	+	0	NA	Intergenic	NA	-63294	EP300								
Interval_3308	chr9	20346404	20346696	+	0	NA	exon (MLLT3, exon 11 of 11)	NA	64632	MIR4473								
Interval_2620	chr6	6592243	6592426	+	0	NA	intron (LY86, intron 1 of 4)	NA	3633	LY86								
Interval_1352	chr18	60568311	60568490	+	0	NA	Intergenic	NA	-195632	MC4R								
Interval_819	chr13	100392768	100393100	+	0	NA	intron (PCCA, intron 19 of 22)	NA	88081	PCCA-AS1								
Interval_2550	chr5	137995356	137995679	+	0	NA	intron (FAM13B, intron 7 of 23)	NA	37596	FAM13B								
Interval_2454	chr5	40437635	40437897	+	0	NA	Intergenic	NA	-243185	PTGER4								
Interval_2518	chr5	108382387	108382604	+	0	NA	promoter-TSS (FBXL17)	NA	69	FBXL17								
Interval_2672	chr6	26285456	26285818	+	0	NA	promoter-TSS (HIST1H4H)	NA	-138	HIST1H4H								
Interval_563	chr11	78292896	78293103	+	0	NA	intron (GAB2, intron 1 of 10)	NA	48881	GAB2								
Interval_2956	chr7	130960390	130960760	+	0	NA	intron (LINC-PINT, intron 3 of 3)	NA	47111	LOC100506860								
Interval_2443	chr5	24905181	24905418	+	0	NA	Intergenic	NA	-64716	RP11-730N24.1								
Interval_1151	chr17	13420941	13421206	+	0	NA	Intergenic	NA	122545	MIR548H3								
Interval_2879	chr7	44986717	44986936	+	0	NA	promoter-TSS (SNHG15)	NA	-166	SNHG15								
Interval_181	chr1	159015522	159015764	+	0	NA	intron (IFI16, intron 3 of 12)	NA	5751	IFI16								
Interval_3126	chr8	78199919	78200364	+	0	NA	Intergenic	NA	-315960	PKIA								
Interval_409	chr10	97687372	97687579	+	0	NA	promoter-TSS (AVPI1)	NA	-217	AVPI1								
Interval_520	chr11	60205026	60205237	+	0	NA	Intergenic	NA	4009	MIR6503								
Interval_101	chr1	96362628	96362891	+	0	NA	intron (RP5-898J17.1, intron 1 of 5)	NA	11366	RP5-898J17.1								
Interval_372	chr10	71860506	71860845	+	0	NA	Intergenic	NA	-9350	PSAP								
Interval_2444	chr5	26311087	26311260	+	0	NA	Intergenic	NA	727409	CDH9								
Interval_2159	chr3	105646998	105647369	+	0	NA	Intergenic	NA	221072	CBLB								
Interval_492	chr11	22976287	22976502	+	0	NA	Intergenic	NA	-115968	CCDC179								
Interval_2239	chr3	172061854	172062151	+	0	NA	intron (FNDC3B, intron 1 of 25)	NA	22374	FNDC3B								
Interval_209	chr1	183956686	183956984	+	0	NA	intron (COLGALT2, intron 6 of 11)	NA	80642	COLGALT2								
Interval_713	chr12	86613449	86613672	+	0	NA	intron (MGAT4C, intron 1 of 6)	NA	-357105	MGAT4C								
Interval_2807	chr6	158869824	158870037	+	0	NA	promoter-TSS (C6orf99)	NA	75	C6orf99								
Interval_191	chr1	166511832	166512192	+	0	NA	Intergenic	NA	-91904	FMO9P								
Interval_2357	chr4	89470168	89470440	+	0	NA	Intergenic	NA	-163102	GPRIN3								
Interval_580	chr11	102599684	102599886	+	0	NA	intron (MMP20, intron 6 of 9)	NA	25547	MMP20								
Interval_1549	chr19	51350679	51350970	+	0	NA	intron (ETFB, intron 3 of 5)	NA	4018	ETFB								
Interval_1275	chr17	81560913	81561092	+	0	NA	intron (NPLOC4, intron 16 of 16)	NA	-8599	C17orf70								
Interval_3433	chrUn_KI270467v1	1432	1567	+	0	NA	NA	NA	NA	NA								
Interval_2407	chr4	150489109	150489327	+	0	NA	intron (LRBA, intron 42 of 57)	NA	-92707	MAB21L2								
Interval_525	chr11	62025521	62026019	+	0	NA	Intergenic	NA	-5666	LOC102723745								
Interval_1567	chr19	54747762	54747941	+	0	NA	intron (KIR2DL3, intron 5 of 7)	NA	9342	KIR2DL3								
Interval_3056	chr8	37822346	37822677	+	0	NA	intron (GPR124, intron 2 of 18)	NA	25628	GPR124								
Interval_573	chr11	93054875	93055255	+	0	NA	Intergenic	NA	85442	MTNR1B								
Interval_2345	chr4	78658119	78658362	+	0	NA	intron (LINC01094, intron 2 of 2)	NA	12246	LINC01094								
Interval_265	chr1	223715397	223715588	+	0	NA	intron (CAPN2, intron 1 of 20)	NA	13899	CAPN2								
Interval_1179	chr17	29347972	29348145	+	0	NA	Intergenic	NA	-42604	MIR4523								
Interval_749	chr12	113422128	113422325	+	0	NA	promoter-TSS (SDSL)	NA	-3809	SDSL								
Interval_1145	chr17	8922484	8922852	+	0	NA	intron (PIK3R5, intron 1 of 18)	NA	43044	PIK3R5								
Interval_3362	chr9	114485070	114485257	+	0	NA	intron (DFNB31, intron 1 of 7)	NA	20293	DFNB31								
Interval_1201	chr17	40322709	40322884	+	0	NA	promoter-TSS (RARA)	NA	13625	RARA								
Interval_2469	chr5	61408780	61408999	+	0	NA	intron (ZSWIM6, intron 1 of 13)	NA	-112486	ZSWIM6								
Interval_3274	chr8	137173032	137173226	+	0	NA	Intergenic	NA	-23180	LOC101927892								
Interval_2772	chr6	134373404	134373809	+	0	NA	Intergenic	NA	-25101	LOC102723463								
Interval_2352	chr4	85743319	85743600	+	0	NA	intron (ARHGAP24, intron 4 of 10)	NA	20991	MIR4451								
Interval_647	chr12	20492326	20492528	+	0	NA	intron (PDE3A, intron 1 of 15)	NA	-79437	PDE3A								
Interval_2968	chr7	150367928	150368150	+	0	NA	promoter-TSS (REPIN1)	NA	-927	REPIN1								
Interval_3464	chrY	11563694	11563867	+	0	NA	Intergenic	NA	857810	GYG2P1								
Interval_501	chr11	34371459	34371769	+	0	NA	Intergenic	NA	-13606	ABTB2								
Interval_1365	chr18	66197779	66197997	+	0	NA	Intergenic	NA	374391	CDH19								
Interval_2856	chr7	29285525	29285760	+	0	NA	intron (CHN2, intron 1 of 12)	NA	-76672	LOC102724484								
Interval_2348	chr4	82865794	82865984	+	0	NA	intron (SEC31A, intron 10 of 27)	NA	25372	SEC31A								
Interval_2673	chr6	27134296	27134727	+	0	NA	TTS (HIST1H2AG)	NA	1473	HIST1H2AG								
Interval_2383	chr4	121801147	121801400	+	0	NA	promoter-TSS (EXOSC9)	NA	-44	EXOSC9								
Interval_2018	chr22	39308820	39309128	+	0	NA	Intergenic	NA	4937	SNORD83B								
Interval_2972	chr7	155291195	155291386	+	0	NA	Intergenic	NA	-6486	INSIG1								
Interval_516	chr11	58577563	58577868	+	0	NA	intron (LPXN, intron 1 of 8)	NA	524	LPXN								
Interval_2706	chr6	45697729	45697906	+	0	NA	Intergenic	NA	275243	RUNX2								
Interval_2130	chr3	62109759	62109966	+	0	NA	intron (PTPRG, intron 5 of 29)	NA	209085	PTPRG-AS1								
Interval_2191	chr3	128805829	128806120	+	0	NA	intron (RAB7A, intron 3 of 5)	NA	65567	RP11-723O4.2								
Interval_707	chr12	75934585	75934758	+	0	NA	Intergenic	NA	97105	PHLDA1								
Interval_3	chr1	2290686	2291005	+	0	NA	intron (SKI, intron 1 of 6)	NA	61816	LOC100129534								
Interval_2349	chr4	83256799	83257046	+	0	NA	Intergenic	NA	27881	COQ2								
Interval_1754	chr2	174024128	174024406	+	0	NA	Intergenic	NA	-1019	LOC100128905								
Interval_2762	chr6	127102336	127102534	+	0	NA	Intergenic	NA	-16264	RSPO3								
Interval_995	chr15	89385976	89386243	+	0	NA	intron (LINC00925, intron 2 of 6)	NA	8067	LINC00925								
Interval_1611	chr2	28392706	28392946	+	0	NA	promoter-TSS (FOSL2)	NA	-11	FOSL2								
Interval_3042	chr8	32954360	32954760	+	0	NA	Intergenic	NA	406350	NRG1								
Interval_391	chr10	84139248	84139508	+	0	NA	promoter-TSS (GHITM)	NA	-51	GHITM								
Interval_489	chr11	19712584	19712795	+	0	NA	promoter-TSS (NAV2)	NA	1983	LOC100126784								
Interval_914	chr14_KI270725v1_random	169897	170136	+	0	NA	NA	NA	NA	NA								
Interval_1284	chr17_KI270729v1_random	54640	54712	+	0	NA	NA	NA	NA	NA								
Interval_1702	chr2	111698917	111699248	+	0	NA	Intergenic	NA	72052	MIR4771-2								
Interval_3015	chr8	21858462	21858641	+	0	NA	Intergenic	NA	-43654	GFRA2								
Interval_1938	chr21	19999839	20000106	+	0	NA	Intergenic	NA	803136	LINC00320								
Interval_3261	chr8	131816477	131816911	+	0	NA	Intergenic	NA	-87415	EFR3A								
Interval_2234	chr3	162235949	162236122	+	0	NA	Intergenic	NA	806434	OTOL1								
Interval_2893	chr7	64999606	64999675	+	0	NA	intron (ERV3-1, intron 1 of 1)	NA	7106	ERV3-1								
Interval_2567	chr5	142800231	142800404	+	0	NA	intron (ARHGAP26, intron 1 of 22)	NA	29299	ARHGAP26								
Interval_1494	chr19	38544100	38544310	+	0	NA	intron (RYR1, intron 86 of 104)	NA	73830	MAP4K1								
Interval_2722	chr6	66391810	66391983	+	0	NA	Intergenic	NA	604017	SLC25A51P1								
Interval_324	chr10	23643387	23643750	+	0	NA	Intergenic	NA	-51178	KIAA1217								
Interval_1324	chr18	45291996	45292290	+	0	NA	intron (SLC14A2, intron 1 of 20)	NA	-112230	LOC101927961								
Interval_2510	chr5	97838296	97838557	+	0	NA	Intergenic	NA	333730	LOC102546227								
Interval_385	chr10	76103345	76103537	+	0	NA	intron (C10orf11, intron 4 of 5)	NA	550983	MIR606								
Interval_2141	chr3	72270064	72270335	+	0	NA	Intergenic	NA	118942	LINC00870								
Interval_948	chr15	52558291	52558545	+	0	NA	intron (ARPP19, intron 2 of 3)	NA	10598	ARPP19								
Interval_1976	chr21	44968136	44968371	+	0	NA	intron (FAM207A, intron 4 of 4)	NA	25833	LINC00163								
Interval_1302	chr18	11500572	11500787	+	0	NA	intron (RP11-712C7.1, intron 1 of 2)	NA	10605	RP11-712C7.1								
Interval_2978	chr7	157490383	157491041	+	0	NA	intron (AC006372.4, intron 2 of 3)	NA	24481	AC006372.4								
Interval_2174	chr3	119352242	119352516	+	0	NA	intron (ARHGAP31, intron 1 of 11)	NA	58006	ARHGAP31								
Interval_3388	chr9	136386184	136386403	+	0	NA	intron (SNAPC4, intron 13 of 23)	NA	-2631	SNAPC4								
Interval_469	chr11	9060849	9060938	+	0	NA	intron (SCUBE2, intron 7 of 19)	NA	29486	MIR5691								
Interval_1451	chr19	11279927	11280167	+	0	NA	Intergenic	NA	-16092	TSPAN16								
Interval_1169	chr17	26768126	26768316	+	0	NA	Intergenic	NA	525775	MIR4522								
Interval_2379	chr4	119209113	119209363	+	0	NA	intron (LOC101929762, intron 1 of 2)	NA	3406	LOC101929762								
Interval_1847	chr20	15310474	15310679	+	0	NA	intron (MACROD2, intron 2 of 13)	NA	-381058	MACROD2-AS1								
Interval_2422	chr4	186839555	186839793	+	0	NA	Intergenic	NA	-115819	FAT1								
Interval_2258	chr3	189898632	189899054	+	0	NA	Intergenic	NA	68921	MIR944								
Interval_123	chr1	111789761	111789952	+	0	NA	intron (KCND3, intron 2 of 6)	NA	34288	DDX20								
Interval_188	chr1	162854470	162854672	+	0	NA	exon (C1orf110, exon 4 of 4)	NA	14113	C1orf110								
Interval_2790	chr6	146620706	146620879	+	0	NA	intron (ADGB, intron 1 of 35)	NA	21792	ADGB								
Interval_606	chr11	119550337	119550585	+	0	NA	Intergenic	NA	-126925	THY1								
Interval_983	chr15	75043120	75043309	+	0	NA	intron (PPCDC, intron 2 of 3)	NA	19622	PPCDC								
Interval_51	chr1	36464359	36464544	+	0	NA	promoter-TSS (MRPS15)	NA	-12	MRPS15								
Interval_1387	chr18	77054668	77055160	+	0	NA	intron (MBP, intron 2 of 6)	NA	77904	MBP								
Interval_1580	chr2	8061359	8061532	+	0	NA	intron (LINC00299, intron 7 of 8)	NA	-84631	LINC00298								
Interval_50	chr1	36386557	36386852	+	0	NA	promoter-TSS (STK40)	NA	-777	STK40								
Interval_1021	chr16	11311731	11311971	+	0	NA	Intergenic	NA	-5339	MIR548H2								
Interval_1949	chr21	28992902	28993128	+	0	NA	promoter-TSS (LTN1)	NA	-62	LTN1								
Interval_1689	chr2	96665242	96665428	+	0	NA	intron (FER1L5, intron 14 of 52)	NA	22570	FER1L5								
Interval_482	chr11	13216527	13216724	+	0	NA	Intergenic	NA	-61153	ARNTL								
Interval_307	chr1	248211219	248211392	+	0	NA	Intergenic	NA	8237	OR2M3								
Interval_441	chr10	119658379	119658610	+	0	NA	intron (BAG3, intron 1 of 3)	NA	7147	BAG3								
Interval_2374	chr4	113823256	113823587	+	0	NA	Intergenic	NA	-61676	CAMK2D								
Interval_16	chr1	12528529	12528785	+	0	NA	Intergenic	NA	21411	SNORA59A								
Interval_1475	chr19	18969620	18969859	+	0	NA	Intergenic	NA	23539	LOC102724360								
Interval_1204	chr17	41689297	41689528	+	0	NA	intron (EIF1, intron 1 of 3)	NA	537	EIF1								
Interval_857	chr14	64915797	64916032	+	0	NA	intron (CHURC1, intron 1 of 2)	NA	1553	CHURC1								
Interval_1578	chr2	676850	677023	+	0	NA	intron (TMEM18, intron 1 of 4)	NA	503	TMEM18								
Interval_2523	chr5	111997859	111998231	+	0	NA	intron (NREP-AS1, intron 3 of 3)	NA	85537	NREP-AS1								
Interval_2929	chr7	94057030	94057283	+	0	NA	Intergenic	NA	-4300	LOC102723946								
Interval_974	chr15	70463096	70463434	+	0	NA	Intergenic	NA	123341	LOC101929151								
Interval_1088	chr16	49952486	49952659	+	0	NA	Intergenic	NA	-72634	CNEP1R1								
Interval_2328	chr4	61468418	61468596	+	0	NA	Intergenic	NA	-424153	LPHN3								
Interval_1144	chr17	8248009	8248182	+	0	NA	promoter-TSS (CTC1)	NA	-16	CTC1								
