chr	TargetGene	TargetGeneTSS	geneIsExpressed	geneFailed	nEnhancersConsidered	nDistalEnhancersPredicted
chr1	ANKRD65	1356824	False	False	105	11.0
chr1	ANP32E	150208504	True	False	172	9.0
chr1	ANXA9	150954498	False	False	178	11.0
chr1	AP4B1	114447746	True	False	119	13.0
chr1	AP4B1-AS1	114399256	False	False	120	10.0
chr1	APCS	159557615	False	False	169	6.0
chr1	APH1A	150241609	True	False	174	4.0
chr1	APITD1-CORT	10490158	True	False	138	8.0
chr1	APOA2	161193418	False	False	128	9.0
chr1	APOBEC4	183622448	False	False	91	10.0
chr1	AQP10	154293591	False	False	209	6.0
chr1	ARF1	228270360	True	False	111	13.0
chr1	ARHGAP29	94703307	False	False	56	13.0
chr1	ARHGAP30	161039760	True	False	136	6.0
chr1	ARHGEF10L	17866329	True	False	118	13.0
chr1	ARHGEF11	157015162	True	False	191	7.0
chr1	ARHGEF16	3371146	False	False	133	11.0
chr1	ARHGEF19	16539166	True	False	130	12.0
chr1	ARHGEF2	155948336	True	False	194	7.0
chr1	ARID1A	27022521	True	False	201	6.0
chr1	ARID4B	235491532	True	False	78	9.0
chr1	ARL8A	202113871	True	False	123	10.0
chr1	ARNT	150849244	True	False	179	10.0
chr1	ARPC5	183605076	True	False	92	9.0
chr1	ARTN	44398991	True	False	144	11.0
chr1	ARV1	231114794	True	False	123	9.0
chr1	ASAP3	23810750	False	False	215	9.0
chr1	ASB17	76398116	False	False	26	14.0
chr1	ASCL5	201084500	False	False	97	14.0
chr1	ASH1L	155532324	True	False	201	8.0
chr1	ASH1L-AS1	155531771	True	False	201	8.0
chr1	ASPM	197115824	True	False	54	12.0
chr1	ASTN1	177134040	False	False	76	16.0
chr1	ATAD3A	1447522	True	False	107	13.0
chr1	ATAD3B	1407134	True	False	107	7.0
chr1	ATAD3C	1385068	False	False	106	8.0
chr1	ATF3	212781969	True	False	81	14.0
chr1	ATF6	161736033	True	False	111	7.0
chr1	ATG4C	63249776	True	False	49	16.0
chr1	ATP13A2	17338467	True	False	124	12.0
chr1	ATP1A1	116915794	True	False	89	18.0
chr1	ATP1A1-AS1	116961197	True	False	89	16.0
chr1	ATP1A2	160085519	False	False	153	5.0
chr1	ATP1A4	160121351	False	False	153	7.0
chr1	ATP1B1	169075946	False	False	75	15.0
chr1	ATP2B4	203595914	True	False	129	12.0
chr1	ATP5F1	111991742	True	False	126	12.0
chr1	ATP6V0B	44440319	True	False	143	12.0
chr1	ATP6V1G3	198510075	False	False	72	13.0
chr1	ATP8B2	154300275	False	False	209	6.0
chr1	ATPAF1	47134099	True	False	108	12.0
chr1	ATPIF1	28562601	True	False	221	6.0
chr1	ATXN7L2	110026560	True	False	112	6.0
chr1	AUNIP	26185949	True	False	198	9.0
chr1	AURKAIP1	1310818	True	False	105	8.0
chr1	AURKAPS1	220441057	False	False	67	14.0
chr1	AVPR1B	206224282	False	False	123	8.0
chr1	AXDND1	179334854	False	False	86	15.0
chr1	AZIN2	33547778	True	False	137	9.0
chr1	B3GALNT2	235667781	True	False	78	13.0
chr1	B3GALT2	193155743	False	False	19	8.0
chr1	B3GALT6	1167628	True	False	100	10.0
chr1	B4GALT2	44444873	True	False	143	12.0
chr1	B4GALT3	161147758	True	False	129	9.0
chr1	BARHL2	91182794	False	False	68	12.0
chr1	BATF3	212873327	True	False	78	14.0
chr1	BCAN	156611739	False	False	197	10.0
chr1	BCAR3	94147394	False	False	62	13.0
chr1	BCAS2	115124265	True	False	104	10.0
chr1	BCL10	85742587	True	False	52	17.0
chr1	BCL2L15	114430169	False	False	119	12.0
chr1	BCL9	147013270	False	False	118	8.0
chr1	BECN2	242121068	False	False	57	15.0
chr1	BEND5	49242641	False	False	92	15.0
chr1	BEST4	45253426	False	False	127	10.0
chr1	BGLAP	156211752	True	False	196	5.0
chr1	BLACAT1	205425214	True	False	130	9.0
chr1	BLZF1	169337116	True	False	78	15.0
chr1	BMP8A	39957317	False	False	161	5.0
chr1	BMP8B	40254533	True	False	159	7.0
chr1	BNIPL	151009028	False	False	175	5.0
chr1	BOLA1	149871134	True	False	155	3.0
chr1	BPNT1	220263195	True	False	67	13.0
chr1	BRDT	92414927	False	False	65	12.0
chr1	BRINP2	177140523	False	False	76	15.0
chr1	BRINP3	190447012	False	False	30	18.0
chr1	BROX	222885894	True	False	90	10.0
chr1	BSDC1	32860062	True	False	148	7.0
chr1	BSND	55464616	False	False	65	18.0
chr1	BTBD19	45274153	True	False	126	9.0
chr1	BTBD8	92545861	False	False	65	11.0
chr1	BTF3L4	52521856	True	False	55	19.0
chr1	BTG2	203274663	True	False	129	6.0
chr1	BTNL10	228699989	True	False	111	13.0
chr1	C1QA	22962998	False	False	197	9.0
chr1	C1QB	22979473	False	False	197	8.0
chr1	C1QC	22970109	False	False	197	9.0
chr1	C1QTNF12	1182102	False	False	100	14.0
chr1	C1orf100	244515936	False	False	70	9.0
chr1	C1orf105	172389827	False	False	62	14.0
chr1	C1orf106	200860626	True	False	96	9.0
chr1	C1orf109	38156267	True	False	138	10.0
chr1	C1orf112	169764139	True	False	73	14.0
chr1	C1orf115	220863627	False	False	69	7.0
chr1	C1orf116	207206101	False	False	121	7.0
chr1	C1orf122	38273472	True	False	137	9.0
chr1	C1orf123	53686311	True	False	57	16.0
chr1	C1orf127	11042094	False	False	147	7.0
chr1	C1orf131	231376933	True	False	121	7.0
chr1	C1orf132	207996048	False	False	125	7.0
chr1	C1orf137	117236733	True	False	88	11.0
chr1	C1orf140	221509638	False	False	80	12.0
chr1	C1orf141	67600654	False	False	50	13.0
chr1	C1orf145	228401365	True	False	113	8.0
chr1	C1orf146	92683572	False	False	65	12.0
chr1	C1orf158	12806133	False	False	152	7.0
chr1	C1orf159	1051736	True	False	99	12.0
chr1	C1orf162	112016490	True	False	128	13.0
chr1	C1orf167	11822249	True	False	145	9.0
chr1	C1orf168	57285369	False	False	58	15.0
chr1	C1orf174	3816857	True	False	139	8.0
chr1	C1orf185	51567905	False	False	68	14.0
chr1	C1orf186	206288647	False	False	124	7.0
chr1	C1orf189	154178841	False	False	209	5.0
chr1	C1orf194	109656479	False	False	108	14.0
chr1	C1orf195	15498120	False	False	127	5.0
chr1	C1orf198	231004302	True	False	126	8.0
chr1	C1orf204	159825137	True	False	168	5.0
chr1	C1orf21	184356149	False	False	84	10.0
chr1	C1orf210	43751250	False	False	153	9.0
chr1	C1orf216	36184790	True	False	154	10.0
chr1	C1orf220	178511930	False	False	80	16.0
chr1	C1orf226	162351519	False	False	107	10.0
chr1	C1orf228	45140393	True	False	128	11.0
chr1	C1orf229	247275719	False	False	59	15.0
chr1	C1orf234	23342343	True	False	205	3.0
chr1	C1orf27	186344889	False	False	59	11.0
chr1	C1orf35	228291163	True	False	112	13.0
chr1	C1orf43	154193273	True	False	209	4.0
chr1	C1orf50	43232915	True	False	151	10.0
chr1	C1orf52	85725355	True	False	52	14.0
chr1	C1orf53	197871681	True	False	58	11.0
chr1	C1orf54	150245182	True	False	175	6.0
chr1	C1orf56	151020215	False	False	175	10.0
chr1	C1orf61	156399340	True	False	196	6.0
chr1	C1orf64	16330730	True	False	129	10.0
chr1	C1orf68	152691997	False	False	207	5.0
chr1	C1orf74	209958075	True	False	110	11.0
chr1	C1orf87	60539442	False	False	42	14.0
chr1	C1orf94	34632483	False	False	138	7.0
chr1	C2CD4D	151813033	False	False	204	4.0
chr1	C4BPA	207277606	False	False	122	5.0
chr1	C4BPB	207262583	False	False	122	7.0
chr1	C8A	57320442	False	False	58	12.0
chr1	C8B	57431813	False	False	56	13.0
chr1	CA14	150230137	False	False	174	4.0
chr1	CA6	9005892	False	False	130	10.0
chr1	CACHD1	64936475	False	False	44	15.0
chr1	CACNA1E	181452685	False	False	94	12.0
chr1	CACNA1S	201081694	False	False	97	14.0
chr1	CACYBP	174968891	True	False	62	9.0
chr1	CADM3	159141353	False	False	175	5.0
chr1	CADM3-AS1	159172212	False	False	174	5.0
chr1	CALML6	1846265	False	False	117	11.0
chr1	CAMK1G	209757044	False	False	111	5.0
chr1	CAMK2N1	20812728	False	False	164	5.0
chr1	CAMSAP2	200708685	False	False	94	5.0
chr1	CAMTA1	6845383	True	False	151	4.0
chr1	CAP1	40506254	True	False	161	11.0
chr1	CAPN2	223900118	True	False	108	11.0
chr1	CAPN8	223853436	False	False	107	2.0
chr1	CAPN9	230883129	False	False	125	9.0
chr1	CAPZA1	113162074	True	False	131	8.0
chr1	CAPZB	19812135	True	False	152	8.0
chr1	CASP9	15850940	True	False	132	5.0
chr1	CASQ1	160160284	False	False	151	8.0
chr1	CASQ2	116311426	False	False	97	12.0
chr1	CASZ1	10856733	False	False	146	7.0
chr1	CATSPER4	26517118	False	False	199	9.0
chr1	CATSPERE	244624672	False	False	70	10.0
chr1	CC2D1B	52831877	True	False	58	19.0
chr1	CCDC163	45965751	True	False	117	11.0
chr1	CCDC17	46089731	False	False	115	9.0
chr1	CCDC18	93646272	True	False	65	15.0
chr1	CCDC18-AS1	93811368	True	False	64	14.0
chr1	CCDC181	169396712	False	False	78	14.0
chr1	CCDC185	223566714	False	False	102	10.0
chr1	CCDC190	162838605	False	False	109	10.0
chr1	CCDC24	44457267	True	False	143	11.0
chr1	CCDC27	3668964	False	False	138	6.0
chr1	CCDC28B	32665986	True	False	145	3.0
chr1	CCDC30	43000559	False	False	152	8.0
chr1	CCNL2	1334718	True	False	105	10.0
chr1	CCSAP	229478688	True	False	103	12.0
chr1	CCT3	156308206	True	False	197	8.0
chr1	CD101	117544371	True	False	83	13.0
chr1	CD160	145715639	False	False	80	18.0
chr1	CD164L2	27709823	False	False	211	6.0
chr1	CD1A	158223926	False	False	198	2.0
chr1	CD1B	158301321	False	False	198	2.0
chr1	CD1C	158259562	False	False	198	3.0
chr1	CD1D	158149736	True	False	198	2.0
chr1	CD1E	158323485	False	False	198	2.0
chr1	CD2	117297051	False	False	88	11.0
chr1	CD244	160832692	True	False	143	9.0
chr1	CD247	167487847	False	False	67	17.0
chr1	CD34	208084683	False	False	122	8.0
chr1	CD46	207925382	True	False	128	7.0
chr1	CD48	160681641	False	False	142	10.0
chr1	CD52	26644410	True	False	204	7.0
chr1	CD53	111415721	True	False	122	9.0
chr1	CD55	207494816	True	False	126	5.0
chr1	CD58	117113715	True	False	88	10.0
chr1	CD5L	157811634	False	False	198	3.0
chr1	CD84	160549306	False	False	142	8.0
chr1	CDA	20915443	True	False	162	8.0
chr1	CDC14A	100818022	True	False	34	14.0
chr1	CDC20	43824625	True	False	152	6.0
chr1	CDC42	22379119	True	False	182	10.0
chr1	CDC42BPA	227505826	False	False	116	12.0
chr1	CDC42SE1	151032125	True	False	176	10.0
chr1	CDC7	91966403	True	False	66	13.0
chr1	CDC73	193091087	True	False	19	6.0
chr1	CDCA8	38158072	True	False	138	10.0
chr1	CDCP2	54618679	False	False	65	14.0
chr1	CDK11A	1656004	True	False	114	11.0
chr1	CDK11B	1655859	True	False	114	11.0
chr1	CDK18	205473683	True	False	130	9.0
chr1	CDKN2C	51434366	True	False	68	13.0
chr1	CELA2A	15783222	False	False	131	9.0
chr1	CELA2B	15802595	False	False	132	7.0
chr1	CELA3A	22328148	False	False	181	8.0
chr1	CELA3B	22303386	False	False	180	9.0
chr1	CELF3	151689296	False	False	196	5.0
chr1	CELSR2	109792640	True	False	111	6.0
chr1	CENPF	214776531	True	False	73	16.0
chr1	CENPL	173793777	True	False	58	9.0
chr1	CENPS	10490158	True	False	138	8.0
chr1	CEP104	3773797	True	False	139	8.0
chr1	CEP170	243418708	True	False	62	12.0
chr1	CEP350	179923907	True	False	91	9.0
chr1	CEP85	26560643	True	False	202	8.0
chr1	CEPT1	111682784	True	False	125	9.0
chr1	CERS2	150947479	True	False	179	9.0
chr1	CFAP126	161337673	False	False	123	12.0
chr1	CFAP45	159869906	False	False	166	6.0
chr1	CFAP57	43638000	False	False	153	5.0
chr1	CFAP74	1935276	False	False	117	9.0
chr1	CFH	196621007	False	False	48	15.0
chr1	CFHR1	196788860	False	False	49	15.0
chr1	CFHR2	196912897	False	False	52	14.0
chr1	CFHR3	196743929	False	False	49	16.0
chr1	CFHR4	196857143	False	False	51	15.0
chr1	CFHR5	196946666	False	False	52	14.0
chr1	CGN	151483861	False	False	189	4.0
chr1	CHD1L	146714290	True	False	106	8.0
chr1	CHD5	6240194	False	False	169	8.0
chr1	CHI3L1	203155922	True	False	129	12.0
chr1	CHI3L2	111770280	False	False	125	9.0
chr1	CHIA	111833473	False	False	127	12.0
chr1	CHIAP2	111823145	False	False	126	11.0
chr1	CHIT1	203198860	False	False	127	13.0
chr1	CHML	241799232	True	False	53	13.0
chr1	CHRM3	239792372	False	False	70	13.0
chr1	CHRM3-AS1	240063172	False	False	68	15.0
chr1	CHRM3-AS2	239882419	False	False	71	15.0
chr1	CHRNB2	154540256	False	False	208	5.0
chr1	CHTOP	153606457	True	False	205	7.0
chr1	CIART	150254942	True	False	176	6.0
chr1	CITED4	41328018	True	False	159	8.0
chr1	CKS1B	154947117	True	False	211	4.0
chr1	CLCA1	86934525	False	False	60	11.0
chr1	CLCA2	86889565	False	False	60	13.0
chr1	CLCA3P	87099958	True	False	63	15.0
chr1	CLCA4	87012758	False	False	61	14.0
chr1	CLCC1	109506121	True	False	107	11.0
chr1	CLCN6	11866152	True	False	145	6.0
chr1	CLCNKA	16348485	False	False	131	8.0
chr1	CLCNKB	16370230	False	False	131	8.0
chr1	CLDN19	43205925	False	False	151	11.0
chr1	CLIC4	25071759	True	False	200	8.0
chr1	CLK2	155243320	True	False	204	10.0
chr1	CLSPN	36235551	True	False	154	8.0
chr1	CLSTN1	9884584	True	False	129	9.0
chr1	CMPK1	47799468	True	False	107	10.0
chr1	CNIH3	224622596	True	False	115	12.0
chr1	CNIH4	224544512	True	False	113	14.0
chr1	CNKSR1	26503980	False	False	198	8.0
chr1	CNN3	95392779	False	False	57	18.0
chr1	CNR2	24239817	False	False	214	6.0
chr1	CNST	246729638	True	False	63	12.0
chr1	CNTN2	205012251	False	False	130	9.0
chr1	COA6	234509428	True	False	88	11.0
chr1	COA7	53164038	True	False	59	13.0
chr1	COG2	230778201	True	False	125	10.0
chr1	COL11A1	103574052	False	False	37	13.0
chr1	COL16A1	32169768	False	False	155	13.0
chr1	COL24A1	86622121	True	False	57	16.0
chr1	COL8A2	36590685	False	False	152	5.0
chr1	COL9A2	40782939	True	False	164	5.0
chr1	COLGALT2	184006904	True	False	89	13.0
chr1	COPA	160313354	True	False	140	7.0
chr1	COQ8A	227127937	True	False	118	10.0
chr1	CORT	10509775	False	False	138	8.0
chr1	COX20	244998777	True	False	70	7.0
chr1	CPT2	53662100	True	False	57	15.0
chr1	CPTP	1260142	True	False	104	7.0
chr1	CR1	207669472	False	False	128	7.0
chr1	CR1L	207818457	False	False	128	6.0
chr1	CR2	207627644	False	False	128	6.0
chr1	CRABP2	156675459	False	False	197	9.0
chr1	CRB1	197237333	False	False	56	12.0
chr1	CRCT1	152486977	False	False	207	5.0
chr1	CREB3L4	153940314	True	False	206	4.0
chr1	CREG1	167523056	True	False	66	15.0
chr1	CRNN	152386750	False	False	205	4.0
chr1	CROCC	17248444	True	False	124	13.0
chr1	CROCCP2	16957401	True	False	127	13.0
chr1	CROCCP3	16819196	False	False	127	10.0
chr1	CRP	159684379	False	False	169	7.0
chr1	CRTC2	153931132	True	False	206	7.0
chr1	CRYZ	75199092	True	False	31	15.0
chr1	CSDE1	115300671	True	False	105	15.0
chr1	CSF1	110453232	False	False	116	6.0
chr1	CSF3R	36948915	True	False	152	9.0
chr1	CSMD2	34631443	False	False	138	7.0
chr1	CSMD2-AS1	34334556	True	False	134	10.0
chr1	CSRP1	201476387	True	False	105	8.0
chr1	CTBS	85040163	True	False	54	14.0
chr1	CTH	70876900	True	False	36	16.0
chr1	CTNNBIP1	9970316	True	False	131	6.0
chr1	CTPS1	41444970	True	False	162	9.0
chr1	CTRC	15764937	False	False	131	7.0
chr1	CTSE	206317458	False	False	124	10.0
chr1	CTSK	150780917	True	False	181	12.0
chr1	CTSS	150738433	True	False	180	10.0
chr1	CTTNBP2NL	112938799	False	False	132	7.0
chr1	CYB561D1	110036700	True	False	112	6.0
chr1	CYB5R1	202936404	True	False	127	9.0
chr1	CYB5RL	54665746	True	False	65	14.0
chr1	CYCSP52	157098153	False	False	193	7.0
chr1	CYMP	111023387	False	False	119	9.0
chr1	CYMP-AS1	111032880	True	False	119	8.0
chr1	CYP2J2	60392470	False	False	41	14.0
chr1	CYP4A11	47407156	False	False	108	7.0
chr1	CYP4A22	47603096	False	False	107	8.0
chr1	CYP4B1	47264669	False	False	108	8.0
chr1	CYP4X1	47489239	False	False	106	6.0
chr1	CYP4Z1	47533159	False	False	106	6.0
chr1	CYP4Z2P	47366147	True	False	108	6.0
chr1	CYR61	86046443	True	False	54	15.0
chr1	DAB1	58716211	False	False	53	9.0
chr1	DAB1-AS1	58326214	True	False	51	11.0
chr1	DAP3	155658881	True	False	194	8.0
chr1	DARS2	173793796	True	False	58	9.0
chr1	DBT	100715409	True	False	34	12.0
chr1	DCAF6	167905796	True	False	66	8.0
chr1	DCAF8	160232318	True	False	146	8.0
chr1	DCDC2B	32674694	False	False	145	3.0
chr1	DCLRE1B	114447914	True	False	119	13.0
chr1	DCST1	155006281	False	False	210	6.0
chr1	DCST1-AS1	155023641	True	False	208	9.0
chr1	DCST2	155006257	False	False	210	6.0
chr1	DDAH1	85930889	False	False	53	17.0
chr1	DDI2	15943952	True	False	131	12.0
chr1	DDOST	20988037	True	False	163	7.0
chr1	DDR2	162602227	False	False	107	9.0
chr1	DDX11L1	11873	False	False	95	11.0
chr1	DDX20	112298189	True	False	129	14.0
chr1	DDX59	200639126	True	False	94	4.0
chr1	DEDD	161102478	True	False	134	13.0
chr1	DEGS1	224370909	True	False	112	9.0
chr1	DENND1B	197744623	True	False	58	13.0
chr1	DENND2C	115212732	False	False	105	13.0
chr1	DENND2D	111743325	True	False	125	9.0
chr1	DENND4B	153919154	True	False	206	5.0
chr1	DEPDC1	68962904	True	False	43	14.0
chr1	DEPDC1-AS1	68962358	True	False	43	14.0
chr1	DESI2	244816349	True	False	70	7.0
chr1	DFFA	10532613	True	False	139	10.0
chr1	DFFB	3773830	True	False	139	8.0
chr1	DHCR24	55352921	True	False	65	17.0
chr1	DHDDS	26758772	True	False	204	7.0
chr1	DHRS3	12677737	False	False	155	9.0
chr1	DHX9	182808438	True	False	99	10.0
chr1	DIEXF	210001311	True	False	110	12.0
chr1	DIO1	54359859	False	False	63	12.0
chr1	DIRAS3	68517314	False	False	45	13.0
chr1	DISC1	231762560	True	False	120	8.0
chr1	DISC1-IT1	232061579	False	False	117	11.0
chr1	DISC2	231954263	False	False	118	8.0
chr1	DISP1	222988430	False	False	92	10.0
chr1	DISP3	11539294	False	False	148	10.0
chr1	DLEU2L	64014650	False	False	47	15.0
chr1	DLGAP3	35395186	False	False	154	9.0
chr1	DLSTP1	76210698	False	False	26	11.0
chr1	DMAP1	44679124	True	False	139	9.0
chr1	DMBX1	46972667	False	False	107	11.0
chr1	DMRTA2	50889119	False	False	79	13.0
chr1	DMRTB1	53925071	False	False	61	8.0
chr1	DNAH14	225117355	False	False	115	14.0
chr1	DNAJA1P5	102337567	False	False	32	17.0
chr1	DNAJB4	78444841	True	False	23	12.0
chr1	DNAJC11	6761966	True	False	153	7.0
chr1	DNAJC16	15853307	True	False	132	5.0
chr1	DNAJC6	65730376	False	False	49	14.0
chr1	DNAJC8	28559542	True	False	221	7.0
chr1	DNALI1	38022519	False	False	143	8.0
chr1	DNASE2B	84864214	False	False	51	14.0
chr1	DNM3	171810617	False	False	68	12.0
chr1	DNM3-IT1	171833331	True	False	68	13.0
chr1	DNM3OS	172113975	False	False	62	14.0
chr1	DNTTIP2	94344762	True	False	61	12.0
chr1	DOCK7	63154039	True	False	49	16.0
chr1	DPH2	44435652	True	False	143	10.0
chr1	DPH5	101491362	True	False	32	17.0
chr1	DPM3	155112883	True	False	209	6.0
chr1	DPT	168698442	False	False	70	16.0
chr1	DPYD	98386615	True	False	44	19.0
chr1	DPYD-AS1	97561478	True	False	52	17.0
chr1	DPYD-AS2	98262476	True	False	45	18.0
chr1	DR1	93811477	True	False	64	14.0
chr1	DRAM2	111682838	True	False	125	9.0
chr1	DRAXIN	11751780	False	False	145	12.0
chr1	DRD5P2	148901844	False	False	135	5.0
chr1	DSTYK	205180727	True	False	131	8.0
chr1	DTL	212208894	True	False	82	14.0
chr1	DUSP10	221915518	True	False	84	14.0
chr1	DUSP12	161719557	True	False	113	10.0
chr1	DUSP23	159750735	True	False	169	6.0
chr1	DUSP27	167063326	True	False	69	15.0
chr1	DUSP5P1	228780656	True	False	109	12.0
chr1	DVL1	1284492	True	False	105	11.0
chr1	DYRK3	206808880	False	False	122	13.0
chr1	E2F2	23857712	True	False	215	8.0
chr1	EBNA1BP2	43637986	True	False	153	5.0
chr1	ECE1	21616982	True	False	171	8.0
chr1	ECHDC2	53387446	True	False	59	14.0
chr1	ECM1	150480486	True	False	179	8.0
chr1	EDARADD	236558715	False	False	72	16.0
chr1	EDEM3	184724041	True	False	83	10.0
chr1	EDN2	41950354	False	False	166	9.0
chr1	EFCAB14	47184736	True	False	108	10.0
chr1	EFCAB14-AS1	47139707	False	False	108	12.0
chr1	EFCAB2	245133630	True	False	70	10.0
chr1	EFCAB7	63988971	True	False	47	15.0
chr1	EFHD2	15736390	True	False	131	7.0
chr1	EFNA1	155100348	False	False	209	6.0
chr1	EFNA3	155051347	True	False	209	5.0
chr1	EFNA4	155036212	True	False	209	7.0
chr1	EGLN1	231560790	True	False	121	8.0
chr1	EIF2B3	45452394	True	False	121	12.0
chr1	EIF2D	206785904	True	False	123	13.0
chr1	EIF3I	32687184	True	False	146	3.0
chr1	EIF4G3	21503381	True	False	171	9.0
chr1	ELAVL4	50575287	False	False	83	15.0
chr1	ELF3	201979689	False	False	121	6.0
chr1	ELK4	205602000	True	False	131	6.0
chr1	ELOA	24069855	True	False	211	5.0
chr1	ELOA-AS1	24104787	True	False	211	6.0
chr1	ELOVL1	43833745	True	False	152	4.0
chr1	EMBP1	121260909	False	False	41	10.0
chr1	EMC1	19578053	True	False	147	9.0
chr1	ENAH	225840845	False	False	119	9.0
chr1	ENO1	8939151	True	False	130	7.0
chr1	ENO1-AS1	8938893	True	False	130	7.0
chr1	ENSA	150602098	True	False	180	10.0
chr1	EPB41	29213602	True	False	207	8.0
chr1	EPHA10	38230824	False	False	138	8.0
chr1	EPHA2	16482604	False	False	130	12.0
chr1	EPHA8	22889994	False	False	195	9.0
chr1	EPHB2	23037330	False	False	197	6.0
chr1	EPHX1	226013001	True	False	118	9.0
chr1	EPHX4	92495532	False	False	65	5.0
chr1	EPRS	220220000	True	False	66	14.0
chr1	EPS15	51984995	True	False	60	10.0
chr1	EPS8L3	110306644	False	False	115	6.0
chr1	ERI3	44820951	True	False	135	6.0
chr1	ERI3-IT1	44709955	False	False	139	11.0
chr1	ERICH3	75139422	False	False	31	15.0
chr1	ERICH3-AS1	75055418	False	False	30	15.0
chr1	ERMAP	43291248	True	False	151	10.0
chr1	ERO1B	236445339	False	False	71	16.0
chr1	ERRFI1	8086393	True	False	141	8.0
chr1	ESPN	6484847	True	False	158	10.0
chr1	ESPNP	17046652	True	False	129	9.0
chr1	ESRRG	216896814	False	False	71	19.0
chr1	ETNK2	204121310	False	False	123	13.0
chr1	ETV3	157108177	True	False	193	6.0
chr1	ETV3L	157069600	False	False	191	6.0
