PeakID (cmd=annotatePeaks.pl GSE1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_203	chr12	78636519	78636604	+	0	NA	Intergenic	NA	-409092	SYT1								
Interval_666	chr6	91834077	91834153	+	0	NA	Intergenic	NA	-143687	CASC6								
Interval_615	chr5	49659500	49659576	+	0	NA	Intergenic	NA	781862	EMB								
Interval_116	chr1	240612201	240612295	+	0	NA	promoter-TSS (GREM2)	NA	-80539	GREM2								
Interval_609	chr5	36839583	36839823	+	0	NA	Intergenic	NA	36991	LOC646719								
Interval_368	chr17	77916962	77917062	+	0	NA	Intergenic	NA	-32925	FLJ45079								
Interval_639	chr5	159362337	159362476	+	0	NA	exon (AC008697.1, exon 5 of 5)	NA	30888	AC008697.1								
Interval_844	chrX	129048489	129048578	+	0	NA	Intergenic	NA	79790	LOC101928522								
Interval_736	chr8	30113035	30113348	+	0	NA	intron (LEPROTL1, intron 3 of 3)	NA	17785	LEPROTL1								
Interval_800	chrUn_GL000216v2	14465	14551	+	0	NA	NA	NA	NA	NA								
Interval_102	chr1	193862382	193862459	+	0	NA	Intergenic	NA	405478	LOC102723336								
Interval_205	chr12	89733788	89733864	+	0	NA	Intergenic	NA	24871	LINC00936								
Interval_133	chr10	41880974	41881050	+	0	NA	Intergenic	NA	-361511	LOC101929373								
Interval_63	chr1	125178016	125178101	+	0	NA	Intergenic	NA	3658946	EMBP1								
Interval_329	chr16	58426210	58426436	+	0	NA	Intergenic	NA	33929	GINS3								
Interval_144	chr10	88385885	88386046	+	0	NA	intron (RNLS, intron 4 of 5)	NA	119705	LOC101929727								
Interval_839	chrX	52920976	52921109	+	0	NA	Intergenic	NA	23077	FAM156B								
Interval_692	chr7	30240485	30240650	+	0	NA	Intergenic	NA	-43740	ZNRF2								
Interval_298	chr16	34582194	34582462	+	0	NA	Intergenic	NA	150336	LOC102724523								
Interval_801	chrUn_GL000216v2	26846	26932	+	0	NA	NA	NA	NA	NA								
Interval_211	chr12	98440149	98440226	+	0	NA	Intergenic	NA	16958	SLC9A7P1								
Interval_250	chr14	50061849	50061932	+	0	NA	Intergenic	NA	-22006	RP11-58E21.3								
Interval_25	chr1	122780523	122780612	+	0	NA	Intergenic	NA	1261455	EMBP1								
Interval_776	chr9	43727523	43727599	+	0	NA	Intergenic	NA	599839	LOC102724904								
Interval_486	chr21	8220063	8220155	+	0	NA	Intergenic	NA	22964	LOC102723570								
Interval_756	chr8	108671627	108671730	+	0	NA	Intergenic	NA	98950	LOC102723368								
Interval_727	chr8	3661271	3661574	+	0	NA	intron (CSMD1, intron 7 of 69)	NA	-933054	RP11-134O21.1								
Interval_746	chr8	57463304	57463644	+	0	NA	Intergenic	NA	119687	RP11-756K15.2								
Interval_232	chr13	18212067	18212184	+	0	NA	intron (FAM230C, intron 1 of 7)	NA	16828	FAM230C								
Interval_332	chr16	77723243	77723335	+	0	NA	intron (NUDT7, intron 1 of 2)	NA	797	NUDT7								
Interval_546	chr4	15903016	15903159	+	0	NA	Intergenic	NA	35653	FGFBP1								
Interval_235	chr13	22992552	22992709	+	0	NA	Intergenic	NA	-94449	BASP1P1								
Interval_180	chr11	111530187	111530373	+	0	NA	intron (C11orf88, intron 4 of 6)	NA	-3525	LOC101928666								
Interval_526	chr3	117722998	117723101	+	0	NA	Intergenic	NA	-1418	LOC101926953								
Interval_818	chrUn_KI270438v1	103929	104379	+	0	NA	NA	NA	NA	NA								
Interval_143	chr10	71888981	71889076	+	0	NA	Intergenic	NA	-37703	PSAP								
Interval_310	chr16	46386880	46387115	+	0	NA	Intergenic	NA	182100	ANKRD26P1								
Interval_662	chr6	73520537	73520690	+	0	NA	intron (EEF1A1, intron 1 of 7)	NA	419	EEF1A1								
Interval_580	chr4	79270375	79270453	+	0	NA	intron (LINC01088, intron 4 of 5)	NA	55603	NAA11								
Interval_719	chr7	140390918	140391066	+	0	NA	intron (SLC37A3, intron 1 of 14)	NA	7558	SLC37A3								
Interval_339	chr17	7168056	7168174	+	0	NA	Intergenic	NA	11449	ASGR1								
Interval_184	chr11	123459196	123459272	+	0	NA	intron (GRAMD1B, intron 1 of 18)	NA	28926	GRAMD1B								
Interval_590	chr4	130535540	130535616	+	0	NA	Intergenic	NA	-409986	LOC102724353								
Interval_463	chr2	199078522	199078598	+	0	NA	Intergenic	NA	386548	SATB2								
Interval_84	chr1	143248169	143248247	+	0	NA	Intergenic	NA	58151	LOC101929814								
Interval_156	chr11	2223317	2223395	+	0	NA	Intergenic	NA	47596	ASCL2								
Interval_178	chr11	107928262	107928338	+	0	NA	promoter-TSS (RAB39A)	NA	-251	RAB39A								
Interval_365	chr17	68580287	68580433	+	0	NA	intron (FAM20A, intron 1 of 7)	NA	20594	FAM20A								
Interval_307	chr16	34595167	34595265	+	0	NA	Intergenic	NA	163224	LOC102724523								
Interval_550	chr4	37746992	37747068	+	0	NA	Intergenic	NA	-60653	RELL1								
Interval_695	chr7	58635253	58635329	+	0	NA	Intergenic	NA	-767241	LOC102723842								
Interval_265	chr14	90647541	90647617	+	0	NA	intron (RP11-1078H9.5, intron 4 of 4)	NA	4950	RP11-1078H9.5								
Interval_150	chr10	102912719	102912962	+	0	NA	Intergenic	NA	-5478	CNNM2								
Interval_261	chr14	81401011	81401180	+	0	NA	intron (STON2, intron 2 of 7)	NA	-2515	STON2								
Interval_166	chr11	52707046	52707122	+	0	NA	Intergenic	NA	1896914	OR4C46								
Interval_299	chr16	34582767	34583178	+	0	NA	Intergenic	NA	150980	LOC102724523								
Interval_488	chr21	8233163	8233240	+	0	NA	Intergenic	NA	9872	LOC102723570								
Interval_832	chrUn_KI270467v1	3746	3860	+	0	NA	NA	NA	NA	NA								
Interval_770	chr9	10294	10371	+	0	NA	Intergenic	NA	-1655	DDX11L5								
Interval_726	chr8	653567	653643	+	0	NA	intron (ERICH1, intron 5 of 5)	NA	6635	LOC389607								
Interval_202	chr12	57112149	57112276	+	0	NA	promoter-TSS (STAT6)	NA	-1906	STAT6								
Interval_147	chr10	89333618	89333779	+	0	NA	intron (LOC101926887, intron 3 of 3)	NA	5853	IFIT3								
Interval_708	chr7	101370795	101371025	+	0	NA	intron (COL26A1, intron 1 of 12)	NA	8090	COL26A1								
Interval_588	chr4	115603134	115603215	+	0	NA	Intergenic	NA	-489298	NDST4								
Interval_14	chr1	91628892	91628938	+	0	NA	Intergenic	NA	-61105	LOC102723436								
Interval_122	chr10	28655556	28655632	+	0	NA	Intergenic	NA	-21901	BAMBI								
Interval_582	chr4	83231856	83231950	+	0	NA	Intergenic	NA	51771	COQ2								
Interval_543	chr4	2413165	2413228	+	0	NA	intron (ZFYVE28, intron 1 of 12)	NA	5447	ZFYVE28								
Interval_465	chr2	201642727	201643023	+	0	NA	promoter-TSS (TMEM237)	NA	654	TMEM237								
Interval_124	chr10	31970011	31970124	+	0	NA	Intergenic	NA	-61141	ARHGAP12								
Interval_302	chr16	34585655	34585746	+	0	NA	Intergenic	NA	153708	LOC102724523								
Interval_164	chr11	51586218	51586294	+	0	NA	Intergenic	NA	1177109	LOC646813								
Interval_402	chr19	3142159	3142496	+	0	NA	exon (AC005264.2, exon 4 of 4)	NA	6134	GNA15								
Interval_149	chr10	94826629	94826705	+	0	NA	intron (CYP2C19, intron 6 of 8)	NA	63961	CYP2C19								
Interval_700	chr7	62347493	62347572	+	0	NA	Intergenic	NA	956524	ZNF733P								
Interval_506	chr22_KI270737v1_random	70280	70357	+	0	NA	NA	NA	NA	NA								
Interval_494	chr21	42142711	42142787	+	0	NA	exon (UMODL1, exon 22 of 22)	NA	-34215	C21orf128								
Interval_91	chr1	143267538	143267629	+	0	NA	Intergenic	NA	38776	LOC101929814								
Interval_537	chr3	174331313	174331392	+	0	NA	Intergenic	NA	-196610	LOC101928640								
Interval_515	chr3	52498796	52499082	+	0	NA	intron (STAB1, intron 1 of 68)	NA	3599	STAB1								
Interval_434	chr2	71892630	71892716	+	0	NA	Intergenic	NA	251792	CYP26B1								
Interval_527	chr3	125594297	125594446	+	0	NA	intron (OSBPL11, intron 1 of 12)	NA	1166	OSBPL11								
Interval_831	chrUn_KI270467v1	1934	3524	+	0	NA	NA	NA	NA	NA								
Interval_282	chr15	65101493	65101788	+	0	NA	intron (UBAP1L, intron 3 of 5)	NA	4719	UBAP1L								
Interval_780	chr9	72443548	72443594	+	0	NA	Intergenic	NA	-77163	LOC102724516								
Interval_772	chr9	24456001	24456079	+	0	NA	Intergenic	NA	89636	IZUMO3								
Interval_52	chr1	124383377	124383486	+	0	NA	Intergenic	NA	2864319	EMBP1								
Interval_312	chr16	46387786	46388003	+	0	NA	Intergenic	NA	181203	ANKRD26P1								
Interval_216	chr12	112140843	112140889	+	0	NA	exon (TRAFD1, exon 5 of 12)	NA	15321	TRAFD1								
Interval_39	chr1	123325230	123325326	+	0	NA	Intergenic	NA	1806166	EMBP1								
Interval_715	chr7	128949141	128949321	+	0	NA	exon (IRF5, exon 9 of 9)	NA	11291	IRF5								
Interval_381	chr18	16253222	16253298	+	0	NA	Intergenic	NA	-927341	LOC644669								
Interval_348	chr17	26594854	26594946	+	0	NA	Intergenic	NA	699042	MIR4522								
Interval_805	chrUn_GL000216v2	149498	149576	+	0	NA	NA	NA	NA	NA								
Interval_594	chr4	151407848	151408142	+	0	NA	Intergenic	NA	-1251	FAM160A1								
Interval_234	chr13	22161971	22162229	+	0	NA	Intergenic	NA	-48185	LINC00540								
Interval_490	chr21	27948988	27949064	+	0	NA	Intergenic	NA	-64337	LINC00314								
Interval_661	chr6	47335558	47335748	+	0	NA	Intergenic	NA	-25706	TNFRSF21								
Interval_501	chr22	45919195	45919271	+	0	NA	Intergenic	NA	57895	WNT7B								
Interval_731	chr8	11858663	11858816	+	0	NA	intron (CTSB, intron 1 of 9)	NA	9398	CTSB								
Interval_467	chr2	221486319	221486395	+	0	NA	intron (EPHA4, intron 4 of 17)	NA	85933	EPHA4								
Interval_489	chr21	10325795	10325876	+	0	NA	Intergenic	NA	-87697	BAGE2								
Interval_570	chr4	49657538	49657646	+	0	NA	Intergenic	NA	-168268	LOC101060532								
Interval_100	chr1	166673923	166673999	+	0	NA	Intergenic	NA	70045	FMO9P								
Interval_541	chr3	192893281	192893369	+	0	NA	intron (MB21D2, intron 1 of 1)	NA	24836	MB21D2								
Interval_691	chr7	30226341	30226417	+	0	NA	Intergenic	NA	-57928	ZNRF2								
Interval_617	chr5	49660998	49661119	+	0	NA	Intergenic	NA	780342	EMB								
Interval_499	chr22	42397293	42397624	+	0	NA	intron (NFAM1, intron 4 of 5)	NA	-28212	LOC102723775								
Interval_123	chr10	31693697	31693779	+	0	NA	Intergenic	NA	90783	LOC646034								
Interval_852	chrY	56674484	56674560	+	0	NA	Intergenic	NA	-281721	SPRY3-2								
Interval_40	chr1	123377642	123377725	+	0	NA	Intergenic	NA	1858571	EMBP1								
Interval_275	chr15	33154952	33155264	+	0	NA	intron (FMN1, intron 3 of 4)	NA	-87076	FMN1								
Interval_190	chr12	8127068	8127168	+	0	NA	intron (CLEC4A, intron 2 of 4)	NA	3486	CLEC4A								
Interval_42	chr1	123742314	123742390	+	0	NA	Intergenic	NA	2223240	EMBP1								
Interval_50	chr1	124315105	124315181	+	0	NA	Intergenic	NA	2796031	EMBP1								
Interval_474	chr20	8073466	8073602	+	0	NA	Intergenic	NA	-53788	TMX4								
Interval_771	chr9	17587282	17587408	+	0	NA	intron (SH3GL2, intron 1 of 8)	NA	-66516	SH3GL2								
Interval_341	chr17	21970277	21970353	+	0	NA	Intergenic	NA	-186880	LOC100996792-2								
Interval_471	chr2	235271055	235271273	+	0	NA	Intergenic	NA	-222925	AGAP1								
Interval_632	chr5	134334570	134334646	+	0	NA	intron (CDKL3, intron 3 of 12)	NA	32466	CDKL3								
Interval_604	chr5	1608357	1608458	+	0	NA	intron (LOC728613, intron 2 of 3)	NA	-13876	SDHAP3								
Interval_327	chr16	50442847	50442923	+	0	NA	Intergenic	NA	-73951	BRD7								
Interval_522	chr3	72757079	72757252	+	0	NA	intron (SHQ1, intron 10 of 10)	NA	-65036	LOC101927225								
Interval_99	chr1	164503226	164503302	+	0	NA	Intergenic	NA	-56096	PBX1								
Interval_222	chr12	128807309	128807387	+	0	NA	intron (SLC15A4, intron 5 of 7)	NA	16595	SLC15A4								
Interval_525	chr3	108444589	108444710	+	0	NA	exon (MYH15, exon 23 of 42)	NA	84673	MYH15								
Interval_129	chr10	41860256	41860332	+	0	NA	Intergenic	NA	-382229	LOC101929373								
Interval_517	chr3	55160595	55160832	+	0	NA	Intergenic	NA	-232668	LRTM1								
Interval_33	chr1	122962715	122962820	+	0	NA	Intergenic	NA	1443655	EMBP1								
Interval_614	chr5	49658506	49658728	+	0	NA	Intergenic	NA	782783	EMB								
Interval_353	chr17	26885737	26885824	+	0	NA	Intergenic	NA	408162	MIR4522								
Interval_428	chr2	16964883	16964959	+	0	NA	Intergenic	NA	-299055	FAM49A								
Interval_466	chr2	203598405	203598481	+	0	NA	Intergenic	NA	-63108	RAPH1								
Interval_413	chr19	45791144	45791301	+	0	NA	intron (DMWD, intron 1 of 4)	NA	1580	DMWD								
Interval_192	chr12	10374060	10374216	+	0	NA	intron (RP11-277P12.20, intron 2 of 3)	NA	10369	RP11-277P12.20								
Interval_511	chr3	26800683	26800759	+	0	NA	Intergenic	NA	106037	LRRC3B								
Interval_286	chr15	101035721	101035842	+	0	NA	intron (LRRK1, intron 6 of 19)	NA	116526	LRRK1								
Interval_158	chr11	36574763	36575169	+	0	NA	exon (RAG1, exon 2 of 2)	NA	6953	RAG1								
Interval_108	chr1	212007958	212008109	+	0	NA	intron (INTS7, intron 5 of 19)	NA	-27520	DTL								
Interval_236	chr13	24931244	24931320	+	0	NA	exon (TPTE2P1, exon 5 of 5)	NA	-5388	LOC101928898								
Interval_220	chr12	123532213	123532395	+	0	NA	intron (RILPL1, intron 1 of 7)	NA	1414	RILPL1								
Interval_464	chr2	199230658	199230751	+	0	NA	Intergenic	NA	234404	SATB2								
Interval_370	chr17	82835302	82835394	+	0	NA	intron (ZNF750, intron 1 of 2)	NA	4707	ZNF750								
Interval_411	chr19	41490231	41490309	+	0	NA	intron (PCAT19, intron 2 of 3)	NA	10374	PCAT19								
Interval_635	chr5	140251636	140251764	+	0	NA	intron (PFDN1, intron 3 of 3)	NA	51386	PFDN1								
Interval_72	chr1	143199559	143199641	+	0	NA	Intergenic	NA	106759	LOC101929814								
Interval_505	chr22_KI270733v1_random	175126	175180	+	0	NA	Intergenic	NA	-15052	LOC102724621								
Interval_528	chr3	125822176	125822252	+	0	NA	Intergenic	NA	-31700	MIR548I1								
Interval_516	chr3	53545844	53545941	+	0	NA	intron (CACNA1D, intron 3 of 47)	NA	50843	CACNA1D								
Interval_610	chr5	42671808	42671884	+	0	NA	intron (GHR, intron 3 of 9)	NA	-84972	CCDC152								
Interval_168	chr11	59217072	59217148	+	0	NA	Intergenic	NA	-4089	MPEG1								
Interval_271	chr14_GL000225v1_random	68157	68244	+	0	NA	Intergenic	NA	31911	LOC100287823								
Interval_556	chr4	49103890	49103978	+	0	NA	Intergenic	NA	-58086	LOC101927209								
Interval_767	chr8	140518653	140518771	+	0	NA	Intergenic	NA	6730	CHRAC1								
Interval_712	chr7	120998067	120998156	+	0	NA	intron (CPED1, intron 2 of 22)	NA	8720	CPED1								
Interval_88	chr1	143264626	143264745	+	0	NA	Intergenic	NA	41674	LOC101929814								
Interval_701	chr7	62454711	62454819	+	0	NA	Intergenic	NA	849291	ZNF733P								
Interval_191	chr12	8127356	8127432	+	0	NA	intron (CLEC4A, intron 2 of 4)	NA	3762	CLEC4A								
Interval_690	chr7	30226093	30226169	+	0	NA	Intergenic	NA	-58176	ZNRF2								
Interval_195	chr12	23146344	23146420	+	0	NA	Intergenic	NA	-29266	RP11-153K16.1								
Interval_132	chr10	41879297	41879498	+	0	NA	Intergenic	NA	-363126	LOC101929373								
Interval_533	chr3	151170195	151170271	+	0	NA	intron (MED12L, intron 10 of 42)	NA	32977	GPR171								
Interval_676	chr6	153396542	153396618	+	0	NA	Intergenic	NA	246406	LOC100996290								
Interval_761	chr8	124757455	124757567	+	0	NA	Intergenic	NA	-29038	MTSS1								
Interval_161	chr11	46303108	46303194	+	0	NA	intron (CREB3L1, intron 2 of 11)	NA	25513	CREB3L1								
Interval_19	chr1	104467782	104467975	+	0	NA	Intergenic	NA	394855	LOC100129138								
Interval_360	chr17	44325765	44325846	+	0	NA	promoter-TSS (SLC25A39)	NA	-956	SLC25A39								
Interval_616	chr5	49659821	49659925	+	0	NA	Intergenic	NA	781527	EMB								
Interval_512	chr3	26919850	26919926	+	0	NA	Intergenic	NA	225204	LRRC3B								
Interval_75	chr1	143215944	143216081	+	0	NA	Intergenic	NA	90347	LOC101929814								
Interval_392	chr18	56603282	56603358	+	0	NA	intron (TXNL1, intron 8 of 8)	NA	35369	TXNL1								
Interval_28	chr1	122881034	122881119	+	0	NA	Intergenic	NA	1361964	EMBP1								
Interval_826	chrUn_KI270442v1	92360	92443	+	0	NA	Intergenic	NA	-152903	LOC102724902								
Interval_31	chr1	122943053	122943151	+	0	NA	Intergenic	NA	1423990	EMBP1								
Interval_38	chr1	123297059	123297149	+	0	NA	Intergenic	NA	1777992	EMBP1								
Interval_625	chr5	83410451	83410731	+	0	NA	Intergenic	NA	-61083	VCAN								
Interval_672	chr6	142112585	142112827	+	0	NA	Intergenic	NA	-23907	NMBR								
Interval_254	chr14	63900083	63900242	+	0	NA	intron (SYNE2, intron 1 of 115)	NA	47197	SYNE2								
Interval_304	chr16	34588503	34588587	+	0	NA	Intergenic	NA	156553	LOC102724523								
Interval_589	chr4	130425192	130425268	+	0	NA	Intergenic	NA	-299638	LOC102724353								
Interval_32	chr1	122944674	122944772	+	0	NA	Intergenic	NA	1425611	EMBP1								
Interval_781	chr9	84029111	84029216	+	0	NA	Intergenic	NA	-30187	RP11-158D2.2								
Interval_137	chr10	42079648	42079796	+	0	NA	Intergenic	NA	-162801	LOC101929373								
Interval_542	chr4	1336350	1336407	+	0	NA	TTS (MAEA)	NA	-11178	UVSSA								
Interval_652	chr6	17993573	17993649	+	0	NA	Intergenic	NA	-5993	KIF13A								
Interval_760	chr8	120827666	120827787	+	0	NA	Intergenic	NA	-15657	SNTB1								
Interval_186	chr12	685475	685684	+	0	NA	Intergenic	NA	-4249	LOC101929432								
Interval_169	chr11	60952716	60952762	+	0	NA	promoter-TSS (SLC15A3)	NA	-954	SLC15A3								
Interval_563	chr4	49149619	49149796	+	0	NA	Intergenic	NA	-12313	LOC101927209								
Interval_76	chr1	143218953	143219039	+	0	NA	Intergenic	NA	87363	LOC101929814								
Interval_423	chr1_KI270709v1_random	10367	10496	+	0	NA	NA	NA	NA	NA								
Interval_846	chrY	10999882	10999962	+	0	NA	Intergenic	NA	1089124	TTTY23								
Interval_215	chr12	111006700	111006911	+	0	NA	Intergenic	NA	-27219	CUX2								
Interval_209	chr12	95650710	95650786	+	0	NA	intron (PGAM1P5, intron 1 of 4)	NA	1493	PGAM1P5								
Interval_11	chr1	72366656	72366744	+	0	NA	Intergenic	NA	-84106	NEGR1								
Interval_750	chr8	67968625	67968874	+	0	NA	intron (PREX2, intron 1 of 23)	NA	16381	PREX2								
Interval_785	chr9	99331068	99331144	+	0	NA	Intergenic	NA	44151	NAMA								
Interval_120	chr10	8133283	8133512	+	0	NA	Intergenic	NA	79793	GATA3								
Interval_247	chr14	27459743	27459826	+	0	NA	intron (LOC728755, intron 2 of 2)	NA	-152804	LINC00645								
Interval_57	chr1	124638288	124638368	+	0	NA	Intergenic	NA	3119216	EMBP1								
Interval_374	chr17_KI270729v1_random	23243	23320	+	0	NA	NA	NA	NA	NA								
Interval_577	chr4	51107330	51107428	+	0	NA	Intergenic	NA	-735621	DCUN1D4								
Interval_266	chr14	91229880	91230065	+	0	NA	Intergenic	NA	-11815	LOC102724476								
Interval_668	chr6	122484963	122485185	+	0	NA	intron (PKIB, intron 3 of 7)	NA	-13267	SERINC1								
Interval_272	chr14_GL000225v1_random	85615	85722	+	0	NA	Intergenic	NA	49379	LOC100287823								
Interval_631	chr5	127107485	127107561	+	0	NA	Intergenic	NA	-34031	C5orf63								
Interval_836	chrX	19510614	19510691	+	0	NA	intron (MAP3K15, intron 1 of 28)	NA	4609	MAP3K15								
Interval_579	chr4	76631212	76631288	+	0	NA	intron (SHROOM3, intron 1 of 9)	NA	55689	MIR548AH								
Interval_188	chr12	6570581	6570691	+	0	NA	exon (CHD4, exon 40 of 40)	NA	1202	LOC100127974								
Interval_45	chr1	123859444	123859539	+	0	NA	Intergenic	NA	2340379	EMBP1								
Interval_643	chr5	169416992	169417068	+	0	NA	Intergenic	NA	-116211	SLIT3								
Interval_367	chr17	74682656	74682872	+	0	NA	intron (RAB37, intron 1 of 8)	NA	30236	CD300LF								
Interval_401	chr19	3098973	3099156	+	0	NA	intron (GNA11, intron 1 of 6)	NA	4654	GNA11								
Interval_841	chrX	82858668	82858745	+	0	NA	Intergenic	NA	-649555	POU3F4								
Interval_547	chr4	16196587	16196823	+	0	NA	promoter-TSS (TAPT1)	NA	17093	TAPT1								
Interval_699	chr7	60812864	60812950	+	0	NA	Intergenic	NA	-192162	LOC102724134								
Interval_70	chr1	143193487	143193605	+	0	NA	Intergenic	NA	112813	LOC101929814								
Interval_453	chr2	136135899	136136121	+	0	NA	Intergenic	NA	-17855	CXCR4								
Interval_68	chr1	143190431	143190507	+	0	NA	Intergenic	NA	115890	LOC101929814								
Interval_311	chr16	46387232	46387348	+	0	NA	Intergenic	NA	181807	ANKRD26P1								
Interval_48	chr1	124134652	124134733	+	0	NA	Intergenic	NA	2615580	EMBP1								
Interval_160	chr11	45826667	45826821	+	0	NA	Intergenic	NA	-20374	CRY2								
Interval_829	chrUn_KI270466v1	901	1146	+	0	NA	NA	NA	NA	NA								
Interval_354	chr17	28719263	28719370	+	0	NA	promoter-TSS (RPL23A)	NA	-666	RPL23A								
Interval_807	chrUn_GL000216v2	167834	167934	+	0	NA	NA	NA	NA	NA								
Interval_9	chr1	49938996	49939075	+	0	NA	intron (AGBL4, intron 1 of 13)	NA	84919	AGBL4								
Interval_723	chr7	148628687	148628763	+	0	NA	Intergenic	NA	38160	C7orf33								
Interval_96	chr1	155650328	155650452	+	0	NA	Intergenic	NA	24686	YY1AP1								
Interval_194	chr12	14577501	14577659	+	0	NA	intron (RP11-695J4.2, intron 1 of 5)	NA	9403	RP11-695J4.2								
Interval_277	chr15	38130748	38131064	+	0	NA	Intergenic	NA	90657	RP11-1008C21.1								
Interval_212	chr12	100995234	100995352	+	0	NA	intron (ANO4, intron 7 of 26)	NA	93647	ANO4								
Interval_447	chr2	102582021	102582097	+	0	NA	Intergenic	NA	-37648	SLC9A2								
Interval_646	chr6	2881581	2881704	+	0	NA	Intergenic	NA	-2346	LOC101927730								
Interval_49	chr1	124208172	124208252	+	0	NA	Intergenic	NA	2689100	EMBP1								
Interval_406	chr19	17138555	17138689	+	0	NA	intron (MYO9B, intron 2 of 39)	NA	36979	MYO9B								
Interval_95	chr1	153375611	153375744	+	0	NA	promoter-TSS (S100A12)	NA	-78	S100A12								
Interval_224	chr13	16726441	16726523	+	0	NA	Intergenic	NA	-1468815	FAM230C								
Interval_636	chr5	141903481	141903560	+	0	NA	Intergenic	NA	-6825	LOC729080								
Interval_244	chr13	76882500	76882757	+	0	NA	exon (KCTD12, exon 1 of 1)	NA	3777	KCTD12								
Interval_252	chr14	59310845	59310951	+	0	NA	intron (DAAM1, intron 3 of 24)	NA	122241	DAAM1								
Interval_585	chr4	89829647	89829803	+	0	NA	intron (SNCA, intron 2 of 5)	NA	-6676	RP11-67M1.1								
Interval_792	chr9	134936781	134937064	+	0	NA	Intergenic	NA	-18962	FCN1								
Interval_598	chr4	168790131	168790246	+	0	NA	intron (PALLD, intron 10 of 21)	NA	-53159	LOC101928172								
Interval_608	chr5	33299730	33299925	+	0	NA	Intergenic	NA	-140949	TARS								
Interval_356	chr17	38857777	38857891	+	0	NA	Intergenic	NA	3921	TRNAC30								
Interval_798	chrUn_GL000214v1	65066	65146	+	0	NA	intron (LOC100289026, intron 3 of 5)	NA	6647	LOC100289026								
Interval_754	chr8	101137138	101137452	+	0	NA	Intergenic	NA	68437	ZNF706								
