chr	start	end	interval_id	num_peaks	num_samples	MV411_1_433_R1.bool	MV411_9_716_R1.bool	MV411_1_433_R1.fc	MV411_9_716_R1.fc	MV411_1_433_R1.qval	MV411_9_716_R1.qval	MV411_1_433_R1.pval	MV411_9_716_R1.pval	MV411_1_433_R1.start	MV411_9_716_R1.start	MV411_1_433_R1.end	MV411_9_716_R1.end	MV411_1_433_R1.summit	MV411_9_716_R1.summit	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	124638287	124638368	Interval_57	1	1	FALSE	TRUE	NA	7.60953	NA	7.1976	NA	12.27488	NA	124638287	NA	124638368	NA	55	NA	Intergenic	NA	3119216	EMBP1								
chr1	124652741	124652818	Interval_58	1	1	FALSE	TRUE	NA	7.60953	NA	7.1976	NA	12.27488	NA	124652741	NA	124652818	NA	34	NA	Intergenic	NA	3133668	EMBP1								
chr1	124702862	124702958	Interval_59	1	1	FALSE	TRUE	NA	14.13135	NA	21.16206	NA	26.87619	NA	124702862	NA	124702958	NA	61	NA	Intergenic	NA	3183798	EMBP1								
chr1	125069457	125069534	Interval_60	1	1	FALSE	TRUE	NA	5.1652	NA	2.52135	NA	7.01304	NA	125069457	NA	125069534	NA	49	NA	Intergenic	NA	3550384	EMBP1								
chr1	125175017	125175094	Interval_61	1	1	FALSE	TRUE	NA	6.03656	NA	5.25526	NA	10.14404	NA	125175017	NA	125175094	NA	25	NA	Intergenic	NA	3655944	EMBP1								
chr1	125177101	125177178	Interval_62	1	1	FALSE	TRUE	NA	5.63412	NA	4.3144	NA	9.13673	NA	125177101	NA	125177178	NA	17	NA	Intergenic	NA	3658028	EMBP1								
chr1	125178015	125178101	Interval_63	1	1	FALSE	TRUE	NA	8.99268	NA	9.50435	NA	14.72581	NA	125178015	NA	125178101	NA	19	NA	Intergenic	NA	3658946	EMBP1								
chr1	125179913	125180010	Interval_64	1	1	FALSE	TRUE	NA	6.49768	NA	10.59167	NA	15.88143	NA	125179913	NA	125180010	NA	38	NA	Intergenic	NA	3660850	EMBP1								
chr1	125180136	125180243	Interval_65	1	1	FALSE	TRUE	NA	45.32692	NA	108.80544	NA	117.06604	NA	125180136	NA	125180243	NA	43	NA	Intergenic	NA	3661078	EMBP1								
chr1	143184671	143184863	Interval_66	1	1	FALSE	TRUE	NA	6.90407	NA	8.85297	NA	14.04318	NA	143184671	NA	143184863	NA	140	NA	Intergenic	NA	121592	LOC101929814								
chr1	143185101	143185223	Interval_67	1	1	FALSE	TRUE	NA	8.7482	NA	10.12373	NA	15.3687	NA	143185101	NA	143185223	NA	60	NA	Intergenic	NA	121197	LOC101929814								
chr1	143190430	143190507	Interval_68	1	1	FALSE	TRUE	NA	6.5492	NA	5.05083	NA	9.92759	NA	143190430	NA	143190507	NA	26	NA	Intergenic	NA	115890	LOC101929814								
chr1	143192100	143192261	Interval_69	1	1	FALSE	TRUE	NA	8.03475	NA	7.93782	NA	13.05169	NA	143192100	NA	143192261	NA	33	NA	Intergenic	NA	114178	LOC101929814								
chr1	143193486	143193605	Interval_70	1	1	FALSE	TRUE	NA	16.07852	NA	29.32022	NA	35.31076	NA	143193486	NA	143193605	NA	55	NA	Intergenic	NA	112813	LOC101929814								
chr1	143194593	143194687	Interval_71	1	1	FALSE	TRUE	NA	5.81449	NA	3.46908	NA	8.14998	NA	143194593	NA	143194687	NA	59	NA	Intergenic	NA	111719	LOC101929814								
chr1	143199558	143199641	Interval_72	1	1	FALSE	TRUE	NA	8.89733	NA	9.10933	NA	14.31028	NA	143199558	NA	143199641	NA	45	NA	Intergenic	NA	106759	LOC101929814								
chr1	143203667	143203746	Interval_73	1	1	FALSE	TRUE	NA	6.90407	NA	8.85297	NA	14.04318	NA	143203667	NA	143203746	NA	30	NA	Intergenic	NA	102652	LOC101929814								
chr1	143212994	143213104	Interval_74	1	1	FALSE	TRUE	NA	16.70068	NA	27.51163	NA	33.44976	NA	143212994	NA	143213104	NA	44	NA	Intergenic	NA	93310	LOC101929814								
chr1	143215943	143216081	Interval_75	1	1	FALSE	TRUE	NA	8.04874	NA	10.30412	NA	15.56554	NA	143215943	NA	143216081	NA	28	NA	Intergenic	NA	90347	LOC101929814								
chr1	143218952	143219039	Interval_76	1	1	FALSE	TRUE	NA	8.69425	NA	8.9964	NA	14.19025	NA	143218952	NA	143219039	NA	49	NA	Intergenic	NA	87363	LOC101929814								
chr1	143221669	143221840	Interval_77	1	1	FALSE	TRUE	NA	3.06599	NA	1.4513	NA	5.6145	NA	143221669	NA	143221840	NA	154	NA	Intergenic	NA	84604	LOC101929814								
chr1	143223236	143223338	Interval_78	1	1	FALSE	TRUE	NA	8.40314	NA	12.73958	NA	18.1191	NA	143223236	NA	143223338	NA	54	NA	Intergenic	NA	83072	LOC101929814								
chr1	143225226	143225310	Interval_79	1	1	FALSE	TRUE	NA	9.80856	NA	10.9775	NA	16.28286	NA	143225226	NA	143225310	NA	26	NA	Intergenic	NA	81091	LOC101929814								
chr1	143227329	143227406	Interval_80	1	1	FALSE	TRUE	NA	6.42334	NA	4.48643	NA	9.32196	NA	143227329	NA	143227406	NA	25	NA	Intergenic	NA	78991	LOC101929814								
chr1	143230904	143231005	Interval_81	1	1	FALSE	TRUE	NA	8.69848	NA	11.33613	NA	16.64886	NA	143230904	NA	143231005	NA	39	NA	Intergenic	NA	75404	LOC101929814								
chr1	143238631	143238708	Interval_82	1	1	FALSE	TRUE	NA	8.11424	NA	8.76373	NA	13.91568	NA	143238631	NA	143238708	NA	35	NA	Intergenic	NA	67689	LOC101929814								
chr1	143241058	143241170	Interval_83	1	1	FALSE	TRUE	NA	17.08755	NA	27.79581	NA	33.74316	NA	143241058	NA	143241170	NA	47	NA	Intergenic	NA	65245	LOC101929814								
chr1	143248168	143248247	Interval_84	1	1	FALSE	TRUE	NA	5.29441	NA	6.38412	NA	11.37849	NA	143248168	NA	143248247	NA	66	NA	Intergenic	NA	58151	LOC101929814								
chr1	143253506	143253597	Interval_85	1	1	FALSE	TRUE	NA	6.19715	NA	7.26994	NA	12.34947	NA	143253506	NA	143253597	NA	43	NA	Intergenic	NA	52807	LOC101929814								
chr1	143263408	143263587	Interval_86	1	1	FALSE	TRUE	NA	6.42897	NA	18.86965	NA	24.48883	NA	143263408	NA	143263587	NA	58	NA	Intergenic	NA	42861	LOC101929814								
chr1	143264159	143264263	Interval_87	1	1	FALSE	TRUE	NA	5.8947	NA	15.19985	NA	20.68268	NA	143264159	NA	143264263	NA	74	NA	Intergenic	NA	42148	LOC101929814								
chr1	143264625	143264745	Interval_88	1	1	FALSE	TRUE	NA	21.69851	NA	66.18649	NA	73.1499	NA	143264625	NA	143264745	NA	55	NA	Intergenic	NA	41674	LOC101929814								
chr1	143265377	143265480	Interval_89	1	1	FALSE	TRUE	NA	6.1543	NA	10.69035	NA	15.98247	NA	143265377	NA	143265480	NA	58	NA	Intergenic	NA	40930	LOC101929814								
chr1	143265683	143265854	Interval_90	1	1	FALSE	TRUE	NA	3.63822	NA	5.26188	NA	10.15082	NA	143265683	NA	143265854	NA	124	NA	Intergenic	NA	40590	LOC101929814								
chr1	143267537	143267629	Interval_91	1	1	FALSE	TRUE	NA	6.15313	NA	7.57707	NA	12.67276	NA	143267537	NA	143267629	NA	39	NA	Intergenic	NA	38776	LOC101929814								
chr1	148522677	148522821	Interval_92	1	1	FALSE	TRUE	NA	4.21725	NA	1.4513	NA	5.80323	NA	148522677	NA	148522821	NA	54	NA	Intergenic	NA	-6508	TRNAN5-2								
chr1	150090279	150090383	Interval_93	1	1	FALSE	TRUE	NA	8.03475	NA	7.93782	NA	13.05169	NA	150090279	NA	150090383	NA	74	NA	intron (VPS45, intron 10 of 14)	NA	22663	VPS45								
chr1	151199483	151199608	Interval_94	1	1	FALSE	TRUE	NA	9.05814	NA	9.81077	NA	15.04349	NA	151199483	NA	151199608	NA	63	NA	intron (PIP5K1A, intron 1 of 14)	NA	1001	PIP5K1A								
chr1	153375610	153375744	Interval_95	1	1	FALSE	TRUE	NA	6.56456	NA	5.0931	NA	9.97161	NA	153375610	NA	153375744	NA	29	NA	promoter-TSS (S100A12)	NA	-78	S100A12								
chr1	155650327	155650452	Interval_96	1	1	FALSE	TRUE	NA	10.11016	NA	11.65377	NA	16.97996	NA	155650327	NA	155650452	NA	65	NA	Intergenic	NA	24686	YY1AP1								
chr1	156097130	156097277	Interval_97	2	2	TRUE	TRUE	7.86441	8.04531	6.42675	7.69782	12.1525	12.80025	156097214	156097130	156097277	156097244	20	59	NA	intron (LMNA, intron 3 of 12)	NA	-15206	MEX3A								
chr1	158809328	158809551	Interval_98	1	1	FALSE	TRUE	NA	5.83292	NA	3.93542	NA	8.66986	NA	158809328	NA	158809551	NA	74	NA	Intergenic	NA	-21938	MNDA								
chr1	164503225	164503302	Interval_99	1	1	FALSE	TRUE	NA	5.90415	NA	4.12276	NA	8.8927	NA	164503225	NA	164503302	NA	46	NA	Intergenic	NA	-56096	PBX1								
chr1	166673922	166673999	Interval_100	1	1	FALSE	TRUE	NA	5.07302	NA	2.71786	NA	7.35441	NA	166673922	NA	166673999	NA	45	NA	Intergenic	NA	70045	FMO9P								
chr1	167499778	167499923	Interval_101	1	1	FALSE	TRUE	NA	7.45508	NA	6.77699	NA	11.7926	NA	167499778	NA	167499923	NA	63	NA	intron (CD247, intron 1 of 7)	NA	18759	CD247								
chr1	193862381	193862459	Interval_102	1	1	FALSE	TRUE	NA	8.43449	NA	8.78537	NA	13.94704	NA	193862381	NA	193862459	NA	29	NA	Intergenic	NA	405478	LOC102723336								
chr1	197354778	197354855	Interval_103	1	1	FALSE	TRUE	NA	5.76427	NA	3.74852	NA	8.46553	NA	197354778	NA	197354855	NA	48	NA	intron (CRB1, intron 4 of 11)	NA	86613	CRB1								
chr1	198881304	198881381	Interval_104	1	1	FALSE	TRUE	NA	6.66619	NA	5.37514	NA	10.27296	NA	198881304	NA	198881381	NA	66	NA	intron (MIR181A1HG, intron 2 of 2)	NA	-22213	MIR181A1								
chr1	200207907	200208006	Interval_105	1	1	FALSE	TRUE	NA	5.91852	NA	4.12276	NA	8.93914	NA	200207907	NA	200208006	NA	58	NA	Intergenic	NA	165015	NR5A2								
chr1	205605327	205605374	Interval_106	1	1	TRUE	FALSE	6.82353	NA	4.65314	NA	10.15057	NA	205605327	NA	205605374	NA	7	NA	NA	intron (ELK4, intron 5 of 5)	NA	27554	ELK4								
chr1	206967656	206967746	Interval_107	1	1	FALSE	TRUE	NA	5.69061	NA	3.55818	NA	8.25634	NA	206967656	NA	206967746	NA	49	NA	intron (FCAMR, intron 1 of 7)	NA	2924	FCAMR								
chr1	212007957	212008109	Interval_108	2	2	TRUE	TRUE	6.81142	5.88195	4.6267	4.07759	10.12285	8.822	212008062	212007957	212008109	212008063	6	43	NA	intron (INTS7, intron 5 of 19)	NA	-27520	DTL								
chr1	220702065	220702217	Interval_109	1	1	TRUE	FALSE	7.27139	NA	5.38019	NA	10.96447	NA	220702065	NA	220702217	NA	62	NA	NA	Intergenic	NA	11855	C1orf115								
chr1	221099018	221099238	Interval_110	2	2	TRUE	TRUE	8.00796	14.5856	7.84692	21.4182	13.74169	27.14709	221099072	221099018	221099173	221099238	43	131	NA	intron (LOC101929750, intron 2 of 2)	NA	21290	LOC101929750								
chr1	226631266	226631343	Interval_111	1	1	FALSE	TRUE	NA	4.88334	NA	2.33963	NA	6.78704	NA	226631266	NA	226631343	NA	34	NA	TTS (ITPKB)	NA	43763	ITPKB-IT1								
chr1	228921686	228921828	Interval_112	1	1	TRUE	FALSE	4.40525	NA	1.3292	NA	6.26659	NA	228921686	NA	228921828	NA	99	NA	NA	Intergenic	NA	186680	RHOU								
chr1	230973091	230973243	Interval_113	1	1	FALSE	TRUE	NA	4.37568	NA	1.4513	NA	5.5773	NA	230973091	NA	230973243	NA	106	NA	intron (TTC13, intron 1 of 20)	NA	5705	TTC13								
chr1	238477027	238477260	Interval_114	2	2	TRUE	TRUE	8.46243	11.83704	7.61008	15.83553	13.47427	21.34917	238477027	238477033	238477105	238477260	35	65	NA	Intergenic	NA	8873	LINC01139								
chr1	240576338	240576621	Interval_115	1	1	FALSE	TRUE	NA	10.99154	NA	14.02003	NA	19.46447	NA	240576338	NA	240576621	NA	136	NA	intron (GREM2, intron 1 of 1)	NA	-44771	GREM2								
chr1	240612200	240612295	Interval_116	2	2	TRUE	TRUE	6.00398	4.22751	3.16624	1.4513	8.4714	5.83614	240612212	240612200	240612259	240612295	8	69	NA	promoter-TSS (GREM2)	NA	-80539	GREM2								
chr1	245516659	245516768	Interval_117	1	1	FALSE	TRUE	NA	5.86084	NA	4.01528	NA	8.75581	NA	245516659	NA	245516768	NA	79	NA	intron (KIF26B, intron 4 of 14)	NA	361729	KIF26B								
chr10	451249	451440	Interval_118	1	1	FALSE	TRUE	NA	7.60953	NA	7.1976	NA	12.27488	NA	451249	NA	451440	NA	55	NA	intron (DIP2C, intron 4 of 38)	NA	-28309	DIP2C								
chr10	7602550	7602747	Interval_119	1	1	FALSE	TRUE	NA	4.37568	NA	1.4513	NA	5.5773	NA	7602550	NA	7602747	NA	39	NA	intron (ITIH5, intron 3 of 9)	NA	-2077	LOC101928171								
chr10	8133282	8133512	Interval_120	2	2	TRUE	TRUE	8.0053	6.56352	6.73811	4.72111	12.50283	9.57798	8133299	8133282	8133351	8133512	18	116	NA	Intergenic	NA	79793	GATA3								
chr10	28399072	28399270	Interval_121	1	1	FALSE	TRUE	NA	7.58986	NA	7.16742	NA	12.21105	NA	28399072	NA	28399270	NA	139	NA	Intergenic	NA	-96147	MPP7								
chr10	28655555	28655632	Interval_122	1	1	FALSE	TRUE	NA	6.70613	NA	5.49246	NA	10.39656	NA	28655555	NA	28655632	NA	39	NA	Intergenic	NA	-21901	BAMBI								
chr10	31693696	31693779	Interval_123	1	1	FALSE	TRUE	NA	7.15847	NA	5.99282	NA	10.96697	NA	31693696	NA	31693779	NA	23	NA	Intergenic	NA	90783	LOC646034								
chr10	31970010	31970124	Interval_124	1	1	FALSE	TRUE	NA	5.18662	NA	2.71786	NA	7.24917	NA	31970010	NA	31970124	NA	57	NA	Intergenic	NA	-61141	ARHGAP12								
chr10	34951732	34951859	Interval_125	1	1	FALSE	TRUE	NA	6.68211	NA	5.42241	NA	10.32185	NA	34951732	NA	34951859	NA	58	NA	Intergenic	NA	122534	CUL2								
chr10	38495966	38496065	Interval_126	1	1	FALSE	TRUE	NA	9.48064	NA	10.27819	NA	15.53871	NA	38495966	NA	38496065	NA	60	NA	Intergenic	NA	67870	LINC00999								
chr10	38573447	38573569	Interval_127	1	1	FALSE	TRUE	NA	6.11365	NA	7.8952	NA	13.00358	NA	38573447	NA	38573569	NA	64	NA	Intergenic	NA	-123088	ACTR3BP5								
chr10	41859892	41859986	Interval_128	1	1	FALSE	TRUE	NA	11.15487	NA	24.16285	NA	29.99095	NA	41859892	NA	41859986	NA	40	NA	Intergenic	NA	-382584	LOC101929373								
chr10	41860255	41860332	Interval_129	1	1	FALSE	TRUE	NA	4.29126	NA	5.22162	NA	10.10888	NA	41860255	NA	41860332	NA	42	NA	Intergenic	NA	-382229	LOC101929373								
chr10	41875395	41875496	Interval_130	1	1	FALSE	TRUE	NA	8.39114	NA	26.98229	NA	32.89977	NA	41875395	NA	41875496	NA	34	NA	Intergenic	NA	-367077	LOC101929373								
chr10	41878682	41878759	Interval_131	1	1	FALSE	TRUE	NA	5.95222	NA	5.77784	NA	10.74406	NA	41878682	NA	41878759	NA	37	NA	Intergenic	NA	-363802	LOC101929373								
chr10	41879296	41879498	Interval_132	1	1	FALSE	TRUE	NA	9.46233	NA	12.53593	NA	17.91123	NA	41879296	NA	41879498	NA	156	NA	Intergenic	NA	-363126	LOC101929373								
