PeakID (cmd=annotatePeaks.pl HOXA9.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_70	chr1	143241076	143241152	+	0	NA	Intergenic	NA	63222	LOC101929814								
Interval_184	chr11	9273653	9274019	+	0	NA	Intergenic	NA	-1407	TRNAL36								
Interval_80	chr1	161612625	161612819	+	0	NA	promoter-TSS (TRNAL3)	NA	-693	TRNAL3								
Interval_150	chr10	56426801	56427145	+	0	NA	Intergenic	NA	-65700	ZWINT								
Interval_1390	chrUn_KI270438v1	104539	104956	+	0	NA	NA	NA	NA	NA								
Interval_960	chr4	131426393	131426814	+	0	NA	Intergenic	NA	-338391	RP11-614F17.2								
Interval_745	chr21	8420130	8420199	+	0	NA	Intergenic	NA	5933	LOC102723584								
Interval_764	chr21	31666597	31667017	+	0	NA	intron (SOD1, intron 3 of 4)	NA	7185	SOD1								
Interval_784	chr22	32146103	32146286	+	0	NA	Intergenic	NA	13329	C22orf42								
Interval_277	chr12	76588951	76589250	+	0	NA	Intergenic	NA	-29303	OSBPL8								
Interval_1187	chr7	131188593	131189053	+	0	NA	intron (MKLN1, intron 2 of 18)	NA	-81793	LINC-PINT								
Interval_1377	chrUn_GL000216v2	167844	167930	+	0	NA	NA	NA	NA	NA								
Interval_859	chr3	125822302	125822538	+	0	NA	Intergenic	NA	-31868	MIR548I1								
Interval_1064	chr6	11519444	11519896	+	0	NA	Intergenic	NA	-18557	TMEM170B								
Interval_364	chr14_GL000225v1_random	85632	85719	+	0	NA	Intergenic	NA	49386	LOC100287823								
Interval_1328	chr9	33530672	33530855	+	0	NA	intron (ANKRD18B, intron 3 of 18)	NA	6414	ANKRD18B								
Interval_882	chr3	186110984	186111180	+	0	NA	Intergenic	NA	-1970	ETV5								
Interval_159	chr10	71871379	71871582	+	0	NA	Intergenic	NA	-20155	PSAP								
Interval_30	chr1	61255109	61255344	+	0	NA	intron (NFIA, intron 2 of 9)	NA	-1708	RP5-833A20.1								
Interval_886	chr3	191435960	191436409	+	0	NA	Intergenic	NA	-24979	PYDC2								
Interval_333	chr14	16093231	16093602	+	0	NA	Intergenic	NA	-2507701	OR11H12								
Interval_403	chr16	9102463	9102750	+	0	NA	intron (C16orf72, intron 2 of 3)	NA	10926	C16orf72								
Interval_1241	chr8	59768111	59768329	+	0	NA	Intergenic	NA	513175	CA8								
Interval_1195	chr7	159025296	159025487	+	0	NA	exon (LINC00689, exon 5 of 5)	NA	17037	LINC00689								
Interval_785	chr22	36510335	36510766	+	0	NA	TTS (EIF3D)	NA	-3449	FOXRED2								
Interval_219	chr11	68213598	68213950	+	0	NA	promoter-TSS (SUV420H1)	NA	-144	SUV420H1								
Interval_525	chr18	23422892	23423086	+	0	NA	intron (TMEM241, intron 2 of 13)	NA	14970	TMEM241								
Interval_1288	chr8	120764701	120764927	+	0	NA	intron (RP11-713M15.1, intron 1 of 4)	NA	3561	RP11-713M15.1								
Interval_521	chr18	3747451	3747725	+	0	NA	intron (DLGAP1, intron 5 of 13)	NA	98004	DLGAP1								
Interval_984	chr5	9437767	9437950	+	0	NA	intron (SEMA5A, intron 1 of 22)	NA	-28269	SEMA5A								
Interval_1344	chr9	101636116	101636484	+	0	NA	intron (GRIN3A, intron 3 of 8)	NA	-41299	PPP3R2								
Interval_979	chr4	188370767	188371064	+	0	NA	Intergenic	NA	-84663	LINC01060								
Interval_1301	chr8	131816707	131816905	+	0	NA	Intergenic	NA	-87303	EFR3A								
Interval_1144	chr7	11478505	11478812	+	0	NA	intron (THSD7A, intron 7 of 26)	NA	353539	THSD7A								
Interval_522	chr18	5462136	5462566	+	0	NA	intron (EPB41L3, intron 3 of 21)	NA	78205	EPB41L3								
Interval_65	chr1	124568546	124568615	+	0	NA	Intergenic	NA	3049468	EMBP1								
Interval_686	chr2	207239141	207239451	+	0	NA	intron (AC007879.2, intron 2 of 3)	NA	-3231	LOC102724675								
Interval_572	chr19	15595084	15595282	+	0	NA	Intergenic	NA	-20035	CYP4F8								
Interval_680	chr2	188919944	188920145	+	0	NA	Intergenic	NA	-54329	COL3A1								
Interval_16	chr1	28648804	28649038	+	0	NA	TTS (RNU11)	NA	321	RNU11								
Interval_1104	chr6	110422564	110422845	+	0	NA	Intergenic	NA	-7154	DDO								
Interval_29	chr1	56255640	56255835	+	0	NA	Intergenic	NA	-184119	LOC102724140								
Interval_465	chr16	85461053	85461318	+	0	NA	intron (GSE1, intron 2 of 15)	NA	-149280	LOC101928502								
Interval_589	chr19	46263004	46263195	+	0	NA	Intergenic	NA	33347	IGFL1								
Interval_701	chr2	237617047	237617301	+	0	NA	Intergenic	NA	-26048	RAB17								
Interval_449	chr16	46401381	46401612	+	0	NA	Intergenic	NA	167601	ANKRD26P1								
Interval_142	chr10	41859905	41859974	+	0	NA	Intergenic	NA	-382584	LOC101929373								
Interval_1411	chrX	66090064	66090389	+	0	NA	Intergenic	NA	-50101	VSIG4								
Interval_353	chr14	87626924	87627167	+	0	NA	Intergenic	NA	366226	GALC								
Interval_1190	chr7	146655854	146656471	+	0	NA	intron (CNTNAP2, intron 1 of 23)	NA	441447	AC006004.1								
Interval_497	chr17	55660159	55660389	+	0	NA	Intergenic	NA	47288	LOC101927389								
Interval_795	chr22_KI270733v1_random	145914	146136	+	0	NA	Intergenic	NA	14076	LOC102724621								
Interval_733	chr20	50980265	50980510	+	0	NA	Intergenic	NA	21573	MOCS3								
Interval_921	chr4	49120072	49120258	+	0	NA	Intergenic	NA	-41167	LOC101927209								
Interval_1047	chr5	151805801	151806023	+	0	NA	TTS (G3BP1)	NA	33987	G3BP1								
Interval_63	chr1	124495261	124495348	+	0	NA	Intergenic	NA	2976192	EMBP1								
Interval_1238	chr8	54629325	54629813	+	0	NA	exon (RP1, exon 4 of 4)	NA	13502	RP1								
Interval_1036	chr5	135729347	135729597	+	0	NA	Intergenic	NA	73545	MIR5692C1								
Interval_722	chr20	31057934	31058212	+	0	NA	Intergenic	NA	-199591	DEFB115								
Interval_626	chr2	45730008	45730218	+	0	NA	intron (PRKCE, intron 5 of 19)	NA	-78066	LOC102724965								
Interval_313	chr13	26919319	26919724	+	0	NA	Intergenic	NA	-158736	GPR12								
Interval_11	chr1	20446589	20446806	+	0	NA	Intergenic	NA	-17903	LINC01141								
Interval_32	chr1	77347672	77347995	+	0	NA	intron (AK5, intron 6 of 13)	NA	65775	AK5								
Interval_318	chr13	35139625	35139906	+	0	NA	intron (NBEA, intron 17 of 34)	NA	336930	MAB21L1								
Interval_468	chr16	87388429	87388833	+	0	NA	promoter-TSS (MAP1LC3B)	NA	3476	FBXO31								
Interval_55	chr1	122853730	122853798	+	0	NA	Intergenic	NA	1334652	EMBP1								
Interval_237	chr11	118436488	118436945	+	0	NA	promoter-TSS (KMT2A)	NA	-34	KMT2A								
Interval_1119	chr6	139640373	139640571	+	0	NA	Intergenic	NA	-130601	LOC100132735								
Interval_234	chr11	110977642	110977868	+	0	NA	Intergenic	NA	-119581	LOC102723966								
Interval_405	chr16	15590863	15591357	+	0	NA	Intergenic	NA	19942	MIR6506								
Interval_727	chr20	35305806	35305992	+	0	NA	intron (UQCC1, intron 7 of 7)	NA	-13477	FAM83C								
Interval_193	chr11	29518835	29519035	+	0	NA	Intergenic	NA	498095	KCNA4								
Interval_173	chr10	116948264	116948597	+	0	NA	intron (KIAA1598, intron 7 of 16)	NA	57147	KIAA1598								
Interval_130	chr10	7046392	7046606	+	0	NA	Intergenic	NA	239451	SFMBT2								
Interval_458	chr16	75042484	75042699	+	0	NA	intron (ZNRF1, intron 1 of 4)	NA	43574	ZNRF1								
Interval_1044	chr5	147804986	147805393	+	0	NA	Intergenic	NA	-22341	JAKMIP2								
Interval_931	chr4	49709925	49710131	+	0	NA	Intergenic	NA	-220704	LOC101060532								
Interval_321	chr13	35994319	35994554	+	0	NA	intron (DCLK1, intron 3 of 17)	NA	136941	DCLK1								
Interval_1	chr1	838219	838707	+	0	NA	intron (LINC01128, intron 2 of 3)	NA	10872	LINC01128								
Interval_145	chr10	41914563	41914833	+	0	NA	Intergenic	NA	-327825	LOC101929373								
Interval_67	chr1	125180038	125180328	+	0	NA	Intergenic	NA	3661071	EMBP1								
Interval_155	chr10	62681350	62681583	+	0	NA	Intergenic	NA	-123290	ADO								
Interval_1189	chr7	135448728	135449054	+	0	NA	intron (CNOT4, intron 1 of 10)	NA	61236	CNOT4								
Interval_462	chr16	82331407	82331824	+	0	NA	Intergenic	NA	-161391	MPHOSPH6								
Interval_422	chr16	34582777	34582854	+	0	NA	Intergenic	NA	150823	LOC102724523								
Interval_809	chr3	12353828	12354271	+	0	NA	intron (PPARG, intron 1 of 6)	NA	66199	PPARG								
Interval_957	chr4	120326439	120326643	+	0	NA	Intergenic	NA	-259683	MAD2L1								
Interval_755	chr21	18460989	18461198	+	0	NA	Intergenic	NA	-57440	TMPRSS15								
Interval_1320	chr9	20354805	20354883	+	0	NA	exon (MLLT3, exon 9 of 11)	NA	56394	MIR4473								
Interval_724	chr20	31106771	31106867	+	0	NA	Intergenic	NA	-150845	DEFB115								
Interval_1413	chrX	110341461	110341735	+	0	NA	intron (AMMECR1, intron 2 of 7)	NA	-23446	AMMECR1								
Interval_756	chr21	18812349	18812590	+	0	NA	Intergenic	NA	-52657	AL109763.2								
Interval_309	chr13	18213572	18213643	+	0	NA	intron (FAM230C, intron 1 of 7)	NA	18310	FAM230C								
Interval_297	chr12	121038962	121039368	+	0	NA	promoter-TSS (OASL)	NA	77	OASL								
Interval_218	chr11	68030473	68030737	+	0	NA	promoter-TSS (NDUFS8)	NA	-345	NDUFS8								
Interval_79	chr1	156483103	156483387	+	0	NA	exon (MEF2D, exon 2 of 12)	NA	17575	MEF2D								
Interval_355	chr14	92414728	92414923	+	0	NA	intron (SLC24A4, intron 1 of 12)	NA	91665	SLC24A4								
Interval_635	chr2	66435331	66435520	+	0	NA	promoter-TSS (MEIS1)	NA	300	MEIS1								
Interval_147	chr10	44725469	44725810	+	0	NA	Intergenic	NA	-185677	TMEM72								
Interval_682	chr2	195337745	195338003	+	0	NA	Intergenic	NA	-319254	SLC39A10								
Interval_56	chr1	123153479	123153547	+	0	NA	Intergenic	NA	1634401	EMBP1								
Interval_736	chr20	53692803	53693139	+	0	NA	Intergenic	NA	-109874	ZNF217								
Interval_226	chr11	86743735	86744049	+	0	NA	Intergenic	NA	-19625	LOC102724775								
Interval_1230	chr8	42803440	42803633	+	0	NA	Intergenic	NA	-34750	CHRNA6								
Interval_20	chr1	38334939	38335178	+	0	NA	Intergenic	NA	-120291	RP11-214L19.1								
Interval_268	chr12	53366000	53366260	+	0	NA	Intergenic	NA	-15083	SP1								
Interval_615	chr2	24329611	24330098	+	0	NA	intron (ITSN2, intron 1 of 29)	NA	30674	ITSN2								
Interval_791	chr22_KI270733v1_random	140263	140331	+	0	NA	Intergenic	NA	19804	LOC102724621								
Interval_1407	chrX	18956407	18956707	+	0	NA	intron (PHKA2, intron 1 of 31)	NA	27398	PHKA2								
Interval_807	chr3	7494103	7494629	+	0	NA	intron (GRM7, intron 7 of 10)	NA	521941	AC087859.1								
Interval_17	chr1	31524288	31524594	+	0	NA	TTS (RP11-439L8.4)	NA	6006	RP11-439L8.4								
Interval_1404	chrUn_KI270751v1	109002	109218	+	0	NA	Intergenic	NA	76778	LOC102723799								
Interval_85	chr1	170182441	170182653	+	0	NA	Intergenic	NA	-31085	MIR3119-1								
Interval_359	chr14	105995364	105995657	+	0	NA	intron (LOC102723435, intron 2 of 2)	NA	8786	LOC102723435								
Interval_895	chr4	7649852	7650266	+	0	NA	intron (SORCS2, intron 4 of 26)	NA	-104031	AFAP1-AS1								
Interval_1197	chr8	5336427	5336733	+	0	NA	Intergenic	NA	-341774	CSMD1								
Interval_1178	chr7	100541272	100541479	+	0	NA	intron (AGFG2, intron 1 of 12)	NA	2150	AGFG2								
Interval_788	chr22	40412485	40412844	+	0	NA	intron (MKL1, intron 12 of 12)	NA	42097	SGSM3								
Interval_40	chr1	89680977	89681367	+	0	NA	intron (LRRC8C, intron 1 of 2)	NA	12878	LRRC8C								
Interval_503	chr17	63275376	63275635	+	0	NA	intron (TANC2, intron 7 of 24)	NA	165341	CYB561								
Interval_996	chr5	49602348	49602495	+	0	NA	Intergenic	NA	838979	EMB								
Interval_691	chr2	216775211	216775527	+	0	NA	Intergenic	NA	-24209	LOC101928250								
Interval_608	chr1_KI270709v1_random	10619	10690	+	0	NA	NA	NA	NA	NA								
Interval_15	chr1	28392012	28392344	+	0	NA	promoter-TSS (PHACTR4)	NA	-45969	PHACTR4								
Interval_1137	chr7	113024	113267	+	0	NA	Intergenic	NA	36310	LOC102723672								
Interval_1204	chr8	12757585	12757819	+	0	NA	Intergenic	NA	-2258	LONRF1								
Interval_583	chr19	41944492	41944700	+	0	NA	Intergenic	NA	14780	RABAC1								
Interval_343	chr14	54908213	54908721	+	0	NA	Intergenic	NA	-5643	GCH1								
Interval_823	chr3	27590821	27591066	+	0	NA	Intergenic	NA	-106523	SLC4A7								
Interval_527	chr18	24076206	24076494	+	0	NA	intron (TTC39C, intron 4 of 6)	NA	53784	TTC39C								
Interval_216	chr11	64917243	64917541	+	0	NA	promoter-TSS (ATG2A)	NA	-142	ATG2A								
Interval_1325	chr9	27460690	27460903	+	0	NA	intron (MOB3B, intron 1 of 3)	NA	-63518	IFNK								
Interval_47	chr1	108063761	108064045	+	0	NA	Intergenic	NA	-98987	VAV3								
Interval_1211	chr8	19385858	19386171	+	0	NA	intron (SH2D4A, intron 8 of 9)	NA	15263	LOC102724881								
Interval_703	chr2	239275234	239275445	+	0	NA	intron (HDAC4, intron 2 of 26)	NA	-6134	LOC102723762								
Interval_451	chr16	50155616	50155937	+	0	NA	intron (PAPD5, intron 1 of 12)	NA	2183	PAPD5								
Interval_1423	chrY	15020124	15020445	+	0	NA	Intergenic	NA	-216251	NLGN4Y-AS1								
Interval_100	chr1	196181229	196181642	+	0	NA	Intergenic	NA	224594	KCNT2								
Interval_19	chr1	35279350	35279591	+	0	NA	intron (ZMYM4, intron 1 of 29)	NA	10503	ZMYM4								
Interval_545	chr18	63079415	63079600	+	0	NA	Intergenic	NA	239873	BCL2								
Interval_718	chr20	28614781	28615127	+	0	NA	Intergenic	NA	-12115	LOC100289097								
Interval_160	chr10	73956570	73956892	+	0	NA	Intergenic	NA	-33954	C10orf55								
Interval_575	chr19	28420791	28421062	+	0	NA	Intergenic	NA	45767	LOC102724942								
Interval_312	chr13	22482556	22482948	+	0	NA	Intergenic	NA	272467	LINC00540								
Interval_650	chr2	112275360	112275609	+	0	NA	promoter-TSS (ZC3H6)	NA	-20397	ZC3H8								
Interval_729	chr20	42485180	42485421	+	0	NA	intron (PTPRT, intron 6 of 31)	NA	-200183	LOC101927159								
Interval_593	chr19	48646424	48646726	+	0	NA	promoter-TSS (CA11)	NA	-381	CA11								
Interval_168	chr10	91605400	91605615	+	0	NA	intron (LOC100188947, intron 1 of 4)	NA	5953	LOC100188947								
Interval_842	chr3	76004429	76004678	+	0	NA	intron (ROBO2, intron 2 of 23)	NA	-219778	ZNF717								
Interval_951	chr4	110032558	110033023	+	0	NA	Intergenic	NA	40465	RNU6-35P								
Interval_108	chr1	221987903	221988258	+	0	NA	Intergenic	NA	-147395	RP11-191N8.2								
Interval_1386	chrUn_KI270333v1	2038	2114	+	0	NA	NA	NA	NA	NA								
Interval_836	chr3	53834370	53834665	+	0	NA	intron (CHDH, intron 2 of 8)	NA	11875	CHDH								
Interval_361	chr14_GL000225v1_random	68170	68238	+	0	NA	Intergenic	NA	31915	LOC100287823								
Interval_488	chr17	28926090	28926395	+	0	NA	exon (LOC101927018, exon 1 of 3)	NA	1930	LOC101927018								
Interval_918	chr4	49108314	49108498	+	0	NA	Intergenic	NA	-52926	LOC101927209								
Interval_997	chr5	49658111	49658184	+	0	NA	Intergenic	NA	783253	EMB								
Interval_991	chr5	38585790	38586104	+	0	NA	intron (LIFR-AS1, intron 1 of 2)	NA	9458	LIFR								
Interval_375	chr15	52440475	52440699	+	0	NA	intron (MYO5A, intron 1 of 39)	NA	88295	MYO5A								
Interval_271	chr12	55973701	55973990	+	0	NA	promoter-TSS (RAB5B)	NA	-248	RAB5B								
Interval_380	chr15	63610295	63610648	+	0	NA	intron (HERC1, intron 77 of 77)	NA	-9644	USP3-AS1								
Interval_1201	chr8	9248966	9249373	+	0	NA	Intergenic	NA	11124	LOC101929167								
Interval_253	chr11	128195076	128195650	+	0	NA	Intergenic	NA	326947	ETS1								
Interval_331	chr13	99231723	99232053	+	0	NA	intron (UBAC2, intron 1 of 8)	NA	26540	GPR18								
Interval_110	chr1	223639345	223639774	+	0	NA	intron (CAPN8-2, intron 2 of 11)	NA	26175	CAPN8-2								
Interval_643	chr2	90400995	90401298	+	0	NA	Intergenic	NA	41643	LOC101060017								
Interval_1052	chr5	171168213	171168588	+	0	NA	intron (RANBP17, intron 14 of 27)	NA	-140884	TLX3								
Interval_937	chr4	64200115	64200626	+	0	NA	Intergenic	NA	209090	TECRL								
Interval_692	chr2	218582128	218582311	+	0	NA	intron (RQCD1, intron 1 of 6)	NA	9600	RQCD1								
Interval_267	chr12	52175631	52176007	+	0	NA	intron (KRT80, intron 4 of 8)	NA	16195	KRT80								
Interval_436	chr16	46388616	46388798	+	0	NA	Intergenic	NA	180390	ANKRD26P1								
Interval_1107	chr6	116839970	116840454	+	0	NA	Intergenic	NA	-11155	GPRC6A								
Interval_446	chr16	46400402	46400489	+	0	NA	Intergenic	NA	168652	ANKRD26P1								
Interval_427	chr16	34588803	34588876	+	0	NA	Intergenic	NA	156847	LOC102724523								
Interval_1295	chr8	125110931	125111142	+	0	NA	intron (NSMCE2, intron 3 of 7)	NA	-15298	LOC102723524								
Interval_1424	chrY	16690109	16690326	+	0	NA	Intergenic	NA	-810741	FAM41AY1								
Interval_319	chr13	35356609	35356831	+	0	NA	intron (NBEA, intron 38 of 58)	NA	119975	MAB21L1								
Interval_460	chr16	77408637	77408931	+	0	NA	intron (ADAMTS18, intron 3 of 22)	NA	-41050	ADAMTS18								
Interval_1098	chr6	97049274	97049577	+	0	NA	intron (KLHL32, intron 2 of 8)	NA	124805	KLHL32								
Interval_509	chr17	72614041	72614251	+	0	NA	intron (LINC00511, intron 3 of 4)	NA	-21342	LINC00673								
Interval_1066	chr6	15062648	15062902	+	0	NA	Intergenic	NA	185921	JARID2-AS1								
Interval_1146	chr7	20219830	20220043	+	0	NA	intron (LOC100506098, intron 3 of 3)	NA	2470	LOC100506098								
Interval_549	chr18	64713428	64713646	+	0	NA	Intergenic	NA	279284	LOC101927404								
Interval_1126	chr6	151498427	151498610	+	0	NA	intron (CCDC170, intron 1 of 10)	NA	4478	CCDC170								
Interval_854	chr3	119840529	119840779	+	0	NA	intron (GSK3B, intron 9 of 9)	NA	60170	NR1I2								
Interval_904	chr4	26342253	26342947	+	0	NA	promoter-TSS (RBPJ)	NA	21793	RBPJ								
Interval_266	chr12	52118523	52118830	+	0	NA	Intergenic	NA	48702	C12orf44								
Interval_289	chr12	105835525	105835900	+	0	NA	Intergenic	NA	128938	CASC18								
Interval_276	chr12	75977943	75978279	+	0	NA	Intergenic	NA	53665	PHLDA1								
Interval_10	chr1	17060622	17060805	+	0	NA	Intergenic	NA	-6543	SDHB								
Interval_662	chr2	145411509	145411859	+	0	NA	Intergenic	NA	388568	LOC100505498								
Interval_1405	chrX	2159391	2159794	+	0	NA	Intergenic	NA	-162295	LOC101928070								
Interval_1303	chr8	133015689	133015884	+	0	NA	intron (TG, intron 37 of 47)	NA	30730	MIR7848								
Interval_1150	chr7	33054311	33054566	+	0	NA	intron (NT5C3A, intron 1 of 9)	NA	-8771	LOC101928355								
Interval_962	chr4	138190385	138190768	+	0	NA	intron (SLC7A11, intron 6 of 11)	NA	51842	SLC7A11								
Interval_1173	chr7	92639642	92639998	+	0	NA	intron (CDK6, intron 5 of 7)	NA	-49426	FAM133B								
Interval_1199	chr8	8797086	8797316	+	0	NA	intron (MFHAS1, intron 2 of 3)	NA	95045	CLDN23								
Interval_339	chr14	39841267	39841556	+	0	NA	Intergenic	NA	-408911	FBXO33								
Interval_1345	chr9	105672974	105673172	+	0	NA	Intergenic	NA	10616	TAL2								
Interval_113	chr1	229192070	229192475	+	0	NA	Intergenic	NA	64032	LOC102723935								
Interval_526	chr18	23740193	23740480	+	0	NA	intron (LAMA3, intron 2 of 73)	NA	-77451	ANKRD29								
Interval_975	chr4	168155758	168155944	+	0	NA	intron (ANXA10, intron 3 of 11)	NA	74552	ANXA10								
Interval_261	chr12	19908946	19909131	+	0	NA	Intergenic	NA	-105647	RP11-664H17.1								
Interval_1409	chrX	47129193	47129389	+	0	NA	Intergenic	NA	15919	NDUFB11								
Interval_927	chr4	49645172	49645241	+	0	NA	Intergenic	NA	-155882	LOC101060532								
Interval_597	chr19	54348121	54348304	+	0	NA	Intergenic	NA	-9062	LILRA4								
Interval_127	chr1	248288845	248289062	+	0	NA	Intergenic	NA	6625	OR2T12								
Interval_223	chr11	78112693	78113004	+	0	NA	intron (ALG8, intron 7 of 12)	NA	26805	ALG8								
Interval_1027	chr5	119426014	119426409	+	0	NA	Intergenic	NA	-26232	HSD17B4								
Interval_799	chr22_KI270733v1_random	149733	149807	+	0	NA	Intergenic	NA	10331	LOC102724621								
Interval_850	chr3	113224065	113224330	+	0	NA	intron (BOC, intron 2 of 19)	NA	12715	BOC								
Interval_249	chr11	122749072	122749264	+	0	NA	intron (UBASH3B, intron 1 of 13)	NA	-89379	CRTAM								
Interval_1133	chr6	165184476	165184913	+	0	NA	Intergenic	NA	124922	C6orf118								
Interval_571	chr19	15587771	15587967	+	0	NA	Intergenic	NA	-27349	CYP4F8								
Interval_622	chr2	32916529	32916627	+	0	NA	intron (LINC00486, intron 5 of 5)	NA	-10549	AL121656.5								
Interval_1239	chr8	55930496	55930746	+	0	NA	intron (LYN, intron 1 of 12)	NA	-3613	LYN								
Interval_1203	chr8	11858593	11858960	+	0	NA	intron (CTSB, intron 1 of 9)	NA	9361	CTSB								
Interval_1417	chrY	11327645	11327721	+	0	NA	Intergenic	NA	1093907	GYG2P1								
Interval_430	chr16	34591616	34591829	+	0	NA	Intergenic	NA	159730	LOC102724523								
Interval_1140	chr7	7424588	7424796	+	0	NA	intron (COL28A1, intron 25 of 34)	NA	111137	COL28A1								
Interval_664	chr2	146228823	146229122	+	0	NA	Intergenic	NA	-358085	PABPC1P2								
Interval_1141	chr7	10904371	10904554	+	0	NA	Intergenic	NA	35724	NDUFA4								
Interval_293	chr12	112140752	112140935	+	0	NA	exon (TRAFD1, exon 5 of 12)	NA	15298	TRAFD1								
Interval_1120	chr6	140322028	140322387	+	0	NA	Intergenic	NA	116955	MIR3668								
Interval_314	chr13	28245309	28245716	+	0	NA	intron (PAN3, intron 6 of 18)	NA	13011	RNU6-82P								
Interval_198	chr11	35030690	35030883	+	0	NA	Intergenic	NA	88949	MIR1343								
Interval_1311	chr9	1458593	1458839	+	0	NA	Intergenic	NA	-1494	LOC101929228								
Interval_534	chr18	41655103	41655305	+	0	NA	Intergenic	NA	-134607	KC6								
Interval_947	chr4	86961716	86961976	+	0	NA	intron (AFF1, intron 2 of 18)	NA	-26996	LOC100506746								
Interval_222	chr11	75773644	75773857	+	0	NA	intron (DGAT2, intron 1 of 6)	NA	5017	DGAT2								
Interval_926	chr4	49635500	49635602	+	0	NA	Intergenic	NA	-146227	LOC101060532								
Interval_1421	chrY	11747562	11747848	+	0	NA	Intergenic	NA	673885	GYG2P1								
Interval_510	chr17	73340229	73340427	+	0	NA	intron (SDK2, intron 44 of 44)	NA	-29021	CDC42EP4								
Interval_107	chr1	221708044	221708256	+	0	NA	intron (DUSP10, intron 1 of 2)	NA	29310	DUSP10								
Interval_350	chr14	81772473	81772677	+	0	NA	Intergenic	NA	-29502	LOC102724294								
Interval_482	chr17	26594860	26594940	+	0	NA	Intergenic	NA	699096	MIR4522								
Interval_1312	chr9	3910227	3910541	+	0	NA	intron (GLIS3, intron 5 of 9)	NA	11738	GLIS3-AS1								
Interval_1029	chr5	120769503	120769781	+	0	NA	Intergenic	NA	152547	PRR16								
Interval_1122	chr6	148510212	148510538	+	0	NA	intron (SASH1, intron 1 of 12)	NA	-236553	UST								
Interval_1019	chr5	88722204	88723005	+	0	NA	exon (MEF2C, exon 11 of 11)	NA	-44159	LINC00461								
Interval_1149	chr7	31811982	31812195	+	0	NA	intron (PDE1C, intron 16 of 17)	NA	125071	PPP1R17								
Interval_440	chr16	46391856	46392046	+	0	NA	Intergenic	NA	177146	ANKRD26P1								
Interval_911	chr4	49097237	49097357	+	0	NA	Intergenic	NA	-64035	LOC101927209								
Interval_97	chr1	192516858	192517205	+	0	NA	Intergenic	NA	-58696	RGS1								
