PeakID (cmd=annotatePeaks.pl IRF2BP2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4013	chr17	78140332	78140496	+	0	NA	intron (TMC8, intron 10 of 10)	NA	-8007	TMC6								
Interval_2572	chr14	61569847	61570119	+	0	NA	promoter-TSS (FLJ22447)	NA	548	RP11-47I22.2								
Interval_52	chr1	8211993	8212172	+	0	NA	intron (LOC102724539, intron 3 of 3)	NA	9318	LOC102724539								
Interval_5625	chr2	216486693	216487036	+	0	NA	exon (LOC100507554, exon 4 of 4)	NA	11903	LOC100507554								
Interval_7288	chr5	442607	442898	+	0	NA	promoter-TSS (EXOC3)	NA	391	C5orf55								
Interval_7307	chr5	10508791	10508938	+	0	NA	intron (LOC389273, intron 1 of 2)	NA	330	LOC389273								
Interval_9610	chr9	131635423	131635617	+	0	NA	intron (RAPGEF1, intron 5 of 23)	NA	80531	LOC102723804								
Interval_6979	chr4	7738576	7738722	+	0	NA	intron (SORCS2, intron 26 of 26)	NA	-15441	AFAP1-AS1								
Interval_2026	chr12	48814761	48814923	+	0	NA	promoter-TSS (CACNB3)	NA	-320	LOC101927241								
Interval_74	chr1	9539175	9539596	+	0	NA	promoter-TSS (SLC25A33)	NA	-14343	SLC25A33								
Interval_3848	chr17	56918999	56919309	+	0	NA	Intergenic	NA	-5106	TRIM25								
Interval_9530	chr9	117782893	117783464	+	0	NA	Intergenic	NA	79003	TLR4								
Interval_6911	chr3	195259889	195260159	+	0	NA	promoter-TSS (XXYLT1)	NA	6	XXYLT1								
Interval_8124	chr6	134413255	134413514	+	0	NA	Intergenic	NA	14677	LOC102723463								
Interval_1461	chr11	8688917	8689128	+	0	NA	exon (RPL27A, exon 5 of 5)	NA	3583	SNORA45								
Interval_1475	chr11	10366651	10366846	+	0	NA	intron (CAND1.11, intron 2 of 3)	NA	58435	CAND1.11								
Interval_9216	chr8	141094230	141094446	+	0	NA	Intergenic	NA	33973	LOC101927963								
Interval_2886	chr15	63504774	63504919	+	0	NA	intron (USP3, intron 1 of 13)	NA	335	USP3								
Interval_7909	chr6	31738270	31738411	+	0	NA	Intergenic	NA	-1022	CLIC1								
Interval_621	chr1	150974446	150974634	+	0	NA	promoter-TSS (CERS2)	NA	463	CERS2								
Interval_2901	chr15	65297279	65297420	+	0	NA	Intergenic	NA	1298	RNU5A-1								
Interval_9749	chrX	39145055	39145221	+	0	NA	Intergenic	NA	182224	RP11-265P11.2								
Interval_6115	chr21	34570387	34570533	+	0	NA	intron (RCAN1, intron 1 of 2)	NA	43986	RCAN1								
Interval_7600	chr5	149551058	149551275	+	0	NA	promoter-TSS (CSNK1A1)	NA	-835	CSNK1A1								
Interval_4733	chr19	31214123	31214489	+	0	NA	intron (LOC101927254, intron 1 of 3)	NA	-32983	LOC101927254								
Interval_1918	chr12	6663247	6663460	+	0	NA	promoter-TSS (ING4)	NA	-234	ING4								
Interval_715	chr1	161314262	161314493	+	0	NA	promoter-TSS (SDHC)	NA	1	SDHC								
Interval_3293	chr16	46390945	46391138	+	0	NA	Intergenic	NA	178056	ANKRD26P1								
Interval_8382	chr7	44885463	44885940	+	0	NA	promoter-TSS (PURB)	NA	-316	PURB								
Interval_1533	chr11	43920842	43921030	+	0	NA	promoter-TSS (ALKBH3-AS1)	NA	8	ALKBH3-AS1								
Interval_1416	chr11	821450	821673	+	0	NA	intron (PNPLA2, intron 2 of 9)	NA	2660	PNPLA2								
Interval_7105	chr4	77075671	77075927	+	0	NA	exon (CCNI, exon 1 of 7)	NA	173	CCNI								
Interval_5851	chr20	23622928	23623397	+	0	NA	Intergenic	NA	14886	CST3								
Interval_9542	chr9	121557912	121558216	+	0	NA	Intergenic	NA	-58037	GGTA1P								
Interval_2454	chr13	108269644	108269929	+	0	NA	exon (TNFSF13B, exon 1 of 6)	NA	259	TNFSF13B								
Interval_3707	chr17	32350369	32350504	+	0	NA	promoter-TSS (C17orf75)	NA	327	MIR632								
Interval_7068	chr4	52659214	52659345	+	0	NA	promoter-TSS (USP46)	NA	56	USP46								
Interval_2402	chr13	30744451	30744666	+	0	NA	intron (ALOX5AP, intron 2 of 4)	NA	9050	ALOX5AP								
Interval_906	chr1	224333985	224334271	+	0	NA	Intergenic	NA	-3941	NVL								
Interval_4183	chr18	32085252	32085508	+	0	NA	Intergenic	NA	-6511	RNF138								
Interval_4602	chr19	13846466	13847999	+	0	NA	Intergenic	NA	-10617	MIR23A								
Interval_6520	chr3	39153582	39153743	+	0	NA	promoter-TSS (CSRNP1)	NA	940	CSRNP1								
Interval_4690	chr19	18263096	18263283	+	0	NA	intron (KIAA1683, intron 3 of 3)	NA	-7770	LOC729966								
Interval_2503	chr14	31207058	31207413	+	0	NA	exon (HECTD1, exon 1 of 43)	NA	825	HECTD1								
Interval_6375	chr22	47337186	47337511	+	0	NA	Intergenic	NA	149763	LOC101927722								
Interval_2662	chr14	77042294	77042471	+	0	NA	intron (RP11-7F17.5, intron 1 of 3)	NA	1422	RP11-7F17.5								
Interval_9620	chr9	133417962	133418210	+	0	NA	promoter-TSS (REXO4)	NA	10	REXO4								
Interval_939	chr1	230509483	230509977	+	0	NA	Intergenic	NA	-83802	PGBD5								
Interval_6250	chr22	30265817	30265975	+	0	NA	promoter-TSS (OSM)	NA	-531	OSM								
Interval_5037	chr19	55407901	55408252	+	0	NA	promoter-TSS (UBE2S)	NA	-119	UBE2S								
Interval_6210	chr22	20864620	20864782	+	0	NA	intron (SNAP29, intron 1 of 4)	NA	5697	SNAP29								
Interval_2246	chr12	116861479	116861610	+	0	NA	intron (HRK, intron 1 of 1)	NA	19883	HRK								
Interval_3742	chr17	40318406	40318565	+	0	NA	intron (RARA, intron 1 of 8)	NA	264	RARA								
Interval_268	chr1	32989388	32989531	+	0	NA	Intergenic	NA	-24594	RNF19B								
Interval_1696	chr11	66421649	66421960	+	0	NA	intron (NPAS4, intron 1 of 7)	NA	800	NPAS4								
Interval_1650	chr11	65013620	65013771	+	0	NA	promoter-TSS (ARL2)	NA	-418	ARL2								
Interval_1740	chr11	72975885	72976029	+	0	NA	intron (FCHSD2, intron 8 of 19)	NA	161550	ATG16L2								
Interval_9111	chr8	123574598	123574739	+	0	NA	Intergenic	NA	-42525	FBXO32								
Interval_1832	chr11	117572197	117572415	+	0	NA	intron (DSCAML1, intron 3 of 32)	NA	110120	LOC101929039								
Interval_5067	chr19	58559355	58559608	+	0	NA	promoter-TSS (UBE2M)	NA	295	AC016629.8								
Interval_3165	chr16	11743820	11743961	+	0	NA	Intergenic	NA	-1098	TXNDC11								
Interval_8747	chr8	22244759	22245324	+	0	NA	promoter-TSS (MIR320A)	NA	2	MIR320A								
Interval_6783	chr3	149373842	149373983	+	0	NA	intron (TM4SF1, intron 3 of 4)	NA	-3866	TM4SF1-AS1								
Interval_419	chr1	85276637	85276858	+	0	NA	exon (BCL10, exon 1 of 3)	NA	174	BCL10								
Interval_9181	chr8	133217879	133218170	+	0	NA	intron (WISP1, intron 2 of 2)	NA	-5110	LOC102723635								
Interval_6205	chr22	20495663	20495812	+	0	NA	promoter-TSS (LOC101928824)	NA	146	KLHL22								
Interval_9280	chr8	144787278	144787493	+	0	NA	promoter-TSS (ZNF34)	NA	4606	MIR6850								
Interval_8707	chr8	11877511	11877829	+	0	NA	Intergenic	NA	-9977	CTSB								
Interval_6625	chr3	58335151	58335473	+	0	NA	intron (PXK, intron 1 of 14)	NA	2422	PXK								
Interval_3416	chr16	81481449	81481650	+	0	NA	intron (CMIP, intron 1 of 20)	NA	-52353	MIR7854								
Interval_4141	chr18	3449275	3449990	+	0	NA	promoter-TSS (TGIF1)	NA	-2113	LOC101927094								
Interval_2783	chr15	30624293	30624537	+	0	NA	intron (LOC101927579, intron 1 of 2)	NA	1317	LOC101927579								
Interval_7469	chr5	100780069	100780211	+	0	NA	Intergenic	NA	36425	MIR548P								
Interval_2877	chr15	58933271	58933406	+	0	NA	promoter-TSS (SLTM)	NA	786	SLTM								
Interval_7377	chr5	54013597	54013868	+	0	NA	intron (ARL15, intron 5 of 5)	NA	61849	MIR4459								
Interval_2953	chr15	72103192	72103532	+	0	NA	intron (MYO9A, intron 1 of 41)	NA	-13543	SENP8								
Interval_6499	chr3	33096871	33097049	+	0	NA	promoter-TSS (GLB1)	NA	-138	GLB1								
Interval_6310	chr22	38201820	38202241	+	0	NA	promoter-TSS (MAFF)	NA	98	MAFF								
Interval_4747	chr19	34172707	34172962	+	0	NA	intron (LSM14A, intron 1 of 7)	NA	336	LSM14A								
Interval_956	chr1	234772419	234772715	+	0	NA	Intergenic	NA	-12517	PP2672								
Interval_2339	chr12	132477190	132477364	+	0	NA	Intergenic	NA	-3023	MUC8								
Interval_6410	chr3	5122086	5122327	+	0	NA	promoter-TSS (ARL8B)	NA	-86	ARL8B								
Interval_6815	chr3	158802196	158802428	+	0	NA	exon (MFSD1, exon 1 of 16)	NA	306	MFSD1								
Interval_2776	chr15	23565471	23565742	+	0	NA	exon (MKRN3, exon 1 of 1)	NA	299	MKRN3								
Interval_2274	chr12	121687091	121687257	+	0	NA	Intergenic	NA	-14553	MORN3								
Interval_5386	chr2	98464489	98464630	+	0	NA	intron (INPP4A, intron 1 of 25)	NA	-54405	INPP4A								
Interval_1964	chr12	14365450	14365937	+	0	NA	promoter-TSS (ATF7IP)	NA	61	ATF7IP								
Interval_457	chr1	104467688	104468252	+	0	NA	Intergenic	NA	394947	LOC100129138								
Interval_1201	chr10	79068752	79068933	+	0	NA	promoter-TSS (ZMIZ1)	NA	-1394	ZMIZ1-AS1								
Interval_7111	chr4	77862674	77862817	+	0	NA	promoter-TSS (MRPL1)	NA	94	MRPL1								
Interval_739	chr1	171313932	171314115	+	0	NA	promoter-TSS (FMO4)	NA	-156	FMO4								
Interval_3306	chr16	47143559	47143792	+	0	NA	promoter-TSS (RP11-329J18.2)	NA	350	NETO2								
Interval_7112	chr4	78320536	78320746	+	0	NA	intron (FRAS1, intron 18 of 71)	NA	-231544	ANXA3								
Interval_9563	chr9	127561935	127562210	+	0	NA	promoter-TSS (FAM129B)	NA	7045	FAM129B								
Interval_2097	chr12	57430520	57430716	+	0	NA	promoter-TSS (R3HDM2)	NA	-4067	INHBC								
Interval_8112	chr6	129491018	129491259	+	0	NA	intron (LAMA2, intron 57 of 65)	NA	67199	LOC102723409								
Interval_398	chr1	67060832	67061072	+	0	NA	Intergenic	NA	-6555	SLC35D1								
Interval_629	chr1	151458968	151459268	+	0	NA	promoter-TSS (POGZ)	NA	-4059	POGZ								
Interval_9054	chr8	102863889	102864116	+	0	NA	promoter-TSS (LOC100506753)	NA	167	AZIN1								
Interval_1350	chr10	121069125	121069407	+	0	NA	Intergenic	NA	-109434	LINC01153								
Interval_7329	chr5	32585464	32585882	+	0	NA	intron (SUB1, intron 1 of 4)	NA	174	SUB1								
Interval_2592	chr14	68210692	68211292	+	0	NA	intron (RAD51B, intron 7 of 10)	NA	189387	LOC101927971								
Interval_156	chr1	24190273	24190505	+	0	NA	Intergenic	NA	-3114	IFNLR1								
Interval_5549	chr2	176491166	176491602	+	0	NA	Intergenic	NA	109668	MIR1246								
Interval_13	chr1	1375208	1375402	+	0	NA	promoter-TSS (AURKAIP1)	NA	133	AURKAIP1								
Interval_6101	chr21	33394314	33394648	+	0	NA	Intergenic	NA	-8956	IFNGR2								
Interval_4850	chr19	45115862	45116045	+	0	NA	intron (PPP1R37, intron 1 of 12)	NA	22780	PPP1R37								
Interval_9337	chr9	25994725	25994993	+	0	NA	Intergenic	NA	-71816	LOC100506422								
Interval_1296	chr10	103757773	103758100	+	0	NA	intron (SH3PXD2A, intron 3 of 13)	NA	11157	SH3PXD2A-AS1								
Interval_5491	chr2	147844436	147844643	+	0	NA	promoter-TSS (ACVR2A)	NA	-264	ACVR2A								
Interval_7031	chr4	38193662	38193836	+	0	NA	Intergenic	NA	233314	PTTG2								
Interval_4979	chr19	51372823	51373160	+	0	NA	promoter-TSS (NKG7)	NA	-270	NKG7								
Interval_6718	chr3	125822247	125822516	+	0	NA	Intergenic	NA	-31867	MIR548I1								
Interval_8510	chr7	100396620	100396823	+	0	NA	intron (PILRA, intron 3 of 6)	NA	23276	PILRA								
Interval_3327	chr16	54928683	54928900	+	0	NA	promoter-TSS (CRNDE)	NA	-13	CRNDE								
Interval_8625	chr7	151342336	151342502	+	0	NA	intron (NUB1, intron 1 of 14)	NA	568	NUB1								
Interval_5114	chr2	10534071	10534228	+	0	NA	Intergenic	NA	81705	LOC102723993								
Interval_3557	chr17	7014801	7015012	+	0	NA	TTS (RNASEK)	NA	169	C17orf49								
Interval_9584	chr9	129161412	129161553	+	0	NA	Intergenic	NA	16779	IER5L								
Interval_8196	chr6	158219303	158219609	+	0	NA	Intergenic	NA	-12780	TULP4								
Interval_3892	chr17	61252403	61252546	+	0	NA	intron (BCAS3, intron 22 of 24)	NA	115131	LOC101927855								
Interval_1949	chr12	11836585	11836727	+	0	NA	intron (ETV6, intron 2 of 7)	NA	149140	LOC101928186								
Interval_586	chr1	146387862	146388195	+	0	NA	TTS (LOC100996756)	NA	873	LOC100996756								
Interval_2136	chr12	82358341	82358704	+	0	NA	promoter-TSS (METTL25)	NA	25	METTL25								
Interval_5573	chr2	191114492	191114712	+	0	NA	intron (STAT4, intron 3 of 23)	NA	36077	STAT4								
Interval_3463	chr16	88333463	88333660	+	0	NA	Intergenic	NA	-93910	ZNF469								
Interval_9213	chr8	140596996	140597297	+	0	NA	intron (AGO2, intron 1 of 17)	NA	38401	AGO2								
Interval_8880	chr8	53176796	53176989	+	0	NA	Intergenic	NA	74805	OPRK1								
Interval_5368	chr2	88055544	88055784	+	0	NA	promoter-TSS (KRCC1)	NA	132	KRCC1								
Interval_7952	chr6	36678434	36678845	+	0	NA	promoter-TSS (CDKN1A)	NA	-71	CDKN1A								
Interval_8295	chr7	7640740	7641067	+	0	NA	exon (RPA3, exon 5 of 8)	NA	192	RPA3-AS1								
Interval_6764	chr3	136751989	136752125	+	0	NA	intron (STAG1, intron 1 of 33)	NA	346	STAG1								
Interval_2915	chr15	67085834	67086028	+	0	NA	intron (SMAD3, intron 1 of 8)	NA	-52090	SMAD3								
Interval_2369	chr13	26186469	26186654	+	0	NA	intron (RNF6, intron 5 of 5)	NA	35988	RNF6								
Interval_9832	chrY	4035969	4036127	+	0	NA	Intergenic	NA	456963	TGIF2LY								
Interval_1707	chr11	67268444	67268652	+	0	NA	intron (ADRBK1, intron 1 of 20)	NA	2114	ADRBK1								
Interval_2759	chr14	105069849	105070032	+	0	NA	Intergenic	NA	-4390	GPR132								
