REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp136-MV411-H3K27ac-r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam
5_MV411_3_136_R1_peak_16914_lociStitched	chr8	58594758	58617312	5	5064	8268.2964	3173.3478
5_MV411_3_136_R1_peak_245_lociStitched	chr1	22018654	22040931	5	3943	5411.0833	2350.2235
4_MV411_3_136_R1_peak_16679_lociStitched	chr8	22693537	22715743	4	4473	9743.9928	4077.0216
5_MV411_3_136_R1_peak_17269_lociStitched	chr8	102788678	102810821	5	3155	6016.2531	3580.5231
5_MV411_3_136_R1_peak_10794_lociStitched	chr20	362270	384257	5	8217	9074.0349	2460.3453
8_MV411_3_136_R1_peak_1834_lociStitched	chr10	7471199	7493132	8	4998	5456.9304	1794.1194
4_MV411_3_136_R1_peak_8176_lociStitched	chr18	73695503	73717435	4	893	3542.018	2103.2788
3_MV411_3_136_R1_peak_1747_lociStitched	chr1	244952680	244974472	3	7001	8063.04	2279.4432
5_MV411_3_136_R1_peak_9383_lociStitched	chr19	54367368	54389111	5	8886	11717.3027	2961.3966
8_MV411_3_136_R1_peak_7110_lociStitched	chr17	40317843	40339553	8	11963	14311.232	2783.222
10_MV411_3_136_R1_peak_571_lociStitched	chr1	43831671	43853336	10	13190	14853.524	2257.493
11_MV411_3_136_R1_peak_12928_lociStitched	chr3	171966652	171987785	11	10428	8417.2739	2407.0487
7_MV411_3_136_R1_peak_6980_lociStitched	chr17	29706562	29727453	7	5763	5559.0951	2057.7635
4_MV411_3_136_R1_peak_9805_lociStitched	chr2	55099628	55120465	4	3773	5140.4879	2217.0568
7_MV411_3_136_R1_peak_7514_lociStitched	chr17	75294056	75314869	7	6730	5881.7538	2362.2755
7_MV411_3_136_R1_peak_7765_lociStitched	chr18	5447671	5468340	7	5859	4995.6973	1672.1221
4_MV411_3_136_R1_peak_11462_lociStitched	chr21	34533753	34554305	4	7189	8222.8552	2482.6816
5_MV411_3_136_R1_peak_5432_lociStitched	chr15	50095386	50115824	5	14530	15214.0472	1957.9604
6_MV411_3_136_R1_peak_17493_lociStitched	chr8	129663479	129683747	6	9052	11386.5624	3285.4428
3_MV411_3_136_R1_peak_7646_lociStitched	chr17	81325712	81345970	3	7970	11121.642	2657.8496
5_MV411_3_136_R1_peak_9701_lociStitched	chr2	38635184	38655342	5	5423	6130.0478	2171.0166
6_MV411_3_136_R1_peak_13038_lociStitched	chr3	190566787	190586920	6	3757	4374.9009	2013.3
5_MV411_3_136_R1_peak_2039_lociStitched	chr10	62618495	62638615	5	1856	3370.1	2211.188
3_MV411_3_136_R1_peak_10634_lociStitched	chr2	225007961	225028049	3	1167	3334.608	1787.832
4_MV411_3_136_R1_peak_8166_lociStitched	chr18	73125092	73145073	4	1318	3071.0797	1460.6111
4_MV411_3_136_R1_peak_9216_lociStitched	chr19	47094167	47114142	4	9325	19122.0675	3521.5925
5_MV411_3_136_R1_peak_6561_lociStitched	chr16	85552828	85572713	5	7307	8828.94	2555.2225
7_MV411_3_136_R1_peak_1503_lociStitched	chr1	214426687	214446538	7	4377	4678.8807	1941.4278
3_MV411_3_136_R1_peak_6281_lociStitched	chr16	34572255	34592062	3	1301	16810.2009	14470.9942
4_MV411_3_136_R1_peak_922_lociStitched	chr1	116989749	117009200	4	5369	4769.3852	1974.2765
5_MV411_3_136_R1_peak_9772_lociStitched	chr2	46967581	46986841	5	2418	4345.056	2351.646
8_MV411_3_136_R1_peak_15653_lociStitched	chr6	169707052	169726200	8	8367	9920.5788	1572.0508
5_MV411_3_136_R1_peak_2140_lociStitched	chr10	72242658	72261739	5	2345	3879.1673	2026.4022
5_MV411_3_136_R1_peak_15930_lociStitched	chr7	41869411	41888483	5	4893	6478.7584	2349.6704
5_MV411_3_136_R1_peak_11434_lociStitched	chr21	33198587	33217494	5	4068	4893.1316	2185.6492
4_MV411_3_136_R1_peak_8782_lociStitched	chr19	18109951	18128794	4	1826	3629.1618	3011.1114
4_MV411_3_136_R1_peak_12722_lociStitched	chr3	128846100	128864777	4	2115	3810.108	2299.1387
7_MV411_3_136_R1_peak_15904_lociStitched	chr7	38299803	38318316	7	14393	12492.5724	2049.3891
5_MV411_3_136_R1_peak_2497_lociStitched	chr10	123133319	123151796	5	15570	12106.1304	2097.1395
2_MV411_3_136_R1_peak_8808_lociStitched	chr19	18402024	18420331	2	6244	9598.3601	3146.9733
5_MV411_3_136_R1_peak_5806_lociStitched	chr15	90647986	90666266	5	6302	7145.652	2027.252
7_MV411_3_136_R1_peak_14743_lociStitched	chr6	7184716	7202934	7	3545	4692.9568	1891.0284
5_MV411_3_136_R1_peak_11256_lociStitched	chr20	53737156	53755269	5	3352	3925.0871	1934.4684
4_MV411_3_136_R1_peak_14709_lociStitched	chr6	6707115	6725212	4	3524	4428.3359	2162.5915
6_MV411_3_136_R1_peak_1146_lociStitched	chr1	156490465	156508476	6	11212	10064.5468	2116.2925
4_MV411_3_136_R1_peak_2527_lociStitched	chr10	126092306	126110299	4	2767	3618.3923	1858.6769
3_MV411_3_136_R1_peak_5776_lociStitched	chr15	85689344	85707294	3	2660	3378.19	1593.96
4_MV411_3_136_R1_peak_6934_lociStitched	chr17	27527974	27545859	4	6408	8205.638	2094.3335
5_MV411_3_136_R1_peak_13044_lociStitched	chr3	190605174	190622975	5	8309	7932.1256	1477.483
4_MV411_3_136_R1_peak_11167_lociStitched	chr20	46544704	46562481	4	3218	5194.4394	2266.5675
3_MV411_3_136_R1_peak_12188_lociStitched	chr3	30631648	30649417	3	1424	2771.964	1748.4696
3_MV411_3_136_R1_peak_17411_lociStitched	chr8	121696301	121714046	3	1091	2880.0135	1733.6865
3_MV411_3_136_R1_peak_4335_lociStitched	chr12	121128642	121146243	3	4862	6505.3296	1830.504
10_MV411_3_136_R1_peak_18543_lociStitched	chrX	45754188	45771629	10	6085	4531.1718	613.9232
5_MV411_3_136_R1_peak_16711_lociStitched	chr8	26594770	26612175	5	7210	8878.2905	2614.231
6_MV411_3_136_R1_peak_16830_lociStitched	chr8	42787661	42805057	6	4435	7328.9348	2489.3676
3_MV411_3_136_R1_peak_2364_lociStitched	chr10	101969310	101986693	3	1180	2153.7537	1806.0937
4_MV411_3_136_R1_peak_16293_lociStitched	chr7	104944147	104961514	4	2703	3221.5785	1932.9471
5_MV411_3_136_R1_peak_2813_lociStitched	chr11	33198054	33214984	5	3810	3325.052	1533.858
5_MV411_3_136_R1_peak_9176_lociStitched	chr19	45439643	45456532	5	3215	4286.4282	2752.907
3_MV411_3_136_R1_peak_3553_lociStitched	chr12	1796338	1813168	3	4647	7679.529	2305.71
4_MV411_3_136_R1_peak_18840_lociStitched	chrX	154718149	154734930	4	1378	2193.2767	879.3244
5_MV411_3_136_R1_peak_4392_lociStitched	chr12	123432234	123448982	5	4460	4959.0828	1631.2552
5_MV411_3_136_R1_peak_301_lociStitched	chr1	26274691	26291399	5	5191	5744.2104	2160.3444
6_MV411_3_136_R1_peak_15199_lociStitched	chr6	43910915	43927573	6	4085	4705.885	2058.9288
5_MV411_3_136_R1_peak_17358_lociStitched	chr8	112961428	112977910	5	1659	3077.1894	1420.7484
4_MV411_3_136_R1_peak_8640_lociStitched	chr19	12777928	12794339	4	10753	15605.2199	2829.2564
4_MV411_3_136_R1_peak_8657_lociStitched	chr19	13151906	13168303	4	5389	8726.4834	2521.8586
6_MV411_3_136_R1_peak_9889_lociStitched	chr2	66435618	66452011	6	14158	16142.1871	1567.1708
5_MV411_3_136_R1_peak_11243_lociStitched	chr20	53579124	53595491	5	13779	11255.5859	1333.9105
4_MV411_3_136_R1_peak_13623_lociStitched	chr4	140237036	140253351	4	2799	3442.465	1726.127
7_MV411_3_136_R1_peak_5423_lociStitched	chr15	50052326	50068508	7	11756	10628.3376	1736.3286
4_MV411_3_136_R1_peak_10957_lociStitched	chr20	21089756	21105919	4	3382	4667.8744	1579.1251
4_MV411_3_136_R1_peak_12007_lociStitched	chr22	50529062	50545210	4	13774	15521.4576	1585.7336
4_MV411_3_136_R1_peak_11716_lociStitched	chr22	28798311	28814437	4	8388	10662.5112	1710.9686
7_MV411_3_136_R1_peak_8205_lociStitched	chr18	76489674	76505746	7	8728	10758.5968	2139.1832
4_MV411_3_136_R1_peak_6987_lociStitched	chr17	30344179	30360231	4	3823	4173.52	1516.914
4_MV411_3_136_R1_peak_8799_lociStitched	chr19	18289545	18305548	4	5907	10930.049	2888.5415
5_MV411_3_136_R1_peak_7483_lociStitched	chr17	74512052	74528033	5	3180	4249.3479	2027.9889
6_MV411_3_136_R1_peak_2752_lociStitched	chr11	14540359	14556286	6	3997	3839.9997	1454.1351
4_MV411_3_136_R1_peak_14248_lociStitched	chr5	132421393	132437213	4	4725	5576.55	1843.03
6_MV411_3_136_R1_peak_1640_lociStitched	chr1	234598712	234614477	6	13756	17122.3665	1743.609
5_MV411_3_136_R1_peak_18737_lociStitched	chrX	120241239	120256901	5	7164	4933.53	585.7588
3_MV411_3_136_R1_peak_18501_lociStitched	chrX	30612626	30628165	3	2306	1883.3268	615.3444
3_MV411_3_136_R1_peak_9313_lociStitched	chr19	50357252	50372764	3	3059	4644.2928	2678.9224
4_MV411_3_136_R1_peak_613_lociStitched	chr1	46579539	46595023	4	2119	2633.8284	1704.7884
3_MV411_3_136_R1_peak_2943_lociStitched	chr11	59550855	59566315	3	2072	2062.364	1790.268
2_MV411_3_136_R1_peak_15494_lociStitched	chr6	139625099	139640448	2	3244	2931.659	1597.8309
5_MV411_3_136_R1_peak_10052_lociStitched	chr2	96241876	96257210	5	1877	2635.9146	1685.2066
3_MV411_3_136_R1_peak_3001_lociStitched	chr11	62541065	62556304	3	1196	2685.1118	1991.7373
3_MV411_3_136_R1_peak_9213_lociStitched	chr19	46846257	46861463	3	3200	4966.2796	2478.578
2_MV411_3_136_R1_peak_6267_lociStitched	chr16	31127748	31142899	2	2827	3757.448	1846.9069
3_MV411_3_136_R1_peak_12434_lociStitched	chr3	52107988	52123012	3	3806	4978.9536	1754.8032
4_MV411_3_136_R1_peak_10873_lociStitched	chr20	4959986	4974964	4	4384	4316.6596	1493.3066
5_MV411_3_136_R1_peak_1531_lociStitched	chr1	221698245	221713223	5	2583	3323.6182	1599.6504
6_MV411_3_136_R1_peak_6079_lociStitched	chr16	17368765	17383714	6	3447	3974.9391	1749.033
4_MV411_3_136_R1_peak_5070_lociStitched	chr14	89350954	89365882	4	3790	3730.5072	1304.7072
3_MV411_3_136_R1_peak_12955_lociStitched	chr3	177344969	177359890	3	2223	3037.9156	1405.5582
2_MV411_3_136_R1_peak_4720_lociStitched	chr14	22836578	22851495	2	3238	4518.3593	1946.6685
3_MV411_3_136_R1_peak_5229_lociStitched	chr14	105060919	105075731	3	6235	5853.7024	1503.418
4_MV411_3_136_R1_peak_2864_lociStitched	chr11	46229103	46243890	4	3088	4968.432	1616.2191
4_MV411_3_136_R1_peak_13943_lociStitched	chr5	50431138	50445903	4	10149	9471.7475	1040.9325
2_MV411_3_136_R1_peak_8267_lociStitched	chr19	821271	835898	2	8324	13019.4927	2305.2152
3_MV411_3_136_R1_peak_953_lociStitched	chr1	144546483	144561047	3	1407	1326.7804	441.2892
9_MV411_3_136_R1_peak_1813_lociStitched	chr10	5283773	5298336	9	6036	4961.6141	1191.2534
2_MV411_3_136_R1_peak_2552_lociStitched	chr10	132419997	132434536	2	3333	3732.1613	1557.1269
5_MV411_3_136_R1_peak_5106_lociStitched	chr14	92651996	92666512	5	4123	4317.0584	1778.21
3_MV411_3_136_R1_peak_6966_lociStitched	chr17	29126799	29141312	3	1925	3441.0323	1673.3489
2_MV411_3_136_R1_peak_14396_lociStitched	chr5	142713264	142727726	2	3076	4231.5812	1599.4972
3_MV411_3_136_R1_peak_7993_lociStitched	chr18	62801978	62816409	3	4715	5138.8791	1438.7707
5_MV411_3_136_R1_peak_3631_lociStitched	chr12	8057080	8071475	5	3515	3382.825	1327.219
4_MV411_3_136_R1_peak_7907_lociStitched	chr18	50307021	50321416	4	4113	4400.5515	1417.9075
4_MV411_3_136_R1_peak_18331_lociStitched	chr9	136206875	136221240	4	3059	4167.2865	1794.1885
5_MV411_3_136_R1_peak_9010_lociStitched	chr19	39397852	39412212	5	10138	16281.368	2702.552
3_MV411_3_136_R1_peak_17527_lociStitched	chr8	133525740	133540087	3	2469	4400.2249	2612.5887
4_MV411_3_136_R1_peak_10987_lociStitched	chr20	25310957	25325303	4	1984	2519.1576	1403.0388
3_MV411_3_136_R1_peak_10003_lociStitched	chr2	85405017	85419352	3	2884	3785.8735	1606.9535
7_MV411_3_136_R1_peak_6176_lociStitched	chr16	29115000	29129256	7	4684	4433.616	1374.2784
4_MV411_3_136_R1_peak_15214_lociStitched	chr6	45696920	45711175	4	1728	2407.6695	1479.669
3_MV411_3_136_R1_peak_17673_lociStitched	chr9	208987	223234	3	5525	5918.2038	1585.6911
5_MV411_3_136_R1_peak_9630_lociStitched	chr2	27946528	27960760	5	4733	4238.2896	1468.7424
4_MV411_3_136_R1_peak_16590_lociStitched	chr8	8334331	8348429	4	4762	8059.8266	2135.847
5_MV411_3_136_R1_peak_18028_lociStitched	chr9	110143800	110157886	5	2511	3266.5434	1359.299
4_MV411_3_136_R1_peak_2734_lociStitched	chr11	12222180	12236264	4	2663	3375.9348	1677.4044
4_MV411_3_136_R1_peak_14203_lociStitched	chr5	114404677	114418683	4	1456	3212.9764	1292.7538
5_MV411_3_136_R1_peak_18621_lociStitched	chrX	65595947	65609944	5	4306	2964.5646	636.8635
3_MV411_3_136_R1_peak_10329_lociStitched	chr2	159561375	159575353	3	2077	2339.9172	1304.1474
4_MV411_3_136_R1_peak_5009_lociStitched	chr14	75287953	75301826	4	5859	5728.1617	1507.9951
7_MV411_3_136_R1_peak_18454_lociStitched	chrX	13078701	13092546	7	5942	4160.4225	858.39
2_MV411_3_136_R1_peak_10734_lociStitched	chr2	237675108	237688935	2	1341	1933.0146	1534.797
3_MV411_3_136_R1_peak_7953_lociStitched	chr18	59904445	59918231	3	1095	3210.7594	1843.1882
2_MV411_3_136_R1_peak_3808_lociStitched	chr12	46549146	46562929	2	2808	3430.5887	1449.9716
8_MV411_3_136_R1_peak_1656_lociStitched	chr1	234838560	234852328	8	6076	6575.5968	1762.304
3_MV411_3_136_R1_peak_15072_lociStitched	chr6	35034939	35048688	3	2175	2921.6625	1512.39
2_MV411_3_136_R1_peak_17075_lociStitched	chr8	81094663	81108402	2	2916	4708.3553	2232.5875
2_MV411_3_136_R1_peak_4410_lociStitched	chr12	124713253	124726958	2	1590	1900.8835	1813.1715
3_MV411_3_136_R1_peak_6029_lociStitched	chr16	11052899	11066555	3	1388	2391.1656	1679.688
3_MV411_3_136_R1_peak_17940_lociStitched	chr9	93945529	93959184	3	1834	1952.665	1538.9185
3_MV411_3_136_R1_peak_788_lociStitched	chr1	92475900	92489553	3	10875	12182.5719	1550.9808
3_MV411_3_136_R1_peak_16185_lociStitched	chr7	92621323	92634939	3	1011	2193.5376	1349.3456
4_MV411_3_136_R1_peak_17765_lociStitched	chr9	27588270	27601879	4	3951	3795.5501	1622.1928
3_MV411_3_136_R1_peak_9032_lociStitched	chr19	40420885	40434430	3	2448	3716.748	2175.327
2_MV411_3_136_R1_peak_11027_lociStitched	chr20	32672660	32686178	2	1731	2300.7636	1564.0326
3_MV411_3_136_R1_peak_1693_lociStitched	chr1	235879619	235893134	3	1566	1979.9475	1298.7915
MV411_3_136_R1_peak_10277	chr2	144506717	144520223	1	13507	20421.072	1647.732
2_MV411_3_136_R1_peak_6315_lociStitched	chr16	50246230	50259732	2	1246	1604.0376	1563.5316
3_MV411_3_136_R1_peak_11310_lociStitched	chr20	62727690	62741186	3	1199	2560.1912	1661.3576
3_MV411_3_136_R1_peak_5450_lociStitched	chr15	51321695	51335156	3	4257	4638.6606	1679.9328
4_MV411_3_136_R1_peak_9070_lociStitched	chr19	41407693	41421153	4	3822	5830.872	2484.716
3_MV411_3_136_R1_peak_11293_lociStitched	chr20	60045688	60059128	3	4858	6335.616	1673.28
2_MV411_3_136_R1_peak_8208_lociStitched	chr18	76554232	76567664	2	4868	5637.4104	1662.8816
3_MV411_3_136_R1_peak_7557_lociStitched	chr17	76480540	76493971	3	1684	2018.6793	1083.8817
5_MV411_3_136_R1_peak_10966_lociStitched	chr20	23148119	23161538	5	2812	4485.9717	1718.9739
4_MV411_3_136_R1_peak_14796_lociStitched	chr6	14910237	14923655	4	3987	4393.0532	1535.0192
2_MV411_3_136_R1_peak_12366_lociStitched	chr3	49339330	49352699	2	8559	8967.9252	1469.2531
5_MV411_3_136_R1_peak_17486_lociStitched	chr8	129580825	129594163	5	7119	8169.525	2122.0758
3_MV411_3_136_R1_peak_9143_lociStitched	chr19	44741447	44754765	3	3565	4529.4518	2236.0922
2_MV411_3_136_R1_peak_8465_lociStitched	chr19	6088154	6101430	2	2469	3981.4724	2428.1804
2_MV411_3_136_R1_peak_3686_lociStitched	chr12	12715479	12728715	2	11648	14014.2768	1669.0596
3_MV411_3_136_R1_peak_16489_lociStitched	chr7	151403817	151417047	3	1655	3020.409	1598.184
2_MV411_3_136_R1_peak_2224_lociStitched	chr10	80486381	80499591	2	948	2521.789	1486.125
3_MV411_3_136_R1_peak_1203_lociStitched	chr1	161726324	161739519	3	1669	1739.101	1287.832
4_MV411_3_136_R1_peak_8513_lociStitched	chr19	7644868	7658059	4	2499	4251.4593	2483.8653
3_MV411_3_136_R1_peak_12781_lociStitched	chr3	138863463	138876649	3	1147	1395.0788	999.4988
3_MV411_3_136_R1_peak_3398_lociStitched	chr11	109972365	109985523	3	1100	1776.33	1384.2216
5_MV411_3_136_R1_peak_8337_lociStitched	chr19	2081881	2095035	5	8732	9240.685	2066.4934
3_MV411_3_136_R1_peak_5291_lociStitched	chr15	31352895	31365985	3	1627	2348.346	1713.481
2_MV411_3_136_R1_peak_105_lociStitched	chr1	8211648	8224732	2	735	1802.9752	1499.4264
3_MV411_3_136_R1_peak_17907_lociStitched	chr9	91151392	91164452	3	1874	1654.702	624.268
4_MV411_3_136_R1_peak_427_lociStitched	chr1	32980978	32994031	4	1776	2401.752	1444.9671
3_MV411_3_136_R1_peak_8500_lociStitched	chr19	7337127	7350156	3	1602	2948.4627	1996.0428
2_MV411_3_136_R1_peak_13596_lociStitched	chr4	139175962	139188979	2	3374	3967.5816	1263.9507
3_MV411_3_136_R1_peak_14028_lociStitched	chr5	67181104	67194103	3	1861	3395.3388	1510.4838
6_MV411_3_136_R1_peak_12233_lociStitched	chr3	39248715	39261697	6	3286	3302.6208	1512.403
3_MV411_3_136_R1_peak_1382_lociStitched	chr1	200627789	200640760	3	1239	1539.6577	1221.8682
2_MV411_3_136_R1_peak_9700_lociStitched	chr2	38600033	38612998	2	3737	4597.389	1479.3065
2_MV411_3_136_R1_peak_6015_lociStitched	chr16	8632419	8645322	2	1710	1885.1283	1411.5882
3_MV411_3_136_R1_peak_6557_lociStitched	chr16	85524027	85536930	3	3608	4125.0891	1581.9078
2_MV411_3_136_R1_peak_536_lociStitched	chr1	41726968	41739866	2	2058	2942.0338	1631.597
4_MV411_3_136_R1_peak_10876_lociStitched	chr20	5078001	5090862	4	1805	1993.455	1268.0946
7_MV411_3_136_R1_peak_3766_lociStitched	chr12	31895259	31908118	7	5836	4786.1198	1260.182
2_MV411_3_136_R1_peak_10231_lociStitched	chr2	131669402	131682241	2	793	986.0352	953.9377
3_MV411_3_136_R1_peak_16304_lociStitched	chr7	106071143	106083949	3	789	1407.3794	1239.6208
4_MV411_3_136_R1_peak_15245_lociStitched	chr6	67885055	67897852	4	8721	9289.3423	990.4878
2_MV411_3_136_R1_peak_15084_lociStitched	chr6	35719623	35732413	2	2727	3271.682	1578.286
5_MV411_3_136_R1_peak_15769_lociStitched	chr7	6423625	6436382	5	3860	3748.0066	1435.1625
5_MV411_3_136_R1_peak_408_lociStitched	chr1	31943912	31956666	5	2574	2710.225	1275.4
3_MV411_3_136_R1_peak_7010_lociStitched	chr17	31308871	31321561	3	6230	5034.123	1214.433
3_MV411_3_136_R1_peak_2692_lociStitched	chr11	6635046	6647729	3	1832	2000.1091	1570.1554
4_MV411_3_136_R1_peak_10676_lociStitched	chr2	231545037	231557697	4	2310	2420.592	1222.956
3_MV411_3_136_R1_peak_9746_lociStitched	chr2	43293040	43305696	3	1931	2279.3456	1247.8816
3_MV411_3_136_R1_peak_14307_lociStitched	chr5	135481681	135494327	3	1958	3391.6572	1593.396
4_MV411_3_136_R1_peak_18695_lociStitched	chrX	107673286	107685896	4	4764	4455.113	868.829
4_MV411_3_136_R1_peak_11505_lociStitched	chr21	39004441	39017049	4	3154	3758.4448	1466.3104
2_MV411_3_136_R1_peak_1569_lociStitched	chr1	226110183	226122727	2	1877	1743.616	1179.136
2_MV411_3_136_R1_peak_1073_lociStitched	chr1	154407654	154420155	2	723	1440.1152	1481.3685
