PeakID (cmd=annotatePeaks.pl ERG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_7444	chr11	102559952	102560150	+	0	NA	Intergenic	NA	-29304	MMP7								
Interval_35686	chr7	87874002	87874429	+	0	NA	intron (SLC25A40, intron 1 of 11)	NA	2162	SLC25A40								
Interval_35251	chr7	38222590	38222813	+	0	NA	intron (STARD3NL, intron 7 of 8)	NA	44461	STARD3NL								
Interval_20251	chr19	55703795	55703969	+	0	NA	Intergenic	NA	28676	EPN1								
Interval_28384	chr3	186882223	186882531	+	0	NA	Intergenic	NA	-26254	ADIPOQ-AS1								
Interval_1527	chr1	64965895	64966882	+	0	NA	exon (JAK1, exon 1 of 25)	NA	-9371	JAK1								
Interval_15832	chr17	29808080	29808320	+	0	NA	intron (SSH2, intron 1 of 7)	NA	122028	SSH2								
Interval_40265	chrX	46711368	46711570	+	0	NA	intron (SLC9A7, intron 1 of 17)	NA	47579	SLC9A7								
Interval_20618	chr2	23506493	23506660	+	0	NA	intron (KLHL29, intron 2 of 13)	NA	-17341	KLHL29								
Interval_1873	chr1	94303461	94303694	+	0	NA	Intergenic	NA	-29736	LOC100505940								
Interval_37361	chr8	95130567	95130883	+	0	NA	Intergenic	NA	-2996	PLEKHF2								
Interval_33326	chr6	39088518	39088723	+	0	NA	TTS (GLP1R)	NA	21180	SAYSD1								
Interval_21690	chr2	99338096	99338468	+	0	NA	intron (EIF5B, intron 1 of 23)	NA	911	EIF5B								
Interval_22449	chr2	168398118	168398334	+	0	NA	Intergenic	NA	30878	LOC102724081								
Interval_31959	chr5	151093676	151093924	+	0	NA	Intergenic	NA	-12712	TNIP1								
Interval_16474	chr17	55761021	55761305	+	0	NA	intron (PCTP, intron 1 of 5)	NA	10184	PCTP								
Interval_30611	chr5	40388387	40388663	+	0	NA	Intergenic	NA	-292426	PTGER4								
Interval_31819	chr5	141952085	141952304	+	0	NA	intron (PCDH12, intron 1 of 3)	NA	6868	PCDH12								
Interval_31222	chr5	96537434	96537759	+	0	NA	Intergenic	NA	-105437	PCSK1								
Interval_38063	chr8	143157874	143158117	+	0	NA	TTS (LY6H)	NA	2343	LY6H								
Interval_4795	chr10	50418099	50418389	+	0	NA	exon (SGMS1, exon 1 of 6)	NA	-169634	ASAH2								
Interval_16380	chr17	49403617	49403822	+	0	NA	TTS (PHB)	NA	11139	PHB								
Interval_9041	chr12	57157722	57158156	+	0	NA	intron (LRP1, intron 10 of 88)	NA	29440	LRP1								
Interval_22817	chr2	196268140	196268344	+	0	NA	intron (HECW2, intron 16 of 26)	NA	8218	AC020571.3								
Interval_22725	chr2	187554198	187554852	+	0	NA	promoter-TSS (TFPI)	NA	-33913	TFPI								
Interval_9769	chr12	116738028	116738459	+	0	NA	promoter-TSS (RNFT2)	NA	-48	RNFT2								
Interval_36383	chr7	152759664	152759829	+	0	NA	promoter-TSS (ACTR3B)	NA	-41914	ACTR3B								
Interval_10000	chr12	124727214	124727656	+	0	NA	Intergenic	NA	-119874	LOC101927436								
Interval_24837	chr21	34708155	34708359	+	0	NA	intron (CLIC6, intron 3 of 5)	NA	28925	LINC00160								
Interval_31996	chr5	154857396	154857666	+	0	NA	Intergenic	NA	-10151	CNOT8								
Interval_19131	chr19	18022179	18022382	+	0	NA	Intergenic	NA	14112	ARRDC2								
Interval_37158	chr8	63169144	63169378	+	0	NA	promoter-TSS (YTHDF3-AS1)	NA	258	YTHDF3								
Interval_19836	chr19	46748504	46748885	+	0	NA	promoter-TSS (FKRP)	NA	2648	FKRP								
Interval_12619	chr15	30903460	30903959	+	0	NA	promoter-TSS (FAN1)	NA	-90	FAN1								
Interval_11698	chr14	63543299	63543755	+	0	NA	promoter-TSS (PPP2R5E)	NA	-35289	PPP2R5E								
Interval_13273	chr15	68770351	68770538	+	0	NA	Intergenic	NA	31434	MIR4312								
Interval_7717	chr11	120335886	120336629	+	0	NA	promoter-TSS (ARHGEF12)	NA	-298	ARHGEF12								
Interval_17566	chr18	9317276	9317554	+	0	NA	Intergenic	NA	17046	LOC102724397								
Interval_18868	chr19	13096662	13096822	+	0	NA	TTS (LYL1)	NA	6418	LYL1								
Interval_15917	chr17	35560766	35561099	+	0	NA	Intergenic	NA	-1168	SLFN14								
Interval_29523	chr4	74394779	74395082	+	0	NA	Intergenic	NA	29787	EREG								
Interval_11453	chr14	39232842	39233249	+	0	NA	promoter-TSS (MIA2)	NA	-876	MIA2								
Interval_32709	chr6	16236626	16236929	+	0	NA	Intergenic	NA	-1803	GMPR								
Interval_36847	chr8	29731590	29731779	+	0	NA	intron (LINC00589, intron 1 of 3)	NA	16425	LINC00589								
Interval_8222	chr12	8081977	8082365	+	0	NA	promoter-TSS (NECAP1)	NA	-40	NECAP1								
Interval_1917	chr1	99849942	99850497	+	0	NA	promoter-TSS (AGL)	NA	-756	AGL								
Interval_39912	chrUn_GL000216v2	158581	158821	+	0	NA	NA	NA	NA	NA								
Interval_31146	chr5	89458071	89458382	+	0	NA	Intergenic	NA	-444065	LOC102724637								
Interval_30930	chr5	72956145	72956456	+	0	NA	intron (FCHO2, intron 1 of 25)	NA	319	FCHO2								
Interval_20427	chr2	8526009	8526397	+	0	NA	Intergenic	NA	57589	AC011747.4								
Interval_8958	chr12	54999176	54999396	+	0	NA	Intergenic	NA	-17448	TESPA1								
Interval_35728	chr7	92835300	92835774	+	0	NA	promoter-TSS (AC002454.1)	NA	-240	CDK6								
Interval_11447	chr14	39038719	39038883	+	0	NA	intron (SEC23A, intron 20 of 20)	NA	64442	SEC23A								
Interval_25124	chr21	46667801	46668317	+	0	NA	Intergenic	NA	32464	PRMT2								
Interval_20473	chr2	10278455	10278945	+	0	NA	Intergenic	NA	23593	LOC101929691								
Interval_10101	chr12	132638813	132639040	+	0	NA	intron (POLE, intron 40 of 48)	NA	20146	P2RX2								
Interval_36988	chr8	42185680	42186019	+	0	NA	intron (PLAT, intron 5 of 12)	NA	21827	PLAT								
Interval_24670	chr21	14581928	14582421	+	0	NA	promoter-TSS (SAMSN1-AS1)	NA	-28	SAMSN1-AS1								
Interval_13155	chr15	64571851	64572274	+	0	NA	intron (ZNF609, intron 1 of 8)	NA	57136	LOC101930091								
Interval_14633	chr16	55496838	55497006	+	0	NA	intron (MMP2, intron 9 of 12)	NA	-12150	LPCAT2								
Interval_36392	chr7	155590292	155590724	+	0	NA	Intergenic	NA	53898	LOC100506302								
Interval_8811	chr12	50589810	50590188	+	0	NA	intron (DIP2B, intron 1 of 38)	NA	-15940	DIP2B								
Interval_26817	chr3	47742577	47742800	+	0	NA	intron (SMARCC1, intron 3 of 27)	NA	39227	SMARCC1								
Interval_6422	chr11	46347242	46347715	+	0	NA	promoter-TSS (DGKZ)	NA	14555	DGKZ								
Interval_33176	chr6	33914740	33914940	+	0	NA	exon (LOC100653005, exon 2 of 2)	NA	3738	LOC100653005								
Interval_11365	chr14	24576213	24576490	+	0	NA	promoter-TSS (CTSG)	NA	-91	CTSG								
Interval_25677	chr22	38416037	38416259	+	0	NA	Intergenic	NA	-8140	LOC101927183								
Interval_10186	chr13	21637390	21637784	+	0	NA	Intergenic	NA	-33379	MICU2								
Interval_10151	chr13	20526153	20526644	+	0	NA	promoter-TSS (CRYL1)	NA	-541	CRYL1								
Interval_7918	chr11	131616481	131616844	+	0	NA	intron (NTM, intron 1 of 8)	NA	46894	LOC101929637								
Interval_22557	chr2	173076538	173076838	+	0	NA	intron (LOC102724157, intron 2 of 2)	NA	694	LOC102724157								
Interval_38492	chr9	35664839	35665390	+	0	NA	exon (ARHGEF39, exon 1 of 9)	NA	167	ARHGEF39								
Interval_28066	chr3	160981069	160981569	+	0	NA	intron (PPM1L, intron 2 of 3)	NA	124005	B3GALNT1								
Interval_34759	chr7	2522270	2522819	+	0	NA	intron (LFNG, intron 1 of 7)	NA	2699	LFNG								
Interval_5812	chr10	119892312	119892960	+	0	NA	promoter-TSS (SEC23IP)	NA	63	SEC23IP								
Interval_14589	chr16	50368481	50369245	+	0	NA	promoter-TSS (BRD7)	NA	71	BRD7								
Interval_15877	chr17	32079830	32080149	+	0	NA	intron (LOC102724625, intron 2 of 2)	NA	8967	LOC102724625								
Interval_20233	chr19	55484993	55485420	+	0	NA	promoter-TSS (NAT14)	NA	16	NAT14								
Interval_18135	chr18	63936120	63936390	+	0	NA	Intergenic	NA	-13099	HMSD								
Interval_1726	chr1	86395956	86396177	+	0	NA	promoter-TSS (ODF2L)	NA	276	ODF2L								
Interval_8241	chr12	8948845	8949141	+	0	NA	intron (M6PR, intron 1 of 6)	NA	768	M6PR								
Interval_28243	chr3	182793253	182793633	+	0	NA	promoter-TSS (ATP11B)	NA	-60	ATP11B								
Interval_23633	chr20	4686995	4687179	+	0	NA	intron (PRNP, intron 1 of 1)	NA	576	PRNP								
Interval_18981	chr19	15197374	15197648	+	0	NA	exon (NOTCH3, exon 2 of 33)	NA	3459	NOTCH3								
Interval_2338	chr1	148522607	148523148	+	0	NA	Intergenic	NA	-6380	TRNAN5-2								
Interval_33698	chr6	81614221	81614614	+	0	NA	Intergenic	NA	-119262	LOC101928742								
Interval_18732	chr19	10643572	10643838	+	0	NA	exon (SLC44A2, exon 22 of 22)	NA	10167	ILF3-AS1								
Interval_39319	chr9	123866499	123866860	+	0	NA	intron (DENND1A, intron 2 of 20)	NA	61982	DENND1A								
Interval_4978	chr10	70592907	70593317	+	0	NA	Intergenic	NA	9663	PRF1								
Interval_30794	chr5	59673499	59673772	+	0	NA	intron (PDE4D, intron 3 of 16)	NA	30053	MIR582								
Interval_13489	chr15	76335881	76336051	+	0	NA	promoter-TSS (ISL2)	NA	-840	ISL2								
Interval_8281	chr12	10390026	10390216	+	0	NA	promoter-TSS (KLRK1)	NA	-67	KLRK1								
Interval_18559	chr19	6279799	6280362	+	0	NA	promoter-TSS (MLLT1)	NA	-246	MLLT1								
Interval_30164	chr4	155953494	155953985	+	0	NA	exon (CTSO, exon 1 of 8)	NA	157	CTSO								
Interval_24674	chr21	14676215	14676489	+	0	NA	Intergenic	NA	-33245	LOC388813								
Interval_22457	chr2	168685927	168686570	+	0	NA	intron (CERS6, intron 1 of 7)	NA	100181	CERS6-AS1								
Interval_4495	chr10	27257424	27257941	+	0	NA	Intergenic	NA	-5376	LRRC37A6P								
Interval_28221	chr3	179527005	179527169	+	0	NA	Intergenic	NA	-35833	ACTL6A								
Interval_23123	chr2	219249319	219249540	+	0	NA	TTS (TUBA4A)	NA	-3814	TUBA4B								
Interval_10730	chr13	54018934	54019114	+	0	NA	Intergenic	NA	113847	LINC00458								
Interval_20962	chr2	44361556	44362072	+	0	NA	promoter-TSS (PREPL)	NA	-2065	PREPL								
Interval_9756	chr12	116400668	116401320	+	0	NA	Intergenic	NA	27317	MIR4472-2								
Interval_27373	chr3	111247440	111247718	+	0	NA	Intergenic	NA	175411	PVRL3								
Interval_14684	chr16	57500589	57500761	+	0	NA	Intergenic	NA	-20876	DOK4								
Interval_2228	chr1	119631515	119631951	+	0	NA	intron (ZNF697, intron 1 of 2)	NA	16034	ZNF697								
Interval_25688	chr22	38700597	38701252	+	0	NA	promoter-TSS (JOSD1)	NA	18	JOSD1								
Interval_12370	chr14	102139167	102139332	+	0	NA	promoter-TSS (WDR20)	NA	-648	WDR20								
Interval_39279	chr9	121711370	121711628	+	0	NA	intron (DAB2IP, intron 1 of 13)	NA	59747	DAB2IP								
Interval_19065	chr19	17090027	17090191	+	0	NA	intron (MYO9B, intron 1 of 39)	NA	14328	MYO9B								
Interval_1530	chr1	65009954	65010188	+	0	NA	intron (RP11-182I10.3, intron 1 of 2)	NA	-7660	RP11-182I10.3								
Interval_14556	chr16	47461011	47461431	+	0	NA	promoter-TSS (PHKB)	NA	-78	PHKB								
Interval_11262	chr14	22226537	22226756	+	0	NA	intron (LOC101929755, intron 2 of 2)	NA	252248	LOC102724753								
Interval_12998	chr15	55279911	55280235	+	0	NA	intron (RAB27A, intron 1 of 6)	NA	-9787	RAB27A								
Interval_29030	chr4	25377075	25377432	+	0	NA	promoter-TSS (ANAPC4)	NA	27	ANAPC4								
Interval_3758	chr1	228406222	228407068	+	0	NA	exon (TRIM11, exon 1 of 6)	NA	171	TRIM11								
Interval_12207	chr14	92121968	92122206	+	0	NA	promoter-TSS (NDUFB1)	NA	133	CPSF2								
Interval_31998	chr5	154859466	154859724	+	0	NA	intron (CNOT8, intron 1 of 6)	NA	-8087	CNOT8								
Interval_2838	chr1	167090559	167090935	+	0	NA	promoter-TSS (GPA33)	NA	-116	GPA33								
Interval_22050	chr2	122031976	122032330	+	0	NA	Intergenic	NA	252853	LOC101927801								
Interval_3608	chr1	221708003	221708452	+	0	NA	intron (DUSP10, intron 1 of 2)	NA	33947	DUSP10								
Interval_16902	chr17	74612594	74612928	+	0	NA	exon (CD300E, exon 4 of 4)	NA	10997	CD300E								
Interval_21251	chr2	65431950	65433005	+	0	NA	promoter-TSS (SPRED2)	NA	160	SPRED2								
Interval_27613	chr3	128448510	128448682	+	0	NA	Intergenic	NA	-14998	DNAJB8-AS1								
Interval_12001	chr14	76743173	76743430	+	0	NA	Intergenic	NA	-18591	VASH1								
Interval_11595	chr14	55129558	55129727	+	0	NA	intron (LGALS3, intron 1 of 5)	NA	425	LGALS3								
Interval_10652	chr13	49443757	49444213	+	0	NA	promoter-TSS (SETDB2)	NA	-181	SETDB2								
Interval_39492	chr9	128702427	128702611	+	0	NA	promoter-TSS (PKN3)	NA	-440	PKN3								
Interval_35977	chr7	107332914	107333085	+	0	NA	intron (COG5, intron 10 of 20)	NA	-137058	GPR22								
Interval_18018	chr18	50836599	50836907	+	0	NA	Intergenic	NA	-16752	MRO								
Interval_32421	chr6	2028400	2028855	+	0	NA	intron (GMDS, intron 4 of 10)	NA	147364	GMDS								
Interval_23397	chr2	238144245	238144416	+	0	NA	intron (KLHL30, intron 3 of 7)	NA	5608	KLHL30								
Interval_27732	chr3	132293190	132293538	+	0	NA	Intergenic	NA	-24003	ACPP								
Interval_35691	chr7	88219969	88220257	+	0	NA	promoter-TSS (SRI)	NA	-1254	SRI								
Interval_3913	chr1	234979960	234980178	+	0	NA	Intergenic	NA	89749	LOC731656								
Interval_35044	chr7	23287703	23287877	+	0	NA	Intergenic	NA	-11531	MALSU1								
Interval_26257	chr3	13451647	13452158	+	0	NA	Intergenic	NA	28148	HDAC11-AS1								
Interval_31730	chr5	139392579	139393764	+	0	NA	exon (PROB1, exon 1 of 1)	NA	2025	PROB1								
Interval_27350	chr3	108062131	108062327	+	0	NA	intron (CD47, intron 3 of 11)	NA	28829	CD47								
Interval_25429	chr22	29202329	29203470	+	0	NA	intron (LOC101929638, intron 2 of 2)	NA	2907	LOC101929638								
Interval_28167	chr3	177196213	177197017	+	0	NA	promoter-TSS (TBL1XR1)	NA	-180	TBL1XR1								
Interval_14863	chr16	69330406	69330976	+	0	NA	promoter-TSS (PDF)	NA	-96	PDF								
Interval_28701	chr4	1167536	1167799	+	0	NA	intron (SPON2, intron 7 of 7)	NA	5202	SPON2								
Interval_20078	chr19	51463137	51463562	+	0	NA	Intergenic	NA	-4895	SIGLEC8								
Interval_38744	chr9	79878351	79878586	+	0	NA	Intergenic	NA	-107908	RP11-394O9.1								
Interval_40345	chrX	53422089	53422816	+	0	NA	promoter-TSS (RIBC1)	NA	276	SMC1A								
Interval_22984	chr2	208134912	208135138	+	0	NA	intron (LOC100507443, intron 1 of 2)	NA	-5195	CRYGC								
Interval_12506	chr14	105899149	105899604	+	0	NA	Intergenic	NA	-18603	KIAA0125								
Interval_8978	chr12	55926554	55927445	+	0	NA	intron (WIBG, intron 1 of 2)	NA	914	WIBG								
Interval_24086	chr20	37336488	37337210	+	0	NA	Intergenic	NA	-7836	SRC								
Interval_19501	chr19	38877912	38878411	+	0	NA	promoter-TSS (RINL)	NA	96	RINL								
Interval_9161	chr12	65139495	65139687	+	0	NA	Intergenic	NA	-18025	WIF1								
Interval_13553	chr15	78840626	78841056	+	0	NA	Intergenic	NA	-19721	TRNAK6								
Interval_32041	chr5	159362088	159362551	+	0	NA	exon (AC008697.1, exon 5 of 5)	NA	30801	AC008697.1								
Interval_39187	chr9	113682337	113682576	+	0	NA	Intergenic	NA	-193829	ZNF618								
Interval_15080	chr16	84116213	84116695	+	0	NA	intron (LOC729887, intron 1 of 1)	NA	273	LOC729887								
Interval_34341	chr6	142478227	142478501	+	0	NA	Intergenic	NA	159525	RP11-440G9.1								
Interval_36277	chr7	142855387	142855570	+	0	NA	intron (EPHB6, intron 1 of 19)	NA	-7278	EPHB6								
Interval_13364	chr15	72636893	72637090	+	0	NA	intron (LOC646670, intron 3 of 7)	NA	8225	LOC646670								
Interval_24514	chr20	62129834	62130585	+	0	NA	TTS (LSM14B)	NA	7624	LSM14B								
Interval_21058	chr2	48415003	48415595	+	0	NA	Intergenic	NA	-25470	PPP1R21								
Interval_19140	chr19	18117976	18118156	+	0	NA	promoter-TSS (MAST3)	NA	8085	MAST3								
Interval_33653	chr6	73389124	73389503	+	0	NA	Intergenic	NA	-5249	DDX43								
Interval_18504	chr19	4730870	4731069	+	0	NA	Intergenic	NA	-6262	TRNAV32								
Interval_29361	chr4	55961840	55962018	+	0	NA	intron (CEP135, intron 6 of 25)	NA	-3849	CEP135								
Interval_12653	chr15	33098220	33098498	+	0	NA	intron (FMN1, intron 4 of 20)	NA	-30327	FMN1								
Interval_15987	chr17	38921945	38922205	+	0	NA	TTS (LASP1)	NA	-3093	LINC00672								
Interval_20806	chr2	33475847	33476025	+	0	NA	promoter-TSS (RASGRP3)	NA	39587	RASGRP3								
Interval_34406	chr6	145734787	145735261	+	0	NA	intron (RP11-545I5.3, intron 1 of 2)	NA	155	RP11-545I5.3								
Interval_10891	chr13	80342751	80343070	+	0	NA	Intergenic	NA	-3293	SPRY2								
Interval_18774	chr19	11346269	11346585	+	0	NA	promoter-TSS (CCDC159)	NA	-57	CCDC159								
Interval_32672	chr6	15063506	15063685	+	0	NA	Intergenic	NA	185101	JARID2-AS1								
Interval_5290	chr10	88091754	88091984	+	0	NA	Intergenic	NA	-174391	LOC101929727								
Interval_8721	chr12	48765836	48766289	+	0	NA	TTS (ADCY6)	NA	5975	MIR4701								
Interval_39323	chr9	124040983	124041275	+	0	NA	Intergenic	NA	29379	LHX2								
Interval_18188	chr18	76467348	76467523	+	0	NA	intron (ZNF516, intron 1 of 6)	NA	-24633	LOC101927989								
Interval_35215	chr7	36344735	36344965	+	0	NA	intron (KIAA0895, intron 1 of 5)	NA	22383	KIAA0895								
Interval_19406	chr19	35803575	35804188	+	0	NA	intron (PRODH2, intron 8 of 10)	NA	-5972	AC002398.5								
Interval_35698	chr7	90545922	90546195	+	0	NA	Intergenic	NA	-50573	CDK14								
Interval_19519	chr19	39412254	39412992	+	0	NA	promoter-TSS (TRNAI18)	NA	-363	TRNAI18								
Interval_35950	chr7	105401644	105401843	+	0	NA	Intergenic	NA	-12819	SRPK2								
Interval_31731	chr5	139402728	139402907	+	0	NA	intron (SPATA24, intron 1 of 5)	NA	1087	SPATA24								
Interval_2321	chr1	147599065	147599356	+	0	NA	promoter-TSS (BCL9)	NA	57809	BCL9								
Interval_6329	chr11	35662501	35663485	+	0	NA	exon (TRIM44, exon 1 of 5)	NA	188	TRIM44								
Interval_23889	chr20	25195986	25196254	+	0	NA	promoter-TSS (ENTPD6)	NA	417	ENTPD6								
Interval_27947	chr3	151347494	151347679	+	0	NA	intron (P2RY12, intron 1 of 2)	NA	-18037	P2RY13								
Interval_450	chr1	16914510	16914674	+	0	NA	intron (CROCC, intron 1 of 35)	NA	-9646	CROCC								
Interval_23657	chr20	5127055	5127362	+	0	NA	promoter-TSS (PCNA)	NA	438	CDS2								
Interval_29270	chr4	53474581	53474806	+	0	NA	intron (LNX1, intron 9 of 10)	NA	-25384	LNX1-AS1								
Interval_33797	chr6	93689429	93689711	+	0	NA	Intergenic	NA	-17513	TSG1								
Interval_20203	chr19	55081337	55081599	+	0	NA	exon (EPS8L1, exon 8 of 19)	NA	5615	EPS8L1								
Interval_15370	chr17	534077	534626	+	0	NA	intron (VPS53, intron 17 of 17)	NA	-88411	FAM101B								
Interval_23923	chr20	31666720	31666969	+	0	NA	intron (BCL2L1, intron 2 of 2)	NA	28962	COX4I2								
Interval_24183	chr20	44521573	44522333	+	0	NA	exon (SERINC3, exon 1 of 11)	NA	132	SERINC3								
Interval_34055	chr6	126255274	126255500	+	0	NA	Intergenic	NA	-84402	CENPW								
Interval_34022	chr6	119760086	119760333	+	0	NA	Intergenic	NA	226305	LOC101927959								
Interval_5985	chr11	535584	535817	+	0	NA	promoter-TSS (HRAS)	NA	-150	HRAS								
Interval_22463	chr2	169107770	169107931	+	0	NA	Intergenic	NA	35275	DHRS9								
Interval_18026	chr18	51290836	51291331	+	0	NA	Intergenic	NA	-93402	MEX3C								
Interval_2473	chr1	153789762	153790016	+	0	NA	Intergenic	NA	15535	SLC27A3								
Interval_19009	chr19	16070285	16070967	+	0	NA	intron (TPM4, intron 1 of 8)	NA	3119	TPM4								
Interval_25052	chr21	44254460	44254672	+	0	NA	intron (DNMT3L, intron 8 of 11)	NA	7650	DNMT3L								
Interval_22255	chr2	144580936	144581096	+	0	NA	Intergenic	NA	59117	LOC101928455								
Interval_4906	chr10	68332569	68332987	+	0	NA	promoter-TSS (HNRNPH3)	NA	150	PBLD								
Interval_1427	chr1	54893259	54893459	+	0	NA	Intergenic	NA	-6111	DHCR24								
Interval_2673	chr1	157099704	157099868	+	0	NA	promoter-TSS (ETV3L)	NA	22	ETV3L								
Interval_19447	chr19	37467314	37467672	+	0	NA	promoter-TSS (ZNF570)	NA	-232	ZNF569								
Interval_38243	chr9	4297499	4297833	+	0	NA	promoter-TSS (LOC101929330)	NA	-592	LOC101929330								
Interval_24126	chr20	38875223	38875811	+	0	NA	intron (PPP1R16B, intron 2 of 10)	NA	-50795	FAM83D								
Interval_30012	chr4	123418471	123418783	+	0	NA	Intergenic	NA	19137	SPRY1								
Interval_1528	chr1	65001324	65001612	+	0	NA	intron (RP11-182I10.3, intron 1 of 2)	NA	943	RP11-182I10.3								
Interval_15569	chr17	7548761	7549069	+	0	NA	promoter-TSS (TNFSF12)	NA	-143	TNFSF12-TNFSF13								
Interval_8441	chr12	22610151	22610471	+	0	NA	Intergenic	NA	-14834	ETNK1								
Interval_30735	chr5	55855550	55855758	+	0	NA	intron (IL31RA, intron 1 of 15)	NA	4148	IL31RA								
Interval_23229	chr2	230218432	230218741	+	0	NA	intron (SP110, intron 2 of 15)	NA	7143	SP110								
Interval_16220	chr17	44344992	44345254	+	0	NA	promoter-TSS (GRN)	NA	-189	GRN								
Interval_1481	chr1	59560863	59561162	+	0	NA	intron (FGGY, intron 8 of 15)	NA	172284	MIR4711								
Interval_14749	chr16	66516685	66517414	+	0	NA	intron (TK2, intron 6 of 7)	NA	33242	TK2								
Interval_8674	chr12	46487927	46488161	+	0	NA	intron (RP11-96H19.1, intron 2 of 2)	NA	104389	RP11-96H19.1								
Interval_566	chr1	22025029	22026248	+	0	NA	exon (LINC00339, exon 1 of 2)	NA	134	LINC00339								
Interval_16012	chr17	39573487	39573725	+	0	NA	Intergenic	NA	34068	NEUROD2								
Interval_21830	chr2	106159931	106161243	+	0	NA	intron (UXS1, intron 4 of 14)	NA	33752	UXS1								
Interval_3454	chr1	207309967	207310196	+	0	NA	Intergenic	NA	-11391	CD55								
Interval_5289	chr10	88090602	88090838	+	0	NA	Intergenic	NA	-175540	LOC101929727								
Interval_34774	chr7	2720862	2721251	+	0	NA	Intergenic	NA	41534	AMZ1								
Interval_32190	chr5	173616878	173617086	+	0	NA	promoter-TSS (BOD1)	NA	-279	BOD1								
Interval_6119	chr11	9601383	9601734	+	0	NA	Intergenic	NA	26871	WEE1								
Interval_36804	chr8	27423545	27423748	+	0	NA	intron (PTK2B, intron 5 of 29)	NA	-9767	MIR6842								
Interval_6453	chr11	47214833	47215011	+	0	NA	promoter-TSS (DDB2)	NA	-20	DDB2								
Interval_6053	chr11	3378965	3379448	+	0	NA	promoter-TSS (ZNF195)	NA	16	ZNF195								
Interval_10631	chr13	48505517	48506100	+	0	NA	intron (RCBTB2, intron 5 of 9)	NA	27397	RCBTB2								
Interval_18726	chr19	10565356	10565586	+	0	NA	TTS (CDKN2D)	NA	555	KRI1								
Interval_27411	chr3	113019306	113019893	+	0	NA	promoter-TSS (C3orf17)	NA	109	C3orf17								
Interval_24299	chr20	49534386	49534552	+	0	NA	intron (PTGIS, intron 5 of 9)	NA	-33668	LOC101927486								
Interval_32418	chr6	1916838	1917048	+	0	NA	intron (GMDS, intron 7 of 7)	NA	259048	GMDS								
Interval_7730	chr11	121417142	121417701	+	0	NA	Intergenic	NA	-34782	SORL1								
Interval_10234	chr13	25060125	25060321	+	0	NA	Intergenic	NA	-35915	PABPC3								
Interval_32006	chr5	157143486	157144035	+	0	NA	promoter-TSS (MED7)	NA	-985	MED7								
Interval_34911	chr7	10888912	10889190	+	0	NA	Intergenic	NA	51135	NDUFA4								
Interval_40205	chrX	40644248	40644509	+	0	NA	intron (CXorf38, intron 1 of 5)	NA	3299	CXorf38								
