PeakID (cmd=annotatePeaks.pl ETV6.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_17120	chr6	137291163	137291969	+	0	NA	Intergenic	NA	-72451	IFNGR1								
Interval_4139	chr12	24661696	24662101	+	0	NA	Intergenic	NA	-77730	LINC00477								
Interval_5579	chr14	64338693	64339056	+	0	NA	promoter-TSS (ESR2)	NA	8737	TEX21P								
Interval_3758	chr11	118437970	118438208	+	0	NA	promoter-TSS (LOC101929115)	NA	-3	LOC101929115								
Interval_2612	chr10	95569515	95569640	+	0	NA	Intergenic	NA	87233	ALDH18A1								
Interval_14967	chr4	149735878	149736109	+	0	NA	intron (RP11-526A4.1, intron 1 of 9)	NA	2502	RP11-526A4.1								
Interval_17347	chr6	166348415	166348555	+	0	NA	exon (LOC100289495, exon 2 of 2)	NA	5854	LOC100289495								
Interval_6844	chr16	19175526	19175681	+	0	NA	intron (SYT17, intron 3 of 7)	NA	2842	SYT17								
Interval_8781	chr18	61989267	61989392	+	0	NA	Intergenic	NA	-164165	RNF152								
Interval_13286	chr3	50237955	50238308	+	0	NA	intron (GNAI2, intron 1 of 7)	NA	10695	MIR5787								
Interval_8791	chr18	62815467	62815658	+	0	NA	intron (PHLPP1, intron 1 of 16)	NA	100123	PHLPP1								
Interval_18474	chr8	27405379	27405669	+	0	NA	intron (PTK2B, intron 2 of 30)	NA	-27846	MIR6842								
Interval_10143	chr2	15966307	15966496	+	0	NA	Intergenic	NA	-24678	MYCNOS								
Interval_13296	chr3	50590455	50590786	+	0	NA	Intergenic	NA	21211	CISH								
Interval_5239	chr13	79448415	79448853	+	0	NA	Intergenic	NA	-32490	NDFIP2								
Interval_15826	chr5	140398385	140398512	+	0	NA	Intergenic	NA	-3366	ANKHD1								
Interval_8405	chr17	81577336	81577461	+	0	NA	intron (NPLOC4, intron 12 of 16)	NA	-24995	C17orf70								
Interval_434	chr1	32939656	32939781	+	0	NA	intron (RNF19B, intron 7 of 8)	NA	25127	RNF19B								
Interval_3059	chr11	32892368	32892780	+	0	NA	promoter-TSS (QSER1)	NA	-34404	QSER1								
Interval_17083	chr6	134544834	134544993	+	0	NA	Intergenic	NA	-4581	RP11-557H15.4								
Interval_6902	chr16	27229113	27229356	+	0	NA	intron (NSMCE1, intron 5 of 7)	NA	14486	KDM8								
Interval_19707	chr9	79812414	79812861	+	0	NA	Intergenic	NA	-177272	RP11-394O9.1								
Interval_5237	chr13	78658919	78659539	+	0	NA	promoter-TSS (RNF219)	NA	-16152	RNF219								
Interval_6262	chr15	63490352	63490514	+	0	NA	Intergenic	NA	-14078	USP3								
Interval_11003	chr2	150911743	150911901	+	0	NA	Intergenic	NA	282925	AC104777.4								
Interval_5953	chr14	104815887	104816250	+	0	NA	Intergenic	NA	-5133	LINC00638								
Interval_3248	chr11	62503045	62503261	+	0	NA	intron (AHNAK, intron 4 of 5)	NA	42608	AHNAK								
Interval_10110	chr2	11466118	11466397	+	0	NA	promoter-TSS (E2F6)	NA	-101	E2F6								
Interval_8092	chr17	64707069	64707653	+	0	NA	Intergenic	NA	-43035	LOC101929240								
Interval_4516	chr12	78034010	78034353	+	0	NA	intron (NAV3, intron 9 of 38)	NA	-2260	NAV3								
Interval_17768	chr7	69199013	69199637	+	0	NA	Intergenic	NA	398170	LOC100507468								
Interval_20513	chrX	53225252	53225503	+	0	NA	promoter-TSS (KDM5C)	NA	45	KDM5C								
Interval_16082	chr5	177310853	177311202	+	0	NA	intron (MXD3, intron 2 of 5)	NA	1264	MXD3								
Interval_6525	chr15	82986090	82986325	+	0	NA	promoter-TSS (HOMER2)	NA	4	FAM103A1								
Interval_5766	chr14	81772508	81772655	+	0	NA	Intergenic	NA	-29508	LOC102724294								
Interval_2593	chr10	92690278	92691272	+	0	NA	intron (HHEX, intron 1 of 3)	NA	851	HHEX								
Interval_7523	chr17	10150109	10150453	+	0	NA	intron (GAS7, intron 1 of 13)	NA	-123988	GAS7								
Interval_9188	chr19	10672618	10672864	+	0	NA	intron (ILF3, intron 4 of 18)	NA	18480	ILF3								
Interval_5163	chr13	48303588	48303830	+	0	NA	promoter-TSS (RB1)	NA	-38	RB1								
Interval_1409	chr1	179882304	179883123	+	0	NA	exon (TOR1AIP1, exon 1 of 10)	NA	671	TOR1AIP1								
Interval_18361	chr8	18839654	18839867	+	0	NA	intron (PSD3, intron 3 of 14)	NA	-16027	PSD3								
Interval_14888	chr4	127162879	127163009	+	0	NA	Intergenic	NA	-66591	LOC102724210								
Interval_966	chr1	110338874	110339046	+	0	NA	promoter-TSS (RBM15)	NA	211	RP5-1074L1.1								
Interval_17968	chr7	100604420	100604880	+	0	NA	promoter-TSS (PCOLCE-AS1)	NA	-612	PCOLCE-AS1								
Interval_9579	chr19	38829294	38829458	+	0	NA	intron (ECH1, intron 3 of 9)	NA	2481	ECH1								
Interval_12950	chr3	12999376	12999810	+	0	NA	intron (IQSEC1, intron 1 of 13)	NA	73524	IQSEC1								
Interval_2282	chr10	45376187	45376480	+	0	NA	intron (ALOX5, intron 1 of 13)	NA	2157	ALOX5								
Interval_18915	chr8	92525062	92525329	+	0	NA	Intergenic	NA	130346	LOC102724710								
Interval_17250	chr6	149568345	149568470	+	0	NA	intron (GINM1, intron 1 of 7)	NA	2015	GINM1								
Interval_4811	chr12	118330438	118330627	+	0	NA	intron (TAOK3, intron 1 of 20)	NA	28550	TAOK3								
Interval_15087	chr4	185513518	185513840	+	0	NA	intron (PDLIM3, intron 4 of 7)	NA	21879	PDLIM3								
Interval_10495	chr2	64608865	64609090	+	0	NA	intron (AC007365.1, intron 1 of 3)	NA	1665	AC007365.1								
Interval_5492	chr14	50061766	50062048	+	0	NA	Intergenic	NA	-22023	RP11-58E21.3								
Interval_14526	chr4	52143867	52144112	+	0	NA	Intergenic	NA	92573	SPATA18								
Interval_5964	chr14	105337956	105338223	+	0	NA	intron (PACS2, intron 1 of 24)	NA	23339	PACS2								
Interval_6841	chr16	17369523	17369945	+	0	NA	intron (XYLT1, intron 1 of 11)	NA	101147	XYLT1								
Interval_9781	chr19	47273489	47274458	+	0	NA	promoter-TSS (PRR24)	NA	-912	PRR24								
Interval_1446	chr1	182300080	182300385	+	0	NA	intron (GS1-122H1.2, intron 2 of 2)	NA	13829	GS1-122H1.2								
Interval_17101	chr6	136250080	136250657	+	0	NA	promoter-TSS (MTFR2)	NA	-57	MTFR2								
Interval_15382	chr5	60634136	60634346	+	0	NA	intron (DEPDC1B, intron 7 of 9)	NA	65925	DEPDC1B								
Interval_13724	chr3	136195812	136196135	+	0	NA	promoter-TSS (MSL2)	NA	-1505	MSL2								
Interval_17420	chr7	2734880	2735309	+	0	NA	intron (GNA12, intron 2 of 3)	NA	55572	AMZ1								
Interval_9847	chr19	49896829	49897144	+	0	NA	promoter-TSS (IL4I1)	NA	8811	MIR4750								
Interval_16557	chr6	33694351	33694778	+	0	NA	intron (ITPR3, intron 56 of 57)	NA	-3588	MIR3934								
Interval_12536	chr22	24156991	24157217	+	0	NA	intron (CABIN1, intron 29 of 36)	NA	-24372	SUSD2								
Interval_6529	chr15	83365514	83365717	+	0	NA	Intergenic	NA	-81724	SH3GL3								
Interval_20704	chrX	153900931	153901120	+	0	NA	Intergenic	NA	-3604	AVPR2								
Interval_12679	chr22	37580093	37580364	+	0	NA	promoter-TSS (LGALS2)	NA	-211	LGALS2								
Interval_18303	chr8	9040170	9040354	+	0	NA	Intergenic	NA	-8183	MIR4660								
Interval_16652	chr6	41896031	41896252	+	0	NA	promoter-TSS (USP49)	NA	-780	USP49								
Interval_11828	chr20	32483354	32484152	+	0	NA	promoter-TSS (C20orf112)	NA	-26144	LOC101929698								
Interval_101	chr1	9120318	9120527	+	0	NA	intron (GPR157, intron 1 of 2)	NA	8681	GPR157								
Interval_9775	chr19	47157993	47158269	+	0	NA	intron (SAE1, intron 5 of 8)	NA	27273	SAE1								
Interval_863	chr1	93816860	93817257	+	0	NA	intron (BCAR3, intron 2 of 13)	NA	-29774	MIR760								
Interval_17380	chr7	604181	604895	+	0	NA	intron (AC147651.4, intron 1 of 1)	NA	1693	AC147651.4								
Interval_14115	chr3	193897930	193898293	+	0	NA	Intergenic	NA	96127	DPPA2P3								
Interval_14471	chr4	40577046	40577354	+	0	NA	intron (RBM47, intron 1 of 6)	NA	52666	RBM47								
Interval_18393	chr8	21683969	21684157	+	0	NA	Intergenic	NA	106040	GFRA2								
Interval_17899	chr7	91728964	91729247	+	0	NA	Intergenic	NA	151551	MTERF								
Interval_1879	chr1	234851473	234851799	+	0	NA	Intergenic	NA	-91586	PP2672								
Interval_14407	chr4	26150937	26151161	+	0	NA	Intergenic	NA	-169758	RBPJ								
Interval_17111	chr6	136783808	136784164	+	0	NA	promoter-TSS (LOC101928429)	NA	-130	LOC101928429								
Interval_12646	chr22	36329299	36329557	+	0	NA	intron (MYH9, intron 3 of 40)	NA	-42521	MIR6819								
Interval_15184	chr5	17443876	17444065	+	0	NA	promoter-TSS (LOC102723526)	NA	-87	LOC102723526								
Interval_3167	chr11	47578568	47579342	+	0	NA	promoter-TSS (KBTBD4)	NA	-55	NDUFS3								
Interval_13103	chr3	35680740	35681001	+	0	NA	promoter-TSS (ARPP21)	NA	1249	ARPP21								
Interval_9865	chr19	50738689	50739170	+	0	NA	Intergenic	NA	15581	CLEC11A								
Interval_13797	chr3	148319621	148319751	+	0	NA	Intergenic	NA	241539	LOC100507461								
Interval_2597	chr10	92757111	92757416	+	0	NA	Intergenic	NA	67339	HHEX								
Interval_471	chr1	36209375	36209664	+	0	NA	Intergenic	NA	53554	MAP7D1								
Interval_14493	chr4	46894795	46895068	+	0	NA	intron (COX7B2, intron 1 of 3)	NA	98574	GABRA4								
Interval_20465	chrX	40570722	40571094	+	0	NA	Intergenic	NA	-10056	ATP6AP2								
Interval_16633	chr6	39114874	39115357	+	0	NA	promoter-TSS (SAYSD1)	NA	-26	SAYSD1								
Interval_10705	chr2	98508795	98508958	+	0	NA	intron (INPP4A, intron 1 of 25)	NA	-10088	INPP4A								
Interval_13417	chr3	69500670	69500964	+	0	NA	Intergenic	NA	-114683	FRMD4B								
Interval_9548	chr19	36379081	36379288	+	0	NA	promoter-TSS (ZFP14)	NA	19	ZFP14								
Interval_20715	chrX	154543284	154543409	+	0	NA	intron (IKBKG, intron 1 of 9)	NA	4235	G6PD								
Interval_19304	chr8	134618258	134618392	+	0	NA	intron (ZFAT, intron 4 of 16)	NA	20254	ZFAT-AS1								
Interval_8271	chr17	76626618	76626775	+	0	NA	exon (ST6GALNAC1, exon 6 of 10)	NA	17142	ST6GALNAC1								
Interval_12961	chr3	14124355	14125056	+	0	NA	promoter-TSS (TMEM43)	NA	166	CHCHD4								
Interval_11957	chr20	45450607	45450785	+	0	NA	Intergenic	NA	3294	LOC101927326								
Interval_13655	chr3	128591925	128592477	+	0	NA	Intergenic	NA	-16115	C3orf27								
Interval_7974	chr17	57874475	57874810	+	0	NA	intron (CUEDC1, intron 3 of 10)	NA	-24570	MRPS23								
Interval_7797	chr17	42886303	42886633	+	0	NA	intron (LINC00671, intron 2 of 5)	NA	12266	LINC00671								
Interval_17959	chr7	100335833	100336103	+	0	NA	promoter-TSS (STAG3L5P-PVRIG2P-PILRB)	NA	-97	STAG3L5P-PVRIG2P-PILRB								
Interval_11395	chr2	222448913	222449142	+	0	NA	intron (SGPP2, intron 1 of 4)	NA	24975	SGPP2								
Interval_4837	chr12	121144683	121144917	+	0	NA	intron (P2RX7, intron 1 of 10)	NA	11972	P2RX7								
Interval_11615	chr20	3204577	3204796	+	0	NA	promoter-TSS (DDRGK1)	NA	-37	DDRGK1								
Interval_6395	chr15	72231160	72231477	+	0	NA	promoter-TSS (PKM)	NA	-210	PKM								
Interval_320	chr1	26385625	26385920	+	0	NA	Intergenic	NA	-12997	ZNF683								
Interval_5876	chr14	96391769	96391958	+	0	NA	promoter-TSS (AK7)	NA	-248	AK7								
Interval_13331	chr3	52498097	52498600	+	0	NA	intron (STAB1, intron 1 of 46)	NA	3010	STAB1								
Interval_19598	chr9	33660045	33660182	+	0	NA	Intergenic	NA	-17155	PTENP1-AS								
Interval_7100	chr16	66549682	66549994	+	0	NA	promoter-TSS (TK2)	NA	574	TK2								
Interval_12660	chr22	36936828	36937049	+	0	NA	intron (CSF2RB, intron 13 of 13)	NA	23305	CSF2RB								
Interval_1333	chr1	166511884	166512091	+	0	NA	Intergenic	NA	-91929	FMO9P								
Interval_14846	chr4	111689291	111689489	+	0	NA	Intergenic	NA	-456007	C4orf32								
Interval_14420	chr4	28521130	28521266	+	0	NA	Intergenic	NA	-298394	MIR4275								
Interval_15833	chr5	140639098	140639258	+	0	NA	promoter-TSS (TMCO6)	NA	-249	TMCO6								
Interval_11653	chr20	5610830	5611107	+	0	NA	promoter-TSS (GPCPD1)	NA	28	GPCPD1								
Interval_17098	chr6	135568419	135568691	+	0	NA	intron (LINC00271, intron 1 of 3)	NA	70754	LINC00271								
Interval_6056	chr15	38251873	38252078	+	0	NA	promoter-TSS (SPRED1)	NA	-749	SPRED1								
Interval_20565	chrX	75274471	75274793	+	0	NA	exon (UPRT, exon 1 of 7)	NA	573	UPRT								
Interval_4889	chr12	124453507	124453931	+	0	NA	intron (NCOR2, intron 8 of 48)	NA	113745	NCOR2								
Interval_18262	chr8	2101646	2102227	+	0	NA	intron (MYOM2, intron 20 of 36)	NA	25347	MIR7160								
Interval_7727	chr17	39118055	39118197	+	0	NA	intron (PLXDC1, intron 2 of 14)	NA	33523	PLXDC1								
Interval_6036	chr15	32615129	32615395	+	0	NA	promoter-TSS (ARHGAP11A)	NA	-228	ARHGAP11A								
Interval_15332	chr5	52013637	52013765	+	0	NA	Intergenic	NA	-630369	LOC642366								
Interval_19158	chr8	124604451	124604683	+	0	NA	intron (MTSS1, intron 3 of 13)	NA	65465	NDUFB9								
Interval_11231	chr2	199985711	199985960	+	0	NA	Intergenic	NA	-30099	TYW5								
Interval_10021	chr19	58558655	58559872	+	0	NA	promoter-TSS (UBE2M)	NA	77	AC016629.8								
Interval_15086	chr4	185203876	185204184	+	0	NA	promoter-TSS (KIAA1430)	NA	-2	KIAA1430								
Interval_19597	chr9	33473955	33474152	+	0	NA	promoter-TSS (NOL6)	NA	-110	NOL6								
Interval_14380	chr4	19973638	19973827	+	0	NA	Intergenic	NA	-279832	SLIT2								
Interval_12773	chr22	44550719	44550894	+	0	NA	Intergenic	NA	-18534	LINC00207								
Interval_15522	chr5	82413799	82414006	+	0	NA	Intergenic	NA	55158	FLJ41309								
Interval_16099	chr5	177508832	177509021	+	0	NA	intron (DOK3, intron 2 of 5)	NA	1446	DOK3								
Interval_10859	chr2	120012743	120012971	+	0	NA	promoter-TSS (EPB41L5)	NA	-171	EPB41L5								
Interval_18479	chr8	27923904	27924089	+	0	NA	intron (SCARA5, intron 3 of 8)	NA	-37880	MIR4287								
Interval_5855	chr14	93074082	93074786	+	0	NA	intron (ITPK1, intron 3 of 10)	NA	6982	ITPK1-AS1								
Interval_14978	chr4	152186281	152186428	+	0	NA	Intergenic	NA	85594	RP11-18H21.1								
Interval_2507	chr10	79093691	79094192	+	0	NA	intron (ZMIZ1, intron 1 of 24)	NA	24947	ZMIZ1								
Interval_17345	chr6	166342308	166342789	+	0	NA	promoter-TSS (LOC102724169)	NA	-45	SFT2D1								
Interval_929	chr1	107941252	107941446	+	0	NA	intron (VAV3, intron 1 of 26)	NA	-23094	VAV3-AS1								
Interval_20066	chr9	127776428	127776617	+	0	NA	intron (SH2D3C, intron 1 of 11)	NA	-9357	MIR3960								
Interval_16485	chr6	30466272	30466429	+	0	NA	Intergenic	NA	-23056	HLA-E								
Interval_15861	chr5	143161893	143162174	+	0	NA	intron (ARHGAP26, intron 20 of 21)	NA	-30312	ARHGAP26-IT1								
Interval_10353	chr2	43539992	43540167	+	0	NA	intron (THADA, intron 21 of 35)	NA	55895	THADA								
Interval_1272	chr1	159922328	159922517	+	0	NA	intron (TAGLN2, intron 1 of 4)	NA	3120	TAGLN2								
Interval_19452	chr8	144797492	144797659	+	0	NA	intron (LOC101929051, intron 2 of 2)	NA	-1301	ZNF517								
Interval_10802	chr2	112626636	112626879	+	0	NA	Intergenic	NA	17423	FLJ42351								
Interval_1806	chr1	228457361	228457550	+	0	NA	promoter-TSS (HIST3H2BB)	NA	404	HIST3H2A								
Interval_18761	chr8	60908913	60909385	+	0	NA	Intergenic	NA	8976	LOC101929576								
Interval_12265	chr21	29196448	29196576	+	0	NA	intron (LINC00189, intron 1 of 1)	NA	3018	LINC00189								
Interval_6614	chr15	91308293	91308610	+	0	NA	Intergenic	NA	83231	SV2B								
Interval_1757	chr1	223832290	223832425	+	0	NA	intron (TP53BP2, intron 1 of 17)	NA	13615	TP53BP2								
Interval_7506	chr17	8413003	8413164	+	0	NA	promoter-TSS (NDEL1)	NA	-15257	RNF222								
Interval_2647	chr10	97709625	97709753	+	0	NA	intron (LOC101927137, intron 1 of 2)	NA	-4019	MARVELD1								
Interval_18292	chr8	6877898	6878080	+	0	NA	promoter-TSS (DEFB1)	NA	18	DEFB1								
Interval_2415	chr10	71244779	71244985	+	0	NA	intron (UNC5B, intron 1 of 16)	NA	-26654	UNC5B-AS1								
Interval_9748	chr19	46256957	46257186	+	0	NA	Intergenic	NA	27319	IGFL1								
Interval_17186	chr6	142819983	142820384	+	0	NA	intron (HIVEP2, intron 2 of 9)	NA	125018	HIVEP2								
Interval_13598	chr3	122233644	122233769	+	0	NA	intron (CASR, intron 1 of 6)	NA	49372	CASR								
Interval_17276	chr6	154169506	154169739	+	0	NA	intron (IPCEF1, intron 9 of 10)	NA	130211	OPRM1								
Interval_18547	chr8	33533671	33533882	+	0	NA	Intergenic	NA	20301	SNORD13								
Interval_3588	chr11	86202722	86203157	+	0	NA	Intergenic	NA	-41605	EED								
Interval_15508	chr5	80256004	80256329	+	0	NA	promoter-TSS (SERINC5)	NA	-87	SERINC5								
Interval_5368	chr14	21015409	21015589	+	0	NA	Intergenic	NA	7877	MIR6717								
Interval_16162	chr6	1071788	1071933	+	0	NA	intron (LOC285768, intron 1 of 4)	NA	29472	LOC285768								
Interval_11988	chr20	47998824	47999021	+	0	NA	Intergenic	NA	-8805	RP11-347D21.3								
Interval_4978	chr13	20475754	20476181	+	0	NA	intron (CRYL1, intron 3 of 7)	NA	-42121	MIR4499								
Interval_533	chr1	40385669	40385890	+	0	NA	intron (SMAP2, intron 1 of 9)	NA	12073	SMAP2								
Interval_6926	chr16	28925521	28925716	+	0	NA	promoter-TSS (RABEP2)	NA	-407	RABEP2								
Interval_15650	chr5	112634259	112634440	+	0	NA	Intergenic	NA	5913	LOC102467214								
Interval_5448	chr14	35121764	35122309	+	0	NA	promoter-TSS (KIAA0391)	NA	507	PPP2R3C								
Interval_18271	chr8	3127835	3128041	+	0	NA	intron (CSMD1, intron 41 of 69)	NA	-399570	RP11-134O21.1								
Interval_10920	chr2	131093141	131093358	+	0	NA	promoter-TSS (FAM168B)	NA	194	FAM168B								
Interval_1747	chr1	221781261	221781443	+	0	NA	Intergenic	NA	-39178	DUSP10								
Interval_15260	chr5	37379031	37379371	+	0	NA	promoter-TSS (WDR70)	NA	-109	WDR70								
Interval_4014	chr12	7936171	7936536	+	0	NA	promoter-TSS (SLC2A3)	NA	-57	SLC2A3								
Interval_18561	chr8	37073564	37073756	+	0	NA	Intergenic	NA	85356	LOC102723593								
Interval_17254	chr6	149749559	149749755	+	0	NA	promoter-TSS (PCMT1)	NA	-38	PCMT1								
Interval_18298	chr8	8450917	8451165	+	0	NA	Intergenic	NA	-64610	SGK223								
Interval_1717	chr1	217907612	217907786	+	0	NA	intron (LINC00210, intron 1 of 3)	NA	14799	LINC00210								
Interval_17306	chr6	158667093	158667319	+	0	NA	intron (SYTL3, intron 6 of 18)	NA	17192	SYTL3								
Interval_8109	chr17	65154841	65155249	+	0	NA	intron (RGS9, intron 2 of 18)	NA	17707	RGS9								
Interval_16068	chr5	176533966	176534176	+	0	NA	intron (RNF44, intron 1 of 10)	NA	3349	RNF44								
Interval_14870	chr4	119313352	119313502	+	0	NA	Intergenic	NA	8734	FABP2								
Interval_3485	chr11	73149980	73150169	+	0	NA	Intergenic	NA	-7976	FCHSD2								
Interval_18221	chr7	151797781	151798000	+	0	NA	intron (PRKAG2, intron 1 of 15)	NA	-8844	LOC644090								
Interval_1829	chr1	230002522	230002648	+	0	NA	promoter-TSS (LOC101927532)	NA	-132	LOC101927532								
Interval_4307	chr12	50763766	50764155	+	0	NA	promoter-TSS (ATF1)	NA	-46	ATF1								
Interval_9379	chr19	17717336	17717781	+	0	NA	Intergenic	NA	-1936	MAP1S								
Interval_19890	chr9	109469078	109469250	+	0	NA	intron (PTPN3, intron 1 of 24)	NA	29156	PTPN3								
Interval_20057	chr9	127166118	127166343	+	0	NA	intron (RALGPS1, intron 9 of 11)	NA	-43465	ANGPTL2								
Interval_9966	chr19	55258846	55259500	+	0	NA	promoter-TSS (PPP6R1)	NA	-3404	PPP6R1								
Interval_8063	chr17	63826903	63827733	+	0	NA	promoter-TSS (PSMC5)	NA	353	FTSJ3								
Interval_17047	chr6	130167792	130167930	+	0	NA	intron (SAMD3, intron 8 of 11)	NA	55093	SAMD3								
Interval_4578	chr12	92769534	92769710	+	0	NA	intron (PLEKHG7, intron 10 of 10)	NA	32292	PLEKHG7								
Interval_7220	chr16	78584348	78584483	+	0	NA	intron (WWOX, intron 8 of 8)	NA	-342949	LOC102724047								
Interval_11781	chr20	23642470	23642595	+	0	NA	Intergenic	NA	-4484	CST3								
Interval_16946	chr6	109406309	109406536	+	0	NA	intron (PPIL6, intron 6 of 8)	NA	-23863	CD164								
Interval_13925	chr3	172627176	172627340	+	0	NA	Intergenic	NA	84159	NCEH1								
Interval_8944	chr19	1259038	1259481	+	0	NA	TTS (MIDN)	NA	-10009	CIRBP								
Interval_4062	chr12	11801908	11802184	+	0	NA	intron (ETV6, intron 2 of 7)	NA	114530	LOC101928186								
Interval_8968	chr19	2096436	2096706	+	0	NA	promoter-TSS (IZUMO4)	NA	-298	IZUMO4								
Interval_11102	chr2	173737475	173738573	+	0	NA	Intergenic	NA	226195	SP3								
Interval_3411	chr11	67777005	67777130	+	0	NA	Intergenic	NA	28269	FAM86C2P								
Interval_3030	chr11	18588595	18588970	+	0	NA	promoter-TSS (UEVLD)	NA	-76	UEVLD								
Interval_11261	chr2	201787541	201787801	+	0	NA	Intergenic	NA	-2783	CDK15								
Interval_9014	chr19	4089081	4089362	+	0	NA	Intergenic	NA	-33741	ZBTB7A								
Interval_9253	chr19	13102618	13103396	+	0	NA	exon (LYL1, exon 1 of 4)	NA	-1089	LYL1								
Interval_9641	chr19	41531502	41532059	+	0	NA	Intergenic	NA	-3604	LOC101927931								
Interval_1111	chr1	150487070	150487335	+	0	NA	promoter-TSS (TARS2)	NA	-162	TARS2								
Interval_2562	chr10	88332632	88332821	+	0	NA	intron (RNLS, intron 5 of 6)	NA	66466	LOC101929727								
Interval_11529	chr2	240566471	240566628	+	0	NA	Intergenic	NA	-2038	RNPEPL1								
Interval_10060	chr2	8194244	8194481	+	0	NA	intron (LINC00299, intron 7 of 8)	NA	134057	LINC00299								
Interval_18081	chr7	124239870	124239995	+	0	NA	Intergenic	NA	112164	RP5-921G16.2								
