PeakID (cmd=annotatePeaks.pl MEF2D.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_140	chr19	54133778	54133833	+	0	NA	Intergenic	NA	-3915	CNOT3								
Interval_296	chr9	99368324	99368591	+	0	NA	intron (NAMA, intron 3 of 5)	NA	6800	NAMA								
Interval_183	chr21	32771676	32771886	+	0	NA	promoter-TSS (PAXBP1)	NA	6	PAXBP1								
Interval_315	chrUn_KI270438v1	109675	109862	+	0	NA	NA	NA	NA	NA								
Interval_184	chr21	32771965	32772147	+	0	NA	promoter-TSS (PAXBP1)	NA	-44	C21orf49								
Interval_87	chr16	34078762	34079023	+	0	NA	Intergenic	NA	81144	LINC00273								
Interval_95	chr16	83220187	83220428	+	0	NA	intron (CDH13, intron 5 of 13)	NA	-288039	MIR3182								
Interval_189	chr3	3632533	3632758	+	0	NA	Intergenic	NA	-168225	LRRN1								
Interval_158	chr2	156334684	156334840	+	0	NA	Intergenic	NA	-2042	NR4A2								
Interval_138	chr19	48325233	48325472	+	0	NA	promoter-TSS (EMP3)	NA	-20	EMP3								
Interval_293	chr9	33290236	33290459	+	0	NA	promoter-TSS (NFX1)	NA	-107	NFX1								
Interval_10	chr1	148280124	148280172	+	0	NA	intron (LOC284561, intron 1 of 1)	NA	880	LOC284561								
Interval_30	chr10	40131303	40131570	+	0	NA	Intergenic	NA	1434840	ACTR3BP5								
Interval_295	chr9	91100245	91100394	+	0	NA	Intergenic	NA	18709	LOC100507103								
Interval_330	chrY	56728011	56728164	+	0	NA	Intergenic	NA	-226222	SPRY3-2								
Interval_41	chr11	20612048	20612215	+	0	NA	intron (SLC6A5, intron 4 of 14)	NA	12731	SLC6A5								
Interval_219	chr5	81851897	81852096	+	0	NA	Intergenic	NA	-100743	SSBP2								
Interval_228	chr6	25006639	25006919	+	0	NA	intron (FAM65B, intron 1 of 21)	NA	29365	LOC102724765								
Interval_251	chr7	41700729	41700900	+	0	NA	intron (INHBA, intron 1 of 2)	NA	2294	INHBA								
Interval_99	chr17	27529294	27529446	+	0	NA	intron (KSR1, intron 2 of 21)	NA	72905	KSR1								
Interval_100	chr17	36090133	36090493	+	0	NA	promoter-TSS (CCL3)	NA	-153	CCL3								
Interval_191	chr3	16912640	16912735	+	0	NA	intron (PLCL2, intron 1 of 5)	NA	13678	PLCL2								
Interval_139	chr19	52028580	52028754	+	0	NA	promoter-TSS (ZNF614)	NA	-240	ZNF614								
Interval_73	chr14	49857506	49857674	+	0	NA	Intergenic	NA	5259	RN7SL2								
Interval_117	chr19	1592728	1592931	+	0	NA	promoter-TSS (MBD3)	NA	-68	MBD3								
Interval_221	chr5	137754519	137754751	+	0	NA	promoter-TSS (HNRNPA0)	NA	-285	HNRNPA0								
Interval_263	chr8	22396579	22396702	+	0	NA	intron (SLC39A14, intron 2 of 9)	NA	29358	SLC39A14								
Interval_19	chr1	181131395	181131556	+	0	NA	Intergenic	NA	42973	IER5								
Interval_324	chrX	2145999	2146220	+	0	NA	Intergenic	NA	-182619	LOC101928070								
Interval_159	chr2	156342471	156342639	+	0	NA	Intergenic	NA	-9835	NR4A2								
Interval_232	chr6	37698229	37698447	+	0	NA	promoter-TSS (MDGA1)	NA	-1302	MDGA1								
Interval_69	chr14	22457132	22457294	+	0	NA	intron (LOC102724753, intron 1 of 2)	NA	21681	LOC102724753								
Interval_143	chr2	42118213	42118619	+	0	NA	Intergenic	NA	-50942	EML4								
Interval_175	chr20	12172348	12172497	+	0	NA	Intergenic	NA	254557	BTBD3								
Interval_34	chr10	93390766	93390967	+	0	NA	intron (MYOF, intron 16 of 53)	NA	91451	MYOF								
Interval_211	chr4	49711486	49711560	+	0	NA	Intergenic	NA	-222199	LOC101060532								
Interval_192	chr3	18512106	18512359	+	0	NA	Intergenic	NA	-14160	LOC101927777								
Interval_154	chr2	96533599	96533833	+	0	NA	Intergenic	NA	-3011	ARID5A								
Interval_16	chr1	165666193	165666435	+	0	NA	intron (ALDH9A1, intron 9 of 10)	NA	32349	ALDH9A1								
Interval_205	chr3	171851039	171851273	+	0	NA	intron (TMEM212, intron 1 of 4)	NA	7807	TMEM212								
Interval_94	chr16	73086246	73086424	+	0	NA	Intergenic	NA	-6014	HCCAT5								
Interval_4	chr1	72585091	72585168	+	0	NA	Intergenic	NA	-190142	RP11-262K1.1								
Interval_193	chr3	28308302	28308538	+	0	NA	intron (CMC1, intron 5 of 6)	NA	-40528	ZCWPW2								
Interval_72	chr14	42523803	42523955	+	0	NA	Intergenic	NA	916318	LRFN5								
Interval_311	chrM	8512	8726	+	0	NA	TTS (TRNK)	NA	324	TRNK								
Interval_271	chr8	60852014	60852248	+	0	NA	exon (CHD7, exon 18 of 27)	NA	-32855	LOC101929576								
Interval_144	chr2	43046757	43046837	+	0	NA	Intergenic	NA	-7250	LOC102723854								
Interval_220	chr5	93581741	93581821	+	0	NA	promoter-TSS (NR2F1-AS1)	NA	-461	NR2F1-AS1								
Interval_282	chr8	104864821	104864879	+	0	NA	Intergenic	NA	-275826	LRP12								
Interval_93	chr16	69565750	69566051	+	0	NA	promoter-TSS (NFAT5)	NA	-70	MIR1538								
Interval_12	chr1	156126296	156126453	+	0	NA	intron (LMNA, intron 1 of 12)	NA	-23570	SEMA4A								
Interval_57	chr12	52036834	52037176	+	0	NA	promoter-TSS (NR4A1)	NA	-628	NR4A1								
Interval_110	chr18	10593689	10593877	+	0	NA	Intergenic	NA	-7511	LOC101927376								
Interval_216	chr4	155676094	155676323	+	0	NA	intron (GUCY1A3, intron 3 of 10)	NA	9210	GUCY1A3								
Interval_157	chr2	119352498	119352691	+	0	NA	intron (C2orf76, intron 1 of 6)	NA	-12238	C2orf76								
Interval_116	chr18	68439091	68439286	+	0	NA	Intergenic	NA	276110	TMX3								
Interval_176	chr20	18513325	18513508	+	0	NA	intron (SEC23B, intron 3 of 19)	NA	5872	SEC23B								
Interval_256	chr7	87474517	87474666	+	0	NA	intron (ABCB4, intron 2 of 26)	NA	1112	ABCB4								
Interval_172	chr20	6700994	6701240	+	0	NA	Intergenic	NA	-66981	BMP2								
Interval_70	chr14	32938334	32938686	+	0	NA	promoter-TSS (NPAS3)	NA	3601	NPAS3								
Interval_113	chr18	32042370	32042685	+	0	NA	intron (RNF125, intron 3 of 5)	NA	24045	RNF125								
Interval_21	chr1	184946149	184946387	+	0	NA	intron (FAM129A, intron 1 of 13)	NA	28318	FAM129A								
Interval_284	chr8	120868901	120869050	+	0	NA	Intergenic	NA	-55919	SNTB1								
Interval_23	chr1	212234765	212234930	+	0	NA	promoter-TSS (RP11-15I11.3)	NA	-195	RP11-15I11.3								
Interval_64	chr13	28468081	28468309	+	0	NA	intron (FLT1, intron 1 of 11)	NA	26933	FLT1								
Interval_36	chr10	108894550	108894723	+	0	NA	Intergenic	NA	1028917	XPNPEP1								
Interval_235	chr6	61322904	61323192	+	0	NA	Intergenic	NA	-251055	MTRNR2L9								
Interval_178	chr20	33262304	33262442	+	0	NA	Intergenic	NA	-20762	BPIFB1								
Interval_161	chr2	187982772	187983012	+	0	NA	Intergenic	NA	-308777	GULP1								
Interval_201	chr3	127729658	127729721	+	0	NA	intron (MGLL, intron 3 of 6)	NA	6663	MGLL								
Interval_262	chr8	22396387	22396435	+	0	NA	intron (SLC39A14, intron 2 of 9)	NA	29129	SLC39A14								
Interval_253	chr7	71442559	71442734	+	0	NA	intron (WBSCR17, intron 5 of 10)	NA	-134938	MIR3914-1								
Interval_269	chr8	42051831	42052326	+	0	NA	promoter-TSS (KAT6A)	NA	-91	KAT6A								
Interval_26	chr1	236185767	236186006	+	0	NA	intron (GPR137B, intron 5 of 5)	NA	43354	GPR137B								
Interval_33	chr10	62632546	62632713	+	0	NA	intron (ZNF365, intron 5 of 7)	NA	-172127	ADO								
Interval_304	chrM	1700	1896	+	0	NA	TTS (RNR1)	NA	127	RNR2								
Interval_166	chr2	219279101	219279428	+	0	NA	promoter-TSS (DNAJB2)	NA	-54	DNAJB2								
Interval_122	chr19	8650219	8650368	+	0	NA	Intergenic	NA	48537	ACTL9								
Interval_18	chr1	181023131	181023326	+	0	NA	promoter-TSS (STX6)	NA	-311	STX6								
Interval_289	chr8	141203286	141203355	+	0	NA	Intergenic	NA	25254	SLC45A4								
Interval_288	chr8	140233584	140233645	+	0	NA	intron (TRAPPC9, intron 16 of 22)	NA	224965	TRAPPC9								
Interval_319	chrUn_KI270467v1	2089	2629	+	0	NA	NA	NA	NA	NA								
Interval_177	chr20	23334286	23334465	+	0	NA	Intergenic	NA	-16361	NXT1								
Interval_213	chr4	123588832	123589041	+	0	NA	Intergenic	NA	-63849	LINC01091								
Interval_111	chr18	11916963	11917185	+	0	NA	Intergenic	NA	-8277	MPPE1								
Interval_77	chr14	93074108	93074271	+	0	NA	intron (ITPK1, intron 3 of 10)	NA	6737	ITPK1-AS1								
Interval_121	chr19	2723268	2723382	+	0	NA	Intergenic	NA	-1933	DIRAS1								
Interval_13	chr1	161097532	161097690	+	0	NA	promoter-TSS (KLHDC9)	NA	-780	KLHDC9								
Interval_298	chr9	110282517	110282703	+	0	NA	Intergenic	NA	-25970	TXN								
Interval_106	chr17	50950705	50950910	+	0	NA	Intergenic	NA	84128	TOB1-AS1								
Interval_268	chr8	37822441	37822590	+	0	NA	intron (GPR124, intron 2 of 15)	NA	25295	GPR124								
Interval_22	chr1	207823855	207824137	+	0	NA	promoter-TSS (LOC101929385)	NA	-1293	LOC101929385								
Interval_147	chr2	60468743	60468800	+	0	NA	exon (BCL11A, exon 3 of 5)	NA	58924	LOC102724155								
Interval_174	chr20	12053333	12053603	+	0	NA	Intergenic	NA	135603	BTBD3								
Interval_114	chr18	51361520	51361699	+	0	NA	Intergenic	NA	-30433	RP11-267C16.1								
Interval_54	chr12	48972553	48972807	+	0	NA	promoter-TSS (WNT10B)	NA	-822	WNT10B								
Interval_8	chr1	109816410	109816807	+	0	NA	Intergenic	NA	-52586	EPS8L3								
Interval_155	chr2	100184554	100184703	+	0	NA	Intergenic	NA	-23626	LINC01104								
Interval_107	chr17	57422808	57423015	+	0	NA	intron (MSI2, intron 6 of 12)	NA	100686	RP11-118E18.2								
Interval_180	chr20	58907819	58908165	+	0	NA	intron (GNAS, intron 5 of 11)	NA	18702	GNAS								
Interval_187	chr22	29658284	29658510	+	0	NA	intron (NF2, intron 5 of 14)	NA	54841	NF2								
Interval_134	chr19	45439846	45440010	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	3274	MIR6088								
Interval_302	chr9	136240069	136240231	+	0	NA	intron (QSOX2, intron 1 of 11)	NA	5691	QSOX2								
Interval_129	chr19	40143756	40143918	+	0	NA	Intergenic	NA	-52905	ZNF780A								
Interval_90	chr16	34902509	34902658	+	0	NA	Intergenic	NA	77261	LOC100505948								
Interval_224	chr5	171676518	171676705	+	0	NA	Intergenic	NA	-109204	SMIM23								
Interval_190	chr3	9087928	9088078	+	0	NA	intron (SRGAP3, intron 3 of 21)	NA	-104979	AC037193.1								
Interval_260	chr8	6291894	6292110	+	0	NA	Intergenic	NA	114546	LOC100287015								
Interval_244	chr6	167855858	167856070	+	0	NA	intron (MLLT4, intron 1 of 33)	NA	28973	MLLT4								
Interval_179	chr20	33731944	33732433	+	0	NA	intron (ZNF341, intron 1 of 13)	NA	428	ZNF341								
Interval_56	chr12	49663130	49663315	+	0	NA	intron (FMNL3, intron 4 of 26)	NA	39445	PRPF40B								
Interval_290	chr9	2570825	2570974	+	0	NA	intron (VLDLR-AS1, intron 1 of 3)	NA	-48956	LOC101930048								
Interval_264	chr8	22705030	22705288	+	0	NA	Intergenic	NA	-12770	EGR3								
Interval_240	chr6	148657091	148657329	+	0	NA	Intergenic	NA	-89718	UST								
Interval_279	chr8	81842425	81842654	+	0	NA	promoter-TSS (SNX16)	NA	-253	SNX16								
Interval_86	chr15	101199748	101200005	+	0	NA	intron (CHSY1, intron 2 of 2)	NA	-11753	CHSY1								
Interval_76	chr14	75287774	75288004	+	0	NA	Intergenic	NA	-6515	RP11-293M10.5								
Interval_119	chr19	2495376	2495634	+	0	NA	Intergenic	NA	18066	LOC101929097								
Interval_202	chr3	138609382	138609745	+	0	NA	intron (FAIM, intron 1 of 4)	NA	863	FAIM								
Interval_63	chr13	24270915	24271056	+	0	NA	intron (SPATA13, intron 1 of 8)	NA	298	SPATA13								
Interval_233	chr6	45681988	45682234	+	0	NA	Intergenic	NA	-304060	SUPT3H								
Interval_286	chr8	128239095	128239451	+	0	NA	Intergenic	NA	89157	MIR1208								
Interval_44	chr11	65472192	65472389	+	0	NA	Intergenic	NA	17452	LOC101927789								
Interval_210	chr4	49709929	49710035	+	0	NA	Intergenic	NA	-220658	LOC101060532								
Interval_53	chr12	46125238	46125433	+	0	NA	Intergenic	NA	-134717	SCAF11								
Interval_46	chr11	76626899	76627144	+	0	NA	promoter-TSS (LOC101928813)	NA	-187	LOC101928813								
Interval_136	chr19	47226048	47226442	+	0	NA	promoter-TSS (MIR3190)	NA	-697	MIR3190								
Interval_60	chr12	108047169	108047428	+	0	NA	Intergenic	NA	-84433	WSCD2								
Interval_101	chr17	36196826	36196988	+	0	NA	promoter-TSS (CCL3L3)	NA	-159	CCL3L3								
Interval_165	chr2	207166194	207166461	+	0	NA	promoter-TSS (KLF7)	NA	-73	MIR7845								
Interval_47	chr11	99633090	99633346	+	0	NA	intron (CNTN5, intron 1 of 21)	NA	612242	CNTN5								
Interval_118	chr19	1895503	1895549	+	0	NA	Intergenic	NA	-9846	ADAT3								
Interval_27	chr1	241776644	241776793	+	0	NA	intron (WDR64, intron 20 of 26)	NA	-71473	EXO1								
Interval_277	chr8	79991961	79992060	+	0	NA	intron (MRPS28, intron 2 of 2)	NA	38261	MRPS28								
Interval_151	chr2	88181094	88181185	+	0	NA	intron (THNSL2, intron 4 of 4)	NA	8000	THNSL2								
Interval_153	chr2	92081186	92081448	+	0	NA	Intergenic	NA	140184	ACTR3BP2								
Interval_82	chr15	67024564	67024713	+	0	NA	intron (LOC102723493, intron 2 of 4)	NA	38637	LOC102723493								
Interval_43	chr11	64215084	64215262	+	0	NA	intron (FERMT3, intron 6 of 14)	NA	8491	FERMT3								
Interval_39	chr10	132517332	132517528	+	0	NA	Intergenic	NA	5139	LINC01165								
Interval_231	chr6	37697985	37698168	+	0	NA	promoter-TSS (MDGA1)	NA	-1040	MDGA1								
Interval_294	chr9	34862182	34862400	+	0	NA	intron (LOC101929761, intron 2 of 3)	NA	-23705	FAM205B								
Interval_123	chr19	10836523	10836672	+	0	NA	promoter-TSS (TMED1)	NA	-54	C19orf38								
Interval_305	chrM	2055	2921	+	0	NA	promoter-TSS (TRNL1)	NA	-742	TRNL1								
Interval_9	chr1	148279942	148280034	+	0	NA	intron (LOC284561, intron 1 of 1)	NA	720	LOC284561								
Interval_80	chr15	51228508	51228672	+	0	NA	promoter-TSS (CYP19A1)	NA	-13643	MIR4713								
Interval_115	chr18	57107306	57107460	+	0	NA	Intergenic	NA	-35264	LINC-ROR								
Interval_171	chr20	373523	373728	+	0	NA	Intergenic	NA	-7039	TRIB3								
Interval_108	chr17	78413164	78413394	+	0	NA	intron (PGS1, intron 7 of 8)	NA	34625	PGS1								
Interval_74	chr14	50061028	50061194	+	0	NA	Intergenic	NA	-21227	RP11-58E21.3								
Interval_301	chr9	136059999	136060198	+	0	NA	intron (NACC2, intron 1 of 5)	NA	35187	NACC2								
Interval_281	chr8	104864642	104864746	+	0	NA	Intergenic	NA	-275670	LRP12								
Interval_65	chr13	41916656	41916850	+	0	NA	intron (VWA8, intron 2 of 44)	NA	44332	VWA8								
Interval_35	chr10	97840142	97840396	+	0	NA	intron (LINC00866, intron 1 of 2)	NA	9529	LINC00866								
Interval_188	chr22	50276294	50276387	+	0	NA	intron (PLXNB2, intron 36 of 37)	NA	-5990	MAPK11								
Interval_206	chr3	177335855	177336024	+	0	NA	Intergenic	NA	41497	LINC00501								
Interval_186	chr22	22928909	22929082	+	0	NA	Intergenic	NA	41215	IGLL5								
Interval_79	chr15	44288235	44288759	+	0	NA	promoter-TSS (CASC4)	NA	-119	CASC4								
Interval_195	chr3	40623602	40623859	+	0	NA	Intergenic	NA	98852	ZNF621								
Interval_327	chrX	80809645	80809938	+	0	NA	promoter-TSS (BRWD3)	NA	-57	BRWD3								
Interval_149	chr2	83022831	83023008	+	0	NA	Intergenic	NA	166116	LOC1720								
Interval_314	chrUn_KI270438v1	109442	109617	+	0	NA	NA	NA	NA	NA								
Interval_275	chr8	68503995	68504144	+	0	NA	intron (C8orf34, intron 5 of 6)	NA	-172578	LOC286189								
Interval_58	chr12	82358329	82358604	+	0	NA	promoter-TSS (METTL25)	NA	-31	METTL25								
Interval_278	chr8	81842221	81842348	+	0	NA	promoter-TSS (SNX16)	NA	2	SNX16								
Interval_291	chr9	3525908	3525958	+	0	NA	promoter-TSS (RFX3)	NA	59	RFX3								
Interval_234	chr6	46437740	46437929	+	0	NA	intron (RCAN2, intron 2 of 4)	NA	53489	RCAN2								
Interval_81	chr15	60398891	60399151	+	0	NA	Intergenic	NA	-1035	ANXA2								
Interval_207	chr3	194824759	194825130	+	0	NA	Intergenic	NA	116523	AC090505.6								
