PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_739_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_739_R1_peak_6918	chr3	194306223	194306998	+	626	NA	intron (LINC00887, intron 1 of 2)	NA	6194	LINC00887								
DFAM71927V3_1_739_R1_peak_5359	chr2	110748375	110748992	+	622	NA	intron (ACOXL, intron 1 of 17)	NA	16110	ACOXL								
DFAM71927V3_1_739_R1_peak_6499	chr3	17774535	17775116	+	615	NA	Intergenic	NA	-32210	TBC1D5								
DFAM71927V3_1_739_R1_peak_4624	chr19	10565846	10566536	+	601	NA	promoter-TSS (KRI1)	NA	-165	KRI1								
DFAM71927V3_1_739_R1_peak_4268	chr17	82200761	82201354	+	600	NA	intron (CCDC57, intron 2 of 13)	NA	11754	CCDC57								
DFAM71927V3_1_739_R1_peak_6823	chr3	150407985	150408840	+	598	NA	promoter-TSS (TSC22D2)	NA	-589	TSC22D2								
DFAM71927V3_1_739_R1_peak_3732	chr17	2814248	2815064	+	598	NA	intron (RAP1GAP2, intron 2 of 23)	NA	16956	RAP1GAP2								
DFAM71927V3_1_739_R1_peak_9174	chr8	143026122	143026707	+	593	NA	Intergenic	NA	7929	LY6E								
DFAM71927V3_1_739_R1_peak_2209	chr12	66964523	66965121	+	592	NA	intron (GRIP1, intron 1 of 23)	NA	104406	GRIP1								
DFAM71927V3_1_739_R1_peak_9232	chr9	15510920	15511528	+	590	NA	promoter-TSS (PSIP1)	NA	-219	PSIP1								
DFAM71927V3_1_739_R1_peak_9337	chr9	88922043	88922646	+	590	NA	Intergenic	NA	-68519	C9orf47								
DFAM71927V3_1_739_R1_peak_9490	chr9	127388189	127388792	+	590	NA	intron (GARNL3, intron 27 of 29)	NA	-8648	SLC2A8								
DFAM71927V3_1_739_R1_peak_3101	chr15	70424877	70425598	+	589	NA	Intergenic	NA	161369	LOC101929151								
DFAM71927V3_1_739_R1_peak_8601	chr7	77536818	77537575	+	586	NA	promoter-TSS (PTPN12)	NA	-839	PTPN12								
DFAM71927V3_1_739_R1_peak_1335	chr10	100510824	100511446	+	585	NA	intron (SEC31B, intron 3 of 25)	NA	8703	SEC31B								
DFAM71927V3_1_739_R1_peak_9421	chr9	105405283	105406102	+	585	NA	intron (SLC44A1, intron 15 of 15)	NA	-42104	FSD1L								
DFAM71927V3_1_739_R1_peak_7762	chr6	2542683	2543343	+	585	NA	Intergenic	NA	92051	C6orf195								
DFAM71927V3_1_739_R1_peak_2556	chr13	48562193	48562800	+	585	NA	Intergenic	NA	18405	LINC00462								
DFAM71927V3_1_739_R1_peak_2573	chr13	52455185	52455957	+	582	NA	promoter-TSS (CKAP2)	NA	-401	CKAP2								
DFAM71927V3_1_739_R1_peak_6478	chr3	15271740	15272250	+	573	NA	intron (SH3BP5, intron 3 of 8)	NA	17811	SH3BP5-AS1								
DFAM71927V3_1_739_R1_peak_1639	chr11	61160976	61161859	+	573	NA	promoter-TSS (VPS37C)	NA	-243	VPS37C								
DFAM71927V3_1_739_R1_peak_832	chr1	207321288	207321859	+	571	NA	promoter-TSS (CD55)	NA	101	CD55								
DFAM71927V3_1_739_R1_peak_3121	chr15	74399852	74400384	+	569	NA	Intergenic	NA	11264	MIR6881								
DFAM71927V3_1_739_R1_peak_6479	chr3	15291990	15292539	+	565	NA	intron (SH3BP5, intron 3 of 8)	NA	38080	SH3BP5-AS1								
DFAM71927V3_1_739_R1_peak_3590	chr16	75075062	75075659	+	565	NA	intron (ZNRF1, intron 1 of 4)	NA	41412	LDHD								
DFAM71927V3_1_739_R1_peak_1124	chr10	30026949	30027750	+	565	NA	exon (KIAA1462, exon 3 of 4)	NA	17477	KIAA1462								
DFAM71927V3_1_739_R1_peak_1808	chr11	85752774	85753317	+	565	NA	intron (SYTL2, intron 1 of 18)	NA	4796	SYTL2								
DFAM71927V3_1_739_R1_peak_9637	chrUn_KI270752v1	1	462	+	564	NA	Intergenic	NA	-11149	LOC102723822								
DFAM71927V3_1_739_R1_peak_3019	chr15	56537762	56538329	+	563	NA	Intergenic	NA	-72908	MNS1								
DFAM71927V3_1_739_R1_peak_7829	chr6	14452389	14453206	+	562	NA	intron (LOC101928331, intron 1 of 2)	NA	20868	LOC101928331								
DFAM71927V3_1_739_R1_peak_719	chr1	181159550	181160202	+	559	NA	Intergenic	NA	-14608	RP11-540K16.1								
DFAM71927V3_1_739_R1_peak_1801	chr11	81869620	81870198	+	559	NA	Intergenic	NA	20859	MIR4300								
DFAM71927V3_1_739_R1_peak_2652	chr13	111188993	111189647	+	558	NA	intron (ARHGEF7, intron 1 of 20)	NA	35606	ARHGEF7								
DFAM71927V3_1_739_R1_peak_766	chr1	198681696	198682300	+	553	NA	intron (PTPRC, intron 2 of 31)	NA	42991	PTPRC								
DFAM71927V3_1_739_R1_peak_4777	chr19	34677308	34677923	+	550	NA	promoter-TSS (ZNF302)	NA	-24	ZNF302								
DFAM71927V3_1_739_R1_peak_6380	chr22	43187028	43187884	+	549	NA	promoter-TSS (TTLL12)	NA	-325	TTLL12								
DFAM71927V3_1_739_R1_peak_824	chr1	206562922	206563535	+	539	NA	intron (RASSF5, intron 1 of 4)	NA	49238	EIF2D								
DFAM71927V3_1_739_R1_peak_1481	chr11	575849	576493	+	538	NA	promoter-TSS (PHRF1)	NA	-55	PHRF1								
DFAM71927V3_1_739_R1_peak_616	chr1	156504784	156505581	+	531	NA	Intergenic	NA	-4362	MEF2D								
DFAM71927V3_1_739_R1_peak_1912	chr11	125887343	125887920	+	530	NA	promoter-TSS (HYLS1)	NA	571	HYLS1								
DFAM71927V3_1_739_R1_peak_9025	chr8	81093750	81094320	+	530	NA	intron (PAG1, intron 1 of 9)	NA	18010	PAG1								
DFAM71927V3_1_739_R1_peak_9532	chr9	129888238	129889173	+	527	NA	exon (FNBP1, exon 18 of 18)	NA	19100	MIR6855								
DFAM71927V3_1_739_R1_peak_6446	chr3	9749701	9750229	+	524	NA	promoter-TSS (OGG1)	NA	21	OGG1								
DFAM71927V3_1_739_R1_peak_9068	chr8	100721973	100722797	+	519	NA	promoter-TSS (PABPC1)	NA	-298	PABPC1								
DFAM71927V3_1_739_R1_peak_1241	chr10	72331797	72332366	+	519	NA	TTS (DNAJB12)	NA	22919	DNAJB12								
DFAM71927V3_1_739_R1_peak_797	chr1	203320817	203321445	+	515	NA	Intergenic	NA	15595	BTG2								
DFAM71927V3_1_739_R1_peak_7597	chr5	132687924	132688505	+	510	NA	Intergenic	NA	-1368	LOC101927783								
DFAM71927V3_1_739_R1_peak_4632	chr19	11279787	11280365	+	508	NA	Intergenic	NA	-16063	TSPAN16								
DFAM71927V3_1_739_R1_peak_3728	chr17	2400842	2401460	+	505	NA	promoter-TSS (MNT)	NA	-187	MNT								
DFAM71927V3_1_739_R1_peak_5561	chr2	196176046	196176591	+	505	NA	Intergenic	NA	-4706	STK17B								
DFAM71927V3_1_739_R1_peak_8708	chr7	127856702	127857297	+	504	NA	intron (SND1, intron 12 of 23)	NA	-140510	SND1-IT1								
DFAM71927V3_1_739_R1_peak_1520	chr11	9314388	9314944	+	504	NA	exon (TMEM41B, exon 1 of 8)	NA	102	TMEM41B								
DFAM71927V3_1_739_R1_peak_4922	chr19	49567874	49568570	+	501	NA	intron (NOSIP, intron 1 of 8)	NA	12350	NOSIP								
DFAM71927V3_1_739_R1_peak_6212	chr22	20858511	20859209	+	501	NA	promoter-TSS (PI4KA)	NA	-48	PI4KA								
DFAM71927V3_1_739_R1_peak_216	chr1	27632370	27633217	+	501	NA	intron (FGR, intron 1 of 12)	NA	-5623	FGR								
DFAM71927V3_1_739_R1_peak_7788	chr6	5260921	5261707	+	501	NA	promoter-TSS (LYRM4)	NA	-37	FARS2								
DFAM71927V3_1_739_R1_peak_6311	chr22	37218824	37219375	+	501	NA	intron (SSTR3, intron 1 of 1)	NA	1339	SSTR3								
DFAM71927V3_1_739_R1_peak_2213	chr12	67630647	67631210	+	500	NA	Intergenic	NA	-17804	DYRK2								
DFAM71927V3_1_739_R1_peak_7466	chr5	67206846	67207360	+	495	NA	Intergenic	NA	-10314	CD180								
DFAM71927V3_1_739_R1_peak_7789	chr6	5667704	5668322	+	493	NA	intron (RP1-256G22.2, intron 3 of 3)	NA	27259	RP1-256G22.2								
DFAM71927V3_1_739_R1_peak_6529	chr3	30353948	30354512	+	492	NA	intron (LOC101927995, intron 1 of 2)	NA	-18854	LOC101927995								
DFAM71927V3_1_739_R1_peak_3453	chr16	30458565	30459107	+	492	NA	Intergenic	NA	-12861	SEPHS2								
DFAM71927V3_1_739_R1_peak_2020	chr12	9741616	9742221	+	489	NA	Intergenic	NA	-8619	CLECL1								
DFAM71927V3_1_739_R1_peak_3064	chr15	64430233	64430789	+	489	NA	intron (TRIP4, intron 11 of 12)	NA	-37872	LOC102723384								
DFAM71927V3_1_739_R1_peak_8000	chr6	33856554	33857119	+	489	NA	Intergenic	NA	40071	LINC01016								
DFAM71927V3_1_739_R1_peak_31	chr1	2300949	2301496	+	489	NA	intron (SKI, intron 1 of 6)	NA	51439	LOC100129534								
DFAM71927V3_1_739_R1_peak_7289	chr4	163895229	163895799	+	488	NA	intron (MARCH1, intron 2 of 7)	NA	216148	MARCH1								
DFAM71927V3_1_739_R1_peak_9626	chrUn_KI270438v1	103821	104993	+	486	NA	NA	NA	NA	NA								
DFAM71927V3_1_739_R1_peak_479	chr1	109802169	109802751	+	485	NA	Intergenic	NA	-40687	EPS8L3								
DFAM71927V3_1_739_R1_peak_7232	chr4	122578343	122578989	+	484	NA	Intergenic	NA	-40317	IL21-AS1								
DFAM71927V3_1_739_R1_peak_5942	chr20	49187969	49188799	+	481	NA	promoter-TSS (STAU1)	NA	-17	STAU1								
DFAM71927V3_1_739_R1_peak_2729	chr14	50875316	50875828	+	478	NA	intron (ABHD12B, intron 1 of 10)	NA	3412	ABHD12B								
DFAM71927V3_1_739_R1_peak_8970	chr8	48949461	48950012	+	478	NA	Intergenic	NA	-28296	SNAI2								
DFAM71927V3_1_739_R1_peak_630	chr1	158247978	158248538	+	477	NA	Intergenic	NA	-5879	CD1A								
DFAM71927V3_1_739_R1_peak_2768	chr14	60753632	60754237	+	474	NA	intron (MNAT1, intron 1 of 7)	NA	19193	MNAT1								
DFAM71927V3_1_739_R1_peak_3342	chr16	11915826	11916400	+	474	NA	promoter-TSS (GSPT1)	NA	-907	GSPT1								
DFAM71927V3_1_739_R1_peak_7728	chr5	175652947	175653745	+	470	NA	Intergenic	NA	-4498	HRH2								
DFAM71927V3_1_739_R1_peak_4515	chr19	2085177	2085811	+	470	NA	intron (MOB3A, intron 1 of 4)	NA	10776	MOB3A								
DFAM71927V3_1_739_R1_peak_3435	chr16	29745853	29746463	+	467	NA	promoter-TSS (C16orf54)	NA	-139	C16orf54								
DFAM71927V3_1_739_R1_peak_9231	chr9	15422343	15422945	+	466	NA	promoter-TSS (SNAPC3)	NA	-52	SNAPC3								
DFAM71927V3_1_739_R1_peak_6687	chr3	69368169	69368714	+	466	NA	intron (FRMD4B, intron 1 of 22)	NA	-167721	FRMD4B								
DFAM71927V3_1_739_R1_peak_4863	chr19	44753223	44753765	+	463	NA	intron (BCL3, intron 5 of 11)	NA	-5163	MIR8085								
DFAM71927V3_1_739_R1_peak_3816	chr17	17403664	17404295	+	463	NA	Intergenic	NA	-15365	SMCR9								
DFAM71927V3_1_739_R1_peak_1822	chr11	95789492	95790247	+	462	NA	promoter-TSS (CEP57)	NA	-67	FAM76B								
DFAM71927V3_1_739_R1_peak_954	chr1	235011789	235012384	+	461	NA	Intergenic	NA	57732	LOC731656								
DFAM71927V3_1_739_R1_peak_5911	chr20	43950045	43950688	+	459	NA	intron (TOX2, intron 1 of 8)	NA	34224	TOX2								
DFAM71927V3_1_739_R1_peak_1919	chr11	128422517	128423086	+	459	NA	Intergenic	NA	74793	ETS1								
DFAM71927V3_1_739_R1_peak_3039	chr15	59976428	59976991	+	457	NA	Intergenic	NA	-27513	FOXB1								
DFAM71927V3_1_739_R1_peak_1876	chr11	118316448	118317039	+	457	NA	TTS (CD3E)	NA	12163	CD3E								
DFAM71927V3_1_739_R1_peak_4368	chr18	32018328	32018986	+	456	NA	exon (RNF125, exon 1 of 6)	NA	175	RNF125								
DFAM71927V3_1_739_R1_peak_7942	chr6	30717122	30717828	+	455	NA	promoter-TSS (MDC1)	NA	22	MDC1								
DFAM71927V3_1_739_R1_peak_3130	chr15	75108414	75109013	+	453	NA	Intergenic	NA	85121	PPCDC								
DFAM71927V3_1_739_R1_peak_2391	chr12	122004071	122004751	+	452	NA	TTS (WDR66)	NA	-17544	BCL7A								
DFAM71927V3_1_739_R1_peak_5554	chr2	191739906	191740543	+	451	NA	Intergenic	NA	62152	NABP1								
DFAM71927V3_1_739_R1_peak_1707	chr11	65918836	65919634	+	451	NA	promoter-TSS (C11orf68)	NA	-22	DRAP1								
DFAM71927V3_1_739_R1_peak_6799	chr3	138915905	138916460	+	451	NA	Intergenic	NA	30958	FOXL2								
DFAM71927V3_1_739_R1_peak_3346	chr16	12322690	12323451	+	449	NA	intron (SNX29, intron 15 of 20)	NA	49512	LOC101927227								
DFAM71927V3_1_739_R1_peak_2382	chr12	121649706	121650315	+	448	NA	Intergenic	NA	22611	MORN3								
DFAM71927V3_1_739_R1_peak_665	chr1	165871334	165871873	+	448	NA	intron (UCK2, intron 1 of 6)	NA	-36318	MIR3658								
DFAM71927V3_1_739_R1_peak_2647	chr13	110421531	110422268	+	447	NA	intron (COL4A2, intron 4 of 47)	NA	41388	COL4A2-AS2								
DFAM71927V3_1_739_R1_peak_2237	chr12	76558659	76559225	+	447	NA	promoter-TSS (OSBPL8)	NA	-354	OSBPL8								
DFAM71927V3_1_739_R1_peak_1534	chr11	10857479	10858456	+	445	NA	promoter-TSS (ZBED5-AS1)	NA	106	ZBED5								
DFAM71927V3_1_739_R1_peak_9472	chr9	123637958	123638543	+	445	NA	intron (DENND1A, intron 9 of 20)	NA	-152649	MIR7150								
DFAM71927V3_1_739_R1_peak_6878	chr3	179956392	179956972	+	441	NA	intron (PEX5L, intron 1 of 14)	NA	57145	RP11-791G22.1								
DFAM71927V3_1_739_R1_peak_724	chr1	182259242	182259797	+	441	NA	intron (GS1-122H1.2, intron 2 of 2)	NA	54542	GS1-122H1.2								
DFAM71927V3_1_739_R1_peak_8225	chr6	110063734	110064404	+	439	NA	Intergenic	NA	85813	GPR6								
DFAM71927V3_1_739_R1_peak_6760	chr3	127483958	127484481	+	438	NA	intron (RP11-59J16.1, intron 7 of 7)	NA	52741	RP11-59J16.1								
DFAM71927V3_1_739_R1_peak_8329	chr6	146770834	146771408	+	436	NA	intron (ADGB, intron 29 of 35)	NA	32703	KATNBL1P6								
DFAM71927V3_1_739_R1_peak_9643	chrUn_KI270752v1	20287	20938	+	434	NA	intron (LOC102723822, intron 8 of 14)	NA	9232	LOC102723822								
DFAM71927V3_1_739_R1_peak_424	chr1	93029220	93029788	+	433	NA	Intergenic	NA	-49731	MTF2								
DFAM71927V3_1_739_R1_peak_6242	chr22	24434360	24435106	+	433	NA	intron (SPECC1L-ADORA2A, intron 19 of 19)	NA	7171	ADORA2A								
DFAM71927V3_1_739_R1_peak_5828	chr20	25281444	25282084	+	432	NA	intron (PYGB, intron 11 of 19)	NA	33694	PYGB								
DFAM71927V3_1_739_R1_peak_2431	chr12	131626975	131627764	+	431	NA	Intergenic	NA	37049	LOC100996701								
DFAM71927V3_1_739_R1_peak_3197	chr15	90657762	90658261	+	431	NA	intron (LOC101926895, intron 2 of 2)	NA	-2223	RP11-387D10.3								
DFAM71927V3_1_739_R1_peak_7810	chr6	11198871	11199358	+	430	NA	intron (NEDD9, intron 1 of 5)	NA	52899	LOC102724361								
DFAM71927V3_1_739_R1_peak_390	chr1	77683216	77683788	+	429	NA	promoter-TSS (ZZZ3)	NA	-844	ZZZ3								
DFAM71927V3_1_739_R1_peak_7432	chr5	49659609	49660151	+	429	NA	Intergenic	NA	781520	EMB								
DFAM71927V3_1_739_R1_peak_6253	chr22	26596893	26597475	+	426	NA	Intergenic	NA	-7059	TPST2								
DFAM71927V3_1_739_R1_peak_9015	chr8	73747766	73748285	+	425	NA	promoter-TSS (STAU2)	NA	-1098	STAU2								
DFAM71927V3_1_739_R1_peak_3499	chr16	53457564	53458170	+	425	NA	intron (RBL2, intron 8 of 21)	NA	23428	RBL2								
DFAM71927V3_1_739_R1_peak_5185	chr2	60468489	60469058	+	424	NA	exon (BCL11A, exon 3 of 5)	NA	58922	LOC102724155								
DFAM71927V3_1_739_R1_peak_8812	chr7	154678094	154678660	+	423	NA	intron (DPP6, intron 8 of 26)	NA	-250140	PAXIP1-AS2								
DFAM71927V3_1_739_R1_peak_2817	chr14	72401568	72402075	+	423	NA	intron (RGS6, intron 3 of 17)	NA	-115010	MIR7843								
DFAM71927V3_1_739_R1_peak_6419	chr22	50469348	50470267	+	423	NA	intron (SBF1, intron 1 of 39)	NA	5231	SBF1								
DFAM71927V3_1_739_R1_peak_5096	chr2	28359173	28359697	+	422	NA	Intergenic	NA	-34846	FOSL2								
DFAM71927V3_1_739_R1_peak_6578	chr3	45105685	45106248	+	419	NA	intron (CDCP1, intron 4 of 8)	NA	40456	CDCP1								
DFAM71927V3_1_739_R1_peak_2164	chr12	55929319	55929952	+	417	NA	Intergenic	NA	-1722	WIBG								
DFAM71927V3_1_739_R1_peak_5688	chr2	233267766	233268329	+	417	NA	intron (ATG16L1, intron 5 of 18)	NA	-7679	SCARNA5								
DFAM71927V3_1_739_R1_peak_3555	chr16	68356308	68356896	+	417	NA	intron (PRMT7, intron 16 of 17)	NA	25572	SMPD3								
DFAM71927V3_1_739_R1_peak_8444	chr7	5331187	5331784	+	417	NA	intron (TNRC18, intron 19 of 22)	NA	48541	SLC29A4								
DFAM71927V3_1_739_R1_peak_769	chr1	199041449	199041976	+	414	NA	Intergenic	NA	-104283	MIR181A1HG								
DFAM71927V3_1_739_R1_peak_2935	chr15	31326203	31327196	+	413	NA	promoter-TSS (KLF13)	NA	-181	KLF13								
DFAM71927V3_1_739_R1_peak_8776	chr7	148628515	148629005	+	412	NA	Intergenic	NA	38195	C7orf33								
DFAM71927V3_1_739_R1_peak_7431	chr5	49657883	49659371	+	410	NA	Intergenic	NA	782773	EMB								
DFAM71927V3_1_739_R1_peak_1887	chr11	119095282	119095818	+	410	NA	promoter-TSS (H2AFX)	NA	-83	H2AFX								
DFAM71927V3_1_739_R1_peak_1500	chr11	3014337	3014898	+	409	NA	intron (CARS, intron 17 of 22)	NA	-22240	NAP1L4								
DFAM71927V3_1_739_R1_peak_2544	chr13	46179467	46179979	+	409	NA	intron (LCP1, intron 1 of 15)	NA	-11149	LCP1								
DFAM71927V3_1_739_R1_peak_8280	chr6	134632811	134633450	+	403	NA	Intergenic	NA	74232	LOC101928277								
DFAM71927V3_1_739_R1_peak_642	chr1	160540162	160540707	+	402	NA	TTS (CD84)	NA	-17172	SLAMF6								
DFAM71927V3_1_739_R1_peak_593	chr1	154999310	154999869	+	402	NA	Intergenic	NA	-3038	ZBTB7B								
DFAM71927V3_1_739_R1_peak_7065	chr4	40301576	40302118	+	400	NA	intron (LOC101930098, intron 1 of 3)	NA	6736	LOC101930098								
DFAM71927V3_1_739_R1_peak_4896	chr19	47517981	47518582	+	400	NA	Intergenic	NA	-3256	NAPA								
DFAM71927V3_1_739_R1_peak_8022	chr6	35727900	35729249	+	399	NA	promoter-TSS (FKBP5)	NA	8373	RP3-510O8.4								
DFAM71927V3_1_739_R1_peak_2018	chr12	9650677	9651188	+	397	NA	intron (LOC374443, intron 1 of 4)	NA	2885	LOC374443								
DFAM71927V3_1_739_R1_peak_1591	chr11	36684798	36685404	+	397	NA	Intergenic	NA	-86822	RAG2								
DFAM71927V3_1_739_R1_peak_3220	chr15	94584687	94585182	+	397	NA	Intergenic	NA	228999	MCTP2								
DFAM71927V3_1_739_R1_peak_3737	chr17	3765223	3765921	+	397	NA	intron (ITGAE, intron 2 of 30)	NA	35671	ITGAE								
DFAM71927V3_1_739_R1_peak_8330	chr6	148203864	148204505	+	396	NA	Intergenic	NA	-304264	SASH1								
DFAM71927V3_1_739_R1_peak_1058	chr10	11178543	11179130	+	396	NA	intron (CELF2, intron 1 of 11)	NA	-73348	CELF2-AS2								
DFAM71927V3_1_739_R1_peak_661	chr1	165392917	165393446	+	396	NA	Intergenic	NA	52174	RXRG								
DFAM71927V3_1_739_R1_peak_8376	chr6	160462420	160462986	+	396	NA	Intergenic	NA	48421	LPAL2								
DFAM71927V3_1_739_R1_peak_836	chr1	207458948	207459436	+	396	NA	intron (CR2, intron 1 of 18)	NA	4892	CR2								
DFAM71927V3_1_739_R1_peak_7350	chr5	1316089	1316745	+	394	NA	Intergenic	NA	-7040	MIR4457								
DFAM71927V3_1_739_R1_peak_7078	chr4	49709185	49710360	+	393	NA	Intergenic	NA	-220448	LOC101060532								
DFAM71927V3_1_739_R1_peak_4902	chr19	48321727	48322377	+	391	NA	promoter-TSS (CCDC114)	NA	-118	CCDC114								
DFAM71927V3_1_739_R1_peak_1975	chr12	4353667	4354177	+	390	NA	TTS (C12orf5)	NA	25806	FGF23								
DFAM71927V3_1_739_R1_peak_5608	chr2	210170442	210171810	+	390	NA	promoter-TSS (KANSL1L)	NA	-404	KANSL1L								
DFAM71927V3_1_739_R1_peak_8077	chr6	42022236	42022862	+	389	NA	intron (CCND3, intron 1 of 4)	NA	-28375	TAF8								
DFAM71927V3_1_739_R1_peak_3313	chr16	4766985	4767553	+	389	NA	promoter-TSS (ZNF500)	NA	-104	ZNF500								
DFAM71927V3_1_739_R1_peak_8089	chr6	42770935	42771868	+	389	NA	Intergenic	NA	-11526	FLJ38717								
