PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_750_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_750_R1_peak_1347	chr2	60545819	60546530	+	737	NA	exon (BCL11A, exon 2 of 4)	NA	7324	BCL11A								
DFAM71927V3_1_750_R1_peak_1407	chr2	112706136	112706727	+	736	NA	Intergenic	NA	30213	LOC102724955								
DFAM71927V3_1_750_R1_peak_1710	chr22	50807774	50808379	+	719	NA	Intergenic	NA	20358	LOC102724681								
DFAM71927V3_1_750_R1_peak_174	chr1	160540011	160540556	+	716	NA	TTS (CD84)	NA	-17021	SLAMF6								
DFAM71927V3_1_750_R1_peak_117	chr1	109802207	109802777	+	715	NA	Intergenic	NA	-38470	EPS8L3								
DFAM71927V3_1_750_R1_peak_1356	chr2	68089636	68090371	+	714	NA	Intergenic	NA	-26976	C1D								
DFAM71927V3_1_750_R1_peak_2677	chrUn_KI270752v1	1	473	+	702	NA	Intergenic	NA	-11143	LOC102723822								
DFAM71927V3_1_750_R1_peak_2683	chrUn_KI270752v1	20283	20938	+	693	NA	intron (LOC102723822, intron 8 of 14)	NA	9230	LOC102723822								
DFAM71927V3_1_750_R1_peak_1333	chr2	42132919	42133434	+	685	NA	Intergenic	NA	-36182	EML4								
DFAM71927V3_1_750_R1_peak_1580	chr20	32509618	32510150	+	685	NA	promoter-TSS (LOC101929698)	NA	-13	LOC101929698								
DFAM71927V3_1_750_R1_peak_1003	chr16	82650716	82651249	+	683	NA	intron (CDH13, intron 2 of 14)	NA	24188	CDH13								
DFAM71927V3_1_750_R1_peak_1167	chr18	32040869	32041413	+	680	NA	intron (RNF125, intron 2 of 5)	NA	22659	RNF125								
DFAM71927V3_1_750_R1_peak_2430	chr8	2089780	2090326	+	679	NA	exon (MYOM2, exon 15 of 35)	NA	13464	MIR7160								
DFAM71927V3_1_750_R1_peak_1183	chr18	48996954	48997503	+	661	NA	Intergenic	NA	-47895	SMAD7								
DFAM71927V3_1_750_R1_peak_1391	chr2	101570756	101571334	+	658	NA	Intergenic	NA	-96342	RFX8								
DFAM71927V3_1_750_R1_peak_2142	chr5	148620565	148621111	+	638	NA	intron (HTR4, intron 1 of 5)	NA	16223	HTR4								
DFAM71927V3_1_750_R1_peak_620	chr12	104108980	104109578	+	637	NA	Intergenic	NA	28962	NFYB								
DFAM71927V3_1_750_R1_peak_74	chr1	58754708	58755318	+	633	NA	Intergenic	NA	29100	JUN								
DFAM71927V3_1_750_R1_peak_1659	chr22	19891464	19891990	+	622	NA	exon (KIAA1652, exon 1 of 1)	NA	1146	KIAA1652								
DFAM71927V3_1_750_R1_peak_166	chr1	156482220	156484364	+	604	NA	exon (MEF2D, exon 2 of 11)	NA	17528	MEF2D								
DFAM71927V3_1_750_R1_peak_747	chr14	22556280	22556865	+	602	NA	Intergenic	NA	32665	DAD1								
DFAM71927V3_1_750_R1_peak_1369	chr2	82853226	82853800	+	596	NA	Intergenic	NA	-3290	LOC1720								
DFAM71927V3_1_750_R1_peak_2339	chr7	24227413	24227960	+	594	NA	Intergenic	NA	-56502	NPY								
DFAM71927V3_1_750_R1_peak_1323	chr2	32915974	32916864	+	592	NA	intron (LINC00486, intron 5 of 5)	NA	-10708	AL121656.5								
DFAM71927V3_1_750_R1_peak_2758	chrX	155997386	155997961	+	590	NA	promoter-TSS (IL9R)	NA	92	IL9R								
DFAM71927V3_1_750_R1_peak_70	chr1	58136420	58136978	+	590	NA	intron (DAB1, intron 1 of 16)	NA	113840	DAB1								
DFAM71927V3_1_750_R1_peak_2646	chr9	128026185	128026755	+	581	NA	Intergenic	NA	40851	NAIF1								
DFAM71927V3_1_750_R1_peak_65	chr1	53367873	53368477	+	569	NA	Intergenic	NA	-40121	LRP8								
DFAM71927V3_1_750_R1_peak_875	chr15	56932105	56932643	+	567	NA	intron (TCF12, intron 3 of 19)	NA	13721	TCF12								
DFAM71927V3_1_750_R1_peak_1189	chr18	54713271	54713834	+	559	NA	Intergenic	NA	122393	DYNAP								
DFAM71927V3_1_750_R1_peak_1007	chr16	85055255	85055819	+	557	NA	intron (KIAA0513, intron 1 of 11)	NA	27786	KIAA0513								
DFAM71927V3_1_750_R1_peak_2676	chrUn_KI270467v1	988	3814	+	553	NA	NA	NA	NA	NA								
DFAM71927V3_1_750_R1_peak_2759	chrX	156030340	156030886	+	548	NA	Intergenic	NA	33032	IL9R								
DFAM71927V3_1_750_R1_peak_1162	chr18	23712392	23712930	+	547	NA	intron (LAMA3, intron 1 of 73)	NA	-49776	ANKRD29								
DFAM71927V3_1_750_R1_peak_432	chr11	14765088	14765619	+	545	NA	intron (PDE3B, intron 1 of 15)	NA	121708	PDE3B								
DFAM71927V3_1_750_R1_peak_402	chr10	113961573	113962092	+	543	NA	Intergenic	NA	-82215	ADRB1								
DFAM71927V3_1_750_R1_peak_249	chr1	225999243	225999770	+	525	NA	promoter-TSS (SDE2)	NA	-108	SDE2								
DFAM71927V3_1_750_R1_peak_1604	chr20	60272714	60273299	+	516	NA	intron (RP5-1043L13.1-2, intron 3 of 4)	NA	-35528	MIR646								
DFAM71927V3_1_750_R1_peak_2415	chr7	142808665	142809169	+	512	NA	Intergenic	NA	37941	PRSS2								
DFAM71927V3_1_750_R1_peak_2670	chrUn_KI270438v1	108980	110083	+	511	NA	NA	NA	NA	NA								
DFAM71927V3_1_750_R1_peak_1682	chr22	37149800	37150323	+	511	NA	promoter-TSS (IL2RB)	NA	-139	IL2RB								
DFAM71927V3_1_750_R1_peak_185	chr1	167473998	167474599	+	509	NA	intron (CD247, intron 1 of 7)	NA	19078	LOC101928512								
DFAM71927V3_1_750_R1_peak_2071	chr5	67206802	67207336	+	505	NA	Intergenic	NA	-15987	CD180								
DFAM71927V3_1_750_R1_peak_48	chr1	36385872	36386429	+	505	NA	promoter-TSS (STK40)	NA	-223	STK40								
DFAM71927V3_1_750_R1_peak_2066	chr5	55763645	55764200	+	497	NA	intron (LOC101928393, intron 1 of 2)	NA	377	LOC101928393								
DFAM71927V3_1_750_R1_peak_2628	chr9	105405346	105405831	+	497	NA	intron (SLC44A1, intron 15 of 15)	NA	-42446	FSD1L								
DFAM71927V3_1_750_R1_peak_2659	chr9	133474146	133474638	+	496	NA	intron (SLC2A6, intron 6 of 8)	NA	4762	SLC2A6								
DFAM71927V3_1_750_R1_peak_525	chr11	128302425	128302957	+	495	NA	Intergenic	NA	-219739	MIR6090								
DFAM71927V3_1_750_R1_peak_2294	chr6	137736309	137736832	+	493	NA	Intergenic	NA	63056	LOC102723649								
DFAM71927V3_1_750_R1_peak_491	chr11	85752759	85753293	+	492	NA	intron (SYTL2, intron 1 of 18)	NA	58128	SYTL2								
DFAM71927V3_1_750_R1_peak_1129	chr17	78258515	78259069	+	487	NA	Intergenic	NA	19700	RP11-219G17.4								
DFAM71927V3_1_750_R1_peak_1096	chr17	58335726	58336285	+	486	NA	promoter-TSS (MIR4736)	NA	17	MIR4736								
DFAM71927V3_1_750_R1_peak_472	chr11	66257015	66257580	+	485	NA	promoter-TSS (KLC2)	NA	-406	KLC2								
DFAM71927V3_1_750_R1_peak_636	chr12	119901877	119902460	+	484	NA	Intergenic	NA	-24877	CIT								
DFAM71927V3_1_750_R1_peak_994	chr16	74608815	74609374	+	484	NA	Intergenic	NA	-1950	GLG1								
DFAM71927V3_1_750_R1_peak_135	chr1	125179913	125180459	+	474	NA	Intergenic	NA	3661074	EMBP1								
DFAM71927V3_1_750_R1_peak_517	chr11	119713335	119713896	+	474	NA	intron (PVRL1, intron 1 of 5)	NA	15110	PVRL1								
DFAM71927V3_1_750_R1_peak_394	chr10	103054261	103054762	+	463	NA	intron (CNNM2, intron 3 of 6)	NA	136171	CNNM2								
DFAM71927V3_1_750_R1_peak_1072	chr17	42315331	42315885	+	459	NA	exon (STAT3, exon 24 of 24)	NA	28061	STAT5A								
DFAM71927V3_1_750_R1_peak_569	chr12	47360632	47361191	+	457	NA	Intergenic	NA	3358	MIR4494								
DFAM71927V3_1_750_R1_peak_31	chr1	23539794	23540307	+	452	NA	Intergenic	NA	18120	LOC101928163								
DFAM71927V3_1_750_R1_peak_2110	chr5	119287402	119287980	+	443	NA	intron (TNFAIP8, intron 1 of 1)	NA	-67082	TNFAIP8								
DFAM71927V3_1_750_R1_peak_1696	chr22	42825663	42826193	+	441	NA	intron (ARFGAP3, intron 7 of 15)	NA	31474	ARFGAP3								
DFAM71927V3_1_750_R1_peak_2490	chr8	65955613	65956117	+	441	NA	Intergenic	NA	-65691	DNAJC5B								
DFAM71927V3_1_750_R1_peak_1589	chr20	43950090	43950668	+	440	NA	intron (TOX2, intron 1 of 6)	NA	34237	TOX2								
DFAM71927V3_1_750_R1_peak_1676	chr22	30267614	30268124	+	433	NA	Intergenic	NA	-1029	OSM								
DFAM71927V3_1_750_R1_peak_917	chr15	95944190	95944672	+	431	NA	Intergenic	NA	190180	LOC101927192								
DFAM71927V3_1_750_R1_peak_1762	chr3	45870109	45870577	+	427	NA	intron (LZTFL1, intron 2 of 9)	NA	-16161	CCR9								
DFAM71927V3_1_750_R1_peak_1305	chr2	6909654	6910206	+	422	NA	Intergenic	NA	8752	RNF144A-AS1								
DFAM71927V3_1_750_R1_peak_1249	chr19	16566066	16566610	+	420	NA	intron (SLC35E1, intron 4 of 5)	NA	6044	SLC35E1								
DFAM71927V3_1_750_R1_peak_897	chr15	74389502	74389965	+	420	NA	Intergenic	NA	21699	MIR6881								
DFAM71927V3_1_750_R1_peak_615	chr12	96445652	96446171	+	418	NA	Intergenic	NA	-43666	C12orf55								
DFAM71927V3_1_750_R1_peak_2197	chr6	21883475	21884055	+	408	NA	intron (CASC15, intron 4 of 11)	NA	-29573	LOC102724654								
DFAM71927V3_1_750_R1_peak_1329	chr2	39216754	39217336	+	400	NA	intron (CDKL4, intron 3 of 5)	NA	12487	CDKL4								
DFAM71927V3_1_750_R1_peak_1316	chr2	26519493	26520052	+	397	NA	intron (OTOF, intron 3 of 46)	NA	-41730	OTOF								
DFAM71927V3_1_750_R1_peak_1294	chr19	57826416	57826975	+	397	NA	exon (FKBP1AP1, exon 2 of 2)	NA	767	FKBP1AP1								
DFAM71927V3_1_750_R1_peak_1263	chr19	34962308	34962870	+	390	NA	intron (ZNF792, intron 1 of 2)	NA	1460	ZNF792								
DFAM71927V3_1_750_R1_peak_1182	chr18	48940680	48941202	+	390	NA	intron (SMAD7, intron 1 of 1)	NA	8392	SMAD7								
DFAM71927V3_1_750_R1_peak_1511	chr2	222866480	222867042	+	385	NA	intron (ACSL3, intron 1 of 15)	NA	5747	ACSL3								
DFAM71927V3_1_750_R1_peak_547	chr12	9764757	9765275	+	383	NA	Intergenic	NA	-4115	CD69								
DFAM71927V3_1_750_R1_peak_486	chr11	78715636	78716181	+	382	NA	intron (TENM4, intron 25 of 33)	NA	-141044	NARS2								
DFAM71927V3_1_750_R1_peak_1023	chr17	7857708	7858239	+	381	NA	promoter-TSS (NAA38)	NA	-119	NAA38								
DFAM71927V3_1_750_R1_peak_97	chr1	91628641	91629200	+	378	NA	Intergenic	NA	-61110	LOC102723436								
DFAM71927V3_1_750_R1_peak_459	chr11	60821764	60822272	+	375	NA	Intergenic	NA	-19938	CCDC86								
DFAM71927V3_1_750_R1_peak_2662	chr9	134692972	134693431	+	375	NA	intron (COL5A1, intron 2 of 65)	NA	51396	COL5A1								
DFAM71927V3_1_750_R1_peak_494	chr11	88843679	88844136	+	371	NA	intron (GRM5, intron 3 of 8)	NA	222059	GRM5								
DFAM71927V3_1_750_R1_peak_2124	chr5	134086620	134087542	+	366	NA	Intergenic	NA	-4971	LOC101060024								
DFAM71927V3_1_750_R1_peak_367	chr10	72291019	72291489	+	366	NA	Intergenic	NA	17335	DDIT4								
DFAM71927V3_1_750_R1_peak_694	chr13	48526240	48526743	+	363	NA	intron (RCBTB2, intron 1 of 12)	NA	-8847	RCBTB2								
DFAM71927V3_1_750_R1_peak_2080	chr5	75077928	75078496	+	358	NA	intron (ANKRD31, intron 24 of 24)	NA	-47313	GCNT4								
DFAM71927V3_1_750_R1_peak_1914	chr4	11100037	11100527	+	358	NA	Intergenic	NA	-268605	MIR572								
DFAM71927V3_1_750_R1_peak_2307	chr6	144560077	144560592	+	358	NA	intron (UTRN, intron 49 of 73)	NA	273980	UTRN								
DFAM71927V3_1_750_R1_peak_1527	chr2	234147438	234147980	+	353	NA	Intergenic	NA	97006	SPP2								
DFAM71927V3_1_750_R1_peak_2555	chr8	133771227	133771810	+	351	NA	Intergenic	NA	5834	LOC101927798								
DFAM71927V3_1_750_R1_peak_552	chr12	14643208	14643767	+	351	NA	intron (GUCY2C, intron 17 of 26)	NA	53098	GUCY2C								
DFAM71927V3_1_750_R1_peak_2363	chr7	56033834	56034312	+	345	NA	exon (PSPH, exon 2 of 7)	NA	17522	PSPH								
DFAM71927V3_1_750_R1_peak_2053	chr5	49659605	49660326	+	343	NA	Intergenic	NA	781435	EMB								
DFAM71927V3_1_750_R1_peak_1563	chr20	15155855	15156395	+	342	NA	intron (MACROD2, intron 5 of 16)	NA	-226607	MACROD2-AS1								
DFAM71927V3_1_750_R1_peak_947	chr16	27235234	27235745	+	341	NA	intron (NSMCE1, intron 2 of 7)	NA	32003	KDM8								
DFAM71927V3_1_750_R1_peak_2157	chr5	174453603	174454179	+	341	NA	Intergenic	NA	-72337	LOC101928176								
DFAM71927V3_1_750_R1_peak_882	chr15	60844385	60844917	+	335	NA	intron (RORA, intron 1 of 10)	NA	-3554	RORA								
DFAM71927V3_1_750_R1_peak_2052	chr5	49657882	49659376	+	330	NA	Intergenic	NA	782771	EMB								
DFAM71927V3_1_750_R1_peak_1019	chr17	4436369	4436881	+	329	NA	intron (SPNS3, intron 1 of 11)	NA	-10123	SPNS3								
DFAM71927V3_1_750_R1_peak_1354	chr2	66331136	66331649	+	329	NA	Intergenic	NA	26886	MIR4778								
DFAM71927V3_1_750_R1_peak_580	chr12	54304211	54304788	+	327	NA	intron (NFE2, intron 1 of 2)	NA	-3462	NFE2								
DFAM71927V3_1_750_R1_peak_2135	chr5	142432889	142433400	+	326	NA	intron (LOC101926961, intron 2 of 3)	NA	46401	LOC101926961								
DFAM71927V3_1_750_R1_peak_75	chr1	60949453	60949996	+	325	NA	intron (LOC100996570, intron 5 of 6)	NA	21052	LOC100996570								
DFAM71927V3_1_750_R1_peak_1093	chr17	57794647	57795139	+	322	NA	Intergenic	NA	-49564	CCDC182								
DFAM71927V3_1_750_R1_peak_1818	chr3	108806270	108806783	+	321	NA	Intergenic	NA	-16258	TRAT1								
DFAM71927V3_1_750_R1_peak_1342	chr2	48420626	48421107	+	320	NA	Intergenic	NA	-19903	PPP1R21								
DFAM71927V3_1_750_R1_peak_2509	chr8	86344163	86344647	+	320	NA	intron (WWP1, intron 1 of 23)	NA	1640	WWP1								
DFAM71927V3_1_750_R1_peak_2208	chr6	30737358	30737924	+	320	NA	intron (FLOT1, intron 8 of 12)	NA	5211	FLOT1								
DFAM71927V3_1_750_R1_peak_2255	chr6	90110939	90111453	+	317	NA	intron (BACH2, intron 4 of 8)	NA	185712	BACH2								
DFAM71927V3_1_750_R1_peak_2537	chr8	125433961	125434517	+	317	NA	intron (TRIB1, intron 2 of 2)	NA	3456	TRIB1								
DFAM71927V3_1_750_R1_peak_2184	chr6	14449399	14449907	+	314	NA	intron (LOC101928331, intron 1 of 2)	NA	17724	LOC101928331								
DFAM71927V3_1_750_R1_peak_177	chr1	161044752	161045307	+	312	NA	promoter-TSS (USF1)	NA	950	USF1								
DFAM71927V3_1_750_R1_peak_2718	chrX	49273283	49273733	+	310	NA	intron (PPP1R3F, intron 1 of 3)	NA	3665	PPP1R3F								
DFAM71927V3_1_750_R1_peak_2119	chr5	132056266	132056819	+	310	NA	Intergenic	NA	-4112	IL3								
DFAM71927V3_1_750_R1_peak_813	chr14	80973729	80974209	+	310	NA	intron (TSHR, intron 1 of 8)	NA	18444	TSHR								
DFAM71927V3_1_750_R1_peak_322	chr10	30687440	30688020	+	309	NA	Intergenic	NA	-4544	SVILP1								
DFAM71927V3_1_750_R1_peak_593	chr12	67697346	67697817	+	309	NA	Intergenic	NA	31894	RP11-43N5.1								
DFAM71927V3_1_750_R1_peak_104	chr1	100440065	100440577	+	309	NA	intron (CDC14A, intron 6 of 14)	NA	87854	CDC14A								
DFAM71927V3_1_750_R1_peak_2695	chrX	13151895	13152331	+	304	NA	Intergenic	NA	-107315	FAM9C								
DFAM71927V3_1_750_R1_peak_1166	chr18	31983929	31984419	+	302	NA	Intergenic	NA	-34308	RNF125								
DFAM71927V3_1_750_R1_peak_2056	chr5	49665938	49666477	+	301	NA	Intergenic	NA	775193	EMB								
DFAM71927V3_1_750_R1_peak_1715	chr3	9734	10891	+	301	NA	Intergenic	NA	-1439	LOC102723448								
DFAM71927V3_1_750_R1_peak_2679	chrUn_KI270752v1	3302	3856	+	300	NA	Intergenic	NA	-7801	LOC102723822								
DFAM71927V3_1_750_R1_peak_223	chr1	202161983	202162482	+	297	NA	promoter-TSS (PTPN7)	NA	-1309	PTPN7								
DFAM71927V3_1_750_R1_peak_376	chr10	84293595	84294107	+	297	NA	exon (LINC00858, exon 6 of 6)	NA	13871	LINC00858								
DFAM71927V3_1_750_R1_peak_26	chr1	20185256	20185823	+	295	NA	promoter-TSS (UBXN10)	NA	947	UBXN10-AS1								
DFAM71927V3_1_750_R1_peak_1081	chr17	48193923	48194490	+	295	NA	promoter-TSS (SKAP1)	NA	-37700	MIR1203								
DFAM71927V3_1_750_R1_peak_1654	chr21	46320403	46320823	+	294	NA	intron (C21orf58, intron 1 of 7)	NA	3286	C21orf58								
DFAM71927V3_1_750_R1_peak_1349	chr2	60840537	60841093	+	289	NA	Intergenic	NA	40499	LINC01185								
DFAM71927V3_1_750_R1_peak_1861	chr3	155110771	155111263	+	289	NA	intron (MME, intron 3 of 22)	NA	31101	MME								
DFAM71927V3_1_750_R1_peak_567	chr12	46399389	46399877	+	289	NA	intron (RP11-96H19.1, intron 2 of 2)	NA	15978	RP11-96H19.1								
DFAM71927V3_1_750_R1_peak_1515	chr2	226838186	226838626	+	288	NA	intron (RHBDD1, intron 2 of 8)	NA	2451	RHBDD1								
DFAM71927V3_1_750_R1_peak_319	chr10	30436930	30437515	+	286	NA	exon (MAP3K8, exon 2 of 9)	NA	3201	MAP3K8								
DFAM71927V3_1_750_R1_peak_418	chr11	175290	175883	+	285	NA	Intergenic	NA	-2077	LOC101930129								
DFAM71927V3_1_750_R1_peak_1898	chr4	9894	10438	+	282	NA	Intergenic	NA	-43119	ZNF595								
DFAM71927V3_1_750_R1_peak_691	chr13	48401508	48401982	+	282	NA	promoter-TSS (LOC101929434)	NA	-289	LOC101929434								
DFAM71927V3_1_750_R1_peak_160	chr1	152034999	152035488	+	281	NA	intron (S100A11, intron 1 of 2)	NA	1792	S100A11								
DFAM71927V3_1_750_R1_peak_1103	chr17	64985098	64985579	+	281	NA	Intergenic	NA	-9753	AMZ2P1								
DFAM71927V3_1_750_R1_peak_2152	chr5	168851969	168852548	+	279	NA	intron (SLIT3, intron 5 of 35)	NA	-84003	MIR218-2								
DFAM71927V3_1_750_R1_peak_128	chr1	115647219	115647833	+	279	NA	intron (VANGL1, intron 1 of 7)	NA	-2807	VANGL1								
DFAM71927V3_1_750_R1_peak_54	chr1	40795322	40795855	+	279	NA	intron (KCNQ4, intron 1 of 13)	NA	11576	KCNQ4								
DFAM71927V3_1_750_R1_peak_2218	chr6	37289923	37290406	+	277	NA	intron (TBC1D22B, intron 7 of 11)	NA	-32009	TMEM217								
DFAM71927V3_1_750_R1_peak_929	chr16	11088173	11088702	+	277	NA	intron (CLEC16A, intron 19 of 22)	NA	143943	CLEC16A								
DFAM71927V3_1_750_R1_peak_1512	chr2	224930167	224930602	+	276	NA	intron (DOCK10, intron 2 of 56)	NA	52138	DOCK10								
DFAM71927V3_1_750_R1_peak_1602	chr20	59253808	59254234	+	270	NA	exon (ZNF831, exon 6 of 6)	NA	-46476	EDN3								
DFAM71927V3_1_750_R1_peak_2042	chr5	36442339	36442904	+	270	NA	Intergenic	NA	-140905	RANBP3L								
DFAM71927V3_1_750_R1_peak_2669	chrUn_KI270438v1	103847	105073	+	267	NA	NA	NA	NA	NA								
DFAM71927V3_1_750_R1_peak_2021	chr4	190112140	190112556	+	264	NA	Intergenic	NA	21440	DUX4L2								
DFAM71927V3_1_750_R1_peak_1687	chr22	40055531	40056005	+	264	NA	intron (TNRC6B, intron 1 of 23)	NA	23436	LOC100130899								
DFAM71927V3_1_750_R1_peak_1832	chr3	127821366	127821901	+	264	NA	intron (MGLL, intron 2 of 7)	NA	1249	MGLL								
DFAM71927V3_1_750_R1_peak_923	chr15	101205980	101206445	+	264	NA	intron (CHSY1, intron 2 of 2)	NA	45720	CHSY1								
DFAM71927V3_1_750_R1_peak_693	chr13	48505480	48505965	+	263	NA	intron (RCBTB2, intron 5 of 9)	NA	11922	RCBTB2								
DFAM71927V3_1_750_R1_peak_2039	chr5	35811063	35811529	+	263	NA	intron (SPEF2, intron 36 of 36)	NA	-45579	IL7R								
DFAM71927V3_1_750_R1_peak_890	chr15	68833808	68834296	+	262	NA	Intergenic	NA	-13130	ANP32A								
DFAM71927V3_1_750_R1_peak_881	chr15	60840700	60841240	+	260	NA	intron (RORA, intron 1 of 10)	NA	127	RORA								
DFAM71927V3_1_750_R1_peak_1986	chr4	113901948	113902510	+	260	NA	exon (ARSJ, exon 3 of 3)	NA	68619	LOC102723905								
DFAM71927V3_1_750_R1_peak_1004	chr16	82655082	82655779	+	258	NA	intron (CDH13, intron 2 of 14)	NA	28636	CDH13								
DFAM71927V3_1_750_R1_peak_2414	chr7	142804672	142805177	+	258	NA	Intergenic	NA	33948	PRSS2								
DFAM71927V3_1_750_R1_peak_261	chr1	234601583	234602024	+	257	NA	Intergenic	NA	7722	IRF2BP2								
DFAM71927V3_1_750_R1_peak_2140	chr5	146203165	146203654	+	257	NA	promoter-TSS (RBM27)	NA	-141	RBM27								
DFAM71927V3_1_750_R1_peak_1011	chr16	88455041	88455993	+	257	NA	intron (ZFPM1, intron 1 of 9)	NA	1911	ZFPM1								
DFAM71927V3_1_750_R1_peak_843	chr15	23503465	23504011	+	254	NA	Intergenic	NA	-56495	GOLGA6L2								
DFAM71927V3_1_750_R1_peak_2637	chr9	121169243	121169738	+	253	NA	intron (CNTRL, intron 38 of 42)	NA	32597	RAB14								
DFAM71927V3_1_750_R1_peak_2027	chr5	4533621	4534098	+	253	NA	Intergenic	NA	-239622	LOC101929153								
DFAM71927V3_1_750_R1_peak_660	chr13	18211855	18212491	+	252	NA	intron (FAM230C, intron 1 of 7)	NA	16876	FAM230C								
DFAM71927V3_1_750_R1_peak_1615	chr21	15514106	15514553	+	251	NA	Intergenic	NA	-101406	LOC101927745								
DFAM71927V3_1_750_R1_peak_642	chr12	123233219	123233740	+	251	NA	promoter-TSS (MPHOSPH9)	NA	-265	C12orf65								
DFAM71927V3_1_750_R1_peak_2303	chr6	143969008	143969488	+	251	NA	intron (PLAGL1, intron 1 of 3)	NA	39482	HYMAI								
DFAM71927V3_1_750_R1_peak_2333	chr7	11443889	11444448	+	251	NA	intron (THSD7A, intron 13 of 24)	NA	388029	THSD7A								
DFAM71927V3_1_750_R1_peak_2028	chr5	4550976	4551481	+	250	NA	Intergenic	NA	-222253	LOC101929153								
DFAM71927V3_1_750_R1_peak_2000	chr4	143513255	143513807	+	250	NA	promoter-TSS (SMARCA5)	NA	68	SMARCA5								
DFAM71927V3_1_750_R1_peak_2408	chr7	133483982	133484516	+	250	NA	TTS (EXOC4)	NA	193368	MIR6133								
DFAM71927V3_1_750_R1_peak_2744	chrX	124217917	124218406	+	247	NA	Intergenic	NA	-115830	LOC101928426								
DFAM71927V3_1_750_R1_peak_424	chr11	5254746	5255280	+	247	NA	promoter-TSS (HBG2)	NA	-232	HBG2								
DFAM71927V3_1_750_R1_peak_2672	chrUn_KI270438v1	111848	112505	+	247	NA	NA	NA	NA	NA								
