PeakID (cmd=annotatePeaks.pl MONOMAC1_4_778_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MONOMAC1_4_778_R1_peak_4243	chr11	118790003	118792811	+	921	NA	promoter-TSS (DDX6)	NA	-459	DDX6								
MONOMAC1_4_778_R1_peak_5505	chr13	28136332	28139298	+	918	NA	promoter-TSS (PAN3)	NA	-691	PAN3								
MONOMAC1_4_778_R1_peak_15757	chr3	186782575	186784731	+	916	NA	promoter-TSS (EIF4A2)	NA	81	EIF4A2								
MONOMAC1_4_778_R1_peak_3775	chr11	65497744	65502046	+	909	NA	exon (MALAT1, exon 1 of 1)	NA	2133	MALAT1								
MONOMAC1_4_778_R1_peak_20762	chr8	63167481	63170109	+	906	NA	promoter-TSS (YTHDF3-AS1)	NA	242	YTHDF3								
MONOMAC1_4_778_R1_peak_4718	chr12	45986920	45990637	+	889	NA	intron (SCAF11, intron 1 of 14)	NA	3283	SCAF11								
MONOMAC1_4_778_R1_peak_12310	chr2	144508273	144520231	+	886	NA	intron (ZEB2, intron 2 of 2)	NA	-5362	ZEB2-AS1								
MONOMAC1_4_778_R1_peak_9503	chr18	267186	269324	+	884	NA	promoter-TSS (THOC1)	NA	-196	THOC1								
MONOMAC1_4_778_R1_peak_20577	chr8	37736558	37737626	+	884	NA	intron (ERLIN2, intron 1 of 6)	NA	344	ERLIN2								
MONOMAC1_4_778_R1_peak_607	chr1	40038545	40040597	+	882	NA	Intergenic	NA	-1896	CAP1								
MONOMAC1_4_778_R1_peak_20773	chr8	65979392	65984815	+	881	NA	Intergenic	NA	-39453	DNAJC5B								
MONOMAC1_4_778_R1_peak_4281	chr11	123062445	123064350	+	880	NA	TTS (LOC101929289)	NA	1044	LOC101929289								
MONOMAC1_4_778_R1_peak_14865	chr3	49340152	49347739	+	879	NA	Intergenic	NA	-3842	USP4								
MONOMAC1_4_778_R1_peak_10806	chr19	41264247	41266352	+	878	NA	exon (HNRNPUL1, exon 1 of 15)	NA	241	HNRNPUL1								
MONOMAC1_4_778_R1_peak_9167	chr17	64505219	64507630	+	866	NA	promoter-TSS (CEP95)	NA	500	DDX5								
MONOMAC1_4_778_R1_peak_21693	chr9	89309622	89310896	+	865	NA	promoter-TSS (CKS2)	NA	-939	CKS2								
MONOMAC1_4_778_R1_peak_18672	chr6	75599613	75606588	+	864	NA	intron (SENP6, intron 1 of 22)	NA	1220	SENP6								
MONOMAC1_4_778_R1_peak_21665	chr9	83978795	83981883	+	859	NA	promoter-TSS (HNRNPK)	NA	315	HNRNPK								
MONOMAC1_4_778_R1_peak_16341	chr4	82371772	82374106	+	859	NA	intron (HNRNPD, intron 1 of 8)	NA	1057	HNRNPD								
MONOMAC1_4_778_R1_peak_10687	chr19	35744977	35745504	+	855	NA	promoter-TSS (PSENEN)	NA	202	U2AF1L4								
MONOMAC1_4_778_R1_peak_18395	chr6	32967785	32971953	+	852	NA	intron (BRD2, intron 1 of 12)	NA	-1019	BRD2								
MONOMAC1_4_778_R1_peak_14137	chr22	36480719	36482743	+	850	NA	promoter-TSS (TXN2)	NA	-91	TXN2								
MONOMAC1_4_778_R1_peak_14894	chr3	50336560	50341708	+	846	NA	promoter-TSS (RASSF1)	NA	1623	RASSF1-AS1								
MONOMAC1_4_778_R1_peak_19349	chr7	5529948	5533543	+	846	NA	Intergenic	NA	-2474	ACTB								
MONOMAC1_4_778_R1_peak_7789	chr16	28822098	28824895	+	845	NA	promoter-TSS (ATXN2L)	NA	448	ATXN2L								
MONOMAC1_4_778_R1_peak_11574	chr2	37820149	37825502	+	843	NA	Intergenic	NA	6886	LINC00211								
MONOMAC1_4_778_R1_peak_693	chr1	44403264	44419367	+	843	NA	intron (RNF220, intron 1 of 14)	NA	6027	RNF220								
MONOMAC1_4_778_R1_peak_3426	chr11	33257333	33260993	+	842	NA	intron (HIPK3, intron 1 of 15)	NA	1841	HIPK3								
MONOMAC1_4_778_R1_peak_21778	chr9	97983244	97985570	+	839	NA	intron (ANP32B, intron 1 of 6)	NA	1200	ANP32B								
MONOMAC1_4_778_R1_peak_15476	chr3	152265588	152273667	+	832	NA	promoter-TSS (MBNL1)	NA	-1	MBNL1-AS1								
MONOMAC1_4_778_R1_peak_18351	chr6	31734324	31739766	+	826	NA	promoter-TSS (CLIC1)	NA	-500	CLIC1								
MONOMAC1_4_778_R1_peak_20880	chr8	89983262	89984805	+	821	NA	intron (NBN, intron 1 of 16)	NA	691	NBN								
MONOMAC1_4_778_R1_peak_12634	chr2	201115465	201120171	+	814	NA	promoter-TSS (LOC102724614)	NA	-653	LOC102724614								
MONOMAC1_4_778_R1_peak_10743	chr19	38849499	38850076	+	813	NA	exon (HNRNPL, exon 1 of 10)	NA	546	HNRNPL								
MONOMAC1_4_778_R1_peak_15438	chr3	150545020	150546524	+	809	NA	exon (SERP1, exon 2 of 3)	NA	869	SERP1								
MONOMAC1_4_778_R1_peak_6968	chr15	55318018	55321082	+	808	NA	promoter-TSS (LOC101928527)	NA	-361	LOC101928527								
MONOMAC1_4_778_R1_peak_4708	chr12	45727797	45730343	+	806	NA	promoter-TSS (ARID2)	NA	-621	ARID2								
MONOMAC1_4_778_R1_peak_11594	chr2	38750094	38751900	+	803	NA	intron (SRSF7, intron 1 of 5)	NA	497	SRSF7								
MONOMAC1_4_778_R1_peak_8786	chr17	41688819	41689973	+	803	NA	intron (EIF1, intron 1 of 3)	NA	521	EIF1								
MONOMAC1_4_778_R1_peak_20738	chr8	58657704	58660881	+	800	NA	exon (NSMAF, exon 1 of 31)	NA	115	NSMAF								
MONOMAC1_4_778_R1_peak_8893	chr17	45160417	45161640	+	799	NA	promoter-TSS (HEXIM2)	NA	1693	HEXIM2								
MONOMAC1_4_778_R1_peak_20768	chr8	65837145	65843168	+	792	NA	intron (PDE7A, intron 1 of 12)	NA	-51062	PDE7A								
MONOMAC1_4_778_R1_peak_20018	chr7	105010850	105015868	+	791	NA	promoter-TSS (KMT2E)	NA	782	KMT2E-AS1								
MONOMAC1_4_778_R1_peak_358	chr1	26619283	26622321	+	790	NA	Intergenic	NA	66228	MIR1976								
MONOMAC1_4_778_R1_peak_10953	chr19	47110417	47114288	+	789	NA	promoter-TSS (ZC3H4)	NA	752	ZC3H4								
MONOMAC1_4_778_R1_peak_17424	chr5	131635547	131637049	+	787	NA	Intergenic	NA	-1062	RAPGEF6								
MONOMAC1_4_778_R1_peak_11916	chr2	70141102	70142593	+	786	NA	Intergenic	NA	-16531	LOC100133985								
MONOMAC1_4_778_R1_peak_5323	chr12	121800768	121804060	+	786	NA	intron (LINC01089, intron 2 of 6)	NA	1070	LINC01089								
MONOMAC1_4_778_R1_peak_3517	chr11	47374660	47379299	+	785	NA	intron (SPI1, intron 1 of 4)	NA	1597	SPI1								
MONOMAC1_4_778_R1_peak_13351	chr20	35742577	35744574	+	785	NA	Intergenic	NA	-1239	RBM39								
MONOMAC1_4_778_R1_peak_2128	chr1	234601930	234609608	+	784	NA	exon (IRF2BP2, exon 2 of 2)	NA	3756	IRF2BP2								
MONOMAC1_4_778_R1_peak_5848	chr13	99199476	99202670	+	784	NA	promoter-TSS (UBAC2-AS1)	NA	164	UBAC2								
MONOMAC1_4_778_R1_peak_12191	chr2	113890002	113892044	+	783	NA	promoter-TSS (AC104653.1)	NA	-31	AC104653.1								
MONOMAC1_4_778_R1_peak_16947	chr5	43016397	43021564	+	780	NA	promoter-TSS (LOC648987)	NA	101	LOC101927030								
MONOMAC1_4_778_R1_peak_16945	chr5	42989836	42996771	+	776	NA	promoter-TSS (FLJ32255)	NA	30	FLJ32255								
MONOMAC1_4_778_R1_peak_5240	chr12	116633495	116644964	+	775	NA	Intergenic	NA	79848	MAP1LC3B2								
MONOMAC1_4_778_R1_peak_3689	chr11	62880026	62882713	+	774	NA	promoter-TSS (SLC3A2)	NA	25357	SLC3A2								
MONOMAC1_4_778_R1_peak_13699	chr21	25733608	25736427	+	773	NA	promoter-TSS (GABPA)	NA	-173	GABPA								
MONOMAC1_4_778_R1_peak_2670	chr10	61899078	61901715	+	772	NA	promoter-TSS (ARID5B)	NA	-858	ARID5B								
MONOMAC1_4_778_R1_peak_20421	chr8	17921043	17924235	+	771	NA	promoter-TSS (PCM1)	NA	-270	PCM1								
MONOMAC1_4_778_R1_peak_10553	chr19	18290714	18294092	+	771	NA	Intergenic	NA	10274	MIR3188								
MONOMAC1_4_778_R1_peak_21436	chr9	21991011	21996475	+	768	NA	intron (CDKN2A, intron 1 of 2)	NA	748	CDKN2A								
MONOMAC1_4_778_R1_peak_8222	chr16	85567122	85572837	+	765	NA	intron (GSE1, intron 1 of 14)	NA	15075	GSE1								
MONOMAC1_4_778_R1_peak_20944	chr8	100720131	100722123	+	763	NA	intron (PABPC1, intron 1 of 14)	NA	960	PABPC1								
MONOMAC1_4_778_R1_peak_18131	chr6	20401901	20404698	+	763	NA	promoter-TSS (E2F3)	NA	-448	E2F3								
MONOMAC1_4_778_R1_peak_1614	chr1	167626950	167632388	+	762	NA	promoter-TSS (RCSD1)	NA	-568	RCSD1								
MONOMAC1_4_778_R1_peak_11474	chr2	27828594	27834497	+	760	NA	intron (RBKS, intron 6 of 7)	NA	58851	RBKS								
MONOMAC1_4_778_R1_peak_3518	chr11	47387667	47396368	+	755	NA	Intergenic	NA	-9006	MIR4487								
MONOMAC1_4_778_R1_peak_186	chr1	15833118	15835868	+	752	NA	exon (FLJ37453, exon 2 of 2)	NA	-13371	SPEN								
MONOMAC1_4_778_R1_peak_4753	chr12	49129852	49131470	+	750	NA	intron (TUBA1B, intron 1 of 3)	NA	860	TUBA1B								
MONOMAC1_4_778_R1_peak_5934	chr13	112587042	112588841	+	750	NA	exon (TUBGCP3, exon 1 of 22)	NA	244	TUBGCP3								
MONOMAC1_4_778_R1_peak_1282	chr1	149745767	149748926	+	749	NA	exon (LOC102723955, exon 1 of 5)	NA	115	LOC102723955								
MONOMAC1_4_778_R1_peak_15725	chr3	185684039	185685631	+	749	NA	intron (IGF2BP2, intron 7 of 16)	NA	4377	IGF2BP2								
MONOMAC1_4_778_R1_peak_6979	chr15	56917082	56924006	+	749	NA	intron (TCF12, intron 2 of 20)	NA	1909	TCF12								
MONOMAC1_4_778_R1_peak_2166	chr1	234953663	234966854	+	749	NA	Intergenic	NA	109560	LOC731656								
MONOMAC1_4_778_R1_peak_6314	chr14	69766277	69767815	+	747	NA	promoter-TSS (SRSF5)	NA	-65	SRSF5								
MONOMAC1_4_778_R1_peak_2171	chr1	234974467	234986134	+	747	NA	Intergenic	NA	89518	LOC731656								
MONOMAC1_4_778_R1_peak_12428	chr2	163723790	163739805	+	747	NA	intron (FIGN, intron 1 of 1)	NA	-114539	FIGN								
MONOMAC1_4_778_R1_peak_6786	chr15	41114766	41117349	+	747	NA	exon (INO80, exon 1 of 35)	NA	189	INO80								
MONOMAC1_4_778_R1_peak_20347	chr8	4240846	4245642	+	747	NA	intron (CSMD1, intron 3 of 69)	NA	751562	CSMD1								
MONOMAC1_4_778_R1_peak_752	chr1	50966379	50983488	+	747	NA	TTS (CDKN2C)	NA	6238	CDKN2C								
MONOMAC1_4_778_R1_peak_17614	chr5	149549193	149551484	+	747	NA	promoter-TSS (CSNK1A1)	NA	1214	CSNK1A1								
MONOMAC1_4_778_R1_peak_2041	chr1	226061288	226064347	+	746	NA	intron (H3F3A, intron 1 of 3)	NA	110	H3F3A								
MONOMAC1_4_778_R1_peak_5557	chr13	32111914	32119696	+	746	NA	intron (FRY, intron 3 of 60)	NA	-84166	FRY-AS1								
MONOMAC1_4_778_R1_peak_9483	chr17	82457208	82458622	+	742	NA	promoter-TSS (NARF)	NA	-749	NARF								
MONOMAC1_4_778_R1_peak_5928	chr13	110913648	110916512	+	742	NA	promoter-TSS (ANKRD10)	NA	27	ANKRD10								
MONOMAC1_4_778_R1_peak_3623	chr11	61792017	61794021	+	741	NA	promoter-TSS (TMEM258)	NA	382	FEN1								
MONOMAC1_4_778_R1_peak_13832	chr21	37366582	37367539	+	739	NA	promoter-TSS (DYRK1A)	NA	1270	DYRK1A								
MONOMAC1_4_778_R1_peak_2129	chr1	234610275	234615048	+	738	NA	Intergenic	NA	-3136	IRF2BP2								
MONOMAC1_4_778_R1_peak_12499	chr2	177211048	177214508	+	738	NA	promoter-TSS (HNRNPA3)	NA	10	MIR4444-1								
MONOMAC1_4_778_R1_peak_2267	chr1	244967745	244974718	+	738	NA	exon (LOC101928068, exon 1 of 2)	NA	110	LOC101928068								
MONOMAC1_4_778_R1_peak_9966	chr19	820804	828842	+	735	NA	Intergenic	NA	-2871	LPPR3								
MONOMAC1_4_778_R1_peak_7362	chr15	90656287	90667431	+	735	NA	intron (RP11-387D10.3, intron 2 of 2)	NA	1625	RP11-387D10.3								
MONOMAC1_4_778_R1_peak_14056	chr22	29267059	29269483	+	735	NA	promoter-TSS (RHBDD3)	NA	17	EWSR1								
MONOMAC1_4_778_R1_peak_12940	chr2	239219766	239226205	+	735	NA	intron (HDAC4, intron 2 of 25)	NA	-27528	MGC16025								
MONOMAC1_4_778_R1_peak_14479	chr3	9791456	9794006	+	735	NA	promoter-TSS (ARPC4)	NA	183	ARPC4-TTLL3								
MONOMAC1_4_778_R1_peak_16953	chr5	43063973	43068568	+	735	NA	promoter-TSS (LOC100506639)	NA	701	LOC100132356								
MONOMAC1_4_778_R1_peak_15328	chr3	129182065	129185322	+	735	NA	intron (CNBP, intron 1 of 4)	NA	274	CNBP								
MONOMAC1_4_778_R1_peak_14444	chr3	5122215	5128832	+	735	NA	intron (ARL8B, intron 1 of 4)	NA	3231	ARL8B								
MONOMAC1_4_778_R1_peak_286	chr1	23958108	23961264	+	734	NA	promoter-TSS (PNRC2)	NA	-125	PNRC2								
MONOMAC1_4_778_R1_peak_4916	chr12	56686351	56688360	+	734	NA	promoter-TSS (PTGES3)	NA	642	PTGES3								
MONOMAC1_4_778_R1_peak_9524	chr18	3246312	3249244	+	727	NA	exon (MYL12A, exon 1 of 4)	NA	304	MYL12A								
MONOMAC1_4_778_R1_peak_7262	chr15	78872849	78874609	+	727	NA	intron (MORF4L1, intron 1 of 11)	NA	948	MORF4L1								
MONOMAC1_4_778_R1_peak_9694	chr18	35343743	35344556	+	726	NA	intron (ZNF24, intron 1 of 3)	NA	315	ZNF24								
MONOMAC1_4_778_R1_peak_2725	chr10	63517580	63521309	+	726	NA	intron (JMJD1C, intron 1 of 25)	NA	-1909	REEP3								
MONOMAC1_4_778_R1_peak_13766	chr21	33541043	33544856	+	725	NA	promoter-TSS (SON)	NA	-57	GART								
MONOMAC1_4_778_R1_peak_3327	chr11	10807182	10808999	+	725	NA	promoter-TSS (EIF4G2)	NA	-616	RP11-685M7.3								
MONOMAC1_4_778_R1_peak_4795	chr12	51238728	51239779	+	724	NA	intron (DAZAP2, intron 1 of 3)	NA	529	DAZAP2								
MONOMAC1_4_778_R1_peak_22340	chrX	1391302	1393695	+	724	NA	promoter-TSS (SLC25A6)	NA	-352	SLC25A6								
MONOMAC1_4_778_R1_peak_4930	chr12	57086318	57088699	+	723	NA	Intergenic	NA	-1386	NAB2								
MONOMAC1_4_778_R1_peak_8890	chr17	45146818	45148309	+	722	NA	exon (HEXIM1, exon 1 of 1)	NA	246	HEXIM1								
MONOMAC1_4_778_R1_peak_19469	chr7	26198558	26200779	+	722	NA	intron (HNRNPA2B1, intron 1 of 11)	NA	1107	HNRNPA2B1								
MONOMAC1_4_778_R1_peak_224	chr1	19316458	19321252	+	722	NA	intron (PQLC2, intron 3 of 8)	NA	6609	PQLC2								
MONOMAC1_4_778_R1_peak_11092	chr19	50722478	50724809	+	722	NA	exon (CLEC11A, exon 1 of 4)	NA	295	CLEC11A								
MONOMAC1_4_778_R1_peak_5430	chr13	19781538	19783543	+	722	NA	exon (PSPC1, exon 1 of 8)	NA	479	PSPC1								
MONOMAC1_4_778_R1_peak_19632	chr7	44795750	44798015	+	721	NA	intron (PPIA, intron 1 of 4)	NA	202	PPIA								
MONOMAC1_4_778_R1_peak_12153	chr2	112274722	112276201	+	721	NA	promoter-TSS (ZC3H6)	NA	-140	ZC3H6								
MONOMAC1_4_778_R1_peak_7131	chr15	68816949	68820976	+	717	NA	intron (ANP32A, intron 1 of 5)	NA	1940	ANP32A								
MONOMAC1_4_778_R1_peak_15463	chr3	152194991	152206327	+	715	NA	intron (LOC101928166, intron 1 of 2)	NA	4764	LOC101928166								
MONOMAC1_4_778_R1_peak_2816	chr10	72318199	72321781	+	715	NA	Intergenic	NA	35010	DNAJB12								
MONOMAC1_4_778_R1_peak_16452	chr4	102825287	102828037	+	714	NA	promoter-TSS (UBE2D3)	NA	-1472	CISD2								
MONOMAC1_4_778_R1_peak_5518	chr13	28269115	28271778	+	714	NA	intron (PAN3, intron 12 of 18)	NA	37945	RNU6-82P								
MONOMAC1_4_778_R1_peak_11217	chr19	55653919	55656460	+	714	NA	intron (U2AF2, intron 1 of 11)	NA	1139	U2AF2								
MONOMAC1_4_778_R1_peak_3764	chr11	65417672	65426185	+	712	NA	promoter-TSS (NEAT1)	NA	-870	NEAT1								
MONOMAC1_4_778_R1_peak_350	chr1	26471434	26473062	+	712	NA	promoter-TSS (HMGN2)	NA	-163	HMGN2								
MONOMAC1_4_778_R1_peak_16705	chr4	173332970	173334435	+	712	NA	promoter-TSS (HMGB2)	NA	742	HMGB2								
MONOMAC1_4_778_R1_peak_15310	chr3	128604019	128606931	+	712	NA	Intergenic	NA	-29389	C3orf27								
MONOMAC1_4_778_R1_peak_11839	chr2	65226880	65229134	+	712	NA	intron (ACTR2, intron 1 of 8)	NA	312	ACTR2								
MONOMAC1_4_778_R1_peak_14412	chr22	50537041	50544308	+	711	NA	promoter-TSS (LOC102724608)	NA	-753	LOC102724608								
MONOMAC1_4_778_R1_peak_10472	chr19	15835928	15838003	+	709	NA	TTS (UCA1)	NA	8018	UCA1								
MONOMAC1_4_778_R1_peak_18477	chr6	36594260	36595932	+	709	NA	intron (SRSF3, intron 1 of 6)	NA	783	SRSF3								
MONOMAC1_4_778_R1_peak_12396	chr2	159612140	159623276	+	709	NA	exon (LOC643072, exon 2 of 2)	NA	2410	LOC643072								
MONOMAC1_4_778_R1_peak_5697	chr13	50122841	50126604	+	708	NA	exon (FLJ31945, exon 3 of 6)	NA	819	DLEU2								
MONOMAC1_4_778_R1_peak_2297	chr1	248837556	248839559	+	708	NA	intron (ZNF672, intron 1 of 3)	NA	226	ZNF672								
MONOMAC1_4_778_R1_peak_2466	chr10	22249321	22255542	+	707	NA	exon (LOC100130992, exon 1 of 1)	NA	359	LOC100130992								
MONOMAC1_4_778_R1_peak_22018	chr9	125747312	125754046	+	707	NA	intron (PBX3, intron 2 of 6)	NA	3341	PBX3								
MONOMAC1_4_778_R1_peak_20779	chr8	66113412	66115905	+	707	NA	TTS (TRNAY6)	NA	469	TRNAA39								
MONOMAC1_4_778_R1_peak_4973	chr12	64404479	64406089	+	703	NA	intron (XPOT, intron 1 of 24)	NA	911	XPOT								
MONOMAC1_4_778_R1_peak_4968	chr12	62601813	62604501	+	702	NA	promoter-TSS (MIRLET7I)	NA	277	C12orf61								
MONOMAC1_4_778_R1_peak_16071	chr4	24582854	24585191	+	700	NA	intron (DHX15, intron 1 of 13)	NA	539	DHX15								
MONOMAC1_4_778_R1_peak_2819	chr10	72332184	72335050	+	700	NA	TTS (DNAJB12)	NA	21383	DNAJB12								
MONOMAC1_4_778_R1_peak_3173	chr11	206706	209327	+	700	NA	promoter-TSS (RIC8A)	NA	505	RIC8A								
MONOMAC1_4_778_R1_peak_16726	chr4	180052298	180058683	+	699	NA	Intergenic	NA	1103659	LINC00290								
MONOMAC1_4_778_R1_peak_17502	chr5	138541839	138543296	+	699	NA	promoter-TSS (ETF1)	NA	733	ETF1								
MONOMAC1_4_778_R1_peak_14411	chr22	50528935	50536316	+	699	NA	promoter-TSS (ODF3B)	NA	-179	ODF3B								
MONOMAC1_4_778_R1_peak_8172	chr16	77676228	77682505	+	699	NA	Intergenic	NA	-43126	NUDT7								
MONOMAC1_4_778_R1_peak_3701	chr11	63974516	63975827	+	699	NA	intron (COX8A, intron 1 of 1)	NA	564	COX8A								
MONOMAC1_4_778_R1_peak_14785	chr3	46094176	46100911	+	699	NA	Intergenic	NA	-70056	XCR1								
MONOMAC1_4_778_R1_peak_2794	chr10	71746660	71748882	+	698	NA	exon (C10orf54, exon 7 of 7)	NA	25809	C10orf54								
MONOMAC1_4_778_R1_peak_9357	chr17	76735747	76737365	+	698	NA	promoter-TSS (MIR636)	NA	-8	MIR636								
MONOMAC1_4_778_R1_peak_17859	chr5	179622984	179623755	+	697	NA	intron (HNRNPH1, intron 1 of 13)	NA	341	HNRNPH1								
MONOMAC1_4_778_R1_peak_5611	chr13	41017266	41019409	+	696	NA	intron (ELF1, intron 1 of 8)	NA	1035	ELF1								
MONOMAC1_4_778_R1_peak_21153	chr8	129662520	129666533	+	695	NA	Intergenic	NA	122362	GSDMC								
MONOMAC1_4_778_R1_peak_8120	chr16	70427470	70432349	+	695	NA	intron (ST3GAL2, intron 1 of 6)	NA	9179	ST3GAL2								
MONOMAC1_4_778_R1_peak_15854	chr3	196163135	196165752	+	692	NA	Intergenic	NA	21807	LINC00885								
MONOMAC1_4_778_R1_peak_722	chr1	45687294	45689141	+	692	NA	promoter-TSS (TMEM69)	NA	42	TMEM69								
MONOMAC1_4_778_R1_peak_5937	chr13	113207950	113209522	+	691	NA	promoter-TSS (CUL4A)	NA	-21	PCID2								
MONOMAC1_4_778_R1_peak_13350	chr20	35740797	35742318	+	691	NA	intron (RBM39, intron 1 of 18)	NA	779	RBM39								
MONOMAC1_4_778_R1_peak_20964	chr8	102411075	102413144	+	687	NA	intron (UBR5, intron 1 of 58)	NA	580	UBR5								
MONOMAC1_4_778_R1_peak_4954	chr12	57933592	57937449	+	687	NA	exon (RP11-620J15.3, exon 2 of 3)	NA	644	RP11-620J15.3								
MONOMAC1_4_778_R1_peak_14263	chr22	41833084	41834585	+	687	NA	exon (SREBF2, exon 1 of 19)	NA	755	SREBF2								
MONOMAC1_4_778_R1_peak_19305	chr7	2353858	2354909	+	686	NA	promoter-TSS (EIF3B)	NA	-456	EIF3B								
MONOMAC1_4_778_R1_peak_3431	chr11	33893842	33895962	+	684	NA	Intergenic	NA	-24378	LMO2								
MONOMAC1_4_778_R1_peak_15713	chr3	184711363	184712878	+	684	NA	promoter-TSS (MAGEF1)	NA	-72	MAGEF1								
MONOMAC1_4_778_R1_peak_10760	chr19	39397759	39399953	+	679	NA	exon (MED29, exon 4 of 4)	NA	7533	MED29								
MONOMAC1_4_778_R1_peak_15376	chr3	136193562	136198290	+	679	NA	promoter-TSS (MSL2)	NA	-1458	MSL2								
MONOMAC1_4_778_R1_peak_6648	chr15	22659772	22666594	+	679	NA	Intergenic	NA	-1556	WHAMMP3								
MONOMAC1_4_778_R1_peak_15696	chr3	184248160	184249542	+	679	NA	promoter-TSS (ECE2)	NA	120	ALG3								
MONOMAC1_4_778_R1_peak_10551	chr19	18282015	18283558	+	677	NA	TTS (MIR3188)	NA	657	MIR3188								
MONOMAC1_4_778_R1_peak_2583	chr10	42971713	42978132	+	677	NA	Intergenic	NA	-22641	MIR5100								
MONOMAC1_4_778_R1_peak_8244	chr16	85981153	85985990	+	677	NA	Intergenic	NA	65175	MIR6774								
MONOMAC1_4_778_R1_peak_17098	chr5	73858025	73864602	+	676	NA	intron (ARHGEF28, intron 8 of 27)	NA	235155	ARHGEF28								
MONOMAC1_4_778_R1_peak_12500	chr2	177261958	177265839	+	675	NA	promoter-TSS (NFE2L2)	NA	1233	NFE2L2								
MONOMAC1_4_778_R1_peak_9569	chr18	9913291	9914589	+	674	NA	promoter-TSS (VAPA)	NA	-18	VAPA								
MONOMAC1_4_778_R1_peak_14252	chr22	41445465	41448433	+	674	NA	promoter-TSS (TOB2)	NA	-1663	TOB2								
MONOMAC1_4_778_R1_peak_2125	chr1	234520822	234524707	+	674	NA	Intergenic	NA	9015	RP5-855F14.1								
MONOMAC1_4_778_R1_peak_9909	chr18	76553435	76556473	+	674	NA	intron (LINC00908, intron 2 of 2)	NA	-10455	LOC102723325								
MONOMAC1_4_778_R1_peak_14854	chr3	49017817	49022953	+	674	NA	promoter-TSS (NDUFAF3)	NA	-164	MIR425								
