PeakID (cmd=annotatePeaks.pl P31FUJ_4_776_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
P31FUJ_4_776_R1_peak_23152	chr5	371513	373829	+	620	NA	intron (AHRR, intron 3 of 10)	NA	68495	AHRR								
P31FUJ_4_776_R1_peak_8095	chr13	29593829	29595687	+	619	NA	intron (LOC102724249, intron 3 of 3)	NA	-7966	SLC7A1								
P31FUJ_4_776_R1_peak_11822	chr16	66522218	66526850	+	617	NA	intron (TK2, intron 5 of 8)	NA	25757	TK2								
P31FUJ_4_776_R1_peak_15370	chr19	41408518	41411612	+	612	NA	intron (BCKDHA, intron 1 of 8)	NA	12276	BCKDHA								
P31FUJ_4_776_R1_peak_3042	chr1	235862847	235867031	+	608	NA	intron (LYST, intron 1 of 52)	NA	1988	LYST								
P31FUJ_4_776_R1_peak_15294	chr19	39401945	39403814	+	606	NA	Intergenic	NA	-3968	ZFP36								
P31FUJ_4_776_R1_peak_20931	chr3	50088851	50090267	+	604	NA	intron (RBM5, intron 1 of 24)	NA	651	RBM5								
P31FUJ_4_776_R1_peak_14357	chr19	822816	828675	+	602	NA	Intergenic	NA	-2086	AZU1								
P31FUJ_4_776_R1_peak_18739	chr20	36050007	36051689	+	601	NA	exon (LINC00657, exon 1 of 1)	NA	112	LINC00657								
P31FUJ_4_776_R1_peak_30231	chr9	136617630	136621648	+	600	NA	intron (LOC101928581, intron 1 of 2)	NA	-2747	HCCAT4								
P31FUJ_4_776_R1_peak_27164	chr7	100100150	100101470	+	599	NA	promoter-TSS (AP4M1)	NA	-720	AP4M1								
P31FUJ_4_776_R1_peak_2991	chr1	234602884	234609570	+	598	NA	exon (IRF2BP2, exon 2 of 2)	NA	3298	IRF2BP2								
P31FUJ_4_776_R1_peak_24105	chr5	139293223	139295247	+	598	NA	intron (MATR3, intron 1 of 13)	NA	15455	SNORA74A								
P31FUJ_4_776_R1_peak_15203	chr19	35744981	35745492	+	598	NA	promoter-TSS (PSENEN)	NA	206	U2AF1L4								
P31FUJ_4_776_R1_peak_13827	chr17	83197969	83201445	+	597	NA	Intergenic	NA	26793	LOC100505909								
P31FUJ_4_776_R1_peak_261	chr1	16903964	16905342	+	596	NA	Intergenic	NA	8673	RNU1-2								
P31FUJ_4_776_R1_peak_18686	chr20	34111192	34112334	+	595	NA	intron (EIF2S2, intron 1 of 7)	NA	473	EIF2S2								
P31FUJ_4_776_R1_peak_8437	chr13	49994843	49996826	+	592	NA	TTS (MIR3613)	NA	615	MIR3613								
P31FUJ_4_776_R1_peak_5119	chr11	47358591	47359768	+	592	NA	intron (SPI1, intron 3 of 4)	NA	-6477	MYBPC3								
P31FUJ_4_776_R1_peak_14628	chr19	7347985	7350313	+	592	NA	exon (ARHGEF18, exon 1 of 30)	NA	-54821	INSR								
P31FUJ_4_776_R1_peak_26749	chr7	44795821	44798014	+	588	NA	intron (PPIA, intron 1 of 4)	NA	275	PPIA								
P31FUJ_4_776_R1_peak_501	chr1	27340963	27344460	+	588	NA	intron (SYTL1, intron 1 of 13)	NA	719	SYTL1								
P31FUJ_4_776_R1_peak_15549	chr19	46783673	46788547	+	586	NA	intron (SLC1A5, intron 1 of 7)	NA	-1233	SLC1A5								
P31FUJ_4_776_R1_peak_3334	chr10	22316378	22320556	+	585	NA	intron (COMMD3-BMI1, intron 4 of 13)	NA	2084	COMMD3-BMI1								
P31FUJ_4_776_R1_peak_8277	chr13	41002950	41008030	+	583	NA	intron (ELF1, intron 1 of 8)	NA	-23208	ELF1								
P31FUJ_4_776_R1_peak_1360	chr1	92477627	92489399	+	581	NA	exon (GFI1, exon 2 of 7)	NA	286	GFI1								
P31FUJ_4_776_R1_peak_21462	chr3	128604003	128606783	+	581	NA	Intergenic	NA	-29307	C3orf27								
P31FUJ_4_776_R1_peak_8740	chr13	89781068	89795093	+	575	NA	Intergenic	NA	-223667	LINC00353								
P31FUJ_4_776_R1_peak_6088	chr11	123062587	123063937	+	574	NA	promoter-TSS (HSPA8)	NA	909	LOC101929289								
P31FUJ_4_776_R1_peak_27638	chr7	141955319	141957687	+	573	NA	intron (MGAM, intron 1 of 70)	NA	-9520	CLEC5A								
P31FUJ_4_776_R1_peak_14450	chr19	2288258	2291173	+	572	NA	TTS (LINGO3)	NA	-7533	C19orf35								
P31FUJ_4_776_R1_peak_7179	chr12	62259253	62261011	+	569	NA	promoter-TSS (USP15)	NA	-227	MIR6125								
P31FUJ_4_776_R1_peak_464	chr1	26471478	26473050	+	569	NA	promoter-TSS (HMGN2)	NA	-147	HMGN2								
P31FUJ_4_776_R1_peak_8654	chr13	79404268	79407434	+	568	NA	promoter-TSS (RBM26-AS1)	NA	407	RBM26								
P31FUJ_4_776_R1_peak_26662	chr7	40549508	40553316	+	568	NA	intron (SUGCT, intron 11 of 12)	NA	-4341	LOC101928716								
P31FUJ_4_776_R1_peak_2589	chr1	204514656	204517336	+	568	NA	promoter-TSS (MDM4)	NA	-8894	TRNAK34								
P31FUJ_4_776_R1_peak_27840	chr8	1948007	1951511	+	567	NA	intron (ARHGEF10, intron 27 of 27)	NA	-11549	LOC100131395								
P31FUJ_4_776_R1_peak_8339	chr13	46178424	46183627	+	566	NA	intron (LCP1, intron 1 of 15)	NA	-12451	LCP1								
P31FUJ_4_776_R1_peak_14370	chr19	1025687	1027473	+	565	NA	exon (CNN2, exon 1 of 7)	NA	281	CNN2								
P31FUJ_4_776_R1_peak_3105	chr1	244863353	244865282	+	563	NA	exon (HNRNPU, exon 1 of 14)	NA	208	HNRNPU								
P31FUJ_4_776_R1_peak_6483	chr12	9792893	9798500	+	562	NA	Intergenic	NA	-31785	KLRF1								
P31FUJ_4_776_R1_peak_12663	chr17	29137155	29140189	+	560	NA	intron (MYO18A, intron 2 of 40)	NA	41717	MYO18A								
P31FUJ_4_776_R1_peak_15142	chr19	33266079	33270018	+	559	NA	Intergenic	NA	34516	CEBPA								
P31FUJ_4_776_R1_peak_5477	chr11	67285511	67289117	+	557	NA	TTS (ADRBK1)	NA	-2040	ANKRD13D								
P31FUJ_4_776_R1_peak_12528	chr17	16286172	16289053	+	557	NA	intron (PIGL, intron 2 of 6)	NA	5598	MIR1288								
P31FUJ_4_776_R1_peak_17784	chr2	190424706	190426478	+	556	NA	intron (MFSD6, intron 2 of 7)	NA	17237	MFSD6								
P31FUJ_4_776_R1_peak_5121	chr11	47375896	47379395	+	556	NA	intron (SPI1, intron 1 of 4)	NA	931	SPI1								
P31FUJ_4_776_R1_peak_23691	chr5	88823706	88827289	+	555	NA	intron (MEF2C, intron 2 of 10)	NA	-1570	MEF2C								
P31FUJ_4_776_R1_peak_8446	chr13	50124689	50126801	+	555	NA	promoter-TSS (DLEU2)	NA	-204	DLEU2								
P31FUJ_4_776_R1_peak_14716	chr19	10501661	10503782	+	552	NA	promoter-TSS (KEAP1)	NA	-36	KEAP1								
P31FUJ_4_776_R1_peak_1922	chr1	155976493	155980111	+	552	NA	promoter-TSS (ARHGEF2)	NA	5125	ARHGEF2								
P31FUJ_4_776_R1_peak_14448	chr19	2269528	2271526	+	551	NA	intron (OAZ1, intron 1 of 4)	NA	1006	OAZ1								
P31FUJ_4_776_R1_peak_15160	chr19	33820075	33821569	+	551	NA	Intergenic	NA	23976	KCTD15								
P31FUJ_4_776_R1_peak_19604	chr22	17637913	17639710	+	550	NA	promoter-TSS (BCL2L13)	NA	699	BCL2L13								
P31FUJ_4_776_R1_peak_8178	chr13	32112760	32119472	+	550	NA	intron (FRY, intron 3 of 62)	NA	-84477	FRY-AS1								
P31FUJ_4_776_R1_peak_19429	chr21	37366745	37367473	+	548	NA	promoter-TSS (DYRK1A)	NA	-53190	DYRK1A								
P31FUJ_4_776_R1_peak_8347	chr13	46293814	46298408	+	547	NA	TTS (LINC00563)	NA	1733	LINC00563								
P31FUJ_4_776_R1_peak_15797	chr19	54363879	54365902	+	545	NA	exon (LAIR1, exon 1 of 10)	NA	5663	LAIR1								
P31FUJ_4_776_R1_peak_13057	chr17	45147003	45148329	+	545	NA	exon (HEXIM1, exon 1 of 1)	NA	349	HEXIM1								
P31FUJ_4_776_R1_peak_17239	chr2	113890051	113892004	+	544	NA	promoter-TSS (AC104653.1)	NA	-35	AC104653.1								
P31FUJ_4_776_R1_peak_8248	chr13	36530580	36533925	+	542	NA	Intergenic	NA	99980	CCNA1								
P31FUJ_4_776_R1_peak_27208	chr7	100866877	100868419	+	542	NA	promoter-TSS (MIR6875)	NA	320	TRIP6								
P31FUJ_4_776_R1_peak_8737	chr13	89756082	89772903	+	541	NA	Intergenic	NA	-200079	LINC00353								
P31FUJ_4_776_R1_peak_28733	chr8	129664122	129666468	+	541	NA	Intergenic	NA	121593	GSDMC								
P31FUJ_4_776_R1_peak_11333	chr16	16073321	16076944	+	541	NA	intron (ABCC1, intron 14 of 29)	NA	125555	ABCC1								
P31FUJ_4_776_R1_peak_30313	chrX	1391313	1392961	+	540	NA	promoter-TSS (SLC25A6)	NA	9	SLC25A6								
P31FUJ_4_776_R1_peak_11213	chr16	4424742	4426531	+	540	NA	promoter-TSS (DNAJA3)	NA	-169	DNAJA3								
P31FUJ_4_776_R1_peak_15279	chr19	38849522	38850100	+	540	NA	exon (HNRNPL, exon 1 of 10)	NA	2528	HNRNPL								
P31FUJ_4_776_R1_peak_14926	chr19	16138462	16142109	+	538	NA	intron (HSH2D, intron 1 of 7)	NA	6257	HSH2D								
P31FUJ_4_776_R1_peak_5425	chr11	65858451	65861542	+	536	NA	promoter-TSS (MUS81)	NA	-405	MUS81								
P31FUJ_4_776_R1_peak_15838	chr19	55634978	55635850	+	535	NA	exon (ZNF580, exon 1 of 2)	NA	-2735	LOC102724369								
P31FUJ_4_776_R1_peak_27340	chr7	108569795	108571335	+	534	NA	promoter-TSS (THAP5)	NA	820	DNAJB9								
P31FUJ_4_776_R1_peak_14440	chr19	2164057	2165653	+	534	NA	intron (DOT1L, intron 1 of 27)	NA	695	DOT1L								
P31FUJ_4_776_R1_peak_6249	chr12	1796420	1798422	+	533	NA	exon (CACNA2D4, exon 34 of 37)	NA	-22846	LRTM2								
P31FUJ_4_776_R1_peak_1867	chr1	154607101	154609164	+	533	NA	promoter-TSS (ADAR)	NA	19854	ADAR								
P31FUJ_4_776_R1_peak_28076	chr8	33512342	33513694	+	533	NA	promoter-TSS (SNORD13)	NA	167	TTI2								
P31FUJ_4_776_R1_peak_18733	chr20	35740950	35742286	+	531	NA	intron (RBM39, intron 1 of 16)	NA	684	RBM39								
P31FUJ_4_776_R1_peak_27579	chr7	139358562	139361800	+	531	NA	exon (LUC7L2, exon 1 of 11)	NA	19049	C7orf55-LUC7L2								
P31FUJ_4_776_R1_peak_19827	chr22	29266794	29269492	+	530	NA	promoter-TSS (RHBDD3)	NA	134	EWSR1								
P31FUJ_4_776_R1_peak_3211	chr10	6926094	6930190	+	529	NA	Intergenic	NA	148544	LINC00707								
P31FUJ_4_776_R1_peak_7940	chr13	19781535	19783002	+	529	NA	intron (PSPC1, intron 1 of 7)	NA	718	PSPC1								
P31FUJ_4_776_R1_peak_27317	chr7	106861646	106867059	+	528	NA	promoter-TSS (PIK3CG)	NA	-1127	PIK3CG								
P31FUJ_4_776_R1_peak_14803	chr19	12737083	12737942	+	526	NA	promoter-TSS (ASNA1)	NA	20	ASNA1								
P31FUJ_4_776_R1_peak_8072	chr13	28137071	28139337	+	525	NA	promoter-TSS (PAN3)	NA	970	PAN3-AS1								
P31FUJ_4_776_R1_peak_8615	chr13	77329362	77330980	+	524	NA	Intergenic	NA	-3132	MYCBP2								
P31FUJ_4_776_R1_peak_19994	chr22	38504816	38506430	+	524	NA	intron (DDX17, intron 1 of 12)	NA	717	DDX17								
P31FUJ_4_776_R1_peak_15046	chr19	18966485	18975125	+	524	NA	Intergenic	NA	24605	LOC102724360								
P31FUJ_4_776_R1_peak_27490	chr7	129610820	129611725	+	524	NA	promoter-TSS (NRF1)	NA	-442	NRF1								
P31FUJ_4_776_R1_peak_15744	chr19	52269517	52270681	+	524	NA	intron (ZNF766, intron 1 of 3)	NA	528	ZNF766								
P31FUJ_4_776_R1_peak_17690	chr2	177212651	177214009	+	523	NA	TTS (MIR4444-1)	NA	562	MIR4444-1								
P31FUJ_4_776_R1_peak_14694	chr19	10193713	10194979	+	523	NA	intron (DNMT1, intron 1 of 40)	NA	733	DNMT1								
P31FUJ_4_776_R1_peak_4961	chr11	33889322	33896197	+	523	NA	promoter-TSS (LMO2)	NA	-1484	LMO2								
P31FUJ_4_776_R1_peak_6537	chr12	11795907	11798985	+	522	NA	intron (ETV6, intron 2 of 7)	NA	109930	LOC101928186								
P31FUJ_4_776_R1_peak_19598	chr22	17107175	17108506	+	522	NA	intron (IL17RA, intron 12 of 12)	NA	13527	CECR6								
P31FUJ_4_776_R1_peak_21809	chr3	169764310	169765590	+	522	NA	exon (TERC, exon 1 of 1)	NA	110	TERC								
P31FUJ_4_776_R1_peak_191	chr1	11736010	11739059	+	518	NA	intron (AGTRAP, intron 1 of 3)	NA	1449	AGTRAP								
P31FUJ_4_776_R1_peak_14930	chr19	16148133	16151827	+	518	NA	intron (HSH2D, intron 4 of 7)	NA	15952	HSH2D								
P31FUJ_4_776_R1_peak_16877	chr2	74198467	74200625	+	518	NA	intron (MTHFD2, intron 1 of 6)	NA	983	MTHFD2								
P31FUJ_4_776_R1_peak_14845	chr19	13834637	13837024	+	516	NA	TTS (MIR27A)	NA	459	LOC284454								
P31FUJ_4_776_R1_peak_18639	chr20	32226429	32229103	+	516	NA	intron (POFUT1, intron 5 of 5)	NA	-10029	MIR1825								
P31FUJ_4_776_R1_peak_9289	chr14	49892461	49894614	+	516	NA	exon (ARF6, exon 2 of 2)	NA	519	ARF6								
P31FUJ_4_776_R1_peak_14819	chr19	12936257	12938277	+	515	NA	Intergenic	NA	-1333	CALR								
P31FUJ_4_776_R1_peak_27183	chr7	100428378	100430797	+	514	NA	promoter-TSS (ZCWPW1)	NA	-173	ZCWPW1								
P31FUJ_4_776_R1_peak_14418	chr19	1855537	1858421	+	514	NA	intron (KLF16, intron 1 of 1)	NA	6586	KLF16								
P31FUJ_4_776_R1_peak_14915	chr19	15835713	15838257	+	512	NA	TTS (UCA1)	NA	8038	UCA1								
P31FUJ_4_776_R1_peak_14748	chr19	11088378	11090456	+	509	NA	promoter-TSS (LDLR)	NA	55	LDLR								
P31FUJ_4_776_R1_peak_7346	chr12	82964413	82969434	+	507	NA	exon (TMTC2, exon 7 of 12)	NA	276585	TMTC2								
P31FUJ_4_776_R1_peak_8380	chr13	48302876	48304936	+	507	NA	promoter-TSS (LINC00441)	NA	159	RB1								
P31FUJ_4_776_R1_peak_7041	chr12	54417582	54419754	+	506	NA	promoter-TSS (LOC102724050)	NA	598	ITGA5								
P31FUJ_4_776_R1_peak_8252	chr13	37058732	37059767	+	506	NA	exon (SUPT20H, exon 1 of 26)	NA	437	SUPT20H								
P31FUJ_4_776_R1_peak_3829	chr10	72332247	72334008	+	506	NA	exon (DNAJB12, exon 9 of 9)	NA	22022	DNAJB12								
P31FUJ_4_776_R1_peak_19109	chr20	60045293	60047938	+	506	NA	Intergenic	NA	-9310	C20orf197								
P31FUJ_4_776_R1_peak_2992	chr1	234610324	234612732	+	504	NA	Intergenic	NA	-2003	IRF2BP2								
P31FUJ_4_776_R1_peak_13856	chr18	3246305	3249168	+	504	NA	exon (MYL12A, exon 1 of 4)	NA	-4539	MYL12A								
P31FUJ_4_776_R1_peak_15842	chr19	55653944	55656569	+	503	NA	intron (U2AF2, intron 1 of 11)	NA	-3954	U2AF2								
P31FUJ_4_776_R1_peak_8194	chr13	32537740	32539510	+	503	NA	exon (N4BP2L2, exon 1 of 6)	NA	167	N4BP2L2								
P31FUJ_4_776_R1_peak_27214	chr7	101085278	101086542	+	503	NA	intron (TRIM56, intron 1 of 2)	NA	405	TRIM56								
P31FUJ_4_776_R1_peak_8983	chr13	114129284	114132537	+	502	NA	intron (RASA3, intron 1 of 23)	NA	1682	RASA3								
P31FUJ_4_776_R1_peak_14421	chr19	1874483	1876589	+	501	NA	Intergenic	NA	9983	ABHD17A								
P31FUJ_4_776_R1_peak_21965	chr3	185936162	185938067	+	501	NA	promoter-TSS (TRA2B)	NA	914	TRA2B								
P31FUJ_4_776_R1_peak_15410	chr19	42075006	42075862	+	499	NA	promoter-TSS (ZNF574)	NA	-704	ZNF574								
P31FUJ_4_776_R1_peak_17963	chr2	207166261	207167885	+	498	NA	promoter-TSS (KLF7)	NA	671	MIR7845								
P31FUJ_4_776_R1_peak_9090	chr14	22556556	22559141	+	498	NA	Intergenic	NA	31389	DAD1								
P31FUJ_4_776_R1_peak_4202	chr10	100346273	100349080	+	498	NA	intron (SCD, intron 1 of 5)	NA	661	SCD								
P31FUJ_4_776_R1_peak_6870	chr12	49130399	49131401	+	497	NA	intron (TUBA1B, intron 1 of 3)	NA	621	TUBA1B								
P31FUJ_4_776_R1_peak_4157	chr10	97318350	97319563	+	496	NA	promoter-TSS (FRAT1)	NA	-309	FRAT1								
P31FUJ_4_776_R1_peak_6342	chr12	6532916	6536366	+	496	NA	promoter-TSS (GAPDH)	NA	-602	GAPDH								
P31FUJ_4_776_R1_peak_22106	chr3	196628909	196632297	+	496	NA	TTS (LINC01063)	NA	2035	LINC01063								
P31FUJ_4_776_R1_peak_13255	chr17	58006015	58007648	+	496	NA	intron (SRSF1, intron 1 of 4)	NA	442	SRSF1								
P31FUJ_4_776_R1_peak_12872	chr17	39199854	39201125	+	496	NA	exon (RPL19, exon 1 of 6)	NA	166	RPL19								
P31FUJ_4_776_R1_peak_11395	chr16	21952664	21954193	+	495	NA	exon (UQCRC2, exon 1 of 14)	NA	140	UQCRC2								
P31FUJ_4_776_R1_peak_16392	chr2	43012866	43020215	+	495	NA	Intergenic	NA	23007	LOC102723854								
P31FUJ_4_776_R1_peak_26898	chr7	74209027	74212319	+	495	NA	intron (LAT2, intron 1 of 12)	NA	746	LAT2								
P31FUJ_4_776_R1_peak_8943	chr13	110913600	110915145	+	495	NA	intron (ANKRD10, intron 1 of 6)	NA	735	ANKRD10								
P31FUJ_4_776_R1_peak_1253	chr1	77977860	77980670	+	494	NA	promoter-TSS (FUBP1)	NA	-16	DNAJB4								
P31FUJ_4_776_R1_peak_27578	chr7	139340670	139342513	+	494	NA	TTS (TRNAR27)	NA	459	C7orf55-LUC7L2								
P31FUJ_4_776_R1_peak_30250	chr9	137032133	137034248	+	493	NA	promoter-TSS (FUT7)	NA	-350	FUT7								
P31FUJ_4_776_R1_peak_8032	chr13	26221184	26222845	+	493	NA	promoter-TSS (RNF6)	NA	357	RNF6								
P31FUJ_4_776_R1_peak_14973	chr19	17498190	17500971	+	491	NA	intron (SLC27A1, intron 7 of 11)	NA	-11889	PGLS								
P31FUJ_4_776_R1_peak_23983	chr5	132294361	132295310	+	491	NA	promoter-TSS (SLC22A4)	NA	383	SLC22A4								
P31FUJ_4_776_R1_peak_354	chr1	21781600	21783753	+	491	NA	intron (USP48, intron 1 of 25)	NA	499	USP48								
P31FUJ_4_776_R1_peak_15544	chr19	46600558	46601213	+	491	NA	promoter-TSS (CALM3)	NA	-370	CALM3								
P31FUJ_4_776_R1_peak_26927	chr7	75618089	75619295	+	490	NA	intron (HIP1, intron 1 of 28)	NA	-74431	LOC102723650								
P31FUJ_4_776_R1_peak_8798	chr13	99199771	99201556	+	490	NA	promoter-TSS (UBAC2)	NA	92	UBAC2-AS1								
P31FUJ_4_776_R1_peak_5076	chr11	46242619	46243456	+	489	NA	Intergenic	NA	31430	LOC101928919								
P31FUJ_4_776_R1_peak_16875	chr2	74185070	74186074	+	488	NA	Intergenic	NA	-6704	MOB1A								
P31FUJ_4_776_R1_peak_10274	chr15	50353729	50356050	+	488	NA	promoter-TSS (FLJ10038)	NA	-10	FLJ10038								
P31FUJ_4_776_R1_peak_11142	chr16	2777325	2778428	+	488	NA	promoter-TSS (TCEB2)	NA	-580	TCEB2								
P31FUJ_4_776_R1_peak_15336	chr19	40748487	40750593	+	488	NA	exon (C19orf54, exon 1 of 7)	NA	963	C19orf54								
