PeakID (cmd=annotatePeaks.pl MONOMAC1_3_777_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MONOMAC1_3_777_R1_peak_28192	chr8	65836982	65843249	+	1084	NA	intron (PDE7A, intron 1 of 12)	NA	1619	PDE7A								
MONOMAC1_3_777_R1_peak_13933	chr19	4539474	4545557	+	1073	NA	TTS (SEMA6B)	NA	-2491	LRG1								
MONOMAC1_3_777_R1_peak_5132	chr11	65497736	65502259	+	1070	NA	exon (MALAT1, exon 1 of 1)	NA	2235	MALAT1								
MONOMAC1_3_777_R1_peak_27595	chr8	4240449	4246540	+	1070	NA	intron (CSMD1, intron 3 of 69)	NA	751312	CSMD1								
MONOMAC1_3_777_R1_peak_16998	chr2	177211006	177214502	+	1069	NA	promoter-TSS (HNRNPA3)	NA	28	MIR4444-1								
MONOMAC1_3_777_R1_peak_15768	chr2	37820062	37826563	+	1067	NA	Intergenic	NA	52551	LINC00211								
MONOMAC1_3_777_R1_peak_3425	chr10	32346322	32347870	+	1066	NA	promoter-TSS (EPC1)	NA	122	EPC1								
MONOMAC1_3_777_R1_peak_29493	chr9	89309426	89310934	+	1061	NA	Intergenic	NA	-1018	CKS2								
MONOMAC1_3_777_R1_peak_19256	chr22	36480710	36482880	+	1056	NA	promoter-TSS (TXN2)	NA	-455	TXN2								
MONOMAC1_3_777_R1_peak_28435	chr8	100950037	100954281	+	1053	NA	promoter-TSS (YWHAZ)	NA	1236	YWHAZ								
MONOMAC1_3_777_R1_peak_21030	chr3	152192103	152206400	+	1043	NA	intron (LOC101928166, intron 1 of 2)	NA	6172	LOC101928166								
MONOMAC1_3_777_R1_peak_3001	chr1	244863175	244869954	+	1035	NA	Intergenic	NA	-2039	HNRNPU								
MONOMAC1_3_777_R1_peak_3710	chr10	69055373	69098660	+	1033	NA	Intergenic	NA	-11056	SRGN								
MONOMAC1_3_777_R1_peak_12610	chr17	64505255	64507643	+	1028	NA	promoter-TSS (CEP95)	NA	475	DDX5								
MONOMAC1_3_777_R1_peak_27156	chr7	105010594	105016019	+	1009	NA	promoter-TSS (KMT2E)	NA	835	KMT2E-AS1								
MONOMAC1_3_777_R1_peak_24947	chr6	32966952	32971978	+	1008	NA	intron (BRD2, intron 1 of 12)	NA	805	BRD2								
MONOMAC1_3_777_R1_peak_13628	chr18	76552678	76556630	+	1008	NA	intron (LINC00908, intron 2 of 2)	NA	-10755	LOC102723325								
MONOMAC1_3_777_R1_peak_24222	chr5	179623811	179625035	+	1007	NA	promoter-TSS (HNRNPH1)	NA	-752	HNRNPH1								
MONOMAC1_3_777_R1_peak_28459	chr8	102410819	102413668	+	990	NA	exon (UBR5, exon 1 of 59)	NA	476	UBR5								
MONOMAC1_3_777_R1_peak_13702	chr19	820315	829042	+	989	NA	Intergenic	NA	-2726	LPPR3								
MONOMAC1_3_777_R1_peak_16878	chr2	161160316	161161762	+	987	NA	intron (TANK, intron 1 of 7)	NA	521	TANK								
MONOMAC1_3_777_R1_peak_14715	chr19	39397024	39400183	+	983	NA	exon (MED29, exon 4 of 4)	NA	7280	MED29								
MONOMAC1_3_777_R1_peak_9401	chr15	44709778	44713662	+	983	NA	intron (B2M, intron 1 of 1)	NA	228	B2M								
MONOMAC1_3_777_R1_peak_6778	chr12	57933583	57941378	+	982	NA	Intergenic	NA	-1316	RP11-620J15.3								
MONOMAC1_3_777_R1_peak_24890	chr6	31734239	31739810	+	981	NA	promoter-TSS (CLIC1)	NA	294	CLIC1								
MONOMAC1_3_777_R1_peak_451	chr1	26619184	26622401	+	980	NA	Intergenic	NA	66218	MIR1976								
MONOMAC1_3_777_R1_peak_28428	chr8	100720109	100724157	+	980	NA	promoter-TSS (PABPC1)	NA	349	PABPC1								
MONOMAC1_3_777_R1_peak_3584	chr10	61899039	61901691	+	979	NA	promoter-TSS (ARID5B)	NA	-148846	ARID5B								
MONOMAC1_3_777_R1_peak_790	chr1	40038713	40040596	+	976	NA	promoter-TSS (CAP1)	NA	-929	CAP1								
MONOMAC1_3_777_R1_peak_7583	chr13	30465401	30467942	+	976	NA	promoter-TSS (HMGB1)	NA	-734	HMGB1								
MONOMAC1_3_777_R1_peak_25812	chr6	136288474	136291246	+	972	NA	promoter-TSS (BCLAF1)	NA	-15766	BCLAF1								
MONOMAC1_3_777_R1_peak_8155	chr13	112586296	112588855	+	972	NA	intron (TUBGCP3, intron 1 of 15)	NA	610	TUBGCP3								
MONOMAC1_3_777_R1_peak_12183	chr17	43367949	43370519	+	972	NA	TTS (LINC00910)	NA	19664	LINC00910								
MONOMAC1_3_777_R1_peak_27928	chr8	37736056	37739021	+	968	NA	exon (LOC102723701, exon 1 of 2)	NA	332	LOC102723701								
MONOMAC1_3_777_R1_peak_10748	chr16	28822037	28824909	+	967	NA	promoter-TSS (ATXN2L)	NA	425	ATXN2L								
MONOMAC1_3_777_R1_peak_17183	chr2	201115388	201120352	+	961	NA	promoter-TSS (CFLAR)	NA	-601	LOC102724614								
MONOMAC1_3_777_R1_peak_28732	chr8	129661068	129666539	+	957	NA	Intergenic	NA	123085	GSDMC								
MONOMAC1_3_777_R1_peak_3663	chr10	63514245	63528866	+	954	NA	exon (REEP3, exon 1 of 8)	NA	202	REEP3								
MONOMAC1_3_777_R1_peak_22189	chr4	82371478	82374100	+	951	NA	intron (HNRNPD, intron 1 of 7)	NA	1207	HNRNPD								
MONOMAC1_3_777_R1_peak_3062	chr1	248837516	248839612	+	950	NA	intron (ZNF672, intron 1 of 3)	NA	233	ZNF672								
MONOMAC1_3_777_R1_peak_18141	chr20	35742555	35744641	+	950	NA	Intergenic	NA	-1262	RBM39								
MONOMAC1_3_777_R1_peak_14622	chr19	35744951	35745540	+	946	NA	promoter-TSS (PSENEN)	NA	197	U2AF1L4								
MONOMAC1_3_777_R1_peak_2832	chr1	234609990	234615246	+	946	NA	Intergenic	NA	-3093	IRF2BP2								
MONOMAC1_3_777_R1_peak_25147	chr6	42780883	42784743	+	944	NA	promoter-TSS (FLJ38717)	NA	-114	FLJ38717								
MONOMAC1_3_777_R1_peak_5821	chr11	123060531	123064354	+	943	NA	promoter-TSS (LOC101929289)	NA	89	LOC101929289								
MONOMAC1_3_777_R1_peak_25226	chr6	45422156	45431163	+	943	NA	intron (RUNX2, intron 1 of 4)	NA	4085	RUNX2								
MONOMAC1_3_777_R1_peak_13262	chr18	25341174	25352234	+	942	NA	intron (ZNF521, intron 2 of 8)	NA	5466	ZNF521								
MONOMAC1_3_777_R1_peak_23218	chr5	73856638	73864546	+	940	NA	intron (ARHGEF28, intron 16 of 35)	NA	47105	ARHGEF28								
MONOMAC1_3_777_R1_peak_3013	chr1	244967601	244974768	+	939	NA	exon (LOC101928068, exon 1 of 2)	NA	157	LOC101928068								
MONOMAC1_3_777_R1_peak_872	chr1	43831185	43842017	+	928	NA	intron (ST3GAL3, intron 4 of 11)	NA	-2056	MIR6079								
MONOMAC1_3_777_R1_peak_9604	chr15	57282196	57290777	+	928	NA	exon (TCF12, exon 21 of 21)	NA	-13879	LINC00926								
MONOMAC1_3_777_R1_peak_14696	chr19	38849531	38850125	+	927	NA	exon (HNRNPL, exon 1 of 10)	NA	149	HNRNPL								
MONOMAC1_3_777_R1_peak_14977	chr19	47109689	47114715	+	926	NA	promoter-TSS (ZC3H4)	NA	45	ZC3H4								
MONOMAC1_3_777_R1_peak_230	chr1	15832551	15835915	+	925	NA	TTS (FLJ37453)	NA	-13631	SPEN								
MONOMAC1_3_777_R1_peak_29453	chr9	83978686	83982602	+	925	NA	promoter-TSS (HNRNPK)	NA	-132	RMI1								
MONOMAC1_3_777_R1_peak_7562	chr13	28266066	28272809	+	923	NA	intron (PAN3, intron 12 of 13)	NA	36936	RNU6-82P								
MONOMAC1_3_777_R1_peak_29139	chr9	21990767	21996359	+	921	NA	intron (CDKN2A, intron 1 of 2)	NA	-1228	CDKN2B-AS1								
MONOMAC1_3_777_R1_peak_4364	chr11	695192	697216	+	917	NA	promoter-TSS (DEAF1)	NA	-602	DEAF1								
MONOMAC1_3_777_R1_peak_28208	chr8	66112484	66116184	+	915	NA	TTS (TRNAY6)	NA	145	TRNAA39								
MONOMAC1_3_777_R1_peak_2884	chr1	234974436	234986178	+	914	NA	Intergenic	NA	89511	LOC731656								
MONOMAC1_3_777_R1_peak_16749	chr2	144507201	144520391	+	914	NA	exon (ZEB2, exon 3 of 3)	NA	-5818	ZEB2-AS1								
MONOMAC1_3_777_R1_peak_8695	chr14	70881913	70884206	+	910	NA	Intergenic	NA	-24609	PCNX								
MONOMAC1_3_777_R1_peak_28333	chr8	89982367	89984794	+	906	NA	intron (NBN, intron 1 of 15)	NA	1144	NBN								
MONOMAC1_3_777_R1_peak_10007	chr15	78872834	78874830	+	901	NA	intron (MORF4L1, intron 1 of 11)	NA	843	MORF4L1								
MONOMAC1_3_777_R1_peak_7621	chr13	32110792	32119726	+	899	NA	intron (FRY, intron 3 of 62)	NA	-83620	FRY-AS1								
MONOMAC1_3_777_R1_peak_18833	chr21	37366553	37370772	+	892	NA	intron (DYRK1A, intron 1 of 11)	NA	1039	DYRK1A								
MONOMAC1_3_777_R1_peak_29617	chr9	97982263	97985870	+	892	NA	intron (ANP32B, intron 1 of 6)	NA	859	ANP32B								
MONOMAC1_3_777_R1_peak_8043	chr13	99199736	99202956	+	890	NA	promoter-TSS (UBAC2-AS1)	NA	566	UBAC2								
MONOMAC1_3_777_R1_peak_15796	chr2	38749636	38751415	+	888	NA	intron (SRSF7, intron 1 of 3)	NA	890	SRSF7								
MONOMAC1_3_777_R1_peak_13128	chr18	9913130	9916119	+	888	NA	intron (VAPA, intron 1 of 6)	NA	666	VAPA								
MONOMAC1_3_777_R1_peak_22343	chr4	105143647	105149410	+	885	NA	promoter-TSS (TET2)	NA	-313	TET2								
MONOMAC1_3_777_R1_peak_28175	chr8	61732946	61736831	+	885	NA	Intergenic	NA	20056	MIR4470								
MONOMAC1_3_777_R1_peak_6442	chr12	45725914	45727629	+	884	NA	exon (LINC00938, exon 1 of 1)	NA	1150	LINC00938								
MONOMAC1_3_777_R1_peak_21382	chr3	185682815	185688931	+	875	NA	intron (IGF2BP2, intron 7 of 16)	NA	3360	IGF2BP2								
MONOMAC1_3_777_R1_peak_28178	chr8	63167394	63170083	+	874	NA	promoter-TSS (YTHDF3-AS1)	NA	185	YTHDF3								
MONOMAC1_3_777_R1_peak_29868	chr9	120876585	120878322	+	874	NA	promoter-TSS (PHF19)	NA	1183	PHF19								
MONOMAC1_3_777_R1_peak_21425	chr3	186782613	186785213	+	874	NA	promoter-TSS (SNORD2)	NA	341	EIF4A2								
MONOMAC1_3_777_R1_peak_8685	chr14	69766509	69768465	+	873	NA	exon (LOC100289511, exon 1 of 1)	NA	226	LOC100289511								
MONOMAC1_3_777_R1_peak_22702	chr4	180051427	180067955	+	873	NA	Intergenic	NA	1099458	LINC00290								
MONOMAC1_3_777_R1_peak_12456	chr17	58631697	58632850	+	873	NA	intron (TEX14, intron 2 of 32)	NA	27083	TEX14								
MONOMAC1_3_777_R1_peak_14777	chr19	41264259	41266876	+	868	NA	intron (HNRNPUL1, intron 1 of 14)	NA	715	HNRNPUL1								
MONOMAC1_3_777_R1_peak_2826	chr1	234519472	234523800	+	868	NA	Intergenic	NA	10143	RP5-855F14.1								
MONOMAC1_3_777_R1_peak_12477	chr17	59617684	59621346	+	865	NA	promoter-TSS (CLTC)	NA	-174	CLTC								
MONOMAC1_3_777_R1_peak_14345	chr19	15835675	15838252	+	865	NA	TTS (UCA1)	NA	8016	UCA1								
MONOMAC1_3_777_R1_peak_3632	chr10	63264020	63270680	+	863	NA	intron (JMJD1C, intron 2 of 16)	NA	82604	LOC102724807								
MONOMAC1_3_777_R1_peak_24221	chr5	179622982	179623734	+	863	NA	intron (HNRNPH1, intron 1 of 12)	NA	313	HNRNPH1								
MONOMAC1_3_777_R1_peak_3477	chr10	43415988	43421682	+	859	NA	Intergenic	NA	-9627	HNRNPF								
MONOMAC1_3_777_R1_peak_7178	chr12	116632742	116644629	+	856	NA	Intergenic	NA	79304	MAP1LC3B2								
MONOMAC1_3_777_R1_peak_1675	chr1	149745773	149749246	+	855	NA	promoter-TSS (LOC102723955)	NA	441	LOC102723955								
MONOMAC1_3_777_R1_peak_27916	chr8	33512426	33513753	+	854	NA	promoter-TSS (TTI2)	NA	96	TTI2								
MONOMAC1_3_777_R1_peak_27875	chr8	30080954	30083100	+	854	NA	intron (TMEM66, intron 1 of 5)	NA	1181	TMEM66								
MONOMAC1_3_777_R1_peak_7661	chr13	36413234	36420478	+	854	NA	Intergenic	NA	-15416	CCNA1								
MONOMAC1_3_777_R1_peak_7699	chr13	41017150	41019453	+	853	NA	intron (ELF1, intron 1 of 8)	NA	1071	ELF1								
MONOMAC1_3_777_R1_peak_912	chr1	44818744	44821096	+	852	NA	TTS (PTCH2)	NA	-12214	TCTEX1D4								
MONOMAC1_3_777_R1_peak_10654	chr16	20805174	20807848	+	852	NA	promoter-TSS (LOC81691)	NA	-38	ERI2								
MONOMAC1_3_777_R1_peak_19440	chr22	41833069	41834708	+	851	NA	exon (SREBF2, exon 1 of 19)	NA	384	SREBF2								
MONOMAC1_3_777_R1_peak_12247	chr17	45160109	45161618	+	850	NA	promoter-TSS (HEXIM2)	NA	-968	HEXIM2								
MONOMAC1_3_777_R1_peak_10346	chr16	1468983	1475829	+	847	NA	intron (CLCN7, intron 1 of 24)	NA	2678	CLCN7								
MONOMAC1_3_777_R1_peak_967	chr1	50965104	50983456	+	846	NA	exon (CDKN2C, exon 3 of 3)	NA	4310	CDKN2C								
MONOMAC1_3_777_R1_peak_28733	chr8	129666713	129672289	+	845	NA	Intergenic	NA	117387	GSDMC								
MONOMAC1_3_777_R1_peak_23005	chr5	43015695	43022544	+	842	NA	promoter-TSS (LOC648987)	NA	240	LOC101927030								
MONOMAC1_3_777_R1_peak_2088	chr1	167626808	167632458	+	841	NA	promoter-TSS (RCSD1)	NA	-606	RCSD1								
MONOMAC1_3_777_R1_peak_25414	chr6	85641436	85643436	+	840	NA	promoter-TSS (SYNCRIP)	NA	-985	SYNCRIP								
MONOMAC1_3_777_R1_peak_19635	chr22	50537026	50550032	+	839	NA	TTS (LOC102724608)	NA	2102	LOC102724608								
MONOMAC1_3_777_R1_peak_26271	chr7	5527020	5533602	+	838	NA	intron (ACTB, intron 1 of 5)	NA	290	ACTB								
MONOMAC1_3_777_R1_peak_17601	chr2	239219630	239226262	+	837	NA	intron (HDAC4, intron 2 of 25)	NA	-27489	MGC16025								
MONOMAC1_3_777_R1_peak_23010	chr5	43034808	43043645	+	837	NA	exon (ANXA2R, exon 1 of 1)	NA	1119	ANXA2R								
MONOMAC1_3_777_R1_peak_2880	chr1	234952608	234967597	+	836	NA	Intergenic	NA	109716	LOC731656								
MONOMAC1_3_777_R1_peak_16857	chr2	159611549	159623642	+	834	NA	exon (LOC643072, exon 2 of 2)	NA	-1999	BAZ2B								
MONOMAC1_3_777_R1_peak_5765	chr11	118789696	118792798	+	833	NA	promoter-TSS (DDX6)	NA	-300	DDX6								
MONOMAC1_3_777_R1_peak_20229	chr3	49338368	49349500	+	833	NA	Intergenic	NA	-3831	USP4								
MONOMAC1_3_777_R1_peak_889	chr1	44400139	44419550	+	833	NA	intron (RNF220, intron 1 of 14)	NA	4679	RNF220								
MONOMAC1_3_777_R1_peak_439	chr1	26471324	26473068	+	833	NA	promoter-TSS (HMGN2)	NA	-215	HMGN2								
MONOMAC1_3_777_R1_peak_2831	chr1	234601835	234609645	+	832	NA	exon (IRF2BP2, exon 2 of 2)	NA	3785	IRF2BP2								
MONOMAC1_3_777_R1_peak_7474	chr13	21217210	21220487	+	831	NA	Intergenic	NA	-42246	SKA3								
MONOMAC1_3_777_R1_peak_4809	chr11	47374367	47379467	+	830	NA	intron (SPI1, intron 1 of 4)	NA	1659	SPI1								
MONOMAC1_3_777_R1_peak_28100	chr8	55842788	55845881	+	829	NA	Intergenic	NA	-35493	LYN								
MONOMAC1_3_777_R1_peak_16582	chr2	113890006	113892119	+	827	NA	promoter-TSS (AC104653.1)	NA	-70	AC104653.1								
MONOMAC1_3_777_R1_peak_6570	chr12	51238317	51239915	+	826	NA	intron (DAZAP2, intron 1 of 2)	NA	392	DAZAP2								
MONOMAC1_3_777_R1_peak_23001	chr5	42988543	42997164	+	826	NA	exon (FLJ32255, exon 1 of 2)	NA	480	FLJ32255								
MONOMAC1_3_777_R1_peak_11377	chr16	85552758	85558300	+	826	NA	exon (GSE1, exon 1 of 15)	NA	-78101	GSE1								
MONOMAC1_3_777_R1_peak_20893	chr3	136193661	136196468	+	825	NA	promoter-TSS (MSL2)	NA	1616	MSL2								
MONOMAC1_3_777_R1_peak_14860	chr19	43753554	43758708	+	823	NA	Intergenic	NA	-1141	SMG9								
MONOMAC1_3_777_R1_peak_10809	chr16	30063556	30065455	+	823	NA	promoter-TSS (ALDOA)	NA	-1168	ALDOA								
MONOMAC1_3_777_R1_peak_14463	chr19	18290689	18294261	+	822	NA	Intergenic	NA	10346	MIR3188								
MONOMAC1_3_777_R1_peak_11918	chr17	30970143	30973130	+	822	NA	exon (RNF135, exon 1 of 5)	NA	698	RNF135								
MONOMAC1_3_777_R1_peak_16908	chr2	163723174	163740032	+	821	NA	intron (FIGN, intron 1 of 1)	NA	4400	FIGN								
MONOMAC1_3_777_R1_peak_13298	chr18	35343678	35344886	+	820	NA	intron (ZNF24, intron 1 of 3)	NA	180	ZNF24								
MONOMAC1_3_777_R1_peak_28724	chr8	129587225	129595932	+	820	NA	Intergenic	NA	-107436	MIR3686								
MONOMAC1_3_777_R1_peak_21319	chr3	182792138	182796040	+	820	NA	intron (ATP11B, intron 1 of 29)	NA	-34039	ATP11B								
MONOMAC1_3_777_R1_peak_20274	chr3	50336472	50341794	+	819	NA	promoter-TSS (RASSF1)	NA	1622	RASSF1-AS1								
MONOMAC1_3_777_R1_peak_10693	chr16	23517527	23522563	+	815	NA	Intergenic	NA	-9551	GGA2								
MONOMAC1_3_777_R1_peak_6744	chr12	57085717	57088717	+	814	NA	Intergenic	NA	-1677	NAB2								
MONOMAC1_3_777_R1_peak_12448	chr17	58330156	58341495	+	814	NA	TTS (MIR4736)	NA	197	MIR4736								
MONOMAC1_3_777_R1_peak_4690	chr11	33891488	33896005	+	813	NA	Intergenic	NA	-22659	LMO2								
MONOMAC1_3_777_R1_peak_16213	chr2	70141259	70142606	+	813	NA	Intergenic	NA	-16616	LOC100133985								
MONOMAC1_3_777_R1_peak_20993	chr3	150407179	150410226	+	812	NA	promoter-TSS (TSC22D2)	NA	388	TSC22D2								
MONOMAC1_3_777_R1_peak_6606	chr12	53294806	53301206	+	811	NA	intron (PFDN5, intron 4 of 5)	NA	-1680	C12orf10								
MONOMAC1_3_777_R1_peak_20789	chr3	128604014	128609555	+	809	NA	Intergenic	NA	-30698	C3orf27								
MONOMAC1_3_777_R1_peak_9811	chr15	68816847	68822303	+	809	NA	intron (ANP32A, intron 1 of 6)	NA	1347	ANP32A								
MONOMAC1_3_777_R1_peak_7443	chr13	19780731	19783640	+	808	NA	intron (PSPC1, intron 1 of 7)	NA	834	PSPC1								
MONOMAC1_3_777_R1_peak_12245	chr17	45146814	45148330	+	808	NA	exon (HEXIM1, exon 1 of 1)	NA	255	HEXIM1								
MONOMAC1_3_777_R1_peak_8110	chr13	109129334	109131755	+	807	NA	intron (MYO16, intron 31 of 34)	NA	36759	MYO16-AS1								
MONOMAC1_3_777_R1_peak_13225	chr18	23585668	23587084	+	807	NA	exon (NPC1, exon 1 of 25)	NA	241	NPC1								
MONOMAC1_3_777_R1_peak_28251	chr8	73292384	73295010	+	807	NA	promoter-TSS (RDH10)	NA	765	RPL7								
MONOMAC1_3_777_R1_peak_28052	chr8	47369590	47372067	+	807	NA	intron (SPIDR, intron 1 of 15)	NA	109892	SPIDR								
MONOMAC1_3_777_R1_peak_7829	chr13	50122316	50126774	+	807	NA	intron (FLJ31945, intron 2 of 5)	NA	996	DLEU2								
MONOMAC1_3_777_R1_peak_21829	chr4	24582993	24584624	+	804	NA	intron (DHX15, intron 1 of 13)	NA	753	DHX15								
MONOMAC1_3_777_R1_peak_19344	chr22	38504265	38506435	+	804	NA	intron (DDX17, intron 1 of 12)	NA	990	DDX17								
MONOMAC1_3_777_R1_peak_28113	chr8	56073323	56075156	+	804	NA	promoter-TSS (SNORD54)	NA	-338	SNORD54								
MONOMAC1_3_777_R1_peak_9449	chr15	50052106	50071445	+	802	NA	intron (ATP8B4, intron 3 of 28)	NA	57447	ATP8B4								
MONOMAC1_3_777_R1_peak_12429	chr17	58006034	58008285	+	800	NA	exon (SRSF1, exon 1 of 5)	NA	114	SRSF1								
MONOMAC1_3_777_R1_peak_28032	chr8	42896897	42898417	+	800	NA	promoter-TSS (RNF170)	NA	767	HOOK3								
MONOMAC1_3_777_R1_peak_27704	chr8	17920824	17925899	+	800	NA	intron (PCM1, intron 1 of 38)	NA	494	PCM1								
MONOMAC1_3_777_R1_peak_28257	chr8	73970701	73972291	+	799	NA	intron (TCEB1, intron 1 of 5)	NA	791	TCEB1								
MONOMAC1_3_777_R1_peak_28909	chr8	143349064	143357020	+	798	NA	intron (TOP1MT, intron 2 of 14)	NA	6937	TOP1MT								
MONOMAC1_3_777_R1_peak_12844	chr17	76735266	76738448	+	798	NA	promoter-TSS (MFSD11)	NA	-309	MIR636								
MONOMAC1_3_777_R1_peak_14456	chr19	18279069	18281504	+	798	NA	exon (JUND, exon 1 of 1)	NA	1370	JUND								
MONOMAC1_3_777_R1_peak_19877	chr3	17979436	17988604	+	797	NA	intron (LOC339862, intron 1 of 4)	NA	21448	LOC339862								
MONOMAC1_3_777_R1_peak_21787	chr4	15000743	15009198	+	796	NA	TTS (RP11-665G4.1)	NA	2296	CPEB2								
MONOMAC1_3_777_R1_peak_30338	chr9	136481869	136483135	+	796	NA	promoter-TSS (C9orf163)	NA	-993	C9orf163								
MONOMAC1_3_777_R1_peak_9607	chr15	57297552	57307282	+	796	NA	intron (LINC00926, intron 1 of 2)	NA	2052	LINC00926								
MONOMAC1_3_777_R1_peak_21404	chr3	185935447	185938088	+	796	NA	promoter-TSS (TRA2B)	NA	-167	TRA2B								
MONOMAC1_3_777_R1_peak_14502	chr19	19191138	19192662	+	794	NA	promoter-TSS (RFXANK)	NA	-299	RFXANK								
MONOMAC1_3_777_R1_peak_660	chr1	35191097	35193215	+	794	NA	intron (SFPQ, intron 1 of 9)	NA	999	SFPQ								
MONOMAC1_3_777_R1_peak_24662	chr6	25174172	25181980	+	794	NA	Intergenic	NA	-39684	CMAHP								
MONOMAC1_3_777_R1_peak_11380	chr16	85567103	85573292	+	794	NA	intron (GSE1, intron 1 of 14)	NA	-63433	GSE1								
MONOMAC1_3_777_R1_peak_23642	chr5	131635483	131637502	+	794	NA	Intergenic	NA	-1256	RAPGEF6								
MONOMAC1_3_777_R1_peak_20218	chr3	49017701	49023081	+	794	NA	promoter-TSS (NDUFAF3)	NA	-211	MIR425								
MONOMAC1_3_777_R1_peak_4811	chr11	47387572	47396687	+	792	NA	Intergenic	NA	-8894	MIR4487								
MONOMAC1_3_777_R1_peak_20818	chr3	129181447	129185323	+	790	NA	intron (CNBP, intron 1 of 4)	NA	582	CNBP								
MONOMAC1_3_777_R1_peak_27937	chr8	37820162	37825102	+	788	NA	intron (GPR124, intron 2 of 15)	NA	25749	GPR124								
MONOMAC1_3_777_R1_peak_16975	chr2	173962400	173966399	+	788	NA	promoter-TSS (SP3)	NA	1303	SP3								
MONOMAC1_3_777_R1_peak_21190	chr3	169771489	169774222	+	788	NA	promoter-TSS (MYNN)	NA	-210	MYNN								
MONOMAC1_3_777_R1_peak_19721	chr3	9791398	9794200	+	788	NA	promoter-TSS (ARPC4)	NA	251	ARPC4-TTLL3								
MONOMAC1_3_777_R1_peak_17655	chr2	241314336	241317008	+	788	NA	promoter-TSS (SEPT2)	NA	170	HDLBP								
MONOMAC1_3_777_R1_peak_29212	chr9	34047699	34050141	+	786	NA	promoter-TSS (UBAP2)	NA	29	UBAP2								
MONOMAC1_3_777_R1_peak_9319	chr15	41282970	41285193	+	785	NA	promoter-TSS (OIP5-AS1)	NA	78	OIP5-AS1								
MONOMAC1_3_777_R1_peak_5034	chr11	63974485	63975833	+	785	NA	intron (COX8A, intron 1 of 1)	NA	552	COX8A								
MONOMAC1_3_777_R1_peak_15012	chr19	48321326	48321990	+	785	NA	intron (CCDC114, intron 1 of 15)	NA	236	CCDC114								
MONOMAC1_3_777_R1_peak_5482	chr11	78287484	78293735	+	784	NA	intron (GAB2, intron 1 of 9)	NA	101482	USP35								
MONOMAC1_3_777_R1_peak_7521	chr13	27250548	27253719	+	783	NA	intron (RPL21, intron 1 of 5)	NA	578	RPL21								
MONOMAC1_3_777_R1_peak_29568	chr9	94166142	94168483	+	783	NA	Intergenic	NA	-8645	MIRLET7A1								
MONOMAC1_3_777_R1_peak_19633	chr22	50529237	50536371	+	781	NA	promoter-TSS (ODF3B)	NA	-287	ODF3B								
MONOMAC1_3_777_R1_peak_6513	chr12	49129727	49131426	+	781	NA	intron (TUBA1B, intron 1 of 3)	NA	945	TUBA1B								
MONOMAC1_3_777_R1_peak_10150	chr15	90656360	90667669	+	780	NA	intron (RP11-387D10.3, intron 2 of 2)	NA	1780	RP11-387D10.3								
MONOMAC1_3_777_R1_peak_2917	chr1	235862115	235868304	+	780	NA	intron (LYST, intron 1 of 52)	NA	1718	LYST								
