PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_743_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_743_R1_peak_5127	chr13	77026308	77027554	+	2640	NA	exon (FBXL3, exon 1 of 5)	NA	265	FBXL3								
DFAM71927V3_1_743_R1_peak_19258	chr9	136482895	136483927	+	2629	NA	promoter-TSS (SEC16A)	NA	-84	C9orf163								
DFAM71927V3_1_743_R1_peak_12915	chr21	45642235	45644001	+	2623	NA	Intergenic	NA	-108490	SLC19A1								
DFAM71927V3_1_743_R1_peak_9532	chr19	11089181	11090847	+	2558	NA	intron (LDLR, intron 1 of 15)	NA	652	LDLR								
DFAM71927V3_1_743_R1_peak_17528	chr7	100088736	100089197	+	2536	NA	promoter-TSS (COPS6)	NA	6	COPS6								
DFAM71927V3_1_743_R1_peak_19829	chrX	154478805	154479427	+	2524	NA	exon (LAGE3, exon 1 of 3)	NA	141	LAGE3								
DFAM71927V3_1_743_R1_peak_17080	chr7	2631480	2632374	+	2504	NA	promoter-TSS (TTYH3)	NA	-42	TTYH3								
DFAM71927V3_1_743_R1_peak_18135	chr8	41528839	41529457	+	2497	NA	promoter-TSS (GINS4)	NA	-58	GINS4								
DFAM71927V3_1_743_R1_peak_9144	chr19	1406922	1407697	+	2439	NA	promoter-TSS (DAZAP1)	NA	-284	DAZAP1								
DFAM71927V3_1_743_R1_peak_9045	chr18	80033593	80034960	+	2408	NA	promoter-TSS (RBFA)	NA	-70	RBFA								
DFAM71927V3_1_743_R1_peak_10658	chr19	52942331	52943271	+	2378	NA	promoter-TSS (ZNF321P)	NA	-207	ZNF321P								
DFAM71927V3_1_743_R1_peak_18463	chr8	142776884	142777922	+	2369	NA	promoter-TSS (LYNX1)	NA	-75	LYNX1								
DFAM71927V3_1_743_R1_peak_15929	chr6	2998906	3000264	+	2363	NA	promoter-TSS (NQO2)	NA	-257	NQO2								
DFAM71927V3_1_743_R1_peak_6507	chr16	2682182	2682704	+	2344	NA	promoter-TSS (KCTD5)	NA	-51	KCTD5								
DFAM71927V3_1_743_R1_peak_14542	chr4	1792950	1794233	+	2343	NA	intron (FGFR3, intron 1 of 17)	NA	292	FGFR3								
DFAM71927V3_1_743_R1_peak_3458	chr11	67401426	67402315	+	2336	NA	promoter-TSS (PPP1CA)	NA	35	PPP1CA								
DFAM71927V3_1_743_R1_peak_5220	chr13	113724918	113726227	+	2334	NA	intron (GRK1-2, intron 1 of 3)	NA	2499	GRK1-2								
DFAM71927V3_1_743_R1_peak_8748	chr17	82716059	82717184	+	2334	NA	promoter-TSS (LOC101929552)	NA	-85	FN3KRP								
DFAM71927V3_1_743_R1_peak_17038	chr7	1137901	1138653	+	2321	NA	promoter-TSS (C7orf50)	NA	-20	C7orf50								
DFAM71927V3_1_743_R1_peak_13371	chr22	43186805	43187854	+	2306	NA	promoter-TSS (TTLL12)	NA	-198	TTLL12								
DFAM71927V3_1_743_R1_peak_8097	chr17	44198756	44200722	+	2305	NA	promoter-TSS (ATXN7L3)	NA	-1578	ATXN7L3								
DFAM71927V3_1_743_R1_peak_10738	chr19	55460868	55462367	+	2293	NA	promoter-TSS (ISOC2)	NA	77	ISOC2								
DFAM71927V3_1_743_R1_peak_12910	chr21	45554790	45555817	+	2292	NA	Intergenic	NA	-20675	SLC19A1								
DFAM71927V3_1_743_R1_peak_15953	chr6	5003398	5004400	+	2289	NA	exon (RPP40, exon 1 of 7)	NA	164	RPP40								
DFAM71927V3_1_743_R1_peak_6049	chr15	64841319	64842133	+	2285	NA	promoter-TSS (PLEKHO2)	NA	-157	PLEKHO2								
DFAM71927V3_1_743_R1_peak_16448	chr6	36985910	36986745	+	2283	NA	exon (MTCH1, exon 1 of 12)	NA	224	MTCH1								
DFAM71927V3_1_743_R1_peak_13459	chr22	50507385	50508591	+	2280	NA	promoter-TSS (NCAPH2)	NA	-228	NCAPH2								
DFAM71927V3_1_743_R1_peak_16286	chr6	31619894	31621174	+	2253	NA	promoter-TSS (PRRC2A)	NA	-2255	PRRC2A								
DFAM71927V3_1_743_R1_peak_8355	chr17	64129947	64130701	+	2238	NA	promoter-TSS (ERN1)	NA	475	ERN1								
DFAM71927V3_1_743_R1_peak_1824	chr1	227787641	227789051	+	2233	NA	Intergenic	NA	-27371	PRSS38								
DFAM71927V3_1_743_R1_peak_3395	chr11	65918792	65920199	+	2222	NA	promoter-TSS (C11orf68)	NA	238	DRAP1								
DFAM71927V3_1_743_R1_peak_239	chr1	11680798	11681682	+	2215	NA	promoter-TSS (MAD2L2)	NA	-26	MAD2L2								
DFAM71927V3_1_743_R1_peak_9473	chr19	9834673	9835516	+	2209	NA	promoter-TSS (PIN1)	NA	-47	LOC100996288								
DFAM71927V3_1_743_R1_peak_2603	chr10	102151963	102152568	+	2191	NA	promoter-TSS (NOLC1)	NA	89	NOLC1								
DFAM71927V3_1_743_R1_peak_3232	chr11	62664964	62665539	+	2187	NA	promoter-TSS (LOC102288414)	NA	17	METTL12								
DFAM71927V3_1_743_R1_peak_9163	chr19	1652432	1653424	+	2181	NA	promoter-TSS (TCF3)	NA	-1653	TCF3								
DFAM71927V3_1_743_R1_peak_6705	chr16	22190276	22191528	+	2181	NA	Intergenic	NA	4890	TRNAL7								
DFAM71927V3_1_743_R1_peak_1518	chr1	171741797	171742504	+	2178	NA	promoter-TSS (VAMP4)	NA	89	VAMP4								
DFAM71927V3_1_743_R1_peak_429	chr1	26110962	26112049	+	2171	NA	promoter-TSS (PDIK1L)	NA	292	PDIK1L								
DFAM71927V3_1_743_R1_peak_2872	chr11	575512	576661	+	2164	NA	promoter-TSS (PHRF1)	NA	-201	LOC143666								
DFAM71927V3_1_743_R1_peak_9723	chr19	14517797	14518993	+	2155	NA	promoter-TSS (DNAJB1)	NA	-533	DNAJB1								
DFAM71927V3_1_743_R1_peak_14441	chr3	195270762	195271780	+	2124	NA	promoter-TSS (XXYLT1)	NA	-25743	XXYLT1								
DFAM71927V3_1_743_R1_peak_217	chr1	9909990	9911262	+	2124	NA	promoter-TSS (CTNNBIP1)	NA	-368	CTNNBIP1								
DFAM71927V3_1_743_R1_peak_5796	chr15	31326135	31328480	+	2121	NA	exon (KLF13, exon 1 of 2)	NA	427	KLF13								
DFAM71927V3_1_743_R1_peak_9026	chr18	79068381	79069707	+	2114	NA	promoter-TSS (ATP9B)	NA	-350	ATP9B								
DFAM71927V3_1_743_R1_peak_8416	chr17	68457112	68458139	+	2093	NA	promoter-TSS (WIPI1)	NA	-124	WIPI1								
DFAM71927V3_1_743_R1_peak_4313	chr12	55829417	55830115	+	2082	NA	promoter-TSS (DNAJC14)	NA	-130	DNAJC14								
DFAM71927V3_1_743_R1_peak_17551	chr7	100436091	100436842	+	2079	NA	promoter-TSS (PPP1R35)	NA	99	LOC101927632								
DFAM71927V3_1_743_R1_peak_2978	chr11	9460479	9461527	+	2079	NA	promoter-TSS (ZNF143)	NA	-10	ZNF143								
DFAM71927V3_1_743_R1_peak_10459	chr19	47608338	47609247	+	2074	NA	promoter-TSS (GLTSCR1)	NA	596	GLTSCR1								
DFAM71927V3_1_743_R1_peak_10992	chr2	27211473	27212584	+	2070	NA	promoter-TSS (ATRAID)	NA	279	SLC5A6								
DFAM71927V3_1_743_R1_peak_18712	chr9	36257885	36258736	+	2069	NA	intron (LOC102724322, intron 1 of 2)	NA	465	LOC102724322								
DFAM71927V3_1_743_R1_peak_112	chr1	3624362	3625347	+	2066	NA	promoter-TSS (TPRG1L)	NA	-138	TPRG1L								
DFAM71927V3_1_743_R1_peak_11406	chr2	96857802	96858468	+	2064	NA	promoter-TSS (ANKRD39)	NA	-116	ANKRD39								
DFAM71927V3_1_743_R1_peak_15410	chr5	80255812	80256393	+	2060	NA	promoter-TSS (SERINC5)	NA	-23	SERINC5								
DFAM71927V3_1_743_R1_peak_8707	chr17	82022593	82023668	+	2057	NA	promoter-TSS (LRRC45)	NA	-193	LRRC45								
DFAM71927V3_1_743_R1_peak_8292	chr17	59154920	59155724	+	2054	NA	promoter-TSS (PRR11)	NA	117	SKA2								
DFAM71927V3_1_743_R1_peak_2076	chr10	15168256	15169282	+	2050	NA	promoter-TSS (NMT2)	NA	-65	NMT2								
DFAM71927V3_1_743_R1_peak_16315	chr6	31958738	31959455	+	2050	NA	promoter-TSS (SKIV2L)	NA	-9	NELFE								
DFAM71927V3_1_743_R1_peak_14974	chr4	128287512	128288435	+	2041	NA	exon (PGRMC2, exon 1 of 3)	NA	856	PGRMC2								
DFAM71927V3_1_743_R1_peak_18439	chr8	141308218	141308887	+	2041	NA	Intergenic	NA	-31997	LOC731779								
DFAM71927V3_1_743_R1_peak_8706	chr17	81977082	81978242	+	2041	NA	exon (ASPSCR1, exon 1 of 17)	NA	112	ASPSCR1								
DFAM71927V3_1_743_R1_peak_18831	chr9	93095214	93096648	+	2040	NA	promoter-TSS (LOC101927993)	NA	-317	C9orf89								
DFAM71927V3_1_743_R1_peak_16045	chr6	18154896	18155865	+	2034	NA	promoter-TSS (KDM1B)	NA	-8	KDM1B								
DFAM71927V3_1_743_R1_peak_6122	chr15	72117806	72118779	+	2029	NA	promoter-TSS (MYO9A)	NA	2	SENP8								
DFAM71927V3_1_743_R1_peak_18557	chr8	144465298	144466511	+	2027	NA	promoter-TSS (CYHR1)	NA	-451	KIFC2								
DFAM71927V3_1_743_R1_peak_12606	chr20	62861688	62862261	+	2019	NA	promoter-TSS (TCFL5)	NA	-304	TCFL5								
DFAM71927V3_1_743_R1_peak_7439	chr17	2392465	2394170	+	1993	NA	intron (MNT, intron 4 of 5)	NA	7647	MNT								
DFAM71927V3_1_743_R1_peak_11808	chr2	197499648	197500586	+	1992	NA	promoter-TSS (HSPD1)	NA	120	HSPE1-MOB4								
DFAM71927V3_1_743_R1_peak_6437	chr16	788213	788964	+	1990	NA	promoter-TSS (RPUSD1)	NA	-36	CHTF18								
DFAM71927V3_1_743_R1_peak_8994	chr18	63422139	63422898	+	1968	NA	promoter-TSS (VPS4B)	NA	-55	VPS4B								
DFAM71927V3_1_743_R1_peak_1835	chr1	228165248	228166494	+	1967	NA	promoter-TSS (IBA57-AS1)	NA	57	IBA57								
DFAM71927V3_1_743_R1_peak_9308	chr19	4639014	4639866	+	1965	NA	promoter-TSS (TNFAIP8L1)	NA	-75	TNFAIP8L1								
DFAM71927V3_1_743_R1_peak_6497	chr16	2428749	2429671	+	1958	NA	promoter-TSS (CCNF)	NA	-184	CCNF								
DFAM71927V3_1_743_R1_peak_7689	chr17	17751775	17752896	+	1954	NA	intron (RAI1, intron 2 of 5)	NA	27194	SMCR5								
DFAM71927V3_1_743_R1_peak_19192	chr9	132944341	132945236	+	1950	NA	promoter-TSS (TSC1)	NA	-155	TSC1								
DFAM71927V3_1_743_R1_peak_7141	chr16	71845688	71846290	+	1946	NA	promoter-TSS (ATXN1L)	NA	-2	ATXN1L								
DFAM71927V3_1_743_R1_peak_15495	chr5	115169454	115170489	+	1935	NA	promoter-TSS (TRIM36)	NA	10575	TRIM36								
DFAM71927V3_1_743_R1_peak_17900	chr7	156892628	156893771	+	1934	NA	promoter-TSS (LMBR1)	NA	-16	LMBR1								
DFAM71927V3_1_743_R1_peak_13125	chr22	30326334	30327409	+	1931	NA	promoter-TSS (TBC1D10A)	NA	95	TBC1D10A								
DFAM71927V3_1_743_R1_peak_9196	chr19	2269015	2269920	+	1924	NA	promoter-TSS (OAZ1)	NA	-54	OAZ1								
DFAM71927V3_1_743_R1_peak_19372	chrX	317524	319401	+	1922	NA	promoter-TSS (LINC00685)	NA	325	GTPBP6								
DFAM71927V3_1_743_R1_peak_7384	chr17	490950	491655	+	1916	NA	Intergenic	NA	-45362	FAM101B								
DFAM71927V3_1_743_R1_peak_6405	chr16	352479	353468	+	1916	NA	promoter-TSS (AXIN1)	NA	-297	AXIN1								
DFAM71927V3_1_743_R1_peak_9192	chr19	2151450	2152143	+	1907	NA	promoter-TSS (AP3D1)	NA	-239	AP3D1								
DFAM71927V3_1_743_R1_peak_16078	chr6	24720613	24721860	+	1899	NA	promoter-TSS (C6orf62)	NA	-2061	C6orf62								
DFAM71927V3_1_743_R1_peak_221	chr1	10398623	10399429	+	1897	NA	promoter-TSS (PGD)	NA	-2	PGD								
DFAM71927V3_1_743_R1_peak_9124	chr19	1205270	1205915	+	1897	NA	promoter-TSS (STK11)	NA	-697	STK11								
DFAM71927V3_1_743_R1_peak_7698	chr17	17972050	17972940	+	1885	NA	promoter-TSS (TOM1L2)	NA	-25	TOM1L2								
DFAM71927V3_1_743_R1_peak_8648	chr17	81034555	81035470	+	1882	NA	promoter-TSS (BAIAP2)	NA	-132	BAIAP2								
DFAM71927V3_1_743_R1_peak_8736	chr17	82450572	82451105	+	1879	NA	promoter-TSS (C17orf62)	NA	-7	C17orf62								
DFAM71927V3_1_743_R1_peak_19088	chr9	128275344	128276417	+	1861	NA	promoter-TSS (SWI5)	NA	127	GOLGA2								
DFAM71927V3_1_743_R1_peak_12046	chr2	237691466	237692424	+	1855	NA	promoter-TSS (LRRFIP1)	NA	64343	LRRFIP1								
DFAM71927V3_1_743_R1_peak_14170	chr3	129439736	129440594	+	1853	NA	promoter-TSS (MBD4)	NA	14	MBD4								
DFAM71927V3_1_743_R1_peak_18080	chr8	28622165	28622990	+	1844	NA	Intergenic	NA	78887	EXTL3-AS1								
DFAM71927V3_1_743_R1_peak_13881	chr3	52057002	52057719	+	1843	NA	promoter-TSS (DUSP7)	NA	-915	DUSP7								
DFAM71927V3_1_743_R1_peak_12926	chr21	46228314	46229838	+	1836	NA	promoter-TSS (LSS)	NA	-168	MCM3AP-AS1								
DFAM71927V3_1_743_R1_peak_10447	chr19	47256377	47257678	+	1825	NA	promoter-TSS (CCDC9)	NA	504	CCDC9								
DFAM71927V3_1_743_R1_peak_16846	chr6	135217036	135218876	+	1821	NA	exon (MYB, exon 16 of 16)	NA	-21264	MIR548A2								
DFAM71927V3_1_743_R1_peak_11870	chr2	210170590	210171734	+	1821	NA	promoter-TSS (KANSL1L)	NA	-442	KANSL1L								
DFAM71927V3_1_743_R1_peak_6715	chr16	23556968	23557883	+	1821	NA	promoter-TSS (UBFD1)	NA	-50	EARS2								
DFAM71927V3_1_743_R1_peak_8453	chr17	74776119	74776608	+	1820	NA	promoter-TSS (NAT9)	NA	-1	NAT9								
DFAM71927V3_1_743_R1_peak_15891	chr5	180494052	180494471	+	1817	NA	promoter-TSS (CNOT6)	NA	-139	CNOT6								
DFAM71927V3_1_743_R1_peak_14266	chr3	153160675	153162561	+	1815	NA	promoter-TSS (RAP2B)	NA	-594	RAP2B								
DFAM71927V3_1_743_R1_peak_8756	chr17	83051333	83052293	+	1815	NA	promoter-TSS (B3GNTL1)	NA	-27	B3GNTL1								
DFAM71927V3_1_743_R1_peak_2629	chr10	102917534	102919110	+	1814	NA	promoter-TSS (CNNM2)	NA	4	CNNM2								
DFAM71927V3_1_743_R1_peak_18176	chr8	56211162	56211925	+	1813	NA	promoter-TSS (CHCHD7)	NA	-213	CHCHD7								
DFAM71927V3_1_743_R1_peak_7416	chr17	1715997	1716797	+	1805	NA	promoter-TSS (MIR22HG)	NA	-125	MIR22HG								
DFAM71927V3_1_743_R1_peak_10336	chr19	44890370	44891618	+	1805	NA	promoter-TSS (TOMM40)	NA	-226	TOMM40								
DFAM71927V3_1_743_R1_peak_4268	chr12	53379365	53381094	+	1804	NA	promoter-TSS (SP1)	NA	-984	SP1								
DFAM71927V3_1_743_R1_peak_16992	chr6	166626937	166628091	+	1803	NA	promoter-TSS (RPS6KA2)	NA	-118081	MIR1913								
DFAM71927V3_1_743_R1_peak_6469	chr16	1942994	1943692	+	1803	NA	promoter-TSS (MSRB1)	NA	-50	MSRB1								
DFAM71927V3_1_743_R1_peak_2553	chr10	99620079	99621438	+	1801	NA	promoter-TSS (SLC25A28)	NA	38522	SLC25A28								
DFAM71927V3_1_743_R1_peak_6662	chr16	15888373	15888998	+	1793	NA	promoter-TSS (FOPNL)	NA	-83	FOPNL								
DFAM71927V3_1_743_R1_peak_18505	chr8	143609222	143610268	+	1793	NA	promoter-TSS (PYCRL)	NA	-131	PYCRL								
DFAM71927V3_1_743_R1_peak_2000	chr10	3172482	3173660	+	1793	NA	promoter-TSS (PITRM1)	NA	-230	PITRM1								
DFAM71927V3_1_743_R1_peak_7958	chr17	39730288	39731002	+	1792	NA	promoter-TSS (MIEN1)	NA	-106	MIEN1								
DFAM71927V3_1_743_R1_peak_8024	chr17	42194233	42194759	+	1791	NA	promoter-TSS (GHDC)	NA	36	GHDC								
DFAM71927V3_1_743_R1_peak_11401	chr2	96739898	96740541	+	1791	NA	promoter-TSS (LMAN2L)	NA	-143	LMAN2L								
DFAM71927V3_1_743_R1_peak_449	chr1	26431978	26432559	+	1788	NA	promoter-TSS (DHDDS)	NA	-14	DHDDS								
DFAM71927V3_1_743_R1_peak_825	chr1	51616832	51617352	+	1785	NA	promoter-TSS (OSBPL9)	NA	8	OSBPL9								
DFAM71927V3_1_743_R1_peak_7602	chr17	8156184	8156943	+	1783	NA	promoter-TSS (PER1)	NA	-158	PER1								
DFAM71927V3_1_743_R1_peak_18664	chr9	33473689	33474290	+	1780	NA	promoter-TSS (NOL6)	NA	-46	NOL6								
DFAM71927V3_1_743_R1_peak_6954	chr16	54928205	54929773	+	1769	NA	promoter-TSS (CRNDE)	NA	200	CRNDE								
DFAM71927V3_1_743_R1_peak_6859	chr16	30657845	30659338	+	1769	NA	Intergenic	NA	-5866	FBRS								
DFAM71927V3_1_743_R1_peak_3889	chr12	401330	401767	+	1766	NA	promoter-TSS (CCDC77)	NA	-12093	KDM5A								
DFAM71927V3_1_743_R1_peak_5101	chr13	52011961	52012620	+	1762	NA	promoter-TSS (ATP7B)	NA	-97	ALG11								
DFAM71927V3_1_743_R1_peak_12493	chr20	49982426	49983228	+	1762	NA	promoter-TSS (SNAI1)	NA	-149	SNAI1								
DFAM71927V3_1_743_R1_peak_19209	chr9	133375909	133376554	+	1762	NA	promoter-TSS (C9orf96)	NA	-65	SURF4								
DFAM71927V3_1_743_R1_peak_16406	chr6	35342220	35342797	+	1762	NA	promoter-TSS (PPARD)	NA	-50	PPARD								
DFAM71927V3_1_743_R1_peak_9818	chr19	17309135	17309889	+	1762	NA	promoter-TSS (DDA1)	NA	-16	DDA1								
DFAM71927V3_1_743_R1_peak_15950	chr6	4135078	4136276	+	1757	NA	promoter-TSS (ECI2)	NA	-87	ECI2								
DFAM71927V3_1_743_R1_peak_12583	chr20	62238046	62238922	+	1754	NA	promoter-TSS (OSBPL2)	NA	-1	OSBPL2								
DFAM71927V3_1_743_R1_peak_6998	chr16	57735053	57736259	+	1753	NA	promoter-TSS (KATNB1)	NA	-92	KATNB1								
DFAM71927V3_1_743_R1_peak_13546	chr3	12967379	12968207	+	1749	NA	promoter-TSS (IQSEC1)	NA	105324	IQSEC1								
DFAM71927V3_1_743_R1_peak_3296	chr11	64304906	64305870	+	1748	NA	promoter-TSS (ESRRA)	NA	-140	ESRRA								
DFAM71927V3_1_743_R1_peak_14534	chr4	1346103	1347720	+	1748	NA	promoter-TSS (UVSSA)	NA	-774	UVSSA								
DFAM71927V3_1_743_R1_peak_19076	chr9	128067120	128068507	+	1748	NA	promoter-TSS (SLC25A25)	NA	-492	NAIF1								
DFAM71927V3_1_743_R1_peak_383	chr1	23800455	23801218	+	1747	NA	promoter-TSS (GALE)	NA	-1266	GALE								
DFAM71927V3_1_743_R1_peak_7346	chr16	89586837	89587480	+	1744	NA	intron (CPNE7, intron 9 of 13)	NA	11385	CPNE7								
DFAM71927V3_1_743_R1_peak_3471	chr11	67469056	67469601	+	1739	NA	promoter-TSS (TMEM134)	NA	-51	TMEM134								
DFAM71927V3_1_743_R1_peak_17750	chr7	138459669	138460676	+	1737	NA	promoter-TSS (TRIM24)	NA	-162	TRIM24								
DFAM71927V3_1_743_R1_peak_13871	chr3	51941617	51942469	+	1730	NA	promoter-TSS (PARP3)	NA	-102	RRP9								
DFAM71927V3_1_743_R1_peak_9128	chr19	1247983	1250156	+	1726	NA	promoter-TSS (LOC102723811)	NA	511	MIDN								
DFAM71927V3_1_743_R1_peak_12235	chr20	18288008	18288652	+	1722	NA	promoter-TSS (ZNF133)	NA	47	ZNF133								
DFAM71927V3_1_743_R1_peak_640	chr1	36385561	36386771	+	1722	NA	promoter-TSS (STK40)	NA	-239	STK40								
DFAM71927V3_1_743_R1_peak_10149	chr19	38402736	38403670	+	1716	NA	promoter-TSS (FAM98C)	NA	68	FAM98C								
DFAM71927V3_1_743_R1_peak_10468	chr19	47778245	47778795	+	1716	NA	promoter-TSS (SEPW1)	NA	-65	SEPW1								
DFAM71927V3_1_743_R1_peak_3252	chr11	62880458	62881997	+	1709	NA	promoter-TSS (SLC3A2)	NA	25215	SLC3A2								
DFAM71927V3_1_743_R1_peak_4736	chr12	121626207	121626917	+	1708	NA	promoter-TSS (ORAI1)	NA	12	ORAI1								
DFAM71927V3_1_743_R1_peak_1801	chr1	226061844	226063445	+	1704	NA	promoter-TSS (H3F3A)	NA	-63	H3F3A								
DFAM71927V3_1_743_R1_peak_5859	chr15	40754818	40755816	+	1704	NA	promoter-TSS (RMDN3)	NA	-63	RMDN3								
DFAM71927V3_1_743_R1_peak_14570	chr4	2843291	2844103	+	1702	NA	promoter-TSS (ADD1)	NA	-24176	ADD1								
DFAM71927V3_1_743_R1_peak_7110	chr16	69310765	69311491	+	1701	NA	promoter-TSS (VPS4A)	NA	-256	VPS4A								
DFAM71927V3_1_743_R1_peak_6451	chr16	1408083	1408760	+	1700	NA	promoter-TSS (LOC101929440)	NA	-263	LOC101929440								
DFAM71927V3_1_743_R1_peak_11787	chr2	191677619	191678434	+	1693	NA	promoter-TSS (NABP1)	NA	-110	NABP1								
DFAM71927V3_1_743_R1_peak_4853	chr12	131894092	131894846	+	1693	NA	promoter-TSS (ULK1)	NA	-265	ULK1								
DFAM71927V3_1_743_R1_peak_6371	chr15	99733155	99733844	+	1686	NA	promoter-TSS (LYSMD4)	NA	-237	LYSMD4								
