PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_748_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_748_R1_peak_21819	chr6	158559738	158560343	+	3313	NA	promoter-TSS (TMEM181)	NA	-41	TMEM181								
DFAM71927V3_1_748_R1_peak_11699	chr19	1173704	1174552	+	3302	NA	intron (SBNO2, intron 1 of 31)	NA	10793	LOC102723798								
DFAM71927V3_1_748_R1_peak_1504	chr1	151165776	151166333	+	3284	NA	promoter-TSS (LYSMD1)	NA	32	SCNM1								
DFAM71927V3_1_748_R1_peak_21644	chr6	135217068	135218845	+	3275	NA	exon (MYB, exon 14 of 14)	NA	-21264	MIR548A2								
DFAM71927V3_1_748_R1_peak_20843	chr6	30066728	30067562	+	3269	NA	promoter-TSS (PPP1R11)	NA	451	PPP1R11								
DFAM71927V3_1_748_R1_peak_13785	chr2	48440374	48441192	+	3268	NA	promoter-TSS (PPP1R21)	NA	14	PPP1R21								
DFAM71927V3_1_748_R1_peak_22013	chr7	4775189	4776299	+	3256	NA	promoter-TSS (AP5Z1)	NA	113	AP5Z1								
DFAM71927V3_1_748_R1_peak_9255	chr16	67480782	67481523	+	3250	NA	promoter-TSS (LOC101927837)	NA	34	ATP6V0D1								
DFAM71927V3_1_748_R1_peak_18900	chr4	82890979	82891498	+	3227	NA	promoter-TSS (SEC31A)	NA	28	SEC31A								
DFAM71927V3_1_748_R1_peak_21298	chr6	49463127	49463656	+	3225	NA	promoter-TSS (MUT)	NA	8	CENPQ								
DFAM71927V3_1_748_R1_peak_7957	chr15	64355992	64356693	+	3221	NA	promoter-TSS (CSNK1G1)	NA	-99	CSNK1G1								
DFAM71927V3_1_748_R1_peak_10217	chr17	36948667	36949333	+	3194	NA	exon (AATF, exon 1 of 12)	NA	125	AATF								
DFAM71927V3_1_748_R1_peak_417	chr1	23790842	23791390	+	3194	NA	promoter-TSS (LYPLA2)	NA	-7	LYPLA2								
DFAM71927V3_1_748_R1_peak_22	chr1	1231843	1232513	+	3193	NA	promoter-TSS (SDF4)	NA	-71	B3GALT6								
DFAM71927V3_1_748_R1_peak_17747	chr3	72848254	72848736	+	3174	NA	promoter-TSS (LOC102724840)	NA	-48	SHQ1								
DFAM71927V3_1_748_R1_peak_9396	chr16	77190841	77191404	+	3156	NA	exon (MON1B, exon 1 of 6)	NA	203	MON1B								
DFAM71927V3_1_748_R1_peak_11138	chr17	81683585	81684227	+	3152	NA	promoter-TSS (HGS)	NA	18	ARL16								
DFAM71927V3_1_748_R1_peak_23221	chr8	22109128	22109778	+	3149	NA	promoter-TSS (NUDT18)	NA	-34	NUDT18								
DFAM71927V3_1_748_R1_peak_11154	chr17	81977199	81977808	+	3147	NA	promoter-TSS (ASPSCR1)	NA	-47	ASPSCR1								
DFAM71927V3_1_748_R1_peak_9508	chr16	87391927	87392521	+	3139	NA	promoter-TSS (FBXO31)	NA	29	MAP1LC3B								
DFAM71927V3_1_748_R1_peak_3379	chr10	98446662	98447282	+	3126	NA	promoter-TSS (HPS1)	NA	-11	HPS1								
DFAM71927V3_1_748_R1_peak_9993	chr17	18314674	18315501	+	3109	NA	promoter-TSS (TOP3A)	NA	-193	SMCR8								
DFAM71927V3_1_748_R1_peak_16856	chr22	41589719	41590338	+	3089	NA	promoter-TSS (PMM1)	NA	-161	PMM1								
DFAM71927V3_1_748_R1_peak_4413	chr11	66344752	66345422	+	3073	NA	promoter-TSS (BRMS1)	NA	24	BRMS1								
DFAM71927V3_1_748_R1_peak_16274	chr21	42878974	42879835	+	3072	NA	promoter-TSS (WDR4)	NA	179	WDR4								
DFAM71927V3_1_748_R1_peak_21413	chr6	87702134	87702685	+	3069	NA	promoter-TSS (AKIRIN2)	NA	-142	AKIRIN2								
DFAM71927V3_1_748_R1_peak_21515	chr6	109482889	109483461	+	3059	NA	promoter-TSS (ZBTB24)	NA	62	ZBTB24								
DFAM71927V3_1_748_R1_peak_5602	chr12	55829386	55830018	+	3059	NA	promoter-TSS (TMEM198B)	NA	-66	DNAJC14								
DFAM71927V3_1_748_R1_peak_14308	chr2	112584151	112584765	+	3055	NA	promoter-TSS (LOC101927330)	NA	-7	LOC101927330								
DFAM71927V3_1_748_R1_peak_14432	chr2	130341887	130343462	+	3047	NA	promoter-TSS (IMP4)	NA	7	CCDC115								
DFAM71927V3_1_748_R1_peak_12310	chr19	16185010	16185556	+	3044	NA	promoter-TSS (FAM32A)	NA	-141	FAM32A								
DFAM71927V3_1_748_R1_peak_2726	chr10	16817428	16817922	+	3032	NA	promoter-TSS (RSU1)	NA	-221	RSU1								
DFAM71927V3_1_748_R1_peak_13138	chr19	52269254	52269979	+	3032	NA	promoter-TSS (ZNF766)	NA	74	ZNF766								
DFAM71927V3_1_748_R1_peak_22070	chr7	7640384	7640999	+	3024	NA	promoter-TSS (RPA3-AS1)	NA	-20	RPA3-AS1								
DFAM71927V3_1_748_R1_peak_19336	chr4	189940534	189941123	+	2990	NA	promoter-TSS (FRG1)	NA	-1133	FRG1								
DFAM71927V3_1_748_R1_peak_21712	chr6	144095439	144096025	+	2968	NA	promoter-TSS (SF3B5)	NA	-115	SF3B5								
DFAM71927V3_1_748_R1_peak_4764	chr11	114400201	114400897	+	2966	NA	promoter-TSS (RBM7)	NA	1	C11orf71								
DFAM71927V3_1_748_R1_peak_15720	chr20	44966186	44966795	+	2964	NA	promoter-TSS (STK4)	NA	10	STK4								
DFAM71927V3_1_748_R1_peak_20863	chr6	30617203	30618311	+	2959	NA	promoter-TSS (PPP1R10)	NA	259	MRPS18B								
DFAM71927V3_1_748_R1_peak_11525	chr18	57630055	57630564	+	2959	NA	promoter-TSS (RP11-35G9.3)	NA	7	RP11-35G9.3								
DFAM71927V3_1_748_R1_peak_20472	chr6	3068677	3069323	+	2956	NA	promoter-TSS (RIPK1)	NA	947	RIPK1								
DFAM71927V3_1_748_R1_peak_3816	chr11	3057176	3057714	+	2952	NA	promoter-TSS (CARS)	NA	6	CARS								
DFAM71927V3_1_748_R1_peak_24789	chr9	129834991	129835744	+	2947	NA	promoter-TSS (USP20)	NA	-50	USP20								
DFAM71927V3_1_748_R1_peak_18015	chr3	129399130	129399989	+	2940	NA	promoter-TSS (RPL32P3)	NA	-120	RPL32P3								
DFAM71927V3_1_748_R1_peak_11045	chr17	78840653	78841284	+	2931	NA	promoter-TSS (USP36)	NA	-70	USP36								
DFAM71927V3_1_748_R1_peak_2374	chr1	231240853	231241378	+	2928	NA	promoter-TSS (C1orf131)	NA	63	C1orf131								
DFAM71927V3_1_748_R1_peak_13142	chr19	52397519	52398095	+	2913	NA	promoter-TSS (LOC102724105)	NA	6	LOC102724105								
DFAM71927V3_1_748_R1_peak_20559	chr6	8064239	8064823	+	2896	NA	promoter-TSS (BLOC1S5-TXNDC5)	NA	-117	BLOC1S5								
DFAM71927V3_1_748_R1_peak_12879	chr19	44500288	44500783	+	2889	NA	promoter-TSS (ZNF180)	NA	-13	ZNF180								
DFAM71927V3_1_748_R1_peak_11768	chr19	2042005	2042660	+	2876	NA	intron (MKNK2, intron 10 of 13)	NA	8912	MKNK2								
DFAM71927V3_1_748_R1_peak_11778	chr19	2151464	2152026	+	2872	NA	promoter-TSS (AP3D1)	NA	-188	AP3D1								
DFAM71927V3_1_748_R1_peak_5707	chr12	64221949	64222623	+	2864	NA	promoter-TSS (C12orf66)	NA	-15	C12orf66								
DFAM71927V3_1_748_R1_peak_459	chr1	25232149	25232904	+	2864	NA	promoter-TSS (SYF2)	NA	-4	SYF2								
DFAM71927V3_1_748_R1_peak_17099	chr3	12840927	12842105	+	2864	NA	promoter-TSS (RPL32)	NA	66	RPL32								
DFAM71927V3_1_748_R1_peak_9584	chr16	89115116	89115934	+	2847	NA	intron (ACSF3, intron 6 of 10)	NA	21679	ACSF3								
DFAM71927V3_1_748_R1_peak_8935	chr16	28491841	28492450	+	2838	NA	promoter-TSS (CLN3)	NA	157	CLN3								
DFAM71927V3_1_748_R1_peak_5288	chr12	21501316	21502002	+	2836	NA	promoter-TSS (RECQL)	NA	-33	RECQL								
DFAM71927V3_1_748_R1_peak_8943	chr16	28924774	28925945	+	2821	NA	promoter-TSS (RABEP2)	NA	-148	RABEP2								
DFAM71927V3_1_748_R1_peak_1298	chr1	110963716	110964404	+	2821	NA	promoter-TSS (LRIF1)	NA	137	LRIF1								
DFAM71927V3_1_748_R1_peak_16542	chr22	26512127	26512738	+	2820	NA	promoter-TSS (LOC100507599)	NA	39	TFIP11								
DFAM71927V3_1_748_R1_peak_12541	chr19	29605675	29606576	+	2813	NA	promoter-TSS (POP4)	NA	-138	POP4								
DFAM71927V3_1_748_R1_peak_10214	chr17	36601350	36601964	+	2812	NA	promoter-TSS (MRM1)	NA	61	MRM1								
DFAM71927V3_1_748_R1_peak_1962	chr1	197201072	197201538	+	2794	NA	promoter-TSS (ZBTB41)	NA	-763	ZBTB41								
DFAM71927V3_1_748_R1_peak_4277	chr11	64269803	64270629	+	2793	NA	TTS (PLCB3)	NA	14488	BAD								
DFAM71927V3_1_748_R1_peak_10387	chr17	42998000	42998575	+	2786	NA	promoter-TSS (RPL27)	NA	-142	RPL27								
DFAM71927V3_1_748_R1_peak_15964	chr20	62937732	62938201	+	2786	NA	promoter-TSS (DIDO1)	NA	-123	GID8								
DFAM71927V3_1_748_R1_peak_13151	chr19	52734745	52735469	+	2784	NA	promoter-TSS (ZNF611)	NA	-63	ZNF611								
DFAM71927V3_1_748_R1_peak_15555	chr20	33810937	33811625	+	2770	NA	promoter-TSS (RP4-553F4.6)	NA	-23	CHMP4B								
DFAM71927V3_1_748_R1_peak_11148	chr17	81917969	81918410	+	2762	NA	promoter-TSS (SIRT7)	NA	-36	SIRT7								
DFAM71927V3_1_748_R1_peak_12922	chr19	45730698	45731237	+	2762	NA	promoter-TSS (FBXO46)	NA	-74	FBXO46								
DFAM71927V3_1_748_R1_peak_97	chr1	3796266	3796765	+	2762	NA	promoter-TSS (LRRC47)	NA	-11	LRRC47								
DFAM71927V3_1_748_R1_peak_9180	chr16	57447280	57447658	+	2757	NA	promoter-TSS (CIAPIN1)	NA	-12	CIAPIN1								
DFAM71927V3_1_748_R1_peak_24698	chr9	127785621	127786259	+	2750	NA	promoter-TSS (MIR3960)	NA	-31	MIR2861								
DFAM71927V3_1_748_R1_peak_7237	chr14	69398202	69399003	+	2748	NA	promoter-TSS (SLC39A9)	NA	-66	SLC39A9								
DFAM71927V3_1_748_R1_peak_24157	chr9	34458367	34458896	+	2746	NA	promoter-TSS (DNAI1)	NA	-61	FAM219A								
DFAM71927V3_1_748_R1_peak_11111	chr17	81295021	81295689	+	2743	NA	promoter-TSS (SLC38A10)	NA	-16	SLC38A10								
DFAM71927V3_1_748_R1_peak_7645	chr15	34101672	34102257	+	2734	NA	promoter-TSS (EMC7)	NA	-109	PGBD4								
DFAM71927V3_1_748_R1_peak_6200	chr12	122266277	122266770	+	2716	NA	promoter-TSS (VPS33A)	NA	-2	VPS33A								
DFAM71927V3_1_748_R1_peak_24384	chr9	92669907	92670516	+	2713	NA	promoter-TSS (IPPK)	NA	48	IPPK								
DFAM71927V3_1_748_R1_peak_18087	chr3	141311562	141312114	+	2711	NA	Intergenic	NA	80013	ACPL2								
DFAM71927V3_1_748_R1_peak_15734	chr20	45791663	45792161	+	2702	NA	promoter-TSS (DNTTIP1)	NA	-4	WFDC3								
DFAM71927V3_1_748_R1_peak_7969	chr15	64989310	64990202	+	2692	NA	promoter-TSS (SPG21)	NA	190	SPG21								
DFAM71927V3_1_748_R1_peak_13149	chr19	52637935	52638888	+	2665	NA	promoter-TSS (ZNF83)	NA	-20	ZNF83								
DFAM71927V3_1_748_R1_peak_24690	chr9	127715510	127716138	+	2661	NA	promoter-TSS (TTC16)	NA	174	PTRH1								
DFAM71927V3_1_748_R1_peak_12462	chr19	19515745	19516419	+	2661	NA	promoter-TSS (TSSK6)	NA	-128	NDUFA13								
DFAM71927V3_1_748_R1_peak_18439	chr3	196941943	196942973	+	2660	NA	promoter-TSS (NCBP2-AS2)	NA	135	NCBP2								
DFAM71927V3_1_748_R1_peak_9003	chr16	30355083	30355637	+	2657	NA	promoter-TSS (LOC101928707)	NA	-17	LOC101928707								
DFAM71927V3_1_748_R1_peak_12433	chr19	18919123	18920048	+	2646	NA	promoter-TSS (COPE)	NA	-90	DDX49								
DFAM71927V3_1_748_R1_peak_12934	chr19	45994920	45995517	+	2635	NA	promoter-TSS (CCDC61)	NA	-3908	CCDC61								
DFAM71927V3_1_748_R1_peak_6095	chr12	118376145	118376761	+	2631	NA	promoter-TSS (SUDS3)	NA	-100	SUDS3								
DFAM71927V3_1_748_R1_peak_6038	chr12	112418629	112419447	+	2631	NA	promoter-TSS (RPL6)	NA	91	PTPN11								
DFAM71927V3_1_748_R1_peak_868	chr1	43969651	43970288	+	2625	NA	promoter-TSS (DPH2)	NA	-24	DPH2								
DFAM71927V3_1_748_R1_peak_45	chr1	1724201	1724637	+	2622	NA	promoter-TSS (CDK11A)	NA	-67	CDK11A								
DFAM71927V3_1_748_R1_peak_13998	chr2	74454689	74455283	+	2611	NA	promoter-TSS (INO80B)	NA	-37	INO80B-WBP1								
DFAM71927V3_1_748_R1_peak_18171	chr3	156555032	156555514	+	2606	NA	promoter-TSS (SSR3)	NA	-89	SSR3								
DFAM71927V3_1_748_R1_peak_6628	chr13	49495688	49496202	+	2595	NA	promoter-TSS (PHF11)	NA	335	PHF11								
DFAM71927V3_1_748_R1_peak_8596	chr16	2673265	2673997	+	2585	NA	promoter-TSS (ERVK13-1)	NA	-192	ERVK13-1								
DFAM71927V3_1_748_R1_peak_16094	chr21	32727809	32728561	+	2582	NA	promoter-TSS (SYNJ1)	NA	71	PAXBP1-AS1								
DFAM71927V3_1_748_R1_peak_13164	chr19	53103150	53103765	+	2582	NA	promoter-TSS (ZNF160)	NA	-52	ZNF160								
DFAM71927V3_1_748_R1_peak_16694	chr22	36528793	36529837	+	2582	NA	promoter-TSS (EIF3D)	NA	-85	EIF3D								
DFAM71927V3_1_748_R1_peak_13147	chr19	52570013	52570716	+	2580	NA	promoter-TSS (ZNF701)	NA	91	ZNF701								
DFAM71927V3_1_748_R1_peak_9866	chr17	8189873	8190533	+	2580	NA	promoter-TSS (C17orf59)	NA	43	C17orf59								
DFAM71927V3_1_748_R1_peak_18042	chr3	133661636	133662177	+	2574	NA	promoter-TSS (TOPBP1)	NA	12	TOPBP1								
DFAM71927V3_1_748_R1_peak_17353	chr3	41961849	41962550	+	2569	NA	promoter-TSS (ULK4)	NA	-31	ULK4								
DFAM71927V3_1_748_R1_peak_10439	chr17	45060789	45061530	+	2562	NA	promoter-TSS (DCAKD)	NA	-50	DCAKD								
DFAM71927V3_1_748_R1_peak_5960	chr12	108514961	108515492	+	2561	NA	promoter-TSS (FICD)	NA	-48	FICD								
DFAM71927V3_1_748_R1_peak_12452	chr19	19385350	19386378	+	2560	NA	promoter-TSS (GATAD2A)	NA	-111	GATAD2A								
DFAM71927V3_1_748_R1_peak_23741	chr8	123416255	123416969	+	2560	NA	promoter-TSS (WDYHV1)	NA	-113	WDYHV1								
DFAM71927V3_1_748_R1_peak_24144	chr9	33473690	33474345	+	2557	NA	promoter-TSS (NOL6)	NA	-74	NOL6								
DFAM71927V3_1_748_R1_peak_15584	chr20	35147092	35147592	+	2553	NA	promoter-TSS (EDEM2)	NA	16	EDEM2								
DFAM71927V3_1_748_R1_peak_16578	chr22	29838076	29838566	+	2551	NA	promoter-TSS (ASCC2)	NA	-47	ASCC2								
DFAM71927V3_1_748_R1_peak_18379	chr3	194583720	194584192	+	2551	NA	promoter-TSS (TMEM44-AS1)	NA	-312	TMEM44-AS1								
DFAM71927V3_1_748_R1_peak_6405	chr13	23889194	23889651	+	2544	NA	promoter-TSS (C1QTNF9B-AS1)	NA	26	MIPEP								
DFAM71927V3_1_748_R1_peak_5689	chr12	57935864	57936445	+	2540	NA	promoter-TSS (RP11-620J15.3)	NA	10	RP11-620J15.3								
DFAM71927V3_1_748_R1_peak_17163	chr3	15098978	15099391	+	2535	NA	promoter-TSS (ZFYVE20)	NA	-36	ZFYVE20								
DFAM71927V3_1_748_R1_peak_12022	chr19	9140139	9140565	+	2535	NA	promoter-TSS (ZNF317)	NA	-28	ZNF317								
DFAM71927V3_1_748_R1_peak_17553	chr3	50350616	50351271	+	2534	NA	promoter-TSS (CYB561D2)	NA	109	CYB561D2								
DFAM71927V3_1_748_R1_peak_15512	chr20	32277387	32277854	+	2529	NA	promoter-TSS (KIF3B)	NA	-31	KIF3B								
DFAM71927V3_1_748_R1_peak_23715	chr8	119832470	119833261	+	2519	NA	promoter-TSS (TAF2)	NA	-2	TAF2								
DFAM71927V3_1_748_R1_peak_3062	chr10	68955836	68956435	+	2516	NA	promoter-TSS (DDX21)	NA	-305	DDX21								
DFAM71927V3_1_748_R1_peak_1358	chr1	114716382	114716965	+	2510	NA	TTS (CSDE1)	NA	221	NRAS								
DFAM71927V3_1_748_R1_peak_24486	chr9	100098742	100099344	+	2510	NA	promoter-TSS (INVS)	NA	5	ERP44								
DFAM71927V3_1_748_R1_peak_16434	chr22	20507293	20507891	+	2510	NA	promoter-TSS (MED15)	NA	-11214	MED15								
DFAM71927V3_1_748_R1_peak_11109	chr17	81238750	81239576	+	2503	NA	promoter-TSS (ENTHD2)	NA	-148	C17orf89								
DFAM71927V3_1_748_R1_peak_16638	chr22	31749767	31750405	+	2503	NA	promoter-TSS (PRR14L)	NA	-121	PRR14L								
DFAM71927V3_1_748_R1_peak_23411	chr8	47959906	47960948	+	2497	NA	promoter-TSS (PRKDC)	NA	171	MCM4								
DFAM71927V3_1_748_R1_peak_2375	chr1	231337685	231338315	+	2491	NA	promoter-TSS (SPRTN)	NA	20	SPRTN								
DFAM71927V3_1_748_R1_peak_1742	chr1	161153714	161154331	+	2488	NA	exon (UFC1, exon 1 of 5)	NA	230	UFC1								
DFAM71927V3_1_748_R1_peak_16944	chr22	46296344	46297007	+	2487	NA	promoter-TSS (GTSE1)	NA	-15	GTSE1-AS1								
DFAM71927V3_1_748_R1_peak_6867	chr13	113448918	113449796	+	2485	NA	promoter-TSS (ADPRHL1)	NA	-215	ADPRHL1								
DFAM71927V3_1_748_R1_peak_1736	chr1	161045758	161046253	+	2480	NA	promoter-TSS (USF1)	NA	-26	USF1								
DFAM71927V3_1_748_R1_peak_10183	chr17	35119495	35120189	+	2478	NA	promoter-TSS (RAD51D)	NA	27	RAD51D								
DFAM71927V3_1_748_R1_peak_4260	chr11	63986217	63986671	+	2478	NA	exon (OTUB1, exon 1 of 7)	NA	591	OTUB1								
DFAM71927V3_1_748_R1_peak_12265	chr19	14689787	14690317	+	2465	NA	promoter-TSS (ZNF333)	NA	-6	ZNF333								
DFAM71927V3_1_748_R1_peak_24102	chr9	19379982	19380503	+	2464	NA	promoter-TSS (RPS6)	NA	-5	RPS6								
DFAM71927V3_1_748_R1_peak_1932	chr1	184754487	184755232	+	2460	NA	promoter-TSS (EDEM3)	NA	48	EDEM3								
DFAM71927V3_1_748_R1_peak_24757	chr9	128881802	128882309	+	2450	NA	promoter-TSS (CCBL1)	NA	20	CCBL1								
DFAM71927V3_1_748_R1_peak_19106	chr4	139082665	139084667	+	2442	NA	intron (ELF2, intron 4 of 9)	NA	41585	ELF2								
DFAM71927V3_1_748_R1_peak_17023	chr3	3126626	3127409	+	2438	NA	intron (TRNT1, intron 1 of 8)	NA	101	TRNT1								
