PeakID (cmd=annotatePeaks.pl UT7_3_187_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
UT7_3_187_R1_peak_23148	chr20	35953209	35954468	+	1282	NA	exon (SCAND1, exon 3 of 3)	NA	1521	SCAND1								
UT7_3_187_R1_peak_11628	chr15	25437891	25439103	+	1282	NA	promoter-TSS (UBE3A)	NA	546	UBE3A								
UT7_3_187_R1_peak_36571	chr9	19378699	19380255	+	1278	NA	intron (RPS6, intron 2 of 5)	NA	760	RPS6								
UT7_3_187_R1_peak_17768	chr19	8390288	8390767	+	1273	NA	exon (RAB11B-AS1, exon 1 of 3)	NA	164	RAB11B-AS1								
UT7_3_187_R1_peak_1477	chr1	52056190	52057429	+	1271	NA	promoter-TSS (TXNDC12)	NA	624	BTF3L4								
UT7_3_187_R1_peak_29452	chr5	73497578	73499553	+	1271	NA	exon (BTF3, exon 1 of 6)	NA	140	BTF3								
UT7_3_187_R1_peak_11850	chr15	41115109	41117527	+	1271	NA	promoter-TSS (INO80)	NA	-72	INO80								
UT7_3_187_R1_peak_30721	chr6	5260358	5262138	+	1264	NA	promoter-TSS (LYRM4)	NA	-103	FARS2								
UT7_3_187_R1_peak_18641	chr19	35745000	35745481	+	1255	NA	promoter-TSS (PSENEN)	NA	202	U2AF1L4								
UT7_3_187_R1_peak_37007	chr9	92324894	92326370	+	1253	NA	promoter-TSS (NOL8)	NA	164	CENPP								
UT7_3_187_R1_peak_36962	chr9	89309973	89310842	+	1253	NA	promoter-TSS (CKS2)	NA	-791	CKS2								
UT7_3_187_R1_peak_8672	chr12	50762281	50765314	+	1252	NA	promoter-TSS (ATF1)	NA	-209	ATF1								
UT7_3_187_R1_peak_17774	chr19	8513448	8514304	+	1249	NA	exon (ZNF414, exon 1 of 7)	NA	129	ZNF414								
UT7_3_187_R1_peak_23608	chr20	54207726	54208905	+	1249	NA	intron (PFDN4, intron 1 of 3)	NA	352	PFDN4								
UT7_3_187_R1_peak_33379	chr7	5529015	5532116	+	1246	NA	promoter-TSS (ACTB)	NA	36	ACTB								
UT7_3_187_R1_peak_3631	chr1	207321590	207322560	+	1242	NA	intron (CD55, intron 1 of 10)	NA	603	CD55								
UT7_3_187_R1_peak_22553	chr20	379603	382024	+	1234	NA	promoter-TSS (TRIB3)	NA	-433	TRIB3								
UT7_3_187_R1_peak_4616	chr10	32346094	32347947	+	1233	NA	promoter-TSS (EPC1)	NA	182	EPC1								
UT7_3_187_R1_peak_25108	chr22	38504405	38506414	+	1232	NA	intron (DDX17, intron 1 of 12)	NA	931	DDX17								
UT7_3_187_R1_peak_2276	chr1	114756909	114758078	+	1230	NA	intron (CSDE1, intron 1 of 18)	NA	557	CSDE1								
UT7_3_187_R1_peak_8767	chr12	53006370	53007375	+	1228	NA	intron (EIF4B, intron 1 of 14)	NA	-1725	EIF4B								
UT7_3_187_R1_peak_36275	chr9	2015400	2019004	+	1227	NA	intron (SMARCA2, intron 1 of 33)	NA	1983	SMARCA2								
UT7_3_187_R1_peak_3256	chr1	184972820	184974903	+	1226	NA	intron (FAM129A, intron 1 of 13)	NA	725	FAM129A								
UT7_3_187_R1_peak_23077	chr20	34110786	34112280	+	1224	NA	intron (EIF2S2, intron 1 of 8)	NA	703	EIF2S2								
UT7_3_187_R1_peak_18934	chr19	41264244	41266674	+	1224	NA	intron (HNRNPUL1, intron 1 of 14)	NA	1015	HNRNPUL1								
UT7_3_187_R1_peak_23685	chr20	62142049	62144476	+	1224	NA	promoter-TSS (SS18L1)	NA	196	PSMA7								
UT7_3_187_R1_peak_23926	chr21	25734984	25736430	+	1222	NA	promoter-TSS (ATP5J)	NA	-53	ATP5J								
UT7_3_187_R1_peak_18183	chr19	15331142	15332657	+	1217	NA	Intergenic	NA	28484	LOC101928874								
UT7_3_187_R1_peak_30098	chr5	146447239	146448275	+	1215	NA	intron (TCERG1, intron 1 of 21)	NA	447	TCERG1								
UT7_3_187_R1_peak_17799	chr19	9674527	9675654	+	1215	NA	promoter-TSS (ZNF562)	NA	-33	ZNF562								
UT7_3_187_R1_peak_23881	chr21	19995514	19999995	+	1213	NA	Intergenic	NA	805354	LINC00320								
UT7_3_187_R1_peak_32947	chr6	147202603	147205271	+	1208	NA	promoter-TSS (STXBP5)	NA	-441	STXBP5								
UT7_3_187_R1_peak_36550	chr9	19125866	19128129	+	1203	NA	intron (PLIN2, intron 1 of 7)	NA	609	PLIN2								
UT7_3_187_R1_peak_19624	chr19	54137693	54138545	+	1202	NA	intron (CNOT3, intron 1 of 17)	NA	399	CNOT3								
UT7_3_187_R1_peak_2686	chr1	155687914	155689614	+	1200	NA	promoter-TSS (DAP3)	NA	-108	YY1AP1								
UT7_3_187_R1_peak_24286	chr21	42567823	42571784	+	1200	NA	intron (SLC37A1, intron 18 of 18)	NA	9954	LOC101928212								
UT7_3_187_R1_peak_17704	chr19	6736946	6737674	+	1199	NA	promoter-TSS (MIR6791)	NA	-4	GPR108								
UT7_3_187_R1_peak_1001	chr1	32651153	32652224	+	1198	NA	promoter-TSS (ZBTB8OS)	NA	540	RBBP4								
UT7_3_187_R1_peak_17653	chr19	5790691	5791278	+	1189	NA	intron (DUS3L, intron 1 of 12)	NA	254	DUS3L								
UT7_3_187_R1_peak_19001	chr19	42268376	42268847	+	1187	NA	Intergenic	NA	-13454	ERF								
UT7_3_187_R1_peak_8548	chr12	49129743	49131470	+	1184	NA	intron (TUBA1B, intron 1 of 3)	NA	915	TUBA1B								
UT7_3_187_R1_peak_37078	chr9	97982262	97983198	+	1178	NA	promoter-TSS (ANP32B)	NA	-477	ANP32B								
UT7_3_187_R1_peak_2863	chr1	160261777	160263293	+	1173	NA	promoter-TSS (DCAF8)	NA	25	DCAF8								
UT7_3_187_R1_peak_28358	chr4	82372821	82374054	+	1173	NA	promoter-TSS (LOC101928963)	NA	559	HNRNPD								
UT7_3_187_R1_peak_3119	chr1	174998623	175000780	+	1172	NA	promoter-TSS (CACYBP)	NA	-512	CACYBP								
UT7_3_187_R1_peak_13793	chr16	28822668	28825536	+	1171	NA	promoter-TSS (ATXN2L)	NA	1054	ATXN2L								
UT7_3_187_R1_peak_18963	chr19	41859753	41861371	+	1169	NA	intron (RPS19, intron 1 of 5)	NA	644	RPS19								
UT7_3_187_R1_peak_13651	chr16	21519495	21520856	+	1166	NA	exon (SLC7A5P2, exon 1 of 1)	NA	269	SLC7A5P2								
UT7_3_187_R1_peak_24980	chr22	36898614	36904680	+	1163	NA	Intergenic	NA	-11950	CSF2RB								
UT7_3_187_R1_peak_526	chr1	21781177	21783710	+	1157	NA	intron (USP48, intron 1 of 25)	NA	732	USP48								
UT7_3_187_R1_peak_17597	chr19	4402574	4403763	+	1157	NA	intron (CHAF1A, intron 1 of 14)	NA	505	CHAF1A								
UT7_3_187_R1_peak_24202	chr21	38805755	38807307	+	1156	NA	promoter-TSS (ETS2)	NA	700	ETS2								
UT7_3_187_R1_peak_34253	chr7	105012766	105015751	+	1155	NA	promoter-TSS (KMT2E)	NA	68	KMT2E								
UT7_3_187_R1_peak_2713	chr1	155974215	155980250	+	1155	NA	intron (ARHGEF2, intron 2 of 22)	NA	-7298	ARHGEF2								
UT7_3_187_R1_peak_10537	chr14	31025035	31026461	+	1155	NA	promoter-TSS (AP4S1)	NA	278	AP4S1								
UT7_3_187_R1_peak_17948	chr19	11597398	11598295	+	1152	NA	intron (ZNF627, intron 1 of 3)	NA	426	ZNF627								
UT7_3_187_R1_peak_22998	chr20	32358203	32359759	+	1149	NA	promoter-TSS (ASXL1)	NA	637	ASXL1								
UT7_3_187_R1_peak_8420	chr12	45989508	45990677	+	1144	NA	intron (SCAF11, intron 1 of 14)	NA	-29242	SCAF11								
UT7_3_187_R1_peak_6384	chr11	57667402	57669253	+	1144	NA	intron (ZDHHC5, intron 1 of 11)	NA	325	ZDHHC5								
UT7_3_187_R1_peak_24168	chr21	37365171	37366600	+	1144	NA	promoter-TSS (DYRK1A)	NA	-54415	DYRK1A								
UT7_3_187_R1_peak_20817	chr2	86562471	86563671	+	1141	NA	intron (RNF103-CHMP3, intron 3 of 7)	NA	426	CHMP3								
UT7_3_187_R1_peak_20619	chr2	70084969	70089779	+	1141	NA	promoter-TSS (PCBP1-AS1)	NA	-79	PCBP1								
UT7_3_187_R1_peak_1814	chr1	77977848	77980263	+	1141	NA	promoter-TSS (FUBP1)	NA	38	FUBP1								
UT7_3_187_R1_peak_2611	chr1	154219357	154220643	+	1140	NA	promoter-TSS (UBAP2L)	NA	792	C1orf43								
UT7_3_187_R1_peak_6890	chr11	68212493	68213942	+	1140	NA	promoter-TSS (SUV420H1)	NA	100	SUV420H1								
UT7_3_187_R1_peak_22793	chr20	17965110	17969744	+	1138	NA	intron (SNX5, intron 1 of 12)	NA	1564	SNX5								
UT7_3_187_R1_peak_27466	chr3	184314589	184316182	+	1135	NA	exon (EIF4G1, exon 1 of 32)	NA	890	EIF4G1								
UT7_3_187_R1_peak_30110	chr5	149549273	149551904	+	1133	NA	promoter-TSS (CSNK1A1)	NA	964	CSNK1A1								
UT7_3_187_R1_peak_23384	chr20	45933958	45935152	+	1133	NA	promoter-TSS (PCIF1)	NA	-123	PCIF1								
UT7_3_187_R1_peak_36335	chr9	4678209	4680994	+	1133	NA	promoter-TSS (CDC37L1)	NA	35	CDC37L1								
UT7_3_187_R1_peak_17885	chr19	10835845	10837084	+	1132	NA	promoter-TSS (TMED1)	NA	-187	C19orf38								
UT7_3_187_R1_peak_24234	chr21	39312678	39314926	+	1130	NA	promoter-TSS (BRWD1)	NA	-16	BRWD1								
UT7_3_187_R1_peak_19139	chr19	45406027	45406685	+	1129	NA	promoter-TSS (CD3EAP)	NA	-7	PPP1R13L								
UT7_3_187_R1_peak_17971	chr19	11848702	11850394	+	1124	NA	intron (ZNF439, intron 1 of 4)	NA	822	ZNF439								
UT7_3_187_R1_peak_22599	chr20	2101839	2103713	+	1122	NA	exon (STK35, exon 2 of 4)	NA	894	STK35								
UT7_3_187_R1_peak_32168	chr6	63572496	63574097	+	1122	NA	intron (PTP4A1, intron 1 of 5)	NA	1284	PTP4A1								
UT7_3_187_R1_peak_15460	chr17	36534227	36535958	+	1113	NA	promoter-TSS (MYO19)	NA	70	PIGW								
UT7_3_187_R1_peak_17639	chr19	5623046	5624241	+	1113	NA	promoter-TSS (SAFB2)	NA	608	SAFB								
UT7_3_187_R1_peak_29971	chr5	138337235	138338878	+	1110	NA	promoter-TSS (FAM53C)	NA	299	CDC25C								
UT7_3_187_R1_peak_18880	chr19	40283548	40286208	+	1109	NA	intron (AKT2, intron 1 of 14)	NA	517	AKT2								
UT7_3_187_R1_peak_6982	chr11	72112434	72113642	+	1106	NA	promoter-TSS (ANAPC15)	NA	-262	ANAPC15								
UT7_3_187_R1_peak_30188	chr5	154190169	154191281	+	1106	NA	promoter-TSS (GALNT10)	NA	-10	GALNT10								
UT7_3_187_R1_peak_9537	chr12	121799828	121805289	+	1100	NA	intron (LINC01089, intron 2 of 6)	NA	926	LINC01089								
UT7_3_187_R1_peak_27359	chr3	177195273	177198471	+	1100	NA	promoter-TSS (TBL1XR1)	NA	388	TBL1XR1								
UT7_3_187_R1_peak_2565	chr1	153633961	153634742	+	1099	NA	promoter-TSS (S100A13)	NA	-2440	CHTOP								
UT7_3_187_R1_peak_16689	chr17	81870323	81872395	+	1099	NA	promoter-TSS (ARHGDIA)	NA	47	ARHGDIA								
UT7_3_187_R1_peak_13727	chr16	24539541	24541248	+	1098	NA	exon (RBBP6, exon 1 of 17)	NA	849	RBBP6								
UT7_3_187_R1_peak_4162	chr1	244863137	244864568	+	1097	NA	exon (HNRNPU, exon 1 of 14)	NA	673	HNRNPU								
UT7_3_187_R1_peak_17921	chr19	11374124	11375072	+	1096	NA	promoter-TSS (SWSAP1)	NA	-109	SWSAP1								
UT7_3_187_R1_peak_2569	chr1	153669897	153670993	+	1095	NA	promoter-TSS (TRNAM3)	NA	583	ILF2								
UT7_3_187_R1_peak_22988	chr20	32109400	32110665	+	1095	NA	promoter-TSS (TM9SF4)	NA	526	TM9SF4								
UT7_3_187_R1_peak_20309	chr2	47175215	47177370	+	1094	NA	intron (CALM2, intron 1 of 5)	NA	309	CALM2								
UT7_3_187_R1_peak_2217	chr1	112618091	112622023	+	1094	NA	promoter-TSS (ST7L)	NA	604	CAPZA1								
UT7_3_187_R1_peak_29224	chr5	39073259	39075523	+	1093	NA	promoter-TSS (RICTOR)	NA	17	RICTOR								
UT7_3_187_R1_peak_13044	chr15	92882692	92884696	+	1093	NA	exon (LOC100507217, exon 2 of 6)	NA	851	LOC100507217								
UT7_3_187_R1_peak_24966	chr22	36860063	36864198	+	1091	NA	intron (NCF4, intron 1 of 9)	NA	1142	NCF4								
UT7_3_187_R1_peak_17815	chr19	10106289	10107526	+	1090	NA	promoter-TSS (SNORD105)	NA	684	PPAN-P2RY11								
UT7_3_187_R1_peak_20777	chr2	85537621	85540054	+	1084	NA	promoter-TSS (LOC100630918)	NA	49	LOC100630918								
UT7_3_187_R1_peak_13222	chr16	1308638	1310629	+	1084	NA	promoter-TSS (UBE2I)	NA	-2438	UBE2I								
UT7_3_187_R1_peak_19460	chr19	50803434	50804946	+	1084	NA	intron (C19orf48, intron 1 of 4)	NA	527	C19orf48								
UT7_3_187_R1_peak_34297	chr7	107168895	107169807	+	1084	NA	promoter-TSS (HBP1)	NA	336	HBP1								
UT7_3_187_R1_peak_18529	chr19	29211917	29213149	+	1079	NA	intron (UQCRFS1, intron 1 of 1)	NA	696	UQCRFS1								
UT7_3_187_R1_peak_2161	chr1	110339388	110340372	+	1078	NA	promoter-TSS (RP5-1074L1.1)	NA	557	RBM15								
UT7_3_187_R1_peak_37954	chrX	386229	387252	+	1069	NA	promoter-TSS (PPP2R3B)	NA	-356	PPP2R3B								
UT7_3_187_R1_peak_14990	chr17	7572763	7573685	+	1068	NA	intron (EIF4A1, intron 1 of 10)	NA	518	EIF4A1								
UT7_3_187_R1_peak_25653	chr3	9791840	9794111	+	1068	NA	promoter-TSS (ARPC4)	NA	149	TADA3								
UT7_3_187_R1_peak_32213	chr6	73520083	73521099	+	1067	NA	intron (EEF1A1, intron 1 of 7)	NA	441	EEF1A1								
UT7_3_187_R1_peak_31086	chr6	24718790	24721210	+	1067	NA	promoter-TSS (C6orf62)	NA	-825	C6orf62								
UT7_3_187_R1_peak_9675	chr12	124913850	124915575	+	1066	NA	promoter-TSS (MIR5188)	NA	329	UBC								
UT7_3_187_R1_peak_23552	chr20	50929844	50932467	+	1066	NA	promoter-TSS (ADNP)	NA	-165	ADNP								
UT7_3_187_R1_peak_8239	chr12	28189953	28191572	+	1066	NA	exon (LOC729291, exon 2 of 2)	NA	49422	LOC729291								
UT7_3_187_R1_peak_25112	chr22	38656286	38656925	+	1066	NA	promoter-TSS (FAM227A)	NA	24	FAM227A								
UT7_3_187_R1_peak_11520	chr14	103334078	103335216	+	1064	NA	promoter-TSS (EIF5)	NA	645	EIF5								
UT7_3_187_R1_peak_15414	chr17	34980443	34981747	+	1063	NA	promoter-TSS (CCT6B)	NA	577	LIG3								
UT7_3_187_R1_peak_769	chr1	26695596	26698270	+	1063	NA	promoter-TSS (LOC101928728)	NA	-528	LOC101928728								
UT7_3_187_R1_peak_15921	chr17	49191623	49192561	+	1059	NA	promoter-TSS (TRNAQ2)	NA	-436	TRNAQ2								
UT7_3_187_R1_peak_36445	chr9	6007190	6008487	+	1056	NA	promoter-TSS (MIR4665)	NA	3	MIR4665								
UT7_3_187_R1_peak_19846	chr19	58385865	58387150	+	1054	NA	promoter-TSS (RPS5)	NA	351	MIR4754								
UT7_3_187_R1_peak_8708	chr12	51322429	51324820	+	1053	NA	intron (BIN2, intron 1 of 12)	NA	530	BIN2								
UT7_3_187_R1_peak_16040	chr17	56960556	56961048	+	1053	NA	exon (COIL, exon 1 of 7)	NA	248	COIL								
UT7_3_187_R1_peak_11423	chr14	100237734	100238682	+	1051	NA	promoter-TSS (YY1)	NA	-557	YY1								
UT7_3_187_R1_peak_32276	chr6	85641559	85643407	+	1051	NA	intron (SYNCRIP, intron 1 of 10)	NA	1367	SYNCRIP								
UT7_3_187_R1_peak_29982	chr5	138574279	138576647	+	1051	NA	exon (HSPA9, exon 1 of 17)	NA	166	HSPA9								
UT7_3_187_R1_peak_14971	chr17	7307525	7308842	+	1048	NA	promoter-TSS (EIF5A)	NA	185	EIF5A								
UT7_3_187_R1_peak_30541	chr5	179623847	179625041	+	1046	NA	promoter-TSS (HNRNPH1)	NA	-734	HNRNPH1								
UT7_3_187_R1_peak_23506	chr20	50190570	50193983	+	1044	NA	exon (CEBPB, exon 1 of 1)	NA	1693	CEBPB								
UT7_3_187_R1_peak_17650	chr19	5717843	5720233	+	1043	NA	intron (LONP1, intron 1 of 17)	NA	1220	LONP1								
UT7_3_187_R1_peak_773	chr1	26787147	26789111	+	1041	NA	promoter-TSS (PIGV)	NA	-59	PIGV								
UT7_3_187_R1_peak_37041	chr9	95874649	95876784	+	1035	NA	promoter-TSS (ERCC6L2)	NA	98	ERCC6L2								
UT7_3_187_R1_peak_49	chr1	1573560	1575655	+	1035	NA	exon (SSU72, exon 1 of 3)	NA	262	SSU72								
UT7_3_187_R1_peak_1663	chr1	62435590	62436366	+	1035	NA	promoter-TSS (USP1)	NA	-326	USP1								
UT7_3_187_R1_peak_2629	chr1	154961081	154962633	+	1034	NA	promoter-TSS (PYGO2)	NA	-75	PYGO2								
UT7_3_187_R1_peak_38699	chrX	153970623	153973252	+	1031	NA	promoter-TSS (HCFC1)	NA	-104	HCFC1								
UT7_3_187_R1_peak_19567	chr19	52189994	52191341	+	1031	NA	intron (PPP2R1A, intron 1 of 14)	NA	865	PPP2R1A								
UT7_3_187_R1_peak_13628	chr16	20805519	20807584	+	1030	NA	promoter-TSS (LOC81691)	NA	-78	ERI2								
UT7_3_187_R1_peak_32693	chr6	135053908	135054870	+	1028	NA	intron (HBS1L, intron 1 of 4)	NA	509	HBS1L								
UT7_3_187_R1_peak_24407	chr21	46324041	46324560	+	1024	NA	promoter-TSS (C21orf58)	NA	-401	C21orf58								
UT7_3_187_R1_peak_7523	chr11	118789859	118792644	+	1019	NA	promoter-TSS (DDX6)	NA	-304	DDX6								
UT7_3_187_R1_peak_15612	chr17	40647146	40648786	+	1019	NA	promoter-TSS (SMARCE1)	NA	-115	SMARCE1								
UT7_3_187_R1_peak_11309	chr14	91509144	91511351	+	1019	NA	promoter-TSS (SMEK1)	NA	52	SMEK1								
UT7_3_187_R1_peak_17656	chr19	5902690	5904340	+	1019	NA	intron (NDUFA11, intron 1 of 4)	NA	498	NDUFA11								
UT7_3_187_R1_peak_29993	chr5	139293276	139295165	+	1015	NA	intron (MATR3, intron 1 of 13)	NA	15440	SNORA74A								
UT7_3_187_R1_peak_37079	chr9	97983293	97985690	+	1013	NA	intron (ANP32B, intron 1 of 6)	NA	1284	ANP32B								
