PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_745_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_745_R1_peak_626	chr4	104098050	104098103	+	446	NA	Intergenic	NA	-378260	TACR3								
DFAM71927V3_1_745_R1_peak_882	chrUn_KI270752v1	3500	3637	+	438	NA	Intergenic	NA	-7812	LOC102723822								
DFAM71927V3_1_745_R1_peak_402	chr2	32916226	32916298	+	435	NA	intron (LINC00486, intron 5 of 5)	NA	-10865	AL121656.5								
DFAM71927V3_1_745_R1_peak_680	chr5	143382154	143382205	+	432	NA	intron (NR3C1, intron 2 of 8)	NA	24503	LOC102723997								
DFAM71927V3_1_745_R1_peak_860	chrUn_KI270438v1	104539	104750	+	430	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_162	chr12	10982344	10982678	+	426	NA	intron (PRH1-PRR4, intron 3 of 10)	NA	4401	TAS2R50								
DFAM71927V3_1_745_R1_peak_37	chr1	125180158	125180220	+	425	NA	Intergenic	NA	3661077	EMBP1								
DFAM71927V3_1_745_R1_peak_653	chr5	49659834	49659918	+	424	NA	Intergenic	NA	781524	EMB								
DFAM71927V3_1_745_R1_peak_171	chr12	86406659	86406721	+	421	NA	intron (MGAT4C, intron 2 of 6)	NA	-150298	MGAT4C								
DFAM71927V3_1_745_R1_peak_880	chrUn_KI270752v1	160	253	+	420	NA	Intergenic	NA	-11174	LOC102723822								
DFAM71927V3_1_745_R1_peak_383	chr19	33184485	33184549	+	413	NA	Intergenic	NA	7460	TRNAT4								
DFAM71927V3_1_745_R1_peak_867	chrUn_KI270438v1	112363	112440	+	412	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_887	chrUn_KI270752v1	7283	7379	+	406	NA	Intergenic	NA	-4049	LOC102723822								
DFAM71927V3_1_745_R1_peak_89	chr10	41875421	41875472	+	404	NA	Intergenic	NA	-367077	LOC101929373								
DFAM71927V3_1_745_R1_peak_277	chr16	34595188	34595251	+	394	NA	Intergenic	NA	163227	LOC102724523								
DFAM71927V3_1_745_R1_peak_864	chrUn_KI270438v1	109561	109861	+	392	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_42	chr1	143264642	143264723	+	391	NA	Intergenic	NA	39654	LOC101929814								
DFAM71927V3_1_745_R1_peak_581	chr4	10136	10197	+	390	NA	Intergenic	NA	-43119	ZNF595								
DFAM71927V3_1_745_R1_peak_706	chr6	36954268	36954627	+	390	NA	promoter-TSS (PI16)	NA	6184	PI16								
DFAM71927V3_1_745_R1_peak_334	chr17	66246407	66246713	+	390	NA	Intergenic	NA	-17122	APOH								
DFAM71927V3_1_745_R1_peak_716	chr6	73520047	73521382	+	382	NA	intron (EEF1A1, intron 1 of 7)	NA	318	EEF1A1								
DFAM71927V3_1_745_R1_peak_934	chrY	11747680	11747728	+	373	NA	Intergenic	NA	673886	GYG2P1								
DFAM71927V3_1_745_R1_peak_881	chrUn_KI270752v1	2148	2282	+	372	NA	Intergenic	NA	-9165	LOC102723822								
DFAM71927V3_1_745_R1_peak_485	chr20	47362779	47363108	+	369	NA	Intergenic	NA	-6439	ZMYND8								
DFAM71927V3_1_745_R1_peak_312	chr17	26885757	26885806	+	355	NA	Intergenic	NA	408161	MIR4522								
DFAM71927V3_1_745_R1_peak_403	chr2	32916530	32916610	+	355	NA	intron (LINC00486, intron 5 of 5)	NA	-10557	AL121656.5								
DFAM71927V3_1_745_R1_peak_413	chr2	60461344	60462424	+	353	NA	exon (BCL11A, exon 4 of 5)	NA	-59767	LOC102724142								
DFAM71927V3_1_745_R1_peak_336	chr17	72678883	72678945	+	352	NA	intron (SLC39A11, intron 7 of 9)	NA	-38442	LINC00511								
DFAM71927V3_1_745_R1_peak_414	chr2	60468728	60468836	+	352	NA	exon (BCL11A, exon 3 of 5)	NA	58913	LOC102724155								
DFAM71927V3_1_745_R1_peak_500	chr21	10325805	10325878	+	351	NA	Intergenic	NA	-87691	BAGE2								
DFAM71927V3_1_745_R1_peak_729	chr6	111384865	111384916	+	350	NA	intron (REV3L, intron 10 of 32)	NA	-98582	TRAF3IP2-AS1								
DFAM71927V3_1_745_R1_peak_143	chr11	95249950	95249998	+	350	NA	Intergenic	NA	-18892	SESN3								
DFAM71927V3_1_745_R1_peak_862	chrUn_KI270438v1	109201	109266	+	344	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_308	chr17	25920179	25920238	+	334	NA	Intergenic	NA	1373734	MIR4522								
DFAM71927V3_1_745_R1_peak_376	chr19	12145389	12145442	+	332	NA	exon (ZNF625, exon 4 of 4)	NA	-5008	ZNF20								
DFAM71927V3_1_745_R1_peak_876	chrUn_KI270467v1	1722	1797	+	329	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_886	chrUn_KI270752v1	5743	5794	+	327	NA	Intergenic	NA	-5612	LOC102723822								
DFAM71927V3_1_745_R1_peak_164	chr12	47446361	47446415	+	327	NA	Intergenic	NA	31426	LOC101927135								
DFAM71927V3_1_745_R1_peak_883	chrUn_KI270752v1	4273	4324	+	326	NA	Intergenic	NA	-7082	LOC102723822								
DFAM71927V3_1_745_R1_peak_474	chr20	7448581	7448641	+	324	NA	Intergenic	NA	76993	MIR8062								
DFAM71927V3_1_745_R1_peak_31	chr1	95072443	95072890	+	323	NA	intron (ALG14, intron 1 of 3)	NA	285	ALG14								
DFAM71927V3_1_745_R1_peak_937	chrY	56763487	56763563	+	318	NA	Intergenic	NA	-192718	SPRY3-2								
DFAM71927V3_1_745_R1_peak_125	chr11	5254964	5255046	+	313	NA	promoter-TSS (HBG2)	NA	-224	HBG2								
DFAM71927V3_1_745_R1_peak_261	chr16	174024	174107	+	313	NA	TTS (HBA2)	NA	1218	HBA2								
DFAM71927V3_1_745_R1_peak_609	chr4	49709713	49709790	+	312	NA	Intergenic	NA	-220427	LOC101060532								
DFAM71927V3_1_745_R1_peak_275	chr16	34589495	34589547	+	309	NA	Intergenic	NA	157529	LOC102724523								
DFAM71927V3_1_745_R1_peak_103	chr10	84386011	84386074	+	308	NA	intron (CCSER2, intron 3 of 11)	NA	57453	CCSER2								
DFAM71927V3_1_745_R1_peak_681	chr5	147282922	147282979	+	306	NA	intron (STK32A, intron 4 of 13)	NA	47934	STK32A								
DFAM71927V3_1_745_R1_peak_479	chr20	37551507	37551559	+	303	NA	Intergenic	NA	-23801	BLCAP								
DFAM71927V3_1_745_R1_peak_656	chr5	49666183	49666239	+	301	NA	Intergenic	NA	775189	EMB								
DFAM71927V3_1_745_R1_peak_807	chr8	60792751	60793093	+	300	NA	intron (CHD7, intron 3 of 37)	NA	-92064	LOC101929576								
DFAM71927V3_1_745_R1_peak_53	chr1	166660359	166660425	+	298	NA	Intergenic	NA	56476	FMO9P								
DFAM71927V3_1_745_R1_peak_311	chr17	26620008	26620057	+	298	NA	Intergenic	NA	673910	MIR4522								
DFAM71927V3_1_745_R1_peak_366	chr18	76746551	76746605	+	297	NA	Intergenic	NA	75717	LOC100131655								
DFAM71927V3_1_745_R1_peak_417	chr2	80066477	80066529	+	292	NA	intron (CTNNA2, intron 7 of 17)	NA	-199930	MIR8080								
DFAM71927V3_1_745_R1_peak_718	chr6	78769561	78769613	+	292	NA	Intergenic	NA	-97957	IRAK1BP1								
DFAM71927V3_1_745_R1_peak_400	chr2	30065350	30065410	+	292	NA	Intergenic	NA	70970	LOC101930384								
DFAM71927V3_1_745_R1_peak_244	chr15	45293993	45294060	+	291	NA	Intergenic	NA	-38659	LOC101928414								
DFAM71927V3_1_745_R1_peak_935	chrY	56728134	56728191	+	287	NA	Intergenic	NA	-228081	SPRY3-2								
DFAM71927V3_1_745_R1_peak_858	chrUn_KI270438v1	104064	104161	+	286	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_874	chrUn_KI270466v1	922	1157	+	282	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_323	chr17	44569038	44569086	+	281	NA	Intergenic	NA	11618	FZD2								
DFAM71927V3_1_745_R1_peak_859	chrUn_KI270438v1	104248	104364	+	280	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_522	chr22	50808016	50808142	+	278	NA	Intergenic	NA	20361	LOC102724681								
DFAM71927V3_1_745_R1_peak_234	chr14_GL000225v1_random	131712	131778	+	278	NA	Intergenic	NA	95456	LOC100287823								
DFAM71927V3_1_745_R1_peak_28	chr1	93076068	93076133	+	278	NA	Intergenic	NA	-3135	MTF2								
DFAM71927V3_1_745_R1_peak_877	chrUn_KI270467v1	2046	2640	+	277	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_813	chr8	101137142	101137471	+	275	NA	Intergenic	NA	68426	ZNF706								
DFAM71927V3_1_745_R1_peak_87	chr10	35635656	35635954	+	273	NA	Intergenic	NA	5447	MIR4683								
DFAM71927V3_1_745_R1_peak_411	chr2	60460407	60460880	+	271	NA	exon (BCL11A, exon 4 of 4)	NA	-58526	LOC102724142								
DFAM71927V3_1_745_R1_peak_124	chr11	2093165	2093467	+	270	NA	Intergenic	NA	40886	MIR483								
DFAM71927V3_1_745_R1_peak_466	chr2	222866730	222866793	+	267	NA	intron (ACSL3, intron 1 of 15)	NA	5747	ACSL3								
DFAM71927V3_1_745_R1_peak_233	chr14_GL000225v1_random	85645	85704	+	266	NA	Intergenic	NA	49385	LOC100287823								
DFAM71927V3_1_745_R1_peak_822	chr8	141036140	141036389	+	263	NA	Intergenic	NA	93870	LOC101927963								
DFAM71927V3_1_745_R1_peak_584	chr4	2738314	2738381	+	263	NA	Intergenic	NA	17678	TNIP2								
DFAM71927V3_1_745_R1_peak_287	chr16	46400621	46400685	+	262	NA	Intergenic	NA	168444	ANKRD26P1								
DFAM71927V3_1_745_R1_peak_866	chrUn_KI270438v1	112066	112178	+	259	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_530	chr22_KI270737v1_random	70284	70331	+	258	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_891	chrUn_KI270752v1	21789	21941	+	256	NA	intron (LOC102723822, intron 9 of 14)	NA	10485	LOC102723822								
DFAM71927V3_1_745_R1_peak_853	chrUn_GL000216v2	167855	167912	+	253	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_470	chr2	241355988	241356299	+	250	NA	promoter-TSS (FARP2)	NA	-16535	FARP2								
DFAM71927V3_1_745_R1_peak_812	chr8	70243763	70243827	+	250	NA	intron (NCOA2, intron 2 of 21)	NA	-26668	NCOA2								
DFAM71927V3_1_745_R1_peak_903	chrX	44282607	44282668	+	249	NA	intron (EFHC2, intron 2 of 14)	NA	61028	EFHC2								
DFAM71927V3_1_745_R1_peak_395	chr2	15177109	15177457	+	249	NA	intron (NBAS, intron 51 of 51)	NA	-179127	LOC101926952								
DFAM71927V3_1_745_R1_peak_50	chr1	156482454	156484148	+	248	NA	exon (MEF2D, exon 2 of 12)	NA	17519	MEF2D								
DFAM71927V3_1_745_R1_peak_884	chrUn_KI270752v1	4606	4668	+	247	NA	Intergenic	NA	-6743	LOC102723822								
DFAM71927V3_1_745_R1_peak_496	chr20	64287018	64287075	+	246	NA	Intergenic	NA	-3339	LINC00266-1								
DFAM71927V3_1_745_R1_peak_268	chr16	34581256	34581314	+	245	NA	Intergenic	NA	149293	LOC102724523								
DFAM71927V3_1_745_R1_peak_273	chr16	34583075	34583144	+	244	NA	Intergenic	NA	151117	LOC102724523								
DFAM71927V3_1_745_R1_peak_106	chr10	89326193	89326248	+	244	NA	Intergenic	NA	-1625	IFIT3								
DFAM71927V3_1_745_R1_peak_141	chr11	84313348	84313401	+	243	NA	intron (DLG2, intron 2 of 22)	NA	-40094	DLG2								
DFAM71927V3_1_745_R1_peak_532	chr3	10581	10644	+	243	NA	Intergenic	NA	-1139	LOC102723448								
DFAM71927V3_1_745_R1_peak_885	chrUn_KI270752v1	5059	5132	+	242	NA	Intergenic	NA	-6285	LOC102723822								
DFAM71927V3_1_745_R1_peak_459	chr2	204736615	204736664	+	242	NA	intron (PARD3B, intron 2 of 21)	NA	-367054	PARD3B								
DFAM71927V3_1_745_R1_peak_3	chr1	4154883	4154942	+	242	NA	Intergenic	NA	169321	LOC102724415								
DFAM71927V3_1_745_R1_peak_910	chrX	65283051	65283100	+	240	NA	Intergenic	NA	-205103	ZC3H12B								
DFAM71927V3_1_745_R1_peak_758	chr7	44172072	44172132	+	239	NA	intron (GCK, intron 1 of 9)	NA	-12814	GCK								
DFAM71927V3_1_745_R1_peak_415	chr2	60545971	60546299	+	239	NA	exon (BCL11A, exon 2 of 5)	NA	7363	BCL11A								
DFAM71927V3_1_745_R1_peak_751	chr7	11444139	11444198	+	236	NA	intron (THSD7A, intron 13 of 24)	NA	388029	THSD7A								
DFAM71927V3_1_745_R1_peak_384	chr19	34270011	34270400	+	236	NA	intron (KIAA0355, intron 1 of 13)	NA	15654	KIAA0355								
DFAM71927V3_1_745_R1_peak_14	chr1	32572133	32572185	+	236	NA	intron (ZBTB8A, intron 2 of 4)	NA	32988	ZBTB8A								
DFAM71927V3_1_745_R1_peak_642	chr5	10445	10521	+	236	NA	Intergenic	NA	-129775	PLEKHG4B								
DFAM71927V3_1_745_R1_peak_448	chr2	179546835	179546886	+	235	NA	intron (ZNF385B, intron 3 of 9)	NA	15705	ZNF385B								
DFAM71927V3_1_745_R1_peak_79	chr10	11674004	11674340	+	235	NA	Intergenic	NA	-62492	USP6NL								
DFAM71927V3_1_745_R1_peak_648	chr5	49657730	49657789	+	233	NA	Intergenic	NA	783641	EMB								
DFAM71927V3_1_745_R1_peak_622	chr4	87134876	87136508	+	233	NA	exon (AFF1, exon 21 of 21)	NA	84896	KLHL8								
DFAM71927V3_1_745_R1_peak_854	chrUn_KI270333v1	2052	2190	+	233	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_457	chr2	201642821	201642974	+	232	NA	promoter-TSS (TMEM237)	NA	632	TMEM237								
DFAM71927V3_1_745_R1_peak_123	chr11	175729	175880	+	231	NA	Intergenic	NA	-2295	LOC101930129								
DFAM71927V3_1_745_R1_peak_238	chr15	31015138	31015190	+	229	NA	intron (TRPM1, intron 26 of 26)	NA	-23579	MTMR10								
DFAM71927V3_1_745_R1_peak_852	chrUn_GL000216v2	158674	158726	+	228	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_120	chr10	133689392	133689446	+	227	NA	Intergenic	NA	5751	LOC102723538								
DFAM71927V3_1_745_R1_peak_554	chr3	84468291	84468344	+	227	NA	Intergenic	NA	401258	LINC00971								
DFAM71927V3_1_745_R1_peak_269	chr16	34581423	34581494	+	226	NA	Intergenic	NA	149466	LOC102724523								
DFAM71927V3_1_745_R1_peak_446	chr2	174744173	174744222	+	226	NA	Intergenic	NA	20275	CHRNA1								
DFAM71927V3_1_745_R1_peak_271	chr16	34582382	34582437	+	223	NA	Intergenic	NA	150417	LOC102724523								
DFAM71927V3_1_745_R1_peak_564	chr3	135722181	135722233	+	221	NA	Intergenic	NA	-243466	PPP2R3A								
DFAM71927V3_1_745_R1_peak_38	chr1	143244977	143245024	+	221	NA	Intergenic	NA	59336	LOC101929814								
DFAM71927V3_1_745_R1_peak_655	chr5	49660960	49661111	+	220	NA	Intergenic	NA	780365	EMB								
DFAM71927V3_1_745_R1_peak_12	chr1	25774743	25775061	+	218	NA	intron (MAN1C1, intron 8 of 11)	NA	-25274	SEPN1								
DFAM71927V3_1_745_R1_peak_863	chrUn_KI270438v1	109352	109488	+	218	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_102	chr10	76715010	76715068	+	218	NA	Intergenic	NA	-172965	LOC101929328								
DFAM71927V3_1_745_R1_peak_691	chr6	3473832	3473884	+	216	NA	Intergenic	NA	-17299	SLC22A23								
DFAM71927V3_1_745_R1_peak_603	chr4	49149661	49149795	+	215	NA	Intergenic	NA	-11604	LOC101927209								
DFAM71927V3_1_745_R1_peak_240	chr15	38681267	38681335	+	214	NA	Intergenic	NA	-15297	C15orf53								
DFAM71927V3_1_745_R1_peak_40	chr1	143263422	143263483	+	212	NA	Intergenic	NA	40884	LOC101929814								
DFAM71927V3_1_745_R1_peak_93	chr10	47449378	47449551	+	212	NA	Intergenic	NA	34694	ANXA8								
DFAM71927V3_1_745_R1_peak_531	chr3	9986	10062	+	212	NA	Intergenic	NA	-1727	LOC102723448								
DFAM71927V3_1_745_R1_peak_650	chr5	49658512	49658719	+	211	NA	Intergenic	NA	782785	EMB								
DFAM71927V3_1_745_R1_peak_936	chrY	56734767	56734823	+	209	NA	Intergenic	NA	-221448	SPRY3-2								
DFAM71927V3_1_745_R1_peak_455	chr2	198277594	198277675	+	209	NA	Intergenic	NA	97463	AC005235.1								
DFAM71927V3_1_745_R1_peak_829	chr9	21849935	21849989	+	206	NA	intron (MTAP, intron 5 of 7)	NA	47326	MTAP								
DFAM71927V3_1_745_R1_peak_116	chr10	129057912	129058190	+	206	NA	Intergenic	NA	-409139	MGMT								
DFAM71927V3_1_745_R1_peak_274	chr16	34588516	34588567	+	205	NA	Intergenic	NA	156549	LOC102724523								
DFAM71927V3_1_745_R1_peak_424	chr2	89836495	89836544	+	204	NA	Intergenic	NA	-198866	LOC101927050								
DFAM71927V3_1_745_R1_peak_902	chrX	42573166	42573226	+	204	NA	Intergenic	NA	205039	PPP1R2P9								
DFAM71927V3_1_745_R1_peak_892	chrUn_KI270752v1	25106	25167	+	202	NA	intron (LOC102723822, intron 13 of 14)	NA	13756	LOC102723822								
DFAM71927V3_1_745_R1_peak_254	chr15	65101590	65101985	+	200	NA	intron (UBAP1L, intron 3 of 5)	NA	11860	UBAP1L								
DFAM71927V3_1_745_R1_peak_871	chrUn_KI270442v1	92387	92435	+	200	NA	Intergenic	NA	-152893	LOC102724902								
DFAM71927V3_1_745_R1_peak_705	chr6	36555937	36555993	+	199	NA	Intergenic	NA	-8486	STK38								
DFAM71927V3_1_745_R1_peak_890	chrUn_KI270752v1	21461	21533	+	198	NA	intron (LOC102723822, intron 9 of 14)	NA	10117	LOC102723822								
DFAM71927V3_1_745_R1_peak_231	chr14_GL000225v1_random	67510	67562	+	198	NA	Intergenic	NA	31247	LOC100287823								
DFAM71927V3_1_745_R1_peak_181	chr12	115920975	115921032	+	198	NA	Intergenic	NA	227591	MIR620								
DFAM71927V3_1_745_R1_peak_350	chr18	11981069	11981226	+	197	NA	promoter-TSS (IMPA2)	NA	-281	IMPA2								
DFAM71927V3_1_745_R1_peak_438	chr2	152831858	152831910	+	195	NA	Intergenic	NA	112955	ARL6IP6								
DFAM71927V3_1_745_R1_peak_262	chr16	11419591	11419640	+	195	NA	Intergenic	NA	16073	LOC102723455								
DFAM71927V3_1_745_R1_peak_359	chr18	54728876	54728930	+	194	NA	intron (RAB27B, intron 2 of 6)	NA	-99574	RAB27B								
DFAM71927V3_1_745_R1_peak_924	chrX	134094862	134094909	+	194	NA	Intergenic	NA	74567	MIR363								
DFAM71927V3_1_745_R1_peak_347	chr18	63689	63779	+	193	NA	Intergenic	NA	-42565	LOC102724119								
DFAM71927V3_1_745_R1_peak_561	chr3	120872617	120872736	+	193	NA	Intergenic	NA	-35527	STXBP5L								
DFAM71927V3_1_745_R1_peak_310	chr17	26603884	26603940	+	190	NA	Intergenic	NA	690030	MIR4522								
DFAM71927V3_1_745_R1_peak_652	chr5	49659084	49659137	+	186	NA	Intergenic	NA	782290	EMB								
DFAM71927V3_1_745_R1_peak_173	chr12	95431927	95431984	+	186	NA	intron (LOC101928779, intron 3 of 3)	NA	10511	LOC101928779								
DFAM71927V3_1_745_R1_peak_212	chr14	47771528	47771596	+	185	NA	intron (LINC00648, intron 2 of 2)	NA	-10458	MIR548Y								
DFAM71927V3_1_745_R1_peak_285	chr16	46399494	46399556	+	184	NA	Intergenic	NA	169572	ANKRD26P1								
DFAM71927V3_1_745_R1_peak_394	chr2	9561872	9561932	+	183	NA	Intergenic	NA	-3739	LOC101929643								
DFAM71927V3_1_745_R1_peak_725	chr6	102873111	102873158	+	183	NA	Intergenic	NA	-1418839	LOC101927388								
DFAM71927V3_1_745_R1_peak_52	chr1	161436520	161436568	+	183	NA	Intergenic	NA	3698	TRNAG7								
DFAM71927V3_1_745_R1_peak_629	chr4	127849990	127850044	+	181	NA	Intergenic	NA	-31227	PLK4								
DFAM71927V3_1_745_R1_peak_861	chrUn_KI270438v1	104827	104945	+	181	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_364	chr18	72438786	72438844	+	181	NA	Intergenic	NA	105673	CBLN2								
DFAM71927V3_1_745_R1_peak_472	chr20	1375491	1375552	+	181	NA	exon (FKBP1A, exon 3 of 4)	NA	17403	MIR6869								
DFAM71927V3_1_745_R1_peak_39	chr1	143246955	143247104	+	181	NA	Intergenic	NA	57307	LOC101929814								
DFAM71927V3_1_745_R1_peak_412	chr2	60460968	60461269	+	180	NA	exon (BCL11A, exon 4 of 5)	NA	-59001	LOC102724142								
DFAM71927V3_1_745_R1_peak_465	chr2	218375280	218375338	+	179	NA	Intergenic	NA	-6964	SLC11A1								
DFAM71927V3_1_745_R1_peak_215	chr14	50324893	50324953	+	178	NA	intron (ATP5S, intron 4 of 4)	NA	12594	ATP5S								
DFAM71927V3_1_745_R1_peak_272	chr16	34582788	34582842	+	177	NA	Intergenic	NA	150823	LOC102724523								
DFAM71927V3_1_745_R1_peak_433	chr2	133038226	133038274	+	175	NA	intron (NCKAP5, intron 5 of 17)	NA	122693	LOC101928185								
DFAM71927V3_1_745_R1_peak_51	chr1	158879830	158879894	+	175	NA	Intergenic	NA	48484	MNDA								
DFAM71927V3_1_745_R1_peak_387	chr19	49298977	49299036	+	175	NA	intron (SLC6A16, intron 8 of 12)	NA	9862	MIR4324								
DFAM71927V3_1_745_R1_peak_906	chrX	51345412	51345469	+	174	NA	Intergenic	NA	13209	NUDT10								
DFAM71927V3_1_745_R1_peak_741	chr6	156778889	156778942	+	174	NA	TTS (MIR4466)	NA	812	MIR4466								
DFAM71927V3_1_745_R1_peak_875	chrUn_KI270467v1	1226	1285	+	174	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_131	chr11	54674404	54674466	+	174	NA	Intergenic	NA	-32397	OR4A5								
DFAM71927V3_1_745_R1_peak_245	chr15	54926034	54926081	+	174	NA	Intergenic	NA	270976	RSL24D1								
DFAM71927V3_1_745_R1_peak_159	chr12	8154604	8154866	+	171	NA	Intergenic	NA	-17819	ZNF705A								
DFAM71927V3_1_745_R1_peak_4	chr1	9227494	9227553	+	169	NA	Intergenic	NA	-12321	H6PD								
DFAM71927V3_1_745_R1_peak_607	chr4	49657575	49657639	+	166	NA	Intergenic	NA	-168283	LOC101060532								
DFAM71927V3_1_745_R1_peak_923	chrX	125667748	125667804	+	166	NA	Intergenic	NA	347927	LOC100129520								
DFAM71927V3_1_745_R1_peak_188	chr13	18213585	18213640	+	166	NA	intron (FAM230C, intron 1 of 7)	NA	18315	FAM230C								
DFAM71927V3_1_745_R1_peak_422	chr2	89828629	89828677	+	165	NA	Intergenic	NA	-191000	LOC101927050								
DFAM71927V3_1_745_R1_peak_286	chr16	46400101	46400167	+	165	NA	Intergenic	NA	168963	ANKRD26P1								
DFAM71927V3_1_745_R1_peak_280	chr16	46387806	46387969	+	165	NA	Intergenic	NA	181210	ANKRD26P1								
DFAM71927V3_1_745_R1_peak_623	chr4	88511191	88511251	+	165	NA	Intergenic	NA	12580	PYURF								
DFAM71927V3_1_745_R1_peak_361	chr18	63331279	63331337	+	163	NA	exon (KDSR, exon 9 of 9)	NA	-11928	BCL2								
