PeakID (cmd=annotatePeaks.pl SP1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_20944	chr21	46323502	46325128	+	0	NA	promoter-TSS (C21orf58)	NA	245	PCNT								
Interval_9775	chr15	64096490	64096742	+	0	NA	intron (SNX1, intron 1 of 14)	NA	732	SNX1								
Interval_26753	chr6	33744511	33744692	+	0	NA	intron (IP6K3, intron 1 of 6)	NA	2384	IP6K3								
Interval_1703	chr1	110421222	110421508	+	0	NA	Intergenic	NA	-13441	LAMTOR5								
Interval_23565	chr4	384625	384820	+	0	NA	Intergenic	NA	34505	MIR571								
Interval_15898	chr19	18401657	18402122	+	0	NA	Intergenic	NA	-4271	LRRC25								
Interval_25869	chr5	173283802	173283993	+	0	NA	Intergenic	NA	10832	LOC101928115								
Interval_12164	chr17	7627652	7628135	+	0	NA	promoter-TSS (SAT2)	NA	-19	SAT2								
Interval_28032	chr7	5558853	5559285	+	0	NA	Intergenic	NA	-29798	ACTB								
Interval_15067	chr19	5827515	5828652	+	0	NA	exon (NRTN, exon 2 of 2)	NA	4276	NRTN								
Interval_2273	chr1	161038689	161039203	+	0	NA	promoter-TSS (TSTD1)	NA	38	TSTD1								
Interval_11451	chr16	68538880	68539945	+	0	NA	promoter-TSS (ZFP90)	NA	121	ZFP90								
Interval_27016	chr6	43687642	43687918	+	0	NA	promoter-TSS (MRPS18A)	NA	32	MRPS18A								
Interval_4806	chr11	9265226	9265704	+	0	NA	promoter-TSS (DENND5A)	NA	-139	DENND5A								
Interval_11143	chr16	46690043	46690354	+	0	NA	promoter-TSS (VPS35)	NA	552	ORC6								
Interval_2963	chr1	226109641	226110458	+	0	NA	Intergenic	NA	47342	H3F3A								
Interval_6621	chr12	14845445	14845607	+	0	NA	Intergenic	NA	-2047	ART4								
Interval_12730	chr17	38871605	38871773	+	0	NA	intron (LASP1, intron 1 of 6)	NA	1830	LASP1								
Interval_27474	chr6	128519084	128519275	+	0	NA	intron (PTPRK, intron 1 of 30)	NA	1546	PTPRK								
Interval_687	chr1	26360176	26360515	+	0	NA	Intergenic	NA	-6219	AIM1L								
Interval_5238	chr11	61294754	61295596	+	0	NA	promoter-TSS (VWCE)	NA	141	VWCE								
Interval_26186	chr6	7725789	7726422	+	0	NA	promoter-TSS (BMP6)	NA	-673	BMP6								
Interval_10977	chr16	29662585	29663458	+	0	NA	promoter-TSS (SPN)	NA	-198	SPN								
Interval_322	chr1	11045722	11045902	+	0	NA	intron (MASP2, intron 3 of 4)	NA	1427	MASP2								
Interval_6169	chr11	119134583	119134745	+	0	NA	exon (HINFP, exon 11 of 11)	NA	2394	HINFP								
Interval_2912	chr1	223364144	223364626	+	0	NA	promoter-TSS (SUSD4)	NA	-183	SUSD4								
Interval_6536	chr12	8180242	8180548	+	0	NA	TTS (ZNF705A)	NA	186	FAM66C								
Interval_26168	chr6	7150828	7150990	+	0	NA	intron (RREB1, intron 2 of 13)	NA	43056	RREB1								
Interval_11620	chr16	84569686	84569881	+	0	NA	intron (COTL1, intron 3 of 3)	NA	48313	COTL1								
Interval_18419	chr2	101001919	101002553	+	0	NA	promoter-TSS (RPL31)	NA	7	RPL31								
Interval_29804	chr8	38105104	38106226	+	0	NA	promoter-TSS (ASH2L)	NA	-128	ASH2L								
Interval_31470	chr9	112903175	112903378	+	0	NA	Intergenic	NA	-12363	SLC46A2								
Interval_29282	chr7	151926129	151926388	+	0	NA	Intergenic	NA	-30148	GALNTL5								
Interval_31516	chr9	116549452	116549688	+	0	NA	intron (RP11-264C15.2, intron 8 of 11)	NA	45287	RP11-264C15.2								
Interval_22920	chr3	128243219	128243507	+	0	NA	intron (EEFSEC, intron 2 of 7)	NA	48804	EEFSEC								
Interval_3716	chr10	68331308	68332389	+	0	NA	promoter-TSS (HNRNPH3)	NA	-163	HNRNPH3								
Interval_20761	chr21	37435142	37435435	+	0	NA	intron (DYRK1A, intron 2 of 11)	NA	14988	DYRK1A								
Interval_32152	chrUn_KI270438v1	111937	112505	+	0	NA	NA	NA	NA	NA								
Interval_18484	chr2	110204824	110205303	+	0	NA	promoter-TSS (NPHP1)	NA	-52	NPHP1								
Interval_14305	chr18	48008116	48008589	+	0	NA	Intergenic	NA	-77206	SMAD2								
Interval_27695	chr6	154510283	154510991	+	0	NA	promoter-TSS (LOC101928868)	NA	-18	CNKSR3								
Interval_20137	chr20	44310973	44311489	+	0	NA	promoter-TSS (FITM2)	NA	18	FITM2								
Interval_929	chr1	33255468	33256162	+	0	NA	promoter-TSS (ZNF362)	NA	-492	ZNF362								
Interval_29915	chr8	53858824	53859028	+	0	NA	intron (RGS20, intron 1 of 2)	NA	-15615	ATP6V1H								
Interval_1295	chr1	53328015	53328345	+	0	NA	promoter-TSS (LRP8)	NA	-31	LRP8								
Interval_16230	chr19	36838034	36838600	+	0	NA	promoter-TSS (ZNF790)	NA	11950	ZNF790								
Interval_1896	chr1	147225333	147225682	+	0	NA	exon (FMO5, exon 1 of 7)	NA	110	FMO5								
Interval_3864	chr10	73910914	73911253	+	0	NA	promoter-TSS (PLAU)	NA	-21	PLAU								
Interval_13204	chr17	50883990	50884223	+	0	NA	Intergenic	NA	17427	TOB1-AS1								
Interval_4895	chr11	15638399	15638738	+	0	NA	intron (LOC102724957, intron 1 of 2)	NA	14411	LOC102724957								
Interval_2479	chr1	182020938	182021466	+	0	NA	Intergenic	NA	40510	ZNF648								
Interval_11251	chr16	56610335	56610552	+	0	NA	TTS (MT2A)	NA	1877	MT2A								
Interval_6049	chr11	112226076	112226785	+	0	NA	promoter-TSS (PTS)	NA	65	PTS								
Interval_24689	chr5	1007431	1007622	+	0	NA	Intergenic	NA	-1436	NKD2								
Interval_2051	chr1	153986863	153987035	+	0	NA	promoter-TSS (RAB13)	NA	-572	RAB13								
Interval_5188	chr11	58577658	58579343	+	0	NA	promoter-TSS (ZFP91)	NA	-334	LPXN								
Interval_22711	chr3	101675968	101677455	+	0	NA	exon (ZBTB11, exon 1 of 11)	NA	281	ZBTB11-AS1								
Interval_9028	chr14	90827822	90828710	+	0	NA	Intergenic	NA	-11885	TTC7B								
Interval_9630	chr15	50109513	50109675	+	0	NA	intron (ATP8B4, intron 1 of 27)	NA	9628	ATP8B4								
Interval_31425	chr9	110282571	110282746	+	0	NA	Intergenic	NA	-26053	TXN								
Interval_15563	chr19	13795899	13796151	+	0	NA	intron (ZSWIM4, intron 1 of 13)	NA	581	ZSWIM4								
Interval_19842	chr20	23147967	23148136	+	0	NA	Intergenic	NA	-15415	LINC00656								
Interval_21709	chr22	46674431	46674724	+	0	NA	intron (GRAMD4, intron 15 of 17)	NA	60643	GRAMD4								
Interval_19874	chr20	25584920	25585818	+	0	NA	promoter-TSS (NINL)	NA	38643	NANP								
Interval_21055	chr22	20564361	20564612	+	0	NA	exon (MED15, exon 6 of 17)	NA	45680	MED15								
Interval_16806	chr19	47752825	47753118	+	0	NA	intron (GLTSCR2, intron 6 of 12)	NA	-2882	SNORD23								
Interval_1449	chr1	81801216	81801462	+	0	NA	promoter-TSS (LPHN2)	NA	-72	LPHN2								
Interval_24092	chr4	77193453	77193932	+	0	NA	Intergenic	NA	36488	CCNG2								
Interval_3298	chr10	6163349	6164157	+	0	NA	intron (PFKFB3, intron 1 of 14)	NA	-11491	MIR3155B								
Interval_27536	chr6	137155933	137156270	+	0	NA	intron (IL22RA2, intron 3 of 4)	NA	17547	IL22RA2								
Interval_11343	chr16	65739651	65739897	+	0	NA	Intergenic	NA	-163474	LINC00922								
Interval_30761	chr8	143976324	143977558	+	0	NA	promoter-TSS (PLEC)	NA	9526	PARP10								
Interval_28623	chr7	77798150	77799072	+	0	NA	promoter-TSS (PHTF2)	NA	-181	TMEM60								
Interval_31202	chr9	89282365	89282691	+	0	NA	Intergenic	NA	-28670	CKS2								
Interval_5128	chr11	47270534	47270706	+	0	NA	intron (MADD, intron 1 of 35)	NA	500	MADD								
Interval_24845	chr5	36690309	36690574	+	0	NA	Intergenic	NA	82112	SLC1A3								
Interval_2812	chr1	211815601	211815776	+	0	NA	intron (LPGAT1, intron 2 of 7)	NA	-14084	LOC102723727								
Interval_3010	chr1	228457432	228458210	+	0	NA	promoter-TSS (HIST3H2BB)	NA	38	HIST3H2A								
Interval_10352	chr15	100111186	100111399	+	0	NA	intron (ADAMTS17, intron 13 of 22)	NA	149973	LOC102724973								
Interval_14172	chr18	14132255	14132685	+	0	NA	promoter-TSS (ZNF519)	NA	-7982	ZNF519								
Interval_23701	chr4	4673165	4673369	+	0	NA	intron (STX18-AS1, intron 4 of 5)	NA	-88239	LOC101928279								
Interval_32164	chrUn_KI270752v1	5060	5251	+	0	NA	Intergenic	NA	-6225	LOC102723822								
Interval_3247	chr10	930737	930962	+	0	NA	intron (LARP4B, intron 1 of 17)	NA	-1976	LOC101927762								
Interval_13595	chr17	75289006	75290122	+	0	NA	promoter-TSS (SLC25A19)	NA	-204	SLC25A19								
Interval_13406	chr17	64406881	64407091	+	0	NA	intron (PECAM1, intron 1 of 14)	NA	-15822	PECAM1								
Interval_4449	chr10	124354762	124355350	+	0	NA	Intergenic	NA	59376	OAT								
Interval_27594	chr6	143060131	143061102	+	0	NA	promoter-TSS (AIG1)	NA	-226	AIG1								
Interval_10833	chr16	21278224	21278575	+	0	NA	intron (CRYM, intron 2 of 9)	NA	-22450	CRYM-AS1								
Interval_26516	chr6	28335427	28336240	+	0	NA	exon (ZSCAN31, exon 1 of 4)	NA	542	ZSCAN31								
Interval_32844	chrX	154719445	154719607	+	0	NA	intron (GAB3, intron 1 of 8)	NA	32054	GAB3								
Interval_13371	chr17	63522887	63523326	+	0	NA	promoter-TSS (KCNH6)	NA	-228	KCNH6								
Interval_16698	chr19	46000807	46001307	+	0	NA	intron (CCDC61, intron 1 of 13)	NA	1931	CCDC61								
Interval_32534	chrX	71103678	71103869	+	0	NA	TTS (CXorf65)	NA	3015	CXorf65								
Interval_6890	chr12	50190807	50190999	+	0	NA	intron (LIMA1, intron 9 of 10)	NA	-23532	CERS5								
Interval_22018	chr3	16801324	16801526	+	0	NA	Intergenic	NA	-131665	PLCL2								
Interval_29748	chr8	30912049	30912675	+	0	NA	intron (TEX15, intron 1 of 10)	NA	-25149	TEX15								
Interval_3462	chr10	28533660	28533849	+	0	NA	intron (WAC, intron 1 of 13)	NA	579	WAC								
Interval_18358	chr2	96888241	96888414	+	0	NA	intron (FAM178B, intron 13 of 15)	NA	-19924	SEMA4C								
Interval_23594	chr4	1167222	1167519	+	0	NA	exon (SPON2, exon 6 of 6)	NA	5499	SPON2								
Interval_26508	chr6	28141702	28142005	+	0	NA	promoter-TSS (ZKSCAN8)	NA	-57	ZKSCAN8								
Interval_29782	chr8	37308159	37308542	+	0	NA	Intergenic	NA	23453	LOC100507403								
Interval_1107	chr1	41673821	41674152	+	0	NA	intron (HIVEP3, intron 1 of 7)	NA	-189358	EDN2								
Interval_12498	chr17	28894045	28894246	+	0	NA	intron (FLOT2, intron 1 of 9)	NA	3552	FLOT2								
Interval_32871	chrY	13363748	13363957	+	0	NA	intron (UTY, intron 9 of 25)	NA	116818	UTY								
Interval_9254	chr14	104085122	104085849	+	0	NA	promoter-TSS (ASPG)	NA	-197	ASPG								
Interval_14589	chr18	79645626	79646058	+	0	NA	intron (FLJ25715, intron 2 of 4)	NA	33897	FLJ25715								
Interval_14246	chr18	34661576	34661755	+	0	NA	intron (DTNA, intron 1 of 23)	NA	68346	DTNA								
Interval_15188	chr19	7734322	7734549	+	0	NA	Intergenic	NA	-2264	CLEC4G								
Interval_25439	chr5	134632105	134632296	+	0	NA	promoter-TSS (SAR1B)	NA	643	SAR1B								
Interval_14631	chr19	572147	572811	+	0	NA	promoter-TSS (BSG)	NA	25	BSG								
Interval_25336	chr5	126624694	126624865	+	0	NA	exon (PHAX, exon 5 of 5)	NA	-6943	C5orf48								
Interval_13537	chr17	74383395	74383565	+	0	NA	Intergenic	NA	15974	GPR142								
Interval_32855	chrX	155767370	155767814	+	0	NA	promoter-TSS (SPRY3)	NA	-113688	VAMP7								
Interval_17763	chr2	37925018	37925645	+	0	NA	promoter-TSS (RMDN2)	NA	-25122	RMDN2								
Interval_9749	chr15	63105357	63105683	+	0	NA	Intergenic	NA	-16280	LACTB								
Interval_32260	chrX	16785913	16786676	+	0	NA	promoter-TSS (TXLNG)	NA	-138	TXLNG								
Interval_13480	chr17	68455929	68456132	+	0	NA	intron (WIPI1, intron 1 of 12)	NA	1482	WIPI1								
Interval_20563	chr20	64233032	64233340	+	0	NA	intron (MYT1, intron 19 of 22)	NA	-22509	PCMTD2								
Interval_15610	chr19	14337530	14337733	+	0	NA	intron (LOC101928845, intron 1 of 1)	NA	3888	LOC101928845								
Interval_13872	chr17	81295197	81295712	+	0	NA	promoter-TSS (SLC38A10)	NA	-21	SLC38A10								
Interval_20070	chr20	38165148	38165538	+	0	NA	promoter-TSS (TGM2)	NA	-45	TGM2								
Interval_11030	chr16	30400167	30400929	+	0	NA	TTS (ZNF48)	NA	-6866	ZNF771								
Interval_23702	chr4	4857049	4857243	+	0	NA	Intergenic	NA	-2519	MSX1								
Interval_20646	chr21	31702236	31702417	+	0	NA	exon (SCAF4, exon 4 of 19)	NA	29773	SCAF4								
Interval_31072	chr9	36257783	36258836	+	0	NA	intron (LOC102724322, intron 1 of 2)	NA	464	LOC102724322								
Interval_9325	chr14	106309066	106309257	+	0	NA	Intergenic	NA	21487	LINC00226								
Interval_12422	chr17	20073152	20073732	+	0	NA	promoter-TSS (SPECC1)	NA	-82557	SPECC1								
Interval_9865	chr15	68053780	68054895	+	0	NA	promoter-TSS (PIAS1)	NA	-25410	PIAS1								
Interval_22150	chr3	38268589	38268800	+	0	NA	intron (SLC22A13, intron 1 of 9)	NA	2882	SLC22A13								
Interval_7363	chr12	96035418	96036204	+	0	NA	promoter-TSS (TRNAD12)	NA	-210	TRNAD12								
Interval_4848	chr11	10857502	10858493	+	0	NA	promoter-TSS (ZBED5)	NA	76	ZBED5								
Interval_31338	chr9	98993768	98993939	+	0	NA	intron (COL15A1, intron 5 of 41)	NA	50140	COL15A1								
Interval_7922	chr12	132506888	132507212	+	0	NA	promoter-TSS (FBRSL1)	NA	16595	FBRSL1								
Interval_7032	chr12	54497400	54497861	+	0	NA	promoter-TSS (NCKAP1L)	NA	-81	NCKAP1L								
Interval_147	chr1	3666030	3666319	+	0	NA	intron (TP73, intron 1 of 11)	NA	-16072	WRAP73								
Interval_21785	chr22	50539627	50540042	+	0	NA	Intergenic	NA	-1593	LOC102724608								
Interval_98	chr1	2199212	2199682	+	0	NA	promoter-TSS (C1orf86)	NA	4688	C1orf86								
Interval_5546	chr11	66069887	66070539	+	0	NA	promoter-TSS (PACS1)	NA	-63	PACS1								
Interval_830	chr1	30743599	30743999	+	0	NA	intron (LAPTM5, intron 1 of 7)	NA	-4567	MIR4420								
Interval_13959	chr17	82228177	82229450	+	0	NA	promoter-TSS (SLC16A3)	NA	-6086	SLC16A3								
Interval_5409	chr11	64704516	64704713	+	0	NA	intron (NRXN2, intron 1 of 20)	NA	8390	NRXN2								
Interval_29587	chr8	22244586	22245602	+	0	NA	promoter-TSS (POLR3D)	NA	-12	POLR3D								
Interval_23956	chr4	48268925	48269233	+	0	NA	intron (TEC, intron 1 of 17)	NA	-70938	TEC								
Interval_20770	chr21	38831422	38832002	+	0	NA	Intergenic	NA	-25827	LOC101928398								
Interval_67	chr1	1587166	1587451	+	0	NA	Intergenic	NA	-12439	SSU72								
Interval_25340	chr5	126777849	126778087	+	0	NA	intron (LMNB1, intron 1 of 10)	NA	1345	LMNB1								
Interval_16695	chr19	45973962	45974207	+	0	NA	promoter-TSS (NOVA2)	NA	-25042	CCDC61								
Interval_21233	chr22	30266661	30267187	+	0	NA	promoter-TSS (OSM)	NA	-1559	OSM								
Interval_6546	chr12	9064182	9064456	+	0	NA	promoter-TSS (A2M-AS1)	NA	751	LINC00612								
Interval_24677	chr5	693202	693688	+	0	NA	promoter-TSS (TPPP)	NA	-579	TPPP								
Interval_21206	chr22	29117952	29118526	+	0	NA	intron (KREMEN1, intron 3 of 9)	NA	45161	KREMEN1								
Interval_18139	chr2	71068057	71069203	+	0	NA	promoter-TSS (NAGK)	NA	352	NAGK								
Interval_5494	chr11	65574099	65574966	+	0	NA	TTS (FAM89B)	NA	-1512	EHBP1L1								
Interval_13165	chr17	50027642	50027850	+	0	NA	Intergenic	NA	27993	RP11-1094H24.4								
Interval_7818	chr12	124389254	124389540	+	0	NA	intron (NCOR2, intron 18 of 47)	NA	-52196	MIR6880								
Interval_7753	chr12	121888405	121889154	+	0	NA	promoter-TSS (HPD)	NA	48	PSMD9								
Interval_30576	chr8	134976884	134977107	+	0	NA	Intergenic	NA	127060	RP11-1057B8.2								
Interval_2093	chr1	155012109	155012373	+	0	NA	intron (ZBTB7B, intron 1 of 2)	NA	-1605	ZBTB7B								
Interval_22738	chr3	107927501	107927795	+	0	NA	intron (LINC00636, intron 2 of 2)	NA	44443	LINC00636								
Interval_12601	chr17	31901572	31902092	+	0	NA	promoter-TSS (UTP6)	NA	-151	UTP6								
Interval_20699	chr21	34512197	34512408	+	0	NA	promoter-TSS (KCNE1)	NA	14652	RCAN1								
Interval_14886	chr19	2944627	2945679	+	0	NA	promoter-TSS (ZNF77)	NA	-182	ZNF77								
Interval_706	chr1	26697063	26697324	+	0	NA	promoter-TSS (LOC101928728)	NA	-788	LOC101928728								
Interval_13897	chr17	81471782	81471992	+	0	NA	Intergenic	NA	-20699	MIR3186								
Interval_28709	chr7	97305744	97305961	+	0	NA	Intergenic	NA	189259	ACN9								
Interval_5660	chr11	68040353	68040816	+	0	NA	intron (TCIRG1, intron 2 of 20)	NA	1576	TCIRG1								
Interval_5410	chr11	64712151	64712934	+	0	NA	intron (NRXN2, intron 1 of 20)	NA	462	NRXN2								
Interval_26084	chr6	2989569	2990058	+	0	NA	exon (LINC01011, exon 2 of 2)	NA	1846	LINC01011								
Interval_26782	chr6	34671934	34672204	+	0	NA	intron (C6orf106, intron 1 of 4)	NA	24781	C6orf106								
Interval_18411	chr2	100417322	100417572	+	0	NA	exon (CHST10, exon 1 of 7)	NA	221	CHST10								
Interval_12369	chr17	17837507	17837736	+	0	NA	promoter-TSS (SREBF1)	NA	-604	SREBF1								
Interval_32063	chr9	137156685	137157470	+	0	NA	intron (GRIN1, intron 7 of 20)	NA	12178	MIR3621								
Interval_26793	chr6	35302631	35303242	+	0	NA	intron (DEF6, intron 1 of 10)	NA	5118	DEF6								
Interval_31836	chr9	131059547	131059818	+	0	NA	intron (LAMC3, intron 12 of 27)	NA	-36794	AIF1L								
Interval_11137	chr16	46393000	46393187	+	0	NA	Intergenic	NA	176004	ANKRD26P1								
Interval_1769	chr1	115107957	115108192	+	0	NA	Intergenic	NA	-18574	TSPAN2								
Interval_19972	chr20	33731811	33732508	+	0	NA	intron (ZNF341, intron 1 of 14)	NA	399	ZNF341								
Interval_19072	chr2	200888568	200890000	+	0	NA	promoter-TSS (NIF3L1)	NA	42	PPIL3								
