PeakID (cmd=annotatePeaks.pl ZMYND8.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1190	chr1	113871520	113871867	+	0	NA	promoter-TSS (PTPN22)	NA	60	PTPN22								
Interval_15502	chr22	29084106	29084301	+	0	NA	intron (KREMEN1, intron 1 of 9)	NA	11125	KREMEN1								
Interval_606	chr1	36773801	36774095	+	0	NA	Intergenic	NA	260295	GRIK3								
Interval_755	chr1	45339736	45340474	+	0	NA	promoter-TSS (MUTYH)	NA	39	TOE1								
Interval_16276	chr3	45064874	45065447	+	0	NA	Intergenic	NA	35025	CLEC3B								
Interval_677	chr1	41053492	41053666	+	0	NA	intron (SCMH1, intron 9 of 14)	NA	-30135	SLFNL1								
Interval_20486	chr6	107459382	107460132	+	0	NA	promoter-TSS (PDSS2)	NA	-182	PDSS2								
Interval_22347	chr8	22999375	22999836	+	0	NA	promoter-TSS (RHOBTB2)	NA	12194	RHOBTB2								
Interval_14543	chr20	23155361	23155567	+	0	NA	Intergenic	NA	-22828	LINC00656								
Interval_8039	chr16	8868535	8869401	+	0	NA	promoter-TSS (CARHSP1)	NA	-7158	CARHSP1								
Interval_15748	chr22	41413438	41414257	+	0	NA	Intergenic	NA	31439	TOB2								
Interval_5642	chr12	111994762	111994994	+	0	NA	intron (TMEM116, intron 3 of 10)	NA	11362	TMEM116								
Interval_9148	chr17	8922487	8922764	+	0	NA	intron (PIK3R5, intron 1 of 17)	NA	43087	PIK3R5								
Interval_17170	chr3	178552082	178552321	+	0	NA	intron (KCNMB2, intron 1 of 4)	NA	-6499	KCNMB2								
Interval_12269	chr19	51139373	51139733	+	0	NA	TTS (SIGLEC9)	NA	-2748	SIGLEC7								
Interval_21096	chr7	6928448	6928618	+	0	NA	Intergenic	NA	-102238	CCZ1B								
Interval_21295	chr7	38272571	38272791	+	0	NA	intron (TARP, intron 1 of 3)	NA	3848	TARP								
Interval_24065	chr9	122931504	122931932	+	0	NA	promoter-TSS (ZBTB26)	NA	-218	ZBTB26								
Interval_23458	chr9	2621249	2621522	+	0	NA	promoter-TSS (VLDLR)	NA	-389	VLDLR								
Interval_17769	chr4	74632729	74632910	+	0	NA	Intergenic	NA	161853	BTC								
Interval_14763	chr20	44979320	44979742	+	0	NA	intron (STK4, intron 3 of 10)	NA	13052	STK4								
Interval_12009	chr19	45075153	45075870	+	0	NA	promoter-TSS (GEMIN7)	NA	919	ZNF296								
Interval_13921	chr2	202265447	202266337	+	0	NA	promoter-TSS (NOP58)	NA	100	NOP58								
Interval_18697	chr5	83312738	83313002	+	0	NA	intron (XRCC4, intron 7 of 7)	NA	-158804	VCAN								
Interval_13677	chr2	159124502	159125032	+	0	NA	intron (TANC1, intron 4 of 25)	NA	-62068	MIR6888								
Interval_24682	chrX	53263058	53263362	+	0	NA	intron (IQSEC2, intron 2 of 14)	NA	18404	IQSEC2								
Interval_4786	chr12	6766952	6767298	+	0	NA	intron (PTMS, intron 1 of 4)	NA	750	PTMS								
Interval_23353	chr8	143136284	143136475	+	0	NA	Intergenic	NA	23661	LY6H								
Interval_9071	chr17	7281362	7281642	+	0	NA	promoter-TSS (SLC2A4)	NA	-233	SLC2A4								
Interval_315	chr1	21792067	21792290	+	0	NA	Intergenic	NA	-9003	USP48								
Interval_5825	chr12	124684596	124684766	+	0	NA	Intergenic	NA	-77120	LOC101927436								
Interval_11787	chr19	38683749	38683984	+	0	NA	intron (ACTN4, intron 1 of 20)	NA	36239	ACTN4								
Interval_3337	chr10	124700697	124700929	+	0	NA	intron (FAM53B, intron 2 of 4)	NA	-3108	FAM53B-AS1								
Interval_24176	chr9	128772219	128772415	+	0	NA	promoter-TSS (ZER1)	NA	-383	ZER1								
Interval_9819	chr17	58219200	58219538	+	0	NA	promoter-TSS (MKS1)	NA	236	MKS1								
Interval_2336	chr1	246101254	246101549	+	0	NA	intron (SMYD3, intron 5 of 11)	NA	-9592	LOC101928089								
Interval_10640	chr18	61554453	61554764	+	0	NA	exon (CDH20, exon 11 of 11)	NA	52394	LOC100130938								
Interval_19961	chr6	31660674	31660845	+	0	NA	promoter-TSS (C6orf47)	NA	13	C6orf47								
Interval_23579	chr9	32526153	32526344	+	0	NA	promoter-TSS (DDX58)	NA	76	DDX58								
Interval_4553	chr11	119067571	119067899	+	0	NA	promoter-TSS (VPS11)	NA	-47	VPS11								
Interval_3729	chr11	35662510	35663382	+	0	NA	exon (TRIM44, exon 1 of 5)	NA	254	TRIM44								
Interval_8796	chr16	87317229	87317553	+	0	NA	promoter-TSS (C16orf95)	NA	29	C16orf95								
Interval_11238	chr19	10731672	10731928	+	0	NA	intron (DNM2, intron 1 of 20)	NA	13396	MIR638								
Interval_13355	chr2	102082867	102083073	+	0	NA	intron (IL1R1, intron 1 of 11)	NA	-58821	IL1R1								
Interval_20503	chr6	108848279	108848819	+	0	NA	exon (ARMC2, exon 1 of 18)	NA	133	ARMC2								
Interval_9055	chr17	7014416	7015208	+	0	NA	promoter-TSS (C17orf49)	NA	75	C17orf49								
Interval_6043	chr13	37000327	37001186	+	0	NA	exon (EXOSC8, exon 1 of 10)	NA	383	EXOSC8								
Interval_10308	chr18	712352	713003	+	0	NA	promoter-TSS (ENOSF1)	NA	-43	ENOSF1								
Interval_21672	chr7	99325484	99326218	+	0	NA	promoter-TSS (ARPC1A)	NA	-22	ARPC1A								
Interval_15795	chr22	43186720	43186922	+	0	NA	intron (TTLL12, intron 1 of 13)	NA	310	TTLL12								
Interval_22388	chr8	26589532	26589980	+	0	NA	intron (DPYSL2, intron 3 of 13)	NA	11351	DPYSL2								
Interval_21178	chr7	24787016	24787237	+	0	NA	Intergenic	NA	-29106	DFNA5								
Interval_9056	chr17	7023642	7024005	+	0	NA	exon (BCL6B, exon 2 of 9)	NA	773	BCL6B								
Interval_15801	chr22	43474592	43474805	+	0	NA	intron (MPPED1, intron 3 of 6)	NA	-41556	EFCAB6-AS1								
Interval_2893	chr10	77350748	77350986	+	0	NA	intron (KCNMA1, intron 1 of 27)	NA	-4345	LOC101929286								
Interval_1	chr1	778527	778980	+	0	NA	promoter-TSS (LOC100288069)	NA	-65	LOC100288069								
Interval_1502	chr1	158285666	158286383	+	0	NA	Intergenic	NA	-3749	CD1C								
Interval_5534	chr12	104974606	104974944	+	0	NA	Intergenic	NA	-11545	C12orf45								
Interval_18228	chr4	184347363	184347583	+	0	NA	intron (RP11-290F5.2, intron 2 of 2)	NA	6504	RP11-290F5.2								
Interval_1795	chr1	198556975	198557158	+	0	NA	Intergenic	NA	-16121	ATP6V1G3								
Interval_16717	chr3	105959730	105960008	+	0	NA	Intergenic	NA	-90857	CBLB								
Interval_23479	chr9	5558274	5558546	+	0	NA	intron (PDCD1LG2, intron 5 of 6)	NA	47898	PDCD1LG2								
Interval_12986	chr2	60545856	60546208	+	0	NA	exon (BCL11A, exon 2 of 5)	NA	7466	BCL11A								
Interval_18307	chr5	2013432	2013908	+	0	NA	Intergenic	NA	94415	LOC101929108								
Interval_2088	chr1	225777566	225777881	+	0	NA	promoter-TSS (SRP9)	NA	-90	SRP9								
Interval_23891	chr9	105191308	105191478	+	0	NA	Intergenic	NA	-53220	SLC44A1								
Interval_8892	chr17	366906	367214	+	0	NA	intron (RPH3AL, intron 1 of 8)	NA	-14218	RPH3AL								
Interval_13684	chr2	159615160	159616615	+	0	NA	promoter-TSS (BAZ2B)	NA	-291	BAZ2B								
Interval_12189	chr19	49452940	49454118	+	0	NA	intron (ALDH16A1, intron 1 of 16)	NA	313	ALDH16A1								
Interval_1187	chr1	113759562	113759790	+	0	NA	promoter-TSS (PHTF1)	NA	-749	PHTF1								
Interval_4421	chr11	99633024	99633482	+	0	NA	intron (CNTN5, intron 1 of 21)	NA	612277	CNTN5								
Interval_13103	chr2	69945513	69945729	+	0	NA	Intergenic	NA	16644	ASPRV1								
Interval_3761	chr11	45608172	45608458	+	0	NA	Intergenic	NA	57304	CHST1								
Interval_5436	chr12	93364008	93364299	+	0	NA	intron (RP11-486A14.2, intron 1 of 4)	NA	13583	RP11-486A14.2								
Interval_21476	chr7	70923343	70923544	+	0	NA	Intergenic	NA	-209094	WBSCR17								
Interval_14300	chr20	774353	774707	+	0	NA	intron (SLC52A3, intron 1 of 5)	NA	-5946	SLC52A3								
Interval_18306	chr5	1997751	1997932	+	0	NA	Intergenic	NA	78586	LOC101929108								
Interval_18147	chr4	158210393	158210614	+	0	NA	promoter-TSS (TMEM144)	NA	49	TMEM144								
Interval_10010	chr17	74239269	74239538	+	0	NA	intron (TTYH2, intron 4 of 13)	NA	25846	TTYH2								
Interval_1666	chr1	178542431	178542884	+	0	NA	promoter-TSS (C1orf220)	NA	-139	C1orf220								
Interval_6588	chr14	69543780	69543964	+	0	NA	Intergenic	NA	31011	CCDC177								
Interval_20657	chr6	137155794	137156223	+	0	NA	intron (IL22RA2, intron 3 of 4)	NA	17640	IL22RA2								
Interval_21981	chr7	140675410	140675606	+	0	NA	intron (ADCK2, intron 2 of 6)	NA	2578	ADCK2								
Interval_129	chr1	8877878	8879894	+	0	NA	promoter-TSS (ENO1)	NA	51	ENO1-AS1								
Interval_595	chr1	36373805	36374110	+	0	NA	intron (STK40, intron 1 of 11)	NA	11970	STK40								
Interval_137	chr1	9129126	9129357	+	0	NA	promoter-TSS (GPR157)	NA	-138	GPR157								
Interval_14349	chr20	3045524	3046159	+	0	NA	promoter-TSS (MRPS26)	NA	-188	MRPS26								
Interval_23139	chr8	125505952	125506310	+	0	NA	Intergenic	NA	73272	TRIB1								
Interval_20912	chr6	166956490	166956964	+	0	NA	promoter-TSS (RNASET2)	NA	-138	RNASET2								
Interval_6857	chr14	95519743	95520026	+	0	NA	Intergenic	NA	3197	LOC102724640								
Interval_616	chr1	37690319	37690799	+	0	NA	promoter-TSS (C1orf109)	NA	85	C1orf109								
Interval_7537	chr15	74460908	74461463	+	0	NA	promoter-TSS (UBL7)	NA	3	UBL7								
Interval_9341	chr17	28661959	28662577	+	0	NA	promoter-TSS (SDF2)	NA	65	SUPT6H								
Interval_9474	chr17	37609019	37609790	+	0	NA	promoter-TSS (SYNRG)	NA	92	SYNRG								
Interval_14387	chr20	4766614	4766998	+	0	NA	Intergenic	NA	-26138	PRNT								
Interval_17184	chr3	180457316	180457512	+	0	NA	Intergenic	NA	43241	LOC100505609								
Interval_23524	chr9	17843301	17843487	+	0	NA	Intergenic	NA	189533	SH3GL2								
Interval_6080	chr13	46354890	46355060	+	0	NA	intron (KIAA0226L, intron 10 of 14)	NA	35067	KIAA0226L								
Interval_17933	chr4	105461357	105461546	+	0	NA	intron (PPA2, intron 1 of 7)	NA	12619	PPA2								
Interval_19496	chr6	2764831	2766288	+	0	NA	promoter-TSS (MYLK4)	NA	-155	WRNIP1								
Interval_7133	chr15	41402427	41402654	+	0	NA	promoter-TSS (NDUFAF1)	NA	-80	NDUFAF1								
Interval_4696	chr12	949404	950399	+	0	NA	promoter-TSS (RAD52)	NA	40967	RAD52								
Interval_2734	chr10	69059495	69059753	+	0	NA	Intergenic	NA	-28448	SRGN								
Interval_9726	chr17	49218097	49218367	+	0	NA	intron (ABI3, intron 3 of 7)	NA	8005	ABI3								
Interval_11584	chr19	19542434	19542876	+	0	NA	intron (CILP2, intron 5 of 7)	NA	4390	CILP2								
Interval_13081	chr2	68734783	68734953	+	0	NA	promoter-TSS (ARHGAP25)	NA	-206	ARHGAP25								
Interval_12413	chr19	55604514	55605919	+	0	NA	Intergenic	NA	4852	ZNF524								
Interval_11840	chr19	40420735	40421465	+	0	NA	Intergenic	NA	4925	SERTAD1								
Interval_10965	chr19	3276021	3276255	+	0	NA	intron (CELF5, intron 4 of 10)	NA	5511	CELF5								
Interval_10532	chr18	48896797	48897489	+	0	NA	Intergenic	NA	52190	SMAD7								
Interval_20635	chr6	134640900	134641354	+	0	NA	Intergenic	NA	66235	LOC101928277								
Interval_19902	chr6	30060677	30060867	+	0	NA	promoter-TSS (ZNRD1)	NA	412	ZNRD1-AS1								
Interval_3195	chr10	110156888	110157242	+	0	NA	Intergenic	NA	-50540	MXI1								
Interval_12999	chr2	61537527	61539050	+	0	NA	promoter-TSS (XPO1)	NA	-12960	XPO1								
Interval_23190	chr8	129636043	129636442	+	0	NA	Intergenic	NA	150646	GSDMC								
Interval_23652	chr9	36731627	36731850	+	0	NA	Intergenic	NA	91825	MIR4475								
Interval_4344	chr11	79626349	79626738	+	0	NA	Intergenic	NA	-187541	TENM4								
Interval_2767	chr10	70575993	70576510	+	0	NA	Intergenic	NA	26524	PRF1								
Interval_15662	chr22	37905170	37905740	+	0	NA	promoter-TSS (MICALL1)	NA	-1689	MICALL1								
Interval_22877	chr8	94823358	94823557	+	0	NA	exon (INTS8, exon 1 of 26)	NA	167	INTS8								
Interval_4026	chr11	65116683	65118016	+	0	NA	exon (ZNHIT2, exon 1 of 1)	NA	349	ZNHIT2								
Interval_24937	chrX	155026574	155027353	+	0	NA	exon (FUNDC2, exon 1 of 5)	NA	174	FUNDC2								
Interval_14574	chr20	28602739	28603331	+	0	NA	promoter-TSS (LOC100289097)	NA	-196	LOC100289097								
Interval_17253	chr3	186746016	186746251	+	0	NA	Intergenic	NA	28824	KNG1								
Interval_11449	chr19	16659842	16660434	+	0	NA	promoter-TSS (SMIM7)	NA	6	SMIM7								
Interval_13302	chr2	98465672	98465960	+	0	NA	intron (INPP4A, intron 1 of 25)	NA	20958	INPP4A								
Interval_426	chr1	26677518	26677732	+	0	NA	Intergenic	NA	-18406	ARID1A								
Interval_1560	chr1	161530224	161530464	+	0	NA	promoter-TSS (TRNAG8)	NA	80	TRNAL6								
Interval_15420	chr22	21936294	21936744	+	0	NA	intron (PPM1F, intron 3 of 7)	NA	16359	PPM1F								
Interval_15047	chr21	15222013	15222307	+	0	NA	Intergenic	NA	190763	LOC101927745								
Interval_543	chr1	32222212	32222527	+	0	NA	promoter-TSS (TMEM234)	NA	-1	EIF3I								
Interval_15608	chr22	36423534	36423711	+	0	NA	Intergenic	NA	-35604	MYH9								
Interval_7963	chr16	2965305	2965505	+	0	NA	intron (KREMEN2, intron 2 of 8)	NA	1189	KREMEN2								
Interval_7956	chr16	2868038	2868718	+	0	NA	promoter-TSS (LOC101929566)	NA	-760	LOC101929566								
Interval_17364	chr3	196632056	196634071	+	0	NA	promoter-TSS (LINC01063)	NA	-425	LINC01063								
Interval_5110	chr12	50400636	50401163	+	0	NA	promoter-TSS (LARP4)	NA	3	LARP4								
Interval_12055	chr19	45885835	45887065	+	0	NA	promoter-TSS (IRF2BP1)	NA	-332	IRF2BP1								
Interval_24943	chrY	7273761	7274106	+	0	NA	promoter-TSS (PRKY)	NA	-39	PRKY								
Interval_17521	chr4	8875396	8875594	+	0	NA	Intergenic	NA	-3773	HMX1								
Interval_9294	chr17	21041972	21042163	+	0	NA	intron (USP22, intron 1 of 12)	NA	972	USP22								
Interval_23047	chr8	118111868	118112227	+	0	NA	promoter-TSS (EXT1)	NA	-228	EXT1								
Interval_3455	chr11	910686	910994	+	0	NA	promoter-TSS (CHID1)	NA	4019	CHID1								
Interval_11367	chr19	14117730	14118171	+	0	NA	promoter-TSS (PRKACA)	NA	-3770	PRKACA								
Interval_14792	chr20	47123897	47125095	+	0	NA	intron (EYA2, intron 7 of 13)	NA	-42471	MIR3616								
Interval_15681	chr22	38505171	38505438	+	0	NA	intron (DDX17, intron 1 of 12)	NA	1036	DDX17								
Interval_3200	chr10	110273549	110273719	+	0	NA	intron (MXI1, intron 3 of 5)	NA	31315	SMNDC1								
Interval_24828	chrX	123961321	123961944	+	0	NA	promoter-TSS (STAG2)	NA	-291	LOC101928402								
Interval_7775	chr15	91263161	91263380	+	0	NA	intron (SV2B, intron 6 of 12)	NA	162961	SV2B								
Interval_10475	chr18	35497393	35498123	+	0	NA	promoter-TSS (INO80C)	NA	386	INO80C								
Interval_4319	chr11	78257024	78257229	+	0	NA	intron (GAB2, intron 2 of 10)	NA	68023	USP35								
Interval_22699	chr8	63192093	63192266	+	0	NA	intron (YTHDF3, intron 5 of 5)	NA	23626	YTHDF3								
Interval_17470	chr4	3330766	3330990	+	0	NA	intron (RGS12, intron 2 of 17)	NA	-39119	RGS12								
Interval_23958	chr9	111926735	111926942	+	0	NA	intron (UGCG, intron 6 of 9)	NA	-5309	MIR4668								
Interval_20985	chr7	1513731	1513921	+	0	NA	Intergenic	NA	-9444	INTS1								
Interval_20257	chr6	45445575	45446125	+	0	NA	intron (RUNX2, intron 3 of 5)	NA	-77382	SUPT3H								
Interval_5278	chr12	62601985	62602158	+	0	NA	exon (C12orf61, exon 1 of 1)	NA	1363	C12orf61								
Interval_22473	chr8	33864422	33864758	+	0	NA	Intergenic	NA	-266798	DUSP26								
Interval_14642	chr20	34516217	34516629	+	0	NA	promoter-TSS (DYNLRB1)	NA	59	DYNLRB1								
Interval_4294	chr11	76234724	76235135	+	0	NA	promoter-TSS (TRNAP6)	NA	-584	TRNAP6								
Interval_16296	chr3	46089186	46090079	+	0	NA	Intergenic	NA	-62145	XCR1								
Interval_19996	chr6	32853728	32854219	+	0	NA	promoter-TSS (PSMB9)	NA	-2	TAP1								
Interval_24449	chrX	3814890	3815172	+	0	NA	Intergenic	NA	23419	TRNAI7								
Interval_1034	chr1	92785024	92785608	+	0	NA	promoter-TSS (EVI5)	NA	-828	EVI5								
Interval_3663	chr11	21626072	21626337	+	0	NA	Intergenic	NA	-453465	LOC102723370								
Interval_1227	chr1	116794703	116795030	+	0	NA	Intergenic	NA	40402	CD2								
Interval_12811	chr2	39120751	39121219	+	0	NA	promoter-TSS (SOS1)	NA	-522	SOS1								
Interval_13601	chr2	144671571	144672355	+	0	NA	intron (TEX41, intron 1 of 4)	NA	3996	TEX41								
Interval_8689	chr16	80540605	80541297	+	0	NA	promoter-TSS (DYNLRB2)	NA	-401	DYNLRB2								
Interval_16642	chr3	72938593	72938763	+	0	NA	intron (GXYLT2, intron 3 of 6)	NA	50444	GXYLT2								
Interval_7683	chr15	83956068	83956255	+	0	NA	intron (ADAMTSL3, intron 19 of 29)	NA	-124026	EFTUD1P1								
Interval_18644	chr5	76856020	76856204	+	0	NA	intron (S100Z, intron 1 of 4)	NA	6111	S100Z								
Interval_1339	chr1	150926107	150926602	+	0	NA	promoter-TSS (SETDB1)	NA	15	SETDB1								
Interval_15641	chr22	37485075	37485666	+	0	NA	intron (MFNG, intron 1 of 7)	NA	1017	MFNG								
Interval_8959	chr17	2796160	2796459	+	0	NA	promoter-TSS (RAP1GAP2)	NA	30182	LOC102723970								
Interval_9674	chr17	45584263	45585476	+	0	NA	Intergenic	NA	17513	LOC644172								
Interval_10330	chr18	3297420	3297661	+	0	NA	Intergenic	NA	34927	MYL12B								
Interval_6339	chr14	24329707	24330102	+	0	NA	exon (ADCY4, exon 9 of 26)	NA	5167	ADCY4								
Interval_3656	chr11	19240917	19241313	+	0	NA	promoter-TSS (E2F8)	NA	540	E2F8								
Interval_8760	chr16	85535459	85535765	+	0	NA	intron (GSE1, intron 1 of 15)	NA	-89861	GSE1								
Interval_2766	chr10	70405487	70405725	+	0	NA	intron (EIF4EBP2, intron 1 of 2)	NA	1501	EIF4EBP2								
Interval_8340	chr16	30748107	30748615	+	0	NA	promoter-TSS (PHKG2)	NA	-118	PHKG2								
Interval_16777	chr3	119579576	119579772	+	0	NA	promoter-TSS (ADPRH)	NA	-2	ADPRH								
Interval_21655	chr7	97117063	97117999	+	0	NA	exon (ACN9, exon 1 of 2)	NA	938	ACN9								
Interval_9658	chr17	45160624	45162027	+	0	NA	promoter-TSS (HEXIM2)	NA	1990	HEXIM2								
Interval_17848	chr4	83630164	83630418	+	0	NA	Intergenic	NA	94377	AGPAT9								
Interval_2551	chr10	31133727	31134215	+	0	NA	Intergenic	NA	-53912	LOC101929352								
Interval_7990	chr16	3457703	3458141	+	0	NA	promoter-TSS (NAA60)	NA	14273	NAA60								
Interval_7982	chr16	3235005	3235518	+	0	NA	promoter-TSS (ZNF200)	NA	-75	ZNF200								
Interval_19571	chr6	7145822	7146625	+	0	NA	intron (RREB1, intron 2 of 13)	NA	38166	RREB1								
Interval_18713	chr5	88732266	88732618	+	0	NA	intron (MEF2C, intron 7 of 11)	NA	-59114	LINC00461								
Interval_23990	chr9	113523523	113524120	+	0	NA	intron (RGS3, intron 17 of 19)	NA	-41133	RGS3								
Interval_20184	chr6	42781809	42784125	+	0	NA	promoter-TSS (FLJ38717)	NA	40	FLJ38717								
Interval_13440	chr2	113693503	113694071	+	0	NA	Intergenic	NA	27581	MIR4782								
Interval_24414	chrX	1320252	1320580	+	0	NA	intron (CSF2RA, intron 11 of 11)	NA	-16200	IL3RA								
Interval_13160	chr2	74080123	74080409	+	0	NA	intron (TET3, intron 4 of 10)	NA	67646	BOLA3								
Interval_24336	chr9	136220384	136220734	+	0	NA	intron (QSOX2, intron 6 of 11)	NA	-17401	LHX3								
Interval_18194	chr4	174283503	174283976	+	0	NA	promoter-TSS (CEP44)	NA	-165	CEP44								
Interval_7675	chr15	83066630	83067450	+	0	NA	promoter-TSS (MIR4515)	NA	-309	MIR4515								
Interval_14869	chr20	50348286	50348465	+	0	NA	Intergenic	NA	-27033	RP11-290F20.2								
Interval_12812	chr2	39124231	39124604	+	0	NA	Intergenic	NA	-3954	SOS1								
Interval_16103	chr3	18208723	18209236	+	0	NA	intron (LOC339862, intron 4 of 4)	NA	216358	SATB1								
Interval_2343	chr1	246507137	246507458	+	0	NA	promoter-TSS (SMYD3)	NA	21	SMYD3								
Interval_18969	chr5	135140811	135141056	+	0	NA	intron (C5orf66, intron 2 of 5)	NA	-100886	LOC101927953								
Interval_23345	chr8	142777180	142777755	+	0	NA	promoter-TSS (LYNX1)	NA	-446	LYNX1								
Interval_24085	chr9	124392230	124392541	+	0	NA	intron (PSMB7, intron 5 of 7)	NA	23088	PSMB7								
Interval_20558	chr6	117602292	117602906	+	0	NA	promoter-TSS (GOPC)	NA	-57	GOPC								
Interval_9831	chr17	58344255	58344649	+	0	NA	TTS (SUPT4H1)	NA	7786	SUPT4H1								
Interval_10935	chr19	2475646	2477196	+	0	NA	intron (GADD45B, intron 1 of 3)	NA	296	GADD45B								
Interval_5967	chr13	28137843	28139894	+	0	NA	exon (PAN3, exon 1 of 19)	NA	306	PAN3-AS1								
Interval_15583	chr22	35330186	35330487	+	0	NA	intron (TOM1, intron 6 of 13)	NA	-5374	MIR3909								
Interval_19016	chr5	138574941	138576311	+	0	NA	promoter-TSS (HSPA9)	NA	3	HSPA9								
Interval_18354	chr5	14809476	14810083	+	0	NA	intron (ANKH, intron 1 of 11)	NA	16233	MIR4637								
Interval_5309	chr12	66188988	66189666	+	0	NA	exon (IRAK3, exon 1 of 11)	NA	129	IRAK3								
Interval_5241	chr12	56646103	56646494	+	0	NA	promoter-TSS (ATP5B)	NA	-230	ATP5B								
Interval_15138	chr21	33300625	33301222	+	0	NA	Intergenic	NA	-23986	IFNAR1								
Interval_10739	chr18	76620037	76620540	+	0	NA	Intergenic	NA	18327	LOC101927651								
Interval_18318	chr5	6645504	6645868	+	0	NA	intron (SRD5A1, intron 1 of 4)	NA	12299	SRD5A1								
Interval_20986	chr7	1530540	1530740	+	0	NA	promoter-TSS (MAFK)	NA	-92	MAFK								
Interval_19300	chr5	172114787	172115471	+	0	NA	intron (STK10, intron 4 of 18)	NA	73213	STK10								
Interval_23622	chr9	34989358	34989604	+	0	NA	promoter-TSS (LOC101926900)	NA	-102	LOC101926900								
Interval_6458	chr14	54440840	54441736	+	0	NA	exon (CNIH1, exon 1 of 5)	NA	243	CNIH1								
Interval_17984	chr4	119212472	119212842	+	0	NA	promoter-TSS (LOC101929762)	NA	-13	LOC101929762								
Interval_13168	chr2	74391775	74392215	+	0	NA	promoter-TSS (DCTN1)	NA	6277	DCTN1-AS1								
Interval_22750	chr8	70160591	70160813	+	0	NA	intron (NCOA2, intron 9 of 22)	NA	-89375	PRDM14								
Interval_2351	chr1	246931890	246932352	+	0	NA	promoter-TSS (AHCTF1)	NA	-697	AHCTF1								
Interval_5015	chr12	32679103	32679326	+	0	NA	promoter-TSS (DNM1L)	NA	14	DNM1L								
Interval_24854	chrX	134536851	134537068	+	0	NA	Intergenic	NA	3256	MIR450B								
Interval_18917	chr5	132457302	132457955	+	0	NA	intron (C5orf56, intron 3 of 3)	NA	-30851	LOC102723741								
