PeakID (cmd=annotatePeaks.pl MEF2C.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4343	chr8	49291543	49291832	+	0	NA	Intergenic	NA	219346	C8orf22								
Interval_1230	chr14	57641497	57641620	+	0	NA	intron (SLC35F4, intron 1 of 7)	NA	-147702	C14orf105								
Interval_390	chr1	216113283	216113435	+	0	NA	intron (USH2A, intron 21 of 71)	NA	40901	LOC102723833								
Interval_3203	chr3	195586845	195587016	+	0	NA	Intergenic	NA	-2725	APOD								
Interval_727	chr11	47560524	47560744	+	0	NA	intron (CELF1, intron 1 of 13)	NA	-4796	PTPMT1								
Interval_4058	chr7	47305063	47305330	+	0	NA	intron (TNS3, intron 20 of 30)	NA	252794	LOC102723974								
Interval_1277	chr14	78007216	78007441	+	0	NA	Intergenic	NA	207245	ADCK1								
Interval_4078	chr7	71442472	71442845	+	0	NA	intron (WBSCR17, intron 5 of 10)	NA	-134888	MIR3914-1								
Interval_838	chr11	123474374	123474537	+	0	NA	intron (GRAMD1B, intron 1 of 18)	NA	19967	GRAMD1B								
Interval_643	chr10	119120472	119120684	+	0	NA	intron (FAM45A, intron 6 of 9)	NA	16496	FAM45A								
Interval_1207	chr14	38701307	38701489	+	0	NA	Intergenic	NA	215484	LINC00639								
Interval_3320	chr4	101818466	101818710	+	0	NA	intron (BANK1, intron 1 of 16)	NA	27981	BANK1								
Interval_4121	chr7	94620701	94621123	+	0	NA	intron (SGCE, intron 4 of 10)	NA	35293	SGCE								
Interval_298	chr1	179737219	179737396	+	0	NA	intron (FAM163A, intron 1 of 5)	NA	-5856	FAM163A								
Interval_3971	chr7	958047	958226	+	0	NA	Intergenic	NA	-12320	ADAP1								
Interval_2028	chr19	8650054	8650399	+	0	NA	Intergenic	NA	48604	ACTL9								
Interval_3041	chr3	76199521	76199782	+	0	NA	intron (ROBO2, intron 2 of 23)	NA	292934	ROBO2								
Interval_212	chr1	117564951	117565120	+	0	NA	Intergenic	NA	-40947	FAM46C								
Interval_3273	chr4	48227637	48227893	+	0	NA	intron (TEC, intron 2 of 17)	NA	790	TEC								
Interval_4502	chr8	128042269	128042537	+	0	NA	intron (PVT1, intron 4 of 7)	NA	-6800	MIR1207								
Interval_64	chr1	27659644	27659831	+	0	NA	Intergenic	NA	12476	IFI6								
Interval_507	chr10	29725448	29725674	+	0	NA	intron (SVIL, intron 1 of 41)	NA	-113161	LOC102724333								
Interval_1920	chr18	51361452	51361788	+	0	NA	Intergenic	NA	-30422	RP11-267C16.1								
Interval_1740	chr17	31888232	31888381	+	0	NA	intron (UTP6, intron 6 of 17)	NA	13375	UTP6								
Interval_1275	chr14	77043299	77043785	+	0	NA	intron (RP11-7F17.5, intron 1 of 3)	NA	2582	RP11-7F17.5								
Interval_369	chr1	209162746	209162862	+	0	NA	Intergenic	NA	-11299	LOC100509303								
Interval_879	chr12	11855738	11855879	+	0	NA	intron (ETV6, intron 4 of 7)	NA	168292	LOC101928186								
Interval_2310	chr2	61646023	61646264	+	0	NA	Intergenic	NA	-107838	XPO1								
Interval_4593	chr9	32342132	32342248	+	0	NA	Intergenic	NA	-57391	ACO1								
Interval_477	chr10	7471937	7472204	+	0	NA	Intergenic	NA	-62729	SFMBT2								
Interval_92	chr1	41765161	41765288	+	0	NA	intron (HIVEP3, intron 1 of 8)	NA	-136417	HIVEP3								
Interval_138	chr1	66739572	66739720	+	0	NA	intron (SGIP1, intron 22 of 24)	NA	-16110	TCTEX1D1								
Interval_4116	chr7	92634215	92634423	+	0	NA	intron (CDK6, intron 5 of 7)	NA	-43925	FAM133B								
Interval_4027	chr7	28154894	28155208	+	0	NA	intron (JAZF1, intron 1 of 4)	NA	-25406	JAZF1-AS1								
Interval_934	chr12	46404275	46404427	+	0	NA	intron (RP11-96H19.1, intron 2 of 2)	NA	16956	RP11-96H19.1								
Interval_919	chr12	39619769	39620212	+	0	NA	promoter-TSS (ABCD2)	NA	51	ABCD2								
Interval_1724	chr17	21776909	21777194	+	0	NA	intron (LOC100996792-2, intron 2 of 2)	NA	-1316	LOC100996792								
Interval_1714	chr17	15928121	15928297	+	0	NA	Intergenic	NA	-16708	ADORA2B								
Interval_184	chr1	103788514	103788677	+	0	NA	Intergenic	NA	43119	AMY1C								
Interval_4051	chr7	44257802	44258234	+	0	NA	intron (CAMK2B, intron 4 of 22)	NA	57039	YKT6								
Interval_938	chr12	48198104	48198326	+	0	NA	Intergenic	NA	5077	OR10AD1								
Interval_4769	chrX	1515189	1515557	+	0	NA	intron (P2RY8, intron 1 of 1)	NA	19101	P2RY8								
Interval_948	chr12	51246451	51246645	+	0	NA	exon (DAZAP2, exon 4 of 4)	NA	7824	DAZAP2								
Interval_2077	chr19	18426105	18426276	+	0	NA	intron (SSBP4, intron 1 of 17)	NA	6864	SSBP4								
Interval_597	chr10	89134976	89135253	+	0	NA	Intergenic	NA	-71712	MIR4679-2								
Interval_555	chr10	67849423	67849653	+	0	NA	Intergenic	NA	-11359	DNAJC12								
Interval_2228	chr2	16862613	16862808	+	0	NA	Intergenic	NA	-239553	FAM49A								
Interval_1702	chr17	7997161	7997442	+	0	NA	Intergenic	NA	-5369	GUCY2D								
Interval_993	chr12	88299462	88299929	+	0	NA	Intergenic	NA	157399	TMTC3								
Interval_1210	chr14	42292516	42292749	+	0	NA	Intergenic	NA	685071	LRFN5								
Interval_4629	chr9	95777157	95777490	+	0	NA	Intergenic	NA	-3306	LOC101930476								
Interval_1815	chr17	68867914	68868074	+	0	NA	exon (ABCA8, exon 38 of 38)	NA	87398	ABCA8								
Interval_2980	chr3	42490365	42490650	+	0	NA	intron (VIPR1, intron 1 of 13)	NA	-12136	VIPR1								
Interval_4238	chr8	12757906	12758184	+	0	NA	Intergenic	NA	-2601	LONRF1								
Interval_4152	chr7	118311573	118311809	+	0	NA	intron (LOC102724495, intron 1 of 2)	NA	51830	LOC102724495								
Interval_3692	chr6	11413815	11414114	+	0	NA	Intergenic	NA	-124263	TMEM170B								
Interval_3314	chr4	98027910	98028155	+	0	NA	intron (STPG2, intron 5 of 10)	NA	115208	STPG2								
Interval_4549	chr8	143928573	143928828	+	0	NA	intron (PLEC, intron 25 of 31)	NA	16529	MIR661								
Interval_1959	chr18	74012617	74012765	+	0	NA	Intergenic	NA	135235	FBXO15								
Interval_1217	chr14	49502006	49502147	+	0	NA	Intergenic	NA	84340	RPS29								
Interval_2743	chr21	25647798	25647926	+	0	NA	intron (JAM2, intron 1 of 9)	NA	8580	JAM2								
Interval_1610	chr16	50699879	50700117	+	0	NA	intron (NOD2, intron 2 of 5)	NA	6402	NOD2								
Interval_4517	chr8	133046539	133046720	+	0	NA	promoter-TSS (MIR7848)	NA	-113	MIR7848								
Interval_3356	chr4	139177265	139177574	+	0	NA	promoter-TSS (ELF2)	NA	-201	ELF2								
Interval_3222	chr4	6752542	6752799	+	0	NA	Intergenic	NA	-30062	KIAA0232								
Interval_928	chr12	43338874	43339071	+	0	NA	Intergenic	NA	212949	ADAMTS20								
Interval_556	chr10	67884539	67884708	+	0	NA	promoter-TSS (SIRT1)	NA	-6861	SIRT1								
Interval_1175	chr13	105925543	105925778	+	0	NA	Intergenic	NA	195241	LINC00344								
Interval_748	chr11	65420182	65420303	+	0	NA	Intergenic	NA	-2556	NEAT1								
Interval_1737	chr17	30095477	30095695	+	0	NA	intron (EFCAB5, intron 22 of 22)	NA	-21221	NSRP1								
Interval_2699	chr20	50450958	50451285	+	0	NA	Intergenic	NA	-59200	PTPN1								
Interval_2201	chr2	7266150	7266346	+	0	NA	Intergenic	NA	-155013	LOC100506274								
Interval_4090	chr7	75617787	75618123	+	0	NA	intron (HIP1, intron 1 of 30)	NA	-75168	LOC102723650								
Interval_3999	chr7	17773391	17773583	+	0	NA	Intergenic	NA	167021	SNX13								
Interval_3365	chr4	140122962	140123106	+	0	NA	intron (MAML3, intron 1 of 4)	NA	31045	MAML3								
Interval_2265	chr2	37871961	37872170	+	0	NA	intron (LINC00211, intron 1 of 3)	NA	3798	LINC00211								
Interval_2966	chr3	37114909	37115025	+	0	NA	intron (LRRFIP2, intron 7 of 27)	NA	61360	LRRFIP2								
Interval_103	chr1	46173750	46173897	+	0	NA	Intergenic	NA	-1254	TSPAN1								
Interval_1608	chr16	47461126	47461348	+	0	NA	promoter-TSS (PHKB)	NA	-62	PHKB								
Interval_4240	chr8	13571640	13571839	+	0	NA	Intergenic	NA	4896	C8orf48								
Interval_3863	chr6	111410508	111410691	+	0	NA	intron (REV3L, intron 3 of 31)	NA	-72873	TRAF3IP2-AS1								
Interval_2142	chr19	46551272	46551459	+	0	NA	intron (PPP5D1, intron 1 of 3)	NA	25326	PPP5D1								
Interval_4268	chr8	23559270	23559387	+	0	NA	intron (SLC25A37, intron 1 of 3)	NA	30461	SLC25A37								
Interval_1247	chr14	64826523	64826646	+	0	NA	intron (SPTB, intron 1 of 35)	NA	-3436	SPTB								
Interval_34	chr1	17141840	17142013	+	0	NA	Intergenic	NA	-22473	PADI2								
Interval_3027	chr3	63976672	63976897	+	0	NA	intron (ATXN7, intron 1 of 8)	NA	-27238	PSMD6-AS2								
Interval_46	chr1	23691537	23691718	+	0	NA	promoter-TSS (RPL11)	NA	-152	RPL11								
Interval_3030	chr3	67030808	67031025	+	0	NA	Intergenic	NA	32613	KBTBD8								
Interval_4826	chrX	78103769	78104417	+	0	NA	promoter-TSS (PGK1)	NA	-76	PGK1								
Interval_4291	chr8	32954311	32954606	+	0	NA	Intergenic	NA	226445	NRG1								
Interval_732	chr11	58888682	58888870	+	0	NA	Intergenic	NA	-16654	LOC100287413								
Interval_4829	chrX	82746691	82746844	+	0	NA	Intergenic	NA	-761494	POU3F4								
Interval_994	chr12	88375369	88375619	+	0	NA	Intergenic	NA	204979	KITLG								
Interval_3212	chr3	198098735	198098924	+	0	NA	Intergenic	NA	-18158	ANKRD18DP								
Interval_4186	chr7	144513836	144513952	+	0	NA	intron (TPK1, intron 8 of 8)	NA	-103667	NOBOX								
Interval_4788	chrX	11824827	11825219	+	0	NA	Intergenic	NA	66864	MSL3								
Interval_1670	chr16	85936113	85936307	+	0	NA	Intergenic	NA	17858	MIR6774								
Interval_2166	chr19	51108416	51108702	+	0	NA	promoter-TSS (CTU1)	NA	-169	CTU1								
Interval_379	chr1	212456094	212456210	+	0	NA	Intergenic	NA	23265	NENF								
Interval_4513	chr8	132276452	132276770	+	0	NA	intron (KCNQ3, intron 1 of 14)	NA	44924	KCNQ3								
Interval_3072	chr3	112767216	112767460	+	0	NA	Intergenic	NA	-18019	RP11-572C15.5								
Interval_4532	chr8	134976914	134977069	+	0	NA	Intergenic	NA	127056	RP11-1057B8.2								
Interval_4652	chr9	107282808	107282997	+	0	NA	promoter-TSS (RAD23B)	NA	-1151	RAD23B								
Interval_4176	chr7	139680960	139681153	+	0	NA	intron (HIPK2, intron 2 of 14)	NA	39394	LOC101928984								
Interval_3187	chr3	187044472	187044635	+	0	NA	intron (ST6GAL1, intron 3 of 6)	NA	-52393	LOC101929079								
Interval_2784	chr21	42233227	42233369	+	0	NA	intron (ABCG1, intron 2 of 14)	NA	14141	ABCG1								
Interval_4308	chr8	38134496	38134813	+	0	NA	intron (ASH2L, intron 13 of 14)	NA	16611	STAR								
Interval_2081	chr19	28606374	28606744	+	0	NA	promoter-TSS (LOC102724908)	NA	-129	LOC102724908								
Interval_4661	chr9	109440983	109441264	+	0	NA	intron (PTPN3, intron 7 of 25)	NA	57197	PTPN3								
Interval_2276	chr2	42028756	42029036	+	0	NA	Intergenic	NA	-19125	PKDCC								
Interval_3339	chr4	119025890	119026090	+	0	NA	intron (SYNPO2, intron 2 of 2)	NA	-1631	LOC102723956								
Interval_1386	chr15	51097742	51097885	+	0	NA	intron (TNFAIP8L3, intron 1 of 2)	NA	7463	TNFAIP8L3								
Interval_2214	chr2	11753621	11753935	+	0	NA	intron (LPIN1, intron 1 of 19)	NA	7182	LPIN1								
Interval_125	chr1	61255423	61255560	+	0	NA	intron (NFIA, intron 2 of 10)	NA	-1973	RP5-833A20.1								
Interval_464	chr1	246492722	246492864	+	0	NA	intron (SMYD3, intron 1 of 11)	NA	14549	SMYD3								
Interval_1730	chr17	27244959	27245235	+	0	NA	Intergenic	NA	48845	MIR4522								
Interval_1742	chr17	34465817	34466038	+	0	NA	Intergenic	NA	-102694	CCL1								
Interval_1631	chr16	65837602	65837864	+	0	NA	intron (LOC101927676, intron 1 of 2)	NA	-261433	LINC00922								
Interval_4752	chrUn_KI270438v1	104038	104363	+	0	NA	NA	NA	NA	NA								
Interval_89	chr1	41319970	41320150	+	0	NA	Intergenic	NA	-41596	FOXO6								
Interval_677	chr11	5815571	5815852	+	0	NA	Intergenic	NA	-4625	OR52N2								
Interval_4508	chr8	130317814	130318031	+	0	NA	intron (ASAP1, intron 1 of 28)	NA	-21389	ASAP1-IT1								
Interval_3698	chr6	13715743	13715935	+	0	NA	Intergenic	NA	-5001	RANBP9								
Interval_421	chr1	228796954	228797117	+	0	NA	Intergenic	NA	61958	RHOU								
Interval_4060	chr7	47941620	47941802	+	0	NA	intron (PKD1L1, intron 3 of 40)	NA	6763	PKD1L1								
Interval_1417	chr15	63870134	63870265	+	0	NA	TTS (MIR422A)	NA	820	MIR422A								
Interval_1404	chr15	58924456	58924642	+	0	NA	intron (SLTM, intron 1 of 16)	NA	9575	SLTM								
Interval_1618	chr16	57299769	57300088	+	0	NA	promoter-TSS (TRNAL13)	NA	-23	TRNAL13								
Interval_3721	chr6	17910222	17910509	+	0	NA	intron (KIF13A, intron 2 of 39)	NA	77267	KIF13A								
Interval_3536	chr5	95261503	95261709	+	0	NA	intron (MCTP1, intron 1 of 22)	NA	-131197	FAM81B								
Interval_1099	chr12	127742478	127742632	+	0	NA	Intergenic	NA	-106436	RP11-526P6.1								
Interval_4586	chr9	23587533	23587803	+	0	NA	intron (LOC101929563, intron 11 of 27)	NA	84880	LOC101929563								
Interval_2179	chr19	54365125	54365615	+	0	NA	promoter-TSS (LAIR1)	NA	5183	LAIR1								
Interval_2190	chr19	56339082	56339371	+	0	NA	intron (LOC101928968, intron 2 of 2)	NA	18078	LOC101928968								
Interval_3995	chr7	17546730	17546894	+	0	NA	intron (AC017060.1, intron 1 of 3)	NA	12097	AC017060.1								
Interval_287	chr1	169908817	169908933	+	0	NA	Intergenic	NA	-14916	SCYL3								
Interval_3462	chr5	33675970	33676130	+	0	NA	intron (ADAMTS12, intron 5 of 23)	NA	215969	ADAMTS12								
Interval_2305	chr2	60462101	60462379	+	0	NA	exon (BCL11A, exon 4 of 4)	NA	-60123	LOC102724142								
Interval_721	chr11	45021116	45021235	+	0	NA	Intergenic	NA	47273	AC068858.1								
Interval_3065	chr3	106457894	106458023	+	0	NA	Intergenic	NA	-29929	LOC101929514								
Interval_2071	chr19	17717466	17717637	+	0	NA	Intergenic	NA	-1943	MAP1S								
Interval_1368	chr15	42605223	42605493	+	0	NA	intron (STARD9, intron 3 of 32)	NA	29724	STARD9								
Interval_3111	chr3	133567051	133567249	+	0	NA	Intergenic	NA	-6877	CDV3								
Interval_3656	chr5	171952118	171952354	+	0	NA	intron (FBXW11, intron 1 of 12)	NA	54637	FBXW11								
Interval_4690	chr9	123326676	123326983	+	0	NA	Intergenic	NA	-41950	CRB2								
Interval_1142	chr13	36979770	36979967	+	0	NA	intron (ALG5, intron 5 of 8)	NA	19499	ALG5								
Interval_2612	chr20	5750114	5750398	+	0	NA	promoter-TSS (C20orf196)	NA	-6573	C20orf196								
Interval_3771	chr6	42505561	42505691	+	0	NA	Intergenic	NA	-54365	TRERF1								
Interval_4695	chr9	124202392	124202941	+	0	NA	Intergenic	NA	-55585	NEK6								
Interval_641	chr10	117762605	117763009	+	0	NA	Intergenic	NA	27865	LOC102724627								
Interval_4462	chr8	114855864	114856155	+	0	NA	Intergenic	NA	813019	TRPS1								
Interval_3606	chr5	143554209	143554522	+	0	NA	intron (NR3C1, intron 1 of 8)	NA	-118853	NR3C1								
Interval_3271	chr4	47564309	47564682	+	0	NA	intron (ATP10D, intron 15 of 22)	NA	79102	ATP10D								
Interval_1406	chr15	59433099	59433417	+	0	NA	intron (FAM81A, intron 1 of 8)	NA	-4915	FAM81A								
Interval_2187	chr19	55280999	55281152	+	0	NA	promoter-TSS (HSPBP1)	NA	-1004	HSPBP1								
Interval_2335	chr2	70686950	70687234	+	0	NA	intron (ADD2, intron 9 of 16)	NA	81151	ADD2								
Interval_590	chr10	80158661	80158841	+	0	NA	intron (ANXA11, intron 13 of 15)	NA	26249	PLAC9								
Interval_1329	chr14	103522807	103523117	+	0	NA	promoter-TSS (CKB)	NA	-103	CKB								
Interval_2336	chr2	71064940	71065213	+	0	NA	Intergenic	NA	-3244	NAGK								
Interval_154	chr1	82245447	82245609	+	0	NA	Intergenic	NA	545753	LPHN2								
Interval_1397	chr15	55217828	55217951	+	0	NA	intron (RAB27A, intron 6 of 6)	NA	-20856	RSL24D1								
Interval_2791	chr21	44566519	44566758	+	0	NA	intron (TSPEAR, intron 3 of 12)	NA	-7091	KRTAP10-4								
Interval_1388	chr15	51228416	51228779	+	0	NA	promoter-TSS (CYP19A1)	NA	-13636	MIR4713								
Interval_4488	chr8	124814861	124815160	+	0	NA	Intergenic	NA	-7017	MIR4662A								
Interval_4055	chr7	46312987	46313126	+	0	NA	Intergenic	NA	333125	LOC102723446								
Interval_4563	chr9	7150141	7150418	+	0	NA	intron (KDM4C, intron 19 of 20)	NA	195805	LOC102723994								
Interval_1317	chr14	96602398	96602514	+	0	NA	Intergenic	NA	9665	LOC102724667								
Interval_3132	chr3	147529543	147529795	+	0	NA	Intergenic	NA	109841	FLJ30375								
Interval_1037	chr12	102021500	102021813	+	0	NA	intron (CCDC53, intron 5 of 5)	NA	40465	CCDC53								
Interval_2811	chr22	19718968	19719261	+	0	NA	intron (SEPT5, intron 1 of 10)	NA	645	SEPT5-GP1BB								
Interval_3834	chr6	92111531	92111684	+	0	NA	Intergenic	NA	-421179	CASC6								
Interval_2678	chr20	41624061	41624236	+	0	NA	Intergenic	NA	-72809	CHD6								
Interval_3328	chr4	108581223	108581439	+	0	NA	intron (RPL34-AS1, intron 1 of 3)	NA	24098	LOC101929621								
Interval_1177	chr13	109131833	109131995	+	0	NA	intron (MYO16, intron 31 of 34)	NA	35389	MYO16-AS1								
Interval_3740	chr6	29650034	29650241	+	0	NA	Intergenic	NA	-6844	MOG								
Interval_2782	chr21	40850143	40850377	+	0	NA	Intergenic	NA	-3147	DSCAM								
Interval_3063	chr3	106263014	106263280	+	0	NA	Intergenic	NA	122534	LOC101929485								
Interval_3092	chr3	125146048	125146334	+	0	NA	intron (SLC12A8, intron 4 of 12)	NA	5305	MIR5092								
Interval_4570	chr9	18366257	18366493	+	0	NA	Intergenic	NA	-107706	ADAMTSL1								
Interval_791	chr11	93209646	93209857	+	0	NA	Intergenic	NA	-11781	SLC36A4								
Interval_3476	chr5	50874780	50875163	+	0	NA	Intergenic	NA	95216	LOC100287592								
Interval_3483	chr5	56168263	56168395	+	0	NA	intron (ANKRD55, intron 5 of 11)	NA	44184	LOC101928419								
Interval_4721	chr9	134123007	134123182	+	0	NA	Intergenic	NA	-16698	WDR5								
Interval_3087	chr3	123344603	123344830	+	0	NA	intron (ADCY5, intron 3 of 20)	NA	-40720	LOC102723611								
Interval_4033	chr7	30430673	30431114	+	0	NA	intron (NOD1, intron 9 of 10)	NA	-29158	LOC101928268								
Interval_3044	chr3	81760994	81761272	+	0	NA	intron (GBE1, intron 1 of 15)	NA	666	GBE1								
Interval_3508	chr5	72543435	72543721	+	0	NA	Intergenic	NA	-13499	LOC102503427								
Interval_374	chr1	211613273	211613654	+	0	NA	Intergenic	NA	-34706	SLC30A1								
Interval_1652	chr16	77679911	77680199	+	0	NA	Intergenic	NA	-42437	NUDT7								
Interval_2483	chr2	181250851	181251060	+	0	NA	intron (AC104820.2, intron 2 of 5)	NA	54658	MIR4437								
Interval_487	chr10	17025552	17025686	+	0	NA	intron (CUBN, intron 27 of 66)	NA	104198	CUBN								
Interval_318	chr1	184946101	184946456	+	0	NA	intron (FAM129A, intron 1 of 13)	NA	28308	FAM129A								
Interval_4161	chr7	128108877	128109057	+	0	NA	Intergenic	NA	27106	MIR593								
Interval_2001	chr19	4051801	4052108	+	0	NA	intron (ZBTB7A, intron 2 of 2)	NA	3526	ZBTB7A								
Interval_1056	chr12	110639843	110640062	+	0	NA	intron (TCTN1, intron 7 of 10)	NA	25925	TCTN1								
Interval_1367	chr15	42331344	42331572	+	0	NA	intron (GANC, intron 15 of 23)	NA	-28042	CAPN3								
Interval_1466	chr15	78425665	78425870	+	0	NA	Intergenic	NA	-12409	IREB2								
Interval_321	chr1	186974871	186975026	+	0	NA	intron (PLA2G4A, intron 15 of 17)	NA	146048	PLA2G4A								
Interval_4188	chr7	146185906	146186104	+	0	NA	intron (CNTNAP2, intron 1 of 23)	NA	911604	AC006004.1								
Interval_1674	chr16	87388331	87388747	+	0	NA	intron (FBXO31, intron 2 of 9)	NA	-1012	MAP1LC3B								
Interval_2111	chr19	40219911	40220177	+	0	NA	Intergenic	NA	-1645	TTC9B								
Interval_3850	chr6	108103082	108103219	+	0	NA	Intergenic	NA	-20486	OSTM1-AS1								
Interval_827	chr11	117156780	117156944	+	0	NA	intron (PAFAH1B2, intron 2 of 5)	NA	12578	PAFAH1B2								
Interval_3706	chr6	14910754	14910917	+	0	NA	Intergenic	NA	249382	LOC102724463								
Interval_2907	chr3	10438425	10438834	+	0	NA	intron (ATP2B2, intron 4 of 24)	NA	-44067	MIR885								
Interval_1899	chr18	34834998	34835182	+	0	NA	intron (DTNA, intron 12 of 21)	NA	78786	LOC101927757								
Interval_365	chr1	206949255	206949573	+	0	NA	Intergenic	NA	-2948	PIGR								
Interval_327	chr1	194223851	194224015	+	0	NA	Intergenic	NA	766991	LOC102723336								
Interval_4861	chrY	15578829	15579021	+	0	NA	Intergenic	NA	-774892	NLGN4Y-AS1								
Interval_4097	chr7	80443379	80443516	+	0	NA	Intergenic	NA	68479	GNAT3								
Interval_3181	chr3	184812101	184812235	+	0	NA	promoter-TSS (VPS8)	NA	-271	VPS8								
Interval_4589	chr9	26528023	26528163	+	0	NA	Intergenic	NA	364735	CAAP1								
Interval_1249	chr14	66514990	66515222	+	0	NA	intron (GPHN, intron 1 of 23)	NA	7699	GPHN								
Interval_1839	chr17	77571735	77571996	+	0	NA	Intergenic	NA	-9137	LOC102723805								
Interval_1643	chr16	71848720	71848888	+	0	NA	intron (ATXN1L, intron 2 of 2)	NA	2813	ATXN1L								
Interval_4374	chr8	66121646	66121826	+	0	NA	intron (LOC101060153, intron 2 of 2)	NA	-5393	TRIM55								
Interval_4395	chr8	75122191	75122311	+	0	NA	Intergenic	NA	102121	CASC9								
Interval_1840	chr17	77690685	77690901	+	0	NA	Intergenic	NA	37766	LOC100132174								
Interval_2393	chr2	111227006	111227174	+	0	NA	Intergenic	NA	21589	LOC101927260								
Interval_76	chr1	33408116	33408399	+	0	NA	intron (PHC2, intron 1 of 9)	NA	-58755	PHC2								
