chr	start	end	interval_id	num_peaks	num_samples	MV411_1_581_R1.bool	MV411_2_614_R1.bool	MV411_4_627_R1.bool	MV411_1_581_R1.fc	MV411_2_614_R1.fc	MV411_4_627_R1.fc	MV411_1_581_R1.qval	MV411_2_614_R1.qval	MV411_4_627_R1.qval	MV411_1_581_R1.pval	MV411_2_614_R1.pval	MV411_4_627_R1.pval	MV411_1_581_R1.start	MV411_2_614_R1.start	MV411_4_627_R1.start	MV411_1_581_R1.end	MV411_2_614_R1.end	MV411_4_627_R1.end	MV411_1_581_R1.summit	MV411_2_614_R1.summit	MV411_4_627_R1.summit
chr1	33050345	33050475	Interval_75	1	1	TRUE	FALSE	FALSE	6.36965	NA	NA	6.71134	NA	NA	10.68803	NA	NA	33050345	NA	NA	33050475	NA	NA	63	NA	NA
chr1	33408115	33408399	Interval_76	3	3	TRUE	TRUE	TRUE	15.30576	10.09014	13.26672	32.04948	19.38253	30.35014	36.7253	23.82155	35.41576	33408116	33408118	33408115	33408353	33408399	33408342	104	136	107
chr1	33460998	33461327	Interval_77	3	3	TRUE	TRUE	TRUE	19.55725	13.77497	9.18449	49.76638	34.10041	17.2341	54.7188	38.93153	21.93874	33460998	33461005	33461050	33461285	33461327	33461262	123	155	84
chr1	35062903	35063075	Interval_78	1	1	TRUE	FALSE	FALSE	6.36965	NA	NA	6.71134	NA	NA	10.68803	NA	NA	35062903	NA	NA	35063075	NA	NA	99	NA	NA
chr1	35411410	35411625	Interval_79	2	2	TRUE	TRUE	FALSE	11.15772	4.90888	NA	17.89284	3.6469	NA	22.25906	7.34021	NA	35411410	35411461	NA	35411591	35411625	NA	66	33	NA
chr1	35800371	35800553	Interval_80	1	1	TRUE	FALSE	FALSE	7.55574	NA	NA	13.77032	NA	NA	18.029	NA	NA	35800371	NA	NA	35800553	NA	NA	72	NA	NA
chr1	36374579	36374700	Interval_81	1	1	TRUE	FALSE	FALSE	4.81038	NA	NA	3.15888	NA	NA	6.90685	NA	NA	36374579	NA	NA	36374700	NA	NA	24	NA	NA
chr1	36486957	36487190	Interval_82	1	1	FALSE	TRUE	FALSE	NA	6.28789	NA	NA	9.26594	NA	NA	13.33623	NA	NA	36486957	NA	NA	36487190	NA	NA	148	NA
chr1	38375414	38375606	Interval_83	1	1	TRUE	FALSE	FALSE	8.30884	NA	NA	11.35954	NA	NA	15.53492	NA	NA	38375414	NA	NA	38375606	NA	NA	77	NA	NA
chr1	39934387	39934740	Interval_84	1	1	FALSE	TRUE	FALSE	NA	14.7933	NA	NA	49.72013	NA	NA	54.86654	NA	NA	39934387	NA	NA	39934740	NA	NA	163	NA
chr1	40161238	40161384	Interval_85	1	1	TRUE	FALSE	FALSE	5.60536	NA	NA	4.32304	NA	NA	8.16611	NA	NA	40161238	NA	NA	40161384	NA	NA	72	NA	NA
chr1	40600103	40600311	Interval_86	2	2	FALSE	TRUE	TRUE	NA	6.65676	4.27197	NA	7.56283	3.59332	NA	11.5372	7.66459	NA	40600130	40600103	NA	40600311	40600290	NA	78	21
chr1	40713171	40713288	Interval_87	1	1	TRUE	FALSE	FALSE	5.685	NA	NA	5.00473	NA	NA	8.88822	NA	NA	40713171	NA	NA	40713288	NA	NA	34	NA	NA
chr1	40860762	40861107	Interval_88	1	1	FALSE	TRUE	FALSE	NA	6.54785	NA	NA	11.8055	NA	NA	15.98708	NA	NA	40860762	NA	NA	40861107	NA	NA	139	NA
chr1	41319969	41320150	Interval_89	2	2	TRUE	TRUE	FALSE	6.57997	6.56537	NA	7.03721	8.17349	NA	11.02989	12.18386	NA	41319984	41319969	NA	41320126	41320150	NA	51	129	NA
chr1	41738944	41739265	Interval_90	3	3	TRUE	TRUE	TRUE	9.30413	11.06634	5.35608	13.88239	21.64204	4.75341	18.1423	26.14518	8.90011	41739012	41738944	41739043	41739159	41739265	41739163	76	166	17
chr1	41751181	41751724	Interval_91	3	3	TRUE	TRUE	TRUE	30.9535	27.38723	12.7568	86.17567	83.48304	27.27273	91.60009	89.22705	32.25457	41751220	41751181	41751296	41751594	41751724	41751549	231	250	146
chr1	41765160	41765288	Interval_92	1	1	TRUE	FALSE	FALSE	7.21894	NA	NA	8.79	NA	NA	12.86314	NA	NA	41765160	NA	NA	41765288	NA	NA	78	NA	NA
chr1	41802917	41803289	Interval_93	3	3	TRUE	TRUE	TRUE	17.40565	7.03288	7.58418	47.52455	13.66059	14.74399	52.44809	17.91093	19.36886	41803006	41802917	41803048	41803287	41803289	41803280	164	210	146
chr1	43783835	43784057	Interval_94	2	2	TRUE	TRUE	FALSE	8.30884	8.69839	NA	11.35954	14.85706	NA	15.53492	19.15238	NA	43783865	43783835	NA	43783990	43784057	NA	91	73	NA
chr1	43834174	43834458	Interval_95	3	3	TRUE	TRUE	TRUE	15.35327	10.94228	8.90984	32.12903	21.42856	15.07644	36.80615	25.9261	19.71925	43834239	43834174	43834251	43834447	43834458	43834416	99	154	99
chr1	43929517	43929757	Interval_96	2	2	TRUE	TRUE	FALSE	6.55961	7.75874	NA	7.00582	10.93342	NA	10.99683	15.07684	NA	43929566	43929517	NA	43929714	43929757	NA	69	126	NA
chr1	44068713	44068970	Interval_97	2	2	TRUE	TRUE	FALSE	6.57555	6.95871	NA	6.68392	9.61749	NA	10.65872	13.7038	NA	44068713	44068761	NA	44068895	44068970	NA	104	103	NA
chr1	44731364	44731481	Interval_98	1	1	TRUE	FALSE	FALSE	5.98691	NA	NA	6.11877	NA	NA	10.06261	NA	NA	44731364	NA	NA	44731481	NA	NA	69	NA	NA
chr1	45371071	45371350	Interval_99	2	2	TRUE	TRUE	FALSE	7.04524	5.68352	NA	7.75643	5.71014	NA	11.78425	9.56227	NA	45371160	45371071	NA	45371314	45371350	NA	83	138	NA
chr1	45393934	45394291	Interval_100	2	2	TRUE	TRUE	FALSE	7.87153	8.3925	NA	10.23053	11.95597	NA	14.36409	16.14034	NA	45394011	45393934	NA	45394200	45394291	NA	88	137	NA
chr1	45429828	45430148	Interval_101	3	3	TRUE	TRUE	TRUE	13.01309	7.43114	13.77605	23.74678	13.07731	29.10569	28.24944	17.30783	34.14223	45429889	45429860	45429828	45430061	45430148	45430069	92	144	143
chr1	46173559	46173723	Interval_102	1	1	FALSE	TRUE	FALSE	NA	5.21904	NA	NA	4.98169	NA	NA	8.78487	NA	NA	46173559	NA	NA	46173723	NA	NA	118	NA
chr1	46173749	46173897	Interval_103	1	1	TRUE	FALSE	FALSE	7.2503	NA	NA	8.07578	NA	NA	12.11688	NA	NA	46173749	NA	NA	46173897	NA	NA	75	NA	NA
chr1	46373840	46374184	Interval_104	3	3	TRUE	TRUE	TRUE	4.77802	6.61078	4.74514	3.91938	8.63445	4.3165	7.72132	12.67345	8.44714	46373932	46373840	46374055	46374160	46374141	46374184	148	251	36
chr1	46595326	46595443	Interval_105	1	1	TRUE	FALSE	FALSE	5.05919	NA	NA	3.51944	NA	NA	7.29937	NA	NA	46595326	NA	NA	46595443	NA	NA	48	NA	NA
chr1	47231847	47232011	Interval_106	1	1	FALSE	TRUE	FALSE	NA	5.21904	NA	NA	4.98169	NA	NA	8.78487	NA	NA	47231847	NA	NA	47232011	NA	NA	85	NA
chr1	47424498	47424729	Interval_107	1	1	FALSE	TRUE	FALSE	NA	7.09567	NA	NA	9.02792	NA	NA	13.07839	NA	NA	47424498	NA	NA	47424729	NA	NA	116	NA
chr1	48661761	48661946	Interval_108	1	1	FALSE	TRUE	FALSE	NA	5.06331	NA	NA	4.13984	NA	NA	7.88624	NA	NA	48661761	NA	NA	48661946	NA	NA	74	NA
chr1	50110345	50110660	Interval_109	3	3	TRUE	TRUE	TRUE	13.69846	9.47618	5.91729	24.27097	14.65197	5.24486	28.78817	18.93482	9.42893	50110360	50110345	50110472	50110590	50110660	50110598	120	136	61
chr1	50517575	50517818	Interval_110	3	3	TRUE	TRUE	TRUE	7.64367	6.43264	6.31446	8.68687	6.85227	6.21904	12.75724	10.79052	10.46589	50517577	50517575	50517632	50517747	50517818	50517786	67	131	59
chr1	50999409	50999585	Interval_111	1	1	TRUE	FALSE	FALSE	9.68198	NA	NA	13.54977	NA	NA	17.79787	NA	NA	50999409	NA	NA	50999585	NA	NA	72	NA	NA
chr1	51264576	51264859	Interval_112	3	3	TRUE	TRUE	TRUE	19.36396	10.39013	5.9212	40.93089	17.15418	5.24486	45.75798	21.52467	9.43517	51264624	51264576	51264701	51264850	51264859	51264826	107	161	75
chr1	52440083	52440203	Interval_113	2	2	TRUE	FALSE	TRUE	5.35586	NA	7.06947	3.96418	NA	8.63444	7.76876	NA	13.0121	52440086	NA	52440083	52440203	NA	52440193	37	NA	52
chr1	52604088	52604291	Interval_114	2	2	FALSE	TRUE	TRUE	NA	5.05456	6.06734	NA	7.60141	11.52534	NA	11.57877	16.03933	NA	52604091	52604088	NA	52604291	52604248	NA	94	79
chr1	52637160	52637283	Interval_115	1	1	TRUE	FALSE	FALSE	5.09572	NA	NA	3.84571	NA	NA	7.63842	NA	NA	52637160	NA	NA	52637283	NA	NA	94	NA	NA
chr1	53839140	53839353	Interval_116	1	1	FALSE	TRUE	FALSE	NA	6.48967	NA	NA	6.94121	NA	NA	10.88322	NA	NA	53839140	NA	NA	53839353	NA	NA	96	NA
chr1	54861459	54861801	Interval_117	3	3	TRUE	TRUE	TRUE	9.46873	7.64252	4.54262	17.77327	14.4112	4.3801	22.13865	18.68564	8.51348	54861520	54861459	54861598	54861799	54861801	54861767	150	191	68
chr1	56832007	56832223	Interval_118	2	2	TRUE	TRUE	FALSE	7.74972	6.00207	NA	10.90771	8.36709	NA	15.06158	12.38917	NA	56832007	56832015	NA	56832155	56832223	NA	104	148	NA
chr1	56909072	56909258	Interval_119	2	2	TRUE	FALSE	TRUE	9.1724	NA	5.69596	12.29733	NA	6.01972	16.50133	NA	10.25134	56909072	NA	56909104	56909210	NA	56909258	50	NA	51
chr1	58275683	58275793	Interval_120	1	1	FALSE	FALSE	TRUE	NA	NA	4.74961	NA	NA	3.47382	NA	NA	7.53305	NA	NA	58275683	NA	NA	58275793	NA	NA	37
chr1	58670323	58670448	Interval_121	1	1	TRUE	FALSE	FALSE	6.99692	NA	NA	8.05279	NA	NA	12.09366	NA	NA	58670323	NA	NA	58670448	NA	NA	71	NA	NA
chr1	58783890	58784378	Interval_122	3	3	TRUE	TRUE	TRUE	26.75856	18.78853	5.62423	72.46385	52.24555	5.53239	77.71975	57.43145	9.73303	58783948	58783890	58784033	58784326	58784378	58784152	143	255	93
chr1	59089503	59089633	Interval_123	1	1	FALSE	FALSE	TRUE	NA	NA	7.81141	NA	NA	9.66725	NA	NA	14.10215	NA	NA	59089503	NA	NA	59089633	NA	NA	44
chr1	60867062	60867502	Interval_124	3	3	TRUE	TRUE	TRUE	12.24461	12.12182	7.88751	22.47919	22.22531	9.29159	26.95771	26.75045	13.71786	60867125	60867062	60867117	60867300	60867502	60867291	97	150	93
chr1	61255422	61255560	Interval_125	1	1	TRUE	FALSE	FALSE	8.86157	NA	NA	11.80128	NA	NA	15.98954	NA	NA	61255422	NA	NA	61255560	NA	NA	71	NA	NA
chr1	61670102	61670352	Interval_126	1	1	FALSE	TRUE	FALSE	NA	6.92675	NA	NA	7.97525	NA	NA	11.97911	NA	NA	61670102	NA	NA	61670352	NA	NA	139	NA
chr1	61834226	61834421	Interval_127	1	1	FALSE	TRUE	FALSE	NA	4.76214	NA	NA	3.17431	NA	NA	6.83075	NA	NA	61834226	NA	NA	61834421	NA	NA	94	NA
chr1	64895651	64895941	Interval_128	2	2	TRUE	TRUE	FALSE	5.80024	5.29575	NA	4.89191	4.4938	NA	8.76038	8.26239	NA	64895704	64895651	NA	64895941	64895940	NA	94	128	NA
chr1	64933179	64933397	Interval_129	2	2	TRUE	TRUE	FALSE	6.58385	4.8711	NA	7.41069	4.13181	NA	11.41747	7.87781	NA	64933241	64933179	NA	64933378	64933397	NA	110	92	NA
