PeakID (cmd=annotatePeaks.pl LMO2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_22192	chr9	128504823	128505073	+	0	NA	intron (GLE1, intron 1 of 13)	NA	-2268	GLE1								
Interval_3866	chr11	65927750	65928138	+	0	NA	Intergenic	NA	8687	DRAP1								
Interval_9694	chr17	82593796	82594057	+	0	NA	exon (LOC102723820, exon 1 of 3)	NA	504	LOC102723820								
Interval_212	chr1	15416396	15416545	+	0	NA	intron (EFHD2, intron 1 of 3)	NA	6569	EFHD2								
Interval_395	chr1	26692525	26693811	+	0	NA	exon (LOC101928728, exon 2 of 2)	NA	-2863	ARID1A								
Interval_3446	chr11	18633983	18634306	+	0	NA	intron (SPTY2D1, intron 1 of 5)	NA	329	SPTY2D1								
Interval_751	chr1	46301497	46303722	+	0	NA	intron (LRRC41, intron 1 of 9)	NA	757	LRRC41								
Interval_4937	chr12	57239759	57240022	+	0	NA	intron (NDUFA4L2, intron 1 of 4)	NA	872	NDUFA4L2								
Interval_12498	chr2	95207231	95207474	+	0	NA	Intergenic	NA	41935	ZNF2								
Interval_5142	chr12	101408233	101408414	+	0	NA	promoter-TSS (ARL1)	NA	77	ARL1								
Interval_4427	chr12	2500412	2500646	+	0	NA	intron (CACNA1C, intron 2 of 43)	NA	190628	CACNA1C-AS1								
Interval_4921	chr12	56701161	56701380	+	0	NA	Intergenic	NA	-12862	PTGES3								
Interval_10354	chr19	4123390	4124376	+	0	NA	exon (MAP2K2, exon 1 of 9)	NA	306	MAP2K2								
Interval_16605	chr4	52838026	52838445	+	0	NA	Intergenic	NA	-24093	RASL11B								
Interval_9017	chr17	44066072	44066654	+	0	NA	intron (LSM12, intron 2 of 5)	NA	1256	LSM12								
Interval_13332	chr2	233083000	233085455	+	0	NA	intron (INPP5D, intron 2 of 26)	NA	23901	INPP5D								
Interval_14453	chr21	45886174	45886440	+	0	NA	intron (PCBP3, intron 1 of 13)	NA	36346	PCBP3								
Interval_3375	chr11	10892316	10892698	+	0	NA	Intergenic	NA	34290	ZBED5-AS1								
Interval_5641	chr13	35512707	35512864	+	0	NA	intron (NBEA, intron 1 of 17)	NA	-36090	MAB21L1								
Interval_5993	chr14	45084076	45084444	+	0	NA	intron (PRPF39, intron 1 of 13)	NA	161	PRPF39								
Interval_217	chr1	15627708	15627908	+	0	NA	intron (DDI2, intron 2 of 9)	NA	10350	DDI2								
Interval_20527	chr8	8893362	8893553	+	0	NA	promoter-TSS (MFHAS1)	NA	-55	MFHAS1								
Interval_13504	chr20	2800854	2801092	+	0	NA	promoter-TSS (CPXM1)	NA	-327	CPXM1								
Interval_12221	chr2	59237037	59237261	+	0	NA	intron (AC007131.1, intron 1 of 2)	NA	19441	AC007131.1								
Interval_21168	chr8	115071359	115071599	+	0	NA	Intergenic	NA	597549	TRPS1								
Interval_8296	chr16	88811051	88811891	+	0	NA	intron (APRT, intron 2 of 4)	NA	463	APRT								
Interval_11417	chr19	47211041	47211363	+	0	NA	TTS (SAE1)	NA	-15740	MIR3190								
Interval_6403	chr14	95495420	95495654	+	0	NA	intron (SYNE3, intron 1 of 8)	NA	-20586	LOC101929107								
Interval_13353	chr2	237085908	237086354	+	0	NA	intron (COPS8, intron 1 of 7)	NA	690	COPS8								
Interval_14109	chr20	62121153	62121936	+	0	NA	promoter-TSS (LSM14B)	NA	-916	LSM14B								
Interval_15001	chr22	50541967	50543005	+	0	NA	intron (LOC102724608, intron 1 of 1)	NA	1059	LOC102724608								
Interval_1888	chr1	212414717	212415144	+	0	NA	promoter-TSS (TMEM206)	NA	-29	TMEM206								
Interval_17654	chr5	132459781	132460271	+	0	NA	intron (C5orf56, intron 3 of 3)	NA	30747	IRF1								
Interval_15376	chr3	46222272	46223075	+	0	NA	Intergenic	NA	-14332	CCR1								
Interval_19417	chr6	170584177	170584623	+	0	NA	exon (PDCD2, exon 1 of 4)	NA	292	PDCD2								
Interval_6570	chr15	28740161	28740354	+	0	NA	intron (WHAMMP2, intron 1 of 8)	NA	2674	WHAMMP2								
Interval_7123	chr15	77004190	77004603	+	0	NA	intron (PSTPIP1, intron 1 of 10)	NA	9272	PSTPIP1								
Interval_21824	chr9	92293094	92293732	+	0	NA	promoter-TSS (MIR3651)	NA	343	IARS								
Interval_18325	chr6	15299608	15299808	+	0	NA	intron (JARID2, intron 1 of 17)	NA	-51012	JARID2-AS1								
Interval_3324	chr11	6234229	6234662	+	0	NA	promoter-TSS (CNGA4)	NA	-336	CNGA4								
Interval_7674	chr16	23521409	23521606	+	0	NA	TTS (EARS2)	NA	-11013	GGA2								
Interval_9063	chr17	45410581	45410836	+	0	NA	promoter-TSS (ARHGAP27)	NA	22208	ARHGAP27								
Interval_18472	chr6	27823391	27823933	+	0	NA	promoter-TSS (HIST1H4J)	NA	-463	HIST1H4J								
Interval_14183	chr20	64076783	64077177	+	0	NA	promoter-TSS (MIR6813)	NA	30	MIR6813								
Interval_12035	chr2	37196486	37197246	+	0	NA	promoter-TSS (SULT6B1)	NA	374	CEBPZ-AS1								
Interval_7889	chr16	47143166	47143929	+	0	NA	promoter-TSS (RP11-329J18.2)	NA	478	NETO2								
Interval_11537	chr19	50358063	50358480	+	0	NA	TTS (NAPSA)	NA	7403	NAPSA								
Interval_16692	chr4	78610510	78610819	+	0	NA	TTS (ANXA3)	NA	-35330	LINC01094								
Interval_9220	chr17	58692573	58692929	+	0	NA	promoter-TSS (TEX14)	NA	178	RAD51C								
Interval_19495	chr7	2843919	2844234	+	0	NA	exon (GNA12, exon 1 of 4)	NA	249	GNA12								
Interval_18128	chr5	180803561	180803863	+	0	NA	promoter-TSS (MGAT1)	NA	-664	MGAT1								
Interval_17981	chr5	170288174	170288355	+	0	NA	intron (LCP2, intron 2 of 20)	NA	9554	LCP2								
Interval_2604	chr10	69072883	69073285	+	0	NA	Intergenic	NA	-14988	SRGN								
Interval_301	chr1	21909585	21910257	+	0	NA	intron (LOC102723558, intron 2 of 2)	NA	10992	LOC102723558								
Interval_19151	chr6	135191712	135192156	+	0	NA	intron (MYB, intron 5 of 13)	NA	10619	MYB								
Interval_8470	chr17	4987161	4988044	+	0	NA	promoter-TSS (RP5-1050D4.5)	NA	71	CAMTA2								
Interval_17961	chr5	163660002	163660203	+	0	NA	Intergenic	NA	-61068	LOC102724458								
Interval_3130	chr10	124640605	124642641	+	0	NA	intron (FAM53B, intron 4 of 4)	NA	-62298	FAM53B-AS1								
Interval_17282	chr5	43313102	43313382	+	0	NA	intron (HMGCS1, intron 1 of 10)	NA	270	HMGCS1								
Interval_13341	chr2	233563935	233564195	+	0	NA	intron (USP40, intron 2 of 31)	NA	1525	USP40								
Interval_2484	chr10	43137723	43138933	+	0	NA	promoter-TSS (CSGALNACT2)	NA	-117	CSGALNACT2								
Interval_15983	chr3	141738324	141739216	+	0	NA	intron (RNF7, intron 1 of 1)	NA	561	RNF7								
Interval_13982	chr20	49219509	49219816	+	0	NA	intron (DDX27, intron 1 of 20)	NA	-11432	DDX27								
Interval_19596	chr7	21427092	21427355	+	0	NA	promoter-TSS (SP4)	NA	-877	SP4								
Interval_18939	chr6	81941367	81941585	+	0	NA	Intergenic	NA	-3055	LOC102724168								
Interval_8159	chr16	75647830	75649103	+	0	NA	promoter-TSS (KARS)	NA	729	TERF2IP								
Interval_21712	chr9	37187959	37188227	+	0	NA	intron (ZCCHC7, intron 2 of 8)	NA	67495	ZCCHC7								
Interval_17028	chr4	177309931	177310134	+	0	NA	exon (NEIL3, exon 1 of 10)	NA	195	NEIL3								
Interval_17638	chr5	131656643	131656822	+	0	NA	intron (FNIP1, intron 15 of 17)	NA	-21496	RAPGEF6								
Interval_9092	chr17	47831162	47831491	+	0	NA	promoter-TSS (LRRC46)	NA	215	MRPL10								
Interval_2248	chr1	247408446	247408750	+	0	NA	Intergenic	NA	-9460	NLRP3								
Interval_21112	chr8	101515960	101516233	+	0	NA	intron (GRHL2, intron 1 of 15)	NA	-23377	LOC101927172								
Interval_11398	chr19	46717190	46717589	+	0	NA	promoter-TSS (PRKD2)	NA	-262	PRKD2								
Interval_1846	chr1	206580451	206580774	+	0	NA	intron (RASSF5, intron 1 of 4)	NA	31939	EIF2D								
Interval_22353	chr9	136117858	136118797	+	0	NA	exon (C9orf69, exon 1 of 2)	NA	558	C9orf69								
Interval_12877	chr2	159625582	159626005	+	0	NA	Intergenic	NA	-10197	BAZ2B								
Interval_1018	chr1	93759240	93759598	+	0	NA	intron (BCAR3, intron 2 of 13)	NA	66028	LOC102723480								
Interval_8724	chr17	27456428	27456695	+	0	NA	promoter-TSS (KSR1)	NA	94	KSR1								
Interval_19067	chr6	110874799	110876285	+	0	NA	intron (AMD1, intron 1 of 4)	NA	-60333	CDK19								
Interval_1536	chr1	161389676	161390032	+	0	NA	Intergenic	NA	9918	TRNAV29								
Interval_22598	chrX	40267717	40267913	+	0	NA	intron (RP11-320G24.1, intron 1 of 2)	NA	4931	RP11-320G24.1								
Interval_12834	chr2	152716875	152717515	+	0	NA	promoter-TSS (ARL6IP6)	NA	262	PRPF40A								
Interval_9535	chr17	78378645	78379211	+	0	NA	intron (PGS1, intron 1 of 8)	NA	304	PGS1								
Interval_10621	chr19	11924258	11924448	+	0	NA	promoter-TSS (ZNF700)	NA	-715	ZNF700								
Interval_4872	chr12	55716084	55716421	+	0	NA	promoter-TSS (ITGA7)	NA	218	BLOC1S1-RDH5								
Interval_17994	chr5	171387072	171387531	+	0	NA	promoter-TSS (MIR3912)	NA	-403	NPM1								
Interval_6879	chr15	62085986	62086171	+	0	NA	Intergenic	NA	19101	C2CD4A								
Interval_7715	chr16	27549458	27549785	+	0	NA	promoter-TSS (KIAA0556)	NA	295	GTF3C1								
Interval_11377	chr19	45716782	45717292	+	0	NA	intron (FBXO46, intron 1 of 1)	NA	13856	FBXO46								
Interval_7482	chr16	3880904	3881311	+	0	NA	promoter-TSS (CREBBP)	NA	-1134	CREBBP								
Interval_17189	chr5	18745729	18746149	+	0	NA	Intergenic	NA	938633	RP11-454P21.1								
Interval_19941	chr7	74453883	74454479	+	0	NA	promoter-TSS (GTF2IRD1)	NA	391	GTF2IRD1								
Interval_17868	chr5	149961081	149961289	+	0	NA	intron (SLC26A2, intron 1 of 2)	NA	448	SLC26A2								
Interval_15557	chr3	51983044	51983366	+	0	NA	promoter-TSS (ACY1)	NA	-79	ACY1								
Interval_2657	chr10	71888545	71889137	+	0	NA	Intergenic	NA	-37516	PSAP								
Interval_18299	chr6	13710437	13712874	+	0	NA	promoter-TSS (RANBP9)	NA	-817	RANBP9								
Interval_3098	chr10	121068996	121069326	+	0	NA	Intergenic	NA	-109539	LINC01153								
Interval_1109	chr1	111619804	111620501	+	0	NA	promoter-TSS (RAP1A)	NA	369	RAP1A								
Interval_16044	chr3	152298696	152298942	+	0	NA	promoter-TSS (MBNL1)	NA	-29193	MBNL1-AS1								
Interval_10	chr1	1231219	1232032	+	0	NA	promoter-TSS (B3GALT6)	NA	442	SDF4								
Interval_14746	chr22	37674971	37675368	+	0	NA	promoter-TSS (LGALS1)	NA	-437	LGALS1								
Interval_5984	chr14	39175258	39175959	+	0	NA	intron (PNN, intron 1 of 8)	NA	425	PNN								
Interval_7721	chr16	28492013	28492346	+	0	NA	promoter-TSS (CLN3)	NA	123	CLN3								
Interval_18155	chr6	2479825	2480152	+	0	NA	Intergenic	NA	155076	C6orf195								
Interval_1861	chr1	207963281	207963495	+	0	NA	Intergenic	NA	-52050	CD34								
Interval_19834	chr7	50305736	50306016	+	0	NA	intron (IKZF1, intron 1 of 5)	NA	1094	IKZF1								
Interval_19963	chr7	75879189	75879445	+	0	NA	intron (RHBDD2, intron 1 of 3)	NA	318	RHBDD2								
Interval_22349	chr9	135960915	135961124	+	0	NA	intron (UBAC1, intron 1 of 9)	NA	361	UBAC1								
Interval_15611	chr3	53252687	53252866	+	0	NA	intron (TKT, intron 1 of 13)	NA	3276	TKT								
Interval_20438	chr7	151925623	151926404	+	0	NA	Intergenic	NA	-34844	GALNTL5								
Interval_18552	chr6	30717583	30717759	+	0	NA	promoter-TSS (MDC1)	NA	-588	MDC1								
Interval_13429	chr2	241702001	241702383	+	0	NA	intron (ING5, intron 1 of 7)	NA	146	ING5								
Interval_8309	chr16	89093547	89094357	+	0	NA	exon (ACSF3, exon 1 of 11)	NA	143	ACSF3								
Interval_18484	chr6	27872522	27873386	+	0	NA	promoter-TSS (HIST1H3I)	NA	557	HIST1H4L								
Interval_14000	chr20	50112541	50113176	+	0	NA	intron (UBE2V1, intron 1 of 4)	NA	3101	UBE2V1								
Interval_12681	chr2	120177202	120177381	+	0	NA	exon (EPB41L5, exon 24 of 24)	NA	46117	TMEM185B								
Interval_1299	chr1	151189389	151190212	+	0	NA	intron (VPS72, intron 1 of 5)	NA	413	VPS72								
Interval_19700	chr7	38262448	38262795	+	0	NA	intron (TARP, intron 2 of 3)	NA	13908	TARP								
Interval_5138	chr12	100266607	100267070	+	0	NA	promoter-TSS (SCYL2)	NA	238	DEPDC4								
Interval_2999	chr10	103757651	103758200	+	0	NA	intron (SH3PXD2A, intron 3 of 13)	NA	11146	SH3PXD2A-AS1								
Interval_2388	chr10	25016545	25016958	+	0	NA	promoter-TSS (ENKUR)	NA	172	THNSL1								
Interval_7760	chr16	29806627	29807900	+	0	NA	exon (MAZ, exon 2 of 6)	NA	613	MAZ								
Interval_14646	chr22	30265997	30267469	+	0	NA	intron (OSM, intron 1 of 2)	NA	-1368	OSM								
Interval_714	chr1	44631444	44632547	+	0	NA	promoter-TSS (RNF220)	NA	38	RNF220								
Interval_5249	chr12	110660960	110661398	+	0	NA	exon (HVCN1, exon 3 of 7)	NA	31292	HVCN1								
Interval_19606	chr7	22854236	22855191	+	0	NA	exon (LOC101927841, exon 1 of 4)	NA	515	LOC101927841								
Interval_20936	chr8	66666530	66667170	+	0	NA	promoter-TSS (C8orf44-SGK3)	NA	367	VCPIP1								
Interval_18930	chr6	75273405	75273584	+	0	NA	intron (TMEM30A, intron 1 of 6)	NA	11422	TMEM30A								
Interval_16252	chr3	186806035	186806259	+	0	NA	intron (RFC4, intron 1 of 10)	NA	354	RFC4								
Interval_11068	chr19	36667018	36667217	+	0	NA	promoter-TSS (ZNF461)	NA	-279	ZNF461								
Interval_5910	chr14	23321454	23322532	+	0	NA	intron (PABPN1, intron 1 of 6)	NA	1805	PABPN1								
Interval_5892	chr14	22929636	22929819	+	0	NA	promoter-TSS (TRNAR21)	NA	26	TRNAR21								
Interval_4957	chr12	57751802	57752318	+	0	NA	intron (CDK4, intron 1 of 7)	NA	387	CDK4								
Interval_16618	chr4	55948819	55949650	+	0	NA	intron (CEP135, intron 1 of 25)	NA	426	CEP135								
Interval_15343	chr3	44761802	44762058	+	0	NA	promoter-TSS (KIAA1143)	NA	213	KIF15								
Interval_4663	chr12	29242296	29242439	+	0	NA	intron (FAR2, intron 1 of 10)	NA	75481	RP11-996F15.2								
Interval_3657	chr11	60184243	60185304	+	0	NA	promoter-TSS (MS4A6A)	NA	-107	MS4A6A								
Interval_13532	chr20	4014941	4015351	+	0	NA	exon (RNF24, exon 1 of 6)	NA	398	RNF24								
Interval_6911	chr15	64356467	64356655	+	0	NA	promoter-TSS (CSNK1G1)	NA	-318	CSNK1G1								
Interval_20359	chr7	143205805	143206285	+	0	NA	Intergenic	NA	-16034	TAS2R40								
Interval_14357	chr21	38984732	38986104	+	0	NA	Intergenic	NA	-7644	AF064858.7								
Interval_11847	chr2	10863895	10864187	+	0	NA	Intergenic	NA	-14209	LOC101929733								
Interval_15816	chr3	120743632	120743857	+	0	NA	intron (GTF2E1, intron 1 of 4)	NA	1033	GTF2E1								
Interval_5424	chr12	123232897	123233161	+	0	NA	promoter-TSS (C12orf65)	NA	-452	C12orf65								
Interval_17217	chr5	36054753	36054955	+	0	NA	intron (UGT3A2, intron 1 of 5)	NA	12067	UGT3A2								
Interval_8345	chr17	350607	351108	+	0	NA	intron (RPH3AL, intron 1 of 9)	NA	19571	LOC100506388								
Interval_4316	chr11	119334539	119334986	+	0	NA	exon (RNF26, exon 1 of 1)	NA	262	RNF26								
Interval_13585	chr20	5950424	5950647	+	0	NA	promoter-TSS (TRMT6)	NA	23	TRMT6								
Interval_14069	chr20	57351255	57351822	+	0	NA	promoter-TSS (RAE1)	NA	370	RAE1								
Interval_3032	chr10	110567414	110568347	+	0	NA	intron (SMC3, intron 1 of 28)	NA	189	SMC3								
Interval_12152	chr2	46915255	46915775	+	0	NA	promoter-TSS (TTC7A)	NA	597	MCFD2								
Interval_7812	chr16	30633711	30634315	+	0	NA	Intergenic	NA	-16704	PRR14								
Interval_3180	chr10	132536947	132537228	+	0	NA	promoter-TSS (INPP5A)	NA	-762	INPP5A								
Interval_1060	chr1	108660936	108662015	+	0	NA	promoter-TSS (HENMT1)	NA	-353	HENMT1								
Interval_9216	chr17	58631172	58631327	+	0	NA	intron (TEX14, intron 2 of 32)	NA	28098	TEX14								
Interval_18145	chr5	181247094	181247405	+	0	NA	exon (CTC-338M12.4, exon 2 of 3)	NA	708	CTC-338M12.4								
Interval_19155	chr6	135281209	135281396	+	0	NA	Intergenic	NA	42082	MIR548A2								
Interval_807	chr1	53838109	53838621	+	0	NA	promoter-TSS (NDC1)	NA	-296	NDC1								
Interval_979	chr1	89636017	89636249	+	0	NA	intron (LRRC8C, intron 1 of 2)	NA	-3239	FLJ27354								
Interval_21291	chr8	129488975	129489518	+	0	NA	Intergenic	NA	-5104	MIR3686								
Interval_19238	chr6	148683078	148683315	+	0	NA	Intergenic	NA	-63939	UST								
Interval_19412	chr6	170144609	170145020	+	0	NA	Intergenic	NA	-2346	LOC101929614								
Interval_16849	chr4	119454146	119454790	+	0	NA	promoter-TSS (LOC645513)	NA	141	LOC101926918								
Interval_345	chr1	25080127	25080715	+	0	NA	Intergenic	NA	56918	MIR4425								
Interval_5395	chr12	121804899	121805240	+	0	NA	intron (SETD1B, intron 1 of 15)	NA	923	SETD1B								
Interval_5212	chr12	108664428	108664607	+	0	NA	intron (CORO1C, intron 3 of 10)	NA	28707	MIR4496								
Interval_19920	chr7	73684098	73684322	+	0	NA	promoter-TSS (DNAJC30)	NA	642	WBSCR22								
Interval_15314	chr3	40456860	40457243	+	0	NA	promoter-TSS (RPL14)	NA	-241	RPL14								
Interval_19560	chr7	7251762	7252185	+	0	NA	Intergenic	NA	-3181	LOC101927354								
Interval_7186	chr15	84653524	84654426	+	0	NA	intron (WDR73, intron 1 of 6)	NA	315	WDR73								
Interval_5091	chr12	92144923	92146079	+	0	NA	exon (BTG1, exon 1 of 2)	NA	396	BTG1								
Interval_20712	chr8	30056513	30056918	+	0	NA	Intergenic	NA	26493	TMEM66								
Interval_16815	chr4	108650319	108651164	+	0	NA	exon (OSTC, exon 1 of 3)	NA	156	OSTC								
Interval_9108	chr17	48483413	48483793	+	0	NA	Intergenic	NA	38770	LOC101927166								
Interval_19562	chr7	7566778	7567457	+	0	NA	promoter-TSS (MIOS)	NA	-913	MIOS								
Interval_8440	chr17	3964587	3964837	+	0	NA	promoter-TSS (ATP2A3)	NA	-248	ATP2A3								
Interval_22951	chrX	154486125	154486422	+	0	NA	exon (UBL4A, exon 2 of 4)	NA	397	UBL4A								
Interval_22359	chr9	136244972	136245775	+	0	NA	intron (QSOX2, intron 1 of 11)	NA	468	QSOX2								
Interval_17237	chr5	39275021	39275230	+	0	NA	promoter-TSS (FYB)	NA	-55547	FYB								
Interval_3236	chr11	507586	507877	+	0	NA	promoter-TSS (RNH1)	NA	-448	RNH1								
Interval_15350	chr3	45133885	45134056	+	0	NA	intron (CDCP1, intron 1 of 3)	NA	12452	CDCP1								
Interval_899	chr1	67685454	67686643	+	0	NA	exon (GADD45A, exon 2 of 4)	NA	871	GADD45A								
Interval_19716	chr7	38309678	38309857	+	0	NA	Intergenic	NA	-21338	LOC102724797								
Interval_9613	chr17	81340563	81344745	+	0	NA	Intergenic	NA	-11980	TMEM105								
Interval_13561	chr20	5080134	5080394	+	0	NA	Intergenic	NA	31709	TMEM230								
Interval_20115	chr7	100450624	100450841	+	0	NA	Intergenic	NA	13539	C7orf61								
Interval_12350	chr2	69915101	69915976	+	0	NA	intron (MXD1, intron 1 of 5)	NA	497	MXD1								
Interval_11359	chr19	45468681	45469146	+	0	NA	intron (FOSB, intron 1 of 2)	NA	918	FOSB								
Interval_13889	chr20	42598692	42598889	+	0	NA	intron (PTPRT, intron 7 of 30)	NA	-86693	LOC101927159								
Interval_15360	chr3	45995181	45995863	+	0	NA	intron (FYCO1, intron 1 of 17)	NA	-9759	FYCO1								
Interval_11114	chr19	38930519	38930758	+	0	NA	promoter-TSS (MRPS12)	NA	-70	MRPS12								
Interval_15311	chr3	40299840	40300543	+	0	NA	intron (EIF1B-AS1, intron 2 of 2)	NA	-9491	EIF1B								
Interval_14312	chr21	34907653	34908101	+	0	NA	intron (RUNX1, intron 2 of 8)	NA	-18056	RUNX1								
Interval_6790	chr15	51228230	51228515	+	0	NA	exon (CYP19A1, exon 1 of 8)	NA	-13818	MIR4713								
Interval_11427	chr19	47483999	47484780	+	0	NA	promoter-TSS (KPTN)	NA	107	NAPA-AS1								
Interval_11690	chr19	55462088	55462274	+	0	NA	promoter-TSS (ISOC2)	NA	-487	ISOC2								
Interval_1161	chr1	116373159	116374014	+	0	NA	promoter-TSS (ATP1A1)	NA	-281	ATP1A1								
Interval_9637	chr17	81834349	81835576	+	0	NA	promoter-TSS (PPP1R27)	NA	88	PPP1R27								
Interval_13368	chr2	237692333	237692914	+	0	NA	intron (LRRFIP1, intron 1 of 9)	NA	65017	LRRFIP1								
Interval_8094	chr16	69565180	69565497	+	0	NA	promoter-TSS (NFAT5)	NA	530	MIR1538								
Interval_3259	chr11	910967	911760	+	0	NA	promoter-TSS (CHID1)	NA	3457	CHID1								
Interval_14218	chr21	25607030	25607494	+	0	NA	intron (MRPL39, intron 1 of 9)	NA	227	MRPL39								
Interval_3968	chr11	68903945	68904279	+	0	NA	promoter-TSS (MRPL21)	NA	-277	MRPL21								
Interval_5277	chr12	112938555	112938813	+	0	NA	exon (OAS3, exon 1 of 16)	NA	240	OAS3								
Interval_11785	chr2	6780746	6781000	+	0	NA	Intergenic	NA	-10562	LINC00487								
Interval_15346	chr3	44976293	44976595	+	0	NA	promoter-TSS (ZDHHC3)	NA	192	EXOSC7								
Interval_5659	chr13	41006290	41006560	+	0	NA	intron (ELF1, intron 1 of 8)	NA	-24143	ELF1								
Interval_9904	chr18	46071985	46072217	+	0	NA	intron (PSTPIP2, intron 1 of 14)	NA	183	PSTPIP2								
Interval_12459	chr2	85698552	85698836	+	0	NA	TTS (GNLY)	NA	4403	GNLY								
Interval_16089	chr3	160564593	160565559	+	0	NA	intron (KPNA4, intron 1 of 16)	NA	512	KPNA4								
Interval_2027	chr1	228088906	228089395	+	0	NA	intron (ARF1, intron 1 of 4)	NA	6000	ARF1								
Interval_12713	chr2	128754220	128754403	+	0	NA	Intergenic	NA	-110289	LOC101927881								
Interval_19481	chr7	2529892	2530349	+	0	NA	TTS (LFNG)	NA	3046	MIR4648								
Interval_9207	chr17	58330115	58334566	+	0	NA	intron (BZRAP1-AS1, intron 1 of 3)	NA	-1037	MIR142								
Interval_19635	chr7	26864639	26864846	+	0	NA	promoter-TSS (SKAP2)	NA	-37	SKAP2								
Interval_5553	chr13	21603430	21603609	+	0	NA	intron (MICU2, intron 1 of 11)	NA	697	MICU2								
Interval_22973	chrY	7724356	7724646	+	0	NA	Intergenic	NA	-23254	TTTY16								
Interval_1275	chr1	150567720	150568424	+	0	NA	intron (ADAMTSL4-AS1, intron 2 of 3)	NA	6480	ADAMTSL4-AS1								
Interval_9443	chr17	75297590	75298181	+	0	NA	Intergenic	NA	-8526	SLC25A19								
Interval_12163	chr2	46986632	46986812	+	0	NA	intron (TTC7A, intron 5 of 13)	NA	45548	TTC7A								
Interval_16059	chr3	156554460	156555065	+	0	NA	intron (SSR3, intron 1 of 4)	NA	422	SSR3								
Interval_1065	chr1	109041617	109041884	+	0	NA	intron (WDR47, intron 1 of 14)	NA	478	WDR47								
Interval_78	chr1	3322463	3322831	+	0	NA	intron (PRDM16, intron 3 of 16)	NA	-131936	ARHGEF16								
