#Column descriptions							
#Cluster_ID: Motif cluster number							
#Name: Cluster name (motif, DBD or individual TF gene names)							
#DBD: DNA-binding domain family							
#Seed_motif: Motif to which other cluster members are aligned 							
#Total_width: Total with of all aligned motifs within cluster							
#Consensus_left: Left boundary of archetype motif							
#Consensus_right: Right boundary of archetype motif							
#Cluster_size: Number of motifs in cluster							
							
Cluster_ID	Name	DBD	Seed_motif	Total_width	Consensus_left	Consensus_right	Cluster_size
107	ZNF28	C2H2	ZFP28_HUMAN.H11MO.0.C	20	1	20	1
163	ZNF282	C2H2	ZNF282_C2H2_1	17	1	15	2
229	ZNF306	C2H2	ZNF306_C2H2_1	14	1	13	1
56	ZNF317	C2H2	ZN317_HUMAN.H11MO.0.C	20	0	19	1
269	ZNF320	C2H2	ZN320_HUMAN.H11MO.0.C	20	0	19	1
115	ZNF324	C2H2	Z324A_HUMAN.H11MO.0.C	23	2	21	1
260	ZNF329	C2H2	ZN329_HUMAN.H11MO.0.C	20	0	20	1
270	ZNF331	C2H2	ZN331_HUMAN.H11MO.0.C	20	0	19	1
152	ZNF332	C2H2	ZN322_HUMAN.H11MO.0.B	20	1	18	2
153	ZNF335	C2H2	SMAD2_MOUSE.H11MO.0.A	22	1	21	3
121	ZNF354	C2H2	Z354A_HUMAN.H11MO.0.C	29	2	27	5
154	ZNF382	C2H2	ZN382_HUMAN.H11MO.0.C	22	1	22	1
193	ZNF384/1	C2H2	ZN384_HUMAN.H11MO.0.C	12	1	8	1
194	ZNF384/2	C2H2	ZNF384_MA1125.1	12	4	11	1
124	ZNF41	C2H2	ZNF41_HUMAN.H11MO.0.C	24	1	23	1
236	ZNF410	C2H2	ZNF410_C2H2_1	17	2	14	2
126	ZNF418	C2H2	ZN418_HUMAN.H11MO.0.C	17	0	14	1
177	ZNF423	C2H2	Znf423_MA0116.1	15	1	15	1
228	ZNF431	C2H2	ZN431_MOUSE.H11MO.0.C	23	4	20	1
81	ZNF435	C2H2	ZNF435_C2H2_1	18	2	17	1
118	ZNF436	C2H2	ZN436_HUMAN.H11MO.0.C	24	1	24	1
271	ZNF449	C2H2	ZN449_HUMAN.H11MO.0.C	11	1	10	1
220	ZNF490	C2H2	ZN490_HUMAN.H11MO.0.C	24	1	22	1
213	ZNF524	C2H2	ZNF524_C2H2_1	17	1	12	2
119	ZNF528	C2H2	ZN528_HUMAN.H11MO.0.C	20	3	18	1
221	ZNF53	C2H2	ZNF354C_MA0130.1	6	0	6	1
57	ZNF547	C2H2	ZN547_HUMAN.H11MO.0.C	20	1	20	1
134	ZNF549	C2H2	ZN549_HUMAN.H11MO.0.C	20	2	18	1
142	ZNF554	C2H2	ZN554_HUMAN.H11MO.0.C	20	1	19	1
140	ZNF563	C2H2	ZN563_HUMAN.H11MO.0.C	21	1	20	1
218	ZNF57	C2H2	ZFP57_MOUSE.H11MO.0.B	10	1	8	1
197	ZNF586	C2H2	ZN586_HUMAN.H11MO.0.C	20	0	20	1
232	ZNF652	C2H2	Zfp652.mouse_C2H2_1	13	2	12	1
141	ZNF667	C2H2	ZN667_HUMAN.H11MO.0.C	19	1	19	1
251	ZNF680	C2H2	ZN680_HUMAN.H11MO.0.C	20	1	20	1
136	ZNF708	C2H2	ZN708_HUMAN.H11MO.0.C	20	3	20	1
230	ZNF713	C2H2	ZNF713_C2H2_1	17	1	17	1
137	ZNF768	C2H2	ZN768_HUMAN.H11MO.0.C	20	2	19	1
222	ZNF784	C2H2	ZNF784_C2H2_1	10	0	10	1
127	ZNF85	C2H2	ZNF85_HUMAN.H11MO.0.C	20	2	19	1
231	ZNF85	C2H2	ZNF8_HUMAN.H11MO.0.C	22	1	22	1
133	ZSCAN3	C2H2	ZSC31_HUMAN.H11MO.0.C	18	1	16	1
286	ZSCAN4	C2H2	ZSCAN4_C2H2_1	15	1	14	2
