PeakID (cmd=annotatePeaks.pl ZEB2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_12652	chr4	16237701	16238009	+	0	NA	intron (TAPT1-AS1, intron 1 of 2)	NA	11192	TAPT1-AS1								
Interval_10230	chr2	227829425	227829610	+	0	NA	Intergenic	NA	15675	CCL20								
Interval_6687	chr17	43458845	43459047	+	0	NA	Intergenic	NA	14090	MIR2117								
Interval_17430	chrX	22063369	22063542	+	0	NA	intron (PHEX, intron 3 of 21)	NA	31011	PHEX								
Interval_13128	chr5	1844376	1845145	+	0	NA	Intergenic	NA	11808	LOC101929034								
Interval_9820	chr2	121024117	121025274	+	0	NA	Intergenic	NA	227404	GLI2								
Interval_17390	chrX	1591378	1591536	+	0	NA	promoter-TSS (AKAP17A)	NA	-136	AKAP17A								
Interval_2349	chr10	132558067	132558225	+	0	NA	intron (INPP5A, intron 1 of 15)	NA	20297	INPP5A								
Interval_10020	chr2	177245168	177245424	+	0	NA	intron (NFE2L2, intron 1 of 4)	NA	10714	MIR3128								
Interval_1647	chr1	236185817	236185975	+	0	NA	intron (GPR137B, intron 5 of 5)	NA	43343	GPR137B								
Interval_3074	chr11	111446596	111446886	+	0	NA	intron (RP11-794P6.3, intron 5 of 14)	NA	18243	RP11-794P6.3								
Interval_5013	chr15	58975547	58975855	+	0	NA	Intergenic	NA	-12032	RNF111								
Interval_7266	chr18	16549154	16549315	+	0	NA	Intergenic	NA	-1223315	LOC644669								
Interval_8546	chr19	38831768	38831955	+	0	NA	promoter-TSS (ECH1)	NA	-9801	ECH1								
Interval_2286	chr10	121942904	121943153	+	0	NA	Intergenic	NA	-6313	ATE1-AS1								
Interval_5188	chr15	75347172	75347595	+	0	NA	promoter-TSS (NEIL1)	NA	340	NEIL1								
Interval_9467	chr2	55250821	55251088	+	0	NA	intron (MTIF2, intron 8 of 15)	NA	13671	MTIF2								
Interval_5564	chr16	11584709	11584895	+	0	NA	promoter-TSS (LITAF)	NA	-470	LITAF								
Interval_8550	chr19	38869878	38870159	+	0	NA	exon (RINL, exon 9 of 12)	NA	8239	RINL								
Interval_6211	chr17	1463203	1463714	+	0	NA	TTS (MYO1C)	NA	-7191	CRK								
Interval_13544	chr5	138552765	138553014	+	0	NA	Intergenic	NA	8221	SNORD63								
Interval_12931	chr4	119337077	119337236	+	0	NA	Intergenic	NA	-14995	FABP2								
Interval_4790	chr14	104660752	104660989	+	0	NA	TTS (LOC101929634)	NA	4682	LOC101929634								
Interval_8868	chr19	48747135	48747376	+	0	NA	promoter-TSS (IZUMO1)	NA	-785	IZUMO1								
Interval_12872	chr4	99728119	99728277	+	0	NA	intron (LOC285556, intron 2 of 3)	NA	-88626	DAPP1								
Interval_11351	chr22	35343595	35344157	+	0	NA	intron (TOM1, intron 12 of 14)	NA	-7077	MIR6069								
Interval_17012	chr9	121253799	121254118	+	0	NA	Intergenic	NA	-14144	GSN								
Interval_9578	chr2	70995461	70995662	+	0	NA	promoter-TSS (TEX261)	NA	-690	TEX261								
Interval_12115	chr3	101686725	101687051	+	0	NA	promoter-TSS (RPL24)	NA	-169	RPL24								
Interval_176	chr1	9965540	9965714	+	0	NA	intron (NMNAT1, intron 1 of 4)	NA	-1754	MIR5697								
Interval_4832	chr14_GL000225v1_random	131606	131886	+	0	NA	Intergenic	NA	95457	LOC100287823								
Interval_5950	chr16	69396229	69396437	+	0	NA	Intergenic	NA	-10345	TERF2								
Interval_2767	chr11	64166075	64166301	+	0	NA	promoter-TSS (MACROD1)	NA	-75	MACROD1								
Interval_15154	chr7	75528589	75529013	+	0	NA	promoter-TSS (PMS2P3)	NA	-678	PMS2P3								
Interval_839	chr1	94820577	94820841	+	0	NA	promoter-TSS (LINC01057)	NA	367	SLC44A3								
Interval_16564	chr8	142718042	142718348	+	0	NA	intron (LOC100288181, intron 1 of 2)	NA	8778	LOC100288181								
Interval_2975	chr11	77034207	77034416	+	0	NA	promoter-TSS (B3GNT6)	NA	-30	B3GNT6								
Interval_6945	chr17	68353559	68353723	+	0	NA	intron (ARSG, intron 5 of 11)	NA	62146	ARSG								
Interval_9227	chr2	11331298	11331456	+	0	NA	intron (ROCK2, intron 1 of 33)	NA	12862	ROCK2								
Interval_1855	chr10	43452105	43452402	+	0	NA	intron (ZNF487, intron 1 of 3)	NA	15127	ZNF487								
Interval_2052	chr10	79196871	79197072	+	0	NA	intron (ZMIZ1, intron 4 of 24)	NA	86522	ZMIZ1								
Interval_6900	chr17	64216806	64217048	+	0	NA	intron (TEX2, intron 1 of 11)	NA	46396	TEX2								
Interval_134	chr1	7885918	7886390	+	0	NA	Intergenic	NA	-33110	UTS2								
Interval_11947	chr3	50601142	50602131	+	0	NA	Intergenic	NA	10195	CISH								
Interval_4210	chr13	31909644	31910181	+	0	NA	intron (EEF1DP3, intron 1 of 3)	NA	63129	EEF1DP3								
Interval_9427	chr2	45909709	45909952	+	0	NA	intron (PRKCE, intron 2 of 10)	NA	-257783	LOC102724965								
Interval_10732	chr20	44738972	44739137	+	0	NA	Intergenic	NA	-6793	KCNK15								
Interval_2794	chr11	64875990	64876217	+	0	NA	intron (EHD1, intron 2 of 5)	NA	3578	EHD1								
Interval_678	chr1	46595262	46595420	+	0	NA	intron (MKNK1, intron 1 of 13)	NA	8908	MKNK1								
Interval_573	chr1	37946904	37947064	+	0	NA	promoter-TSS (INPP5B)	NA	-15243	INPP5B								
Interval_17347	chrX	1126574	1127467	+	0	NA	Intergenic	NA	85614	CRLF2								
Interval_2214	chr10	103155906	103156164	+	0	NA	intron (NT5C2, intron 3 of 19)	NA	-9749	NT5C2								
Interval_16551	chr8	141351542	141351700	+	0	NA	Intergenic	NA	11072	LOC731779								
Interval_11919	chr3	49429198	49429446	+	0	NA	promoter-TSS (NICN1)	NA	2	NICN1								
Interval_308	chr1	21771626	21771994	+	0	NA	intron (USP48, intron 1 of 25)	NA	-23619	USP48								
Interval_12892	chr4	103075063	103075288	+	0	NA	intron (SLC9B2, intron 1 of 10)	NA	2145	SLC9B2								
Interval_17083	chr9	128217648	128217882	+	0	NA	intron (DNM1, intron 1 of 21)	NA	14410	DNM1								
Interval_10738	chr20	45321114	45321499	+	0	NA	Intergenic	NA	-13000	MATN4								
Interval_17449	chrX	41706042	41706265	+	0	NA	intron (CASK, intron 5 of 25)	NA	17180	GPR34								
Interval_12686	chr4	36255649	36255833	+	0	NA	promoter-TSS (MGC42157)	NA	-799	MGC42157								
Interval_619	chr1	42335212	42335447	+	0	NA	promoter-TSS (FOXJ3)	NA	-24228	FOXJ3								
Interval_5531	chr16	10243083	10243368	+	0	NA	Intergenic	NA	-62516	GRIN2A								
Interval_3600	chr12	56224018	56224290	+	0	NA	promoter-TSS (NABP2)	NA	-174	NABP2								
Interval_7073	chr17	78273217	78273391	+	0	NA	intron (RP11-219G17.4, intron 1 of 6)	NA	5188	RP11-219G17.4								
Interval_6253	chr17	3003579	3003780	+	0	NA	intron (RAP1GAP2, intron 14 of 24)	NA	-37535	LOC101927911								
Interval_9858	chr2	130393650	130394162	+	0	NA	Intergenic	NA	34640	FAR2P2								
Interval_17164	chr9	132989745	132990040	+	0	NA	exon (GFI1B, exon 6 of 7)	NA	11181	GFI1B								
Interval_16800	chr9	65502194	65502420	+	0	NA	Intergenic	NA	109425	LOC102724581								
Interval_1094	chr1	153518746	153518904	+	0	NA	Intergenic	NA	17416	S100A6								
Interval_7581	chr19	825073	825316	+	0	NA	Intergenic	NA	-2637	AZU1								
Interval_11619	chr22_KI270733v1_random	24640	24913	+	0	NA	Intergenic	NA	135325	LOC102724621								
Interval_7133	chr17	81393692	81394071	+	0	NA	promoter-TSS (LOC100507520)	NA	-934	LOC100507520								
Interval_4254	chr13	50676726	50676884	+	0	NA	Intergenic	NA	-38592	LOC102723697								
Interval_2899	chr11	69296598	69296869	+	0	NA	TTS (MYEOV)	NA	2575	MYEOV								
Interval_5735	chr16	30775374	30775620	+	0	NA	exon (RNF40, exon 20 of 20)	NA	11705	ZNF629								
Interval_1924	chr10	63460187	63460380	+	0	NA	intron (JMJD1C, intron 1 of 25)	NA	-4946	JMJD1C-AS1								
Interval_948	chr1	120850747	120851027	+	0	NA	promoter-TSS (RNVU1-19)	NA	98	RNVU1-19								
Interval_13912	chr6	10838313	10838627	+	0	NA	promoter-TSS (MAK)	NA	-7593	MAK								
Interval_3307	chr12	10130178	10130337	+	0	NA	promoter-TSS (CLEC7A)	NA	12	CLEC7A								
Interval_12070	chr3	72164527	72164725	+	0	NA	intron (LINC00870, intron 2 of 2)	NA	13369	LINC00870								
Interval_856	chr1	107877263	107877430	+	0	NA	intron (VAV3, intron 1 of 25)	NA	-19877	MIR7852								
Interval_5825	chr16	53054989	53055151	+	0	NA	promoter-TSS (CHD9)	NA	-99316	CHD9								
Interval_1533	chr1	224503039	224503197	+	0	NA	Intergenic	NA	-43743	CNIH3								
Interval_3472	chr12	46487649	46487995	+	0	NA	intron (RP11-96H19.1, intron 2 of 2)	NA	104092	RP11-96H19.1								
Interval_8065	chr19	11259071	11259786	+	0	NA	intron (DOCK6, intron 1 of 47)	NA	-7325	DOCK6								
Interval_16103	chr8	73312343	73312596	+	0	NA	intron (RDH10, intron 2 of 5)	NA	17867	RDH10								
Interval_6984	chr17	74528585	74528909	+	0	NA	intron (CD300LB, intron 1 of 3)	NA	2624	CD300LB								
Interval_15412	chr7	128862650	128862828	+	0	NA	promoter-TSS (ATP6V1F)	NA	-64	ATP6V1F								
Interval_15736	chr8	22244979	22245397	+	0	NA	promoter-TSS (MIR320A)	NA	82	POLR3D								
Interval_11664	chr3	10189500	10189757	+	0	NA	intron (IRAK2, intron 2 of 12)	NA	24751	IRAK2								
Interval_6133	chr16	88340242	88340411	+	0	NA	Intergenic	NA	-87145	ZNF469								
Interval_9391	chr2	43018382	43018609	+	0	NA	Intergenic	NA	21052	LOC102723854								
Interval_11023	chr21	33007857	33008017	+	0	NA	Intergenic	NA	-17998	OLIG2								
Interval_15419	chr7	129224623	129225155	+	0	NA	promoter-TSS (AHCYL2)	NA	-125	AHCYL2								
Interval_17520	chrX	141757668	141757826	+	0	NA	Intergenic	NA	-59306	SPANXD								
Interval_4671	chr14	92073752	92074007	+	0	NA	intron (ATXN3, intron 1 of 2)	NA	32742	ATXN3								
Interval_5521	chr16	8945174	8945358	+	0	NA	intron (USP7, intron 1 of 30)	NA	-8537	USP7								
Interval_14129	chr6	33208324	33208441	+	0	NA	promoter-TSS (RING1)	NA	-127	RING1								
Interval_4361	chr14	22953244	22953506	+	0	NA	intron (HAUS4, intron 2 of 9)	NA	3654	MIR4707								
Interval_11750	chr3	25389236	25389479	+	0	NA	Intergenic	NA	-38986	RARB								
Interval_6534	chr17	31487643	31488095	+	0	NA	promoter-TSS (RAB11FIP4)	NA	-47024	MIR4724								
Interval_16783	chr9	38639565	38639723	+	0	NA	Intergenic	NA	18556	FAM201A								
Interval_9327	chr2	30217961	30218233	+	0	NA	Intergenic	NA	-13434	LBH								
Interval_15941	chr8	42264698	42264962	+	0	NA	intron (LOC101929897, intron 2 of 2)	NA	6387	LOC101929897								
Interval_14962	chr7	37092523	37092745	+	0	NA	intron (ELMO1, intron 15 of 21)	NA	94838	ELMO1-AS1								
Interval_5466	chr16	3106420	3106827	+	0	NA	Intergenic	NA	-6172	ZNF205								
Interval_16408	chr8	125344294	125344649	+	0	NA	intron (NSMCE2, intron 5 of 7)	NA	-87738	TRIB1								
Interval_3566	chr12	53675763	53676385	+	0	NA	exon (ATP5G2, exon 1 of 5)	NA	251	ATP5G2								
Interval_8004	chr19	10339551	10339876	+	0	NA	promoter-TSS (ICAM3)	NA	-44	ICAM3								
Interval_9246	chr2	17646249	17646408	+	0	NA	intron (VSNL1, intron 2 of 3)	NA	105788	VSNL1								
Interval_12150	chr3	113423134	113423380	+	0	NA	intron (WDR52, intron 5 of 35)	NA	8894	MIR8076								
Interval_16979	chr9	113523532	113523693	+	0	NA	intron (RGS3, intron 14 of 21)	NA	-41342	RGS3								
Interval_15885	chr8	37631640	37631925	+	0	NA	Intergenic	NA	-31943	LOC101929604								
Interval_2629	chr11	46243229	46243513	+	0	NA	Intergenic	NA	31096	LOC101928919								
Interval_14247	chr6	42929177	42929336	+	0	NA	promoter-TSS (CNPY3)	NA	129	CNPY3								
Interval_13920	chr6	11712775	11713174	+	0	NA	TTS (ADTRP)	NA	66654	ADTRP								
Interval_12037	chr3	59884554	59884728	+	0	NA	intron (FHIT, intron 5 of 6)	NA	481591	LOC102724718								
Interval_9768	chr2	109100766	109101005	+	0	NA	Intergenic	NA	-28597	SH3RF3								
Interval_15456	chr7	137980452	137980610	+	0	NA	intron (CREB3L2, intron 1 of 11)	NA	27183	AC022173.2								
Interval_69	chr1	2654456	2655060	+	0	NA	intron (TTC34, intron 4 of 6)	NA	12196	LOC101929067								
Interval_2486	chr11	9640096	9640455	+	0	NA	Intergenic	NA	-23802	SWAP70								
Interval_8993	chr19	51621156	51621657	+	0	NA	intron (SIGLEC5, intron 8 of 8)	NA	9068	SIGLEC5								
Interval_7850	chr19	5830993	5831577	+	0	NA	exon (FUT6, exon 3 of 3)	NA	7478	NRTN								
Interval_5027	chr15	62060665	62060970	+	0	NA	promoter-TSS (VPS13C)	NA	314	LOC101928907								
Interval_8834	chr19	48169566	48169803	+	0	NA	promoter-TSS (C19orf68)	NA	-1277	C19orf68								
Interval_17221	chr9	136618585	136618852	+	0	NA	intron (LOC101928581, intron 1 of 2)	NA	-1826	HCCAT4								
Interval_11196	chr22	19756590	19756876	+	0	NA	promoter-TSS (TBX1)	NA	30	TBX1								
Interval_10697	chr20	38863152	38863400	+	0	NA	intron (PPP1R16B, intron 2 of 9)	NA	57571	PPP1R16B								
Interval_337	chr1	23567213	23567462	+	0	NA	Intergenic	NA	-7543	ID3								
Interval_5734	chr16	30759072	30759231	+	0	NA	TTS (C16orf93)	NA	-2461	RNF40								
Interval_10457	chr20	4814090	4814743	+	0	NA	intron (RASSF2, intron 2 of 11)	NA	-10998	RASSF2								
Interval_13047	chr4	158671960	158672326	+	0	NA	promoter-TSS (C4orf46)	NA	42	ETFDH								
Interval_13558	chr5	139670312	139670580	+	0	NA	intron (CXXC5, intron 1 of 2)	NA	21513	CXXC5								
Interval_2650	chr11	47357782	47358047	+	0	NA	intron (SPI1, intron 4 of 4)	NA	-5212	MYBPC3								
Interval_1681	chr1	245300806	245301101	+	0	NA	intron (KIF26B, intron 2 of 14)	NA	145968	KIF26B								
Interval_3458	chr12	43325847	43326204	+	0	NA	Intergenic	NA	225896	ADAMTS20								
Interval_5808	chr16	48366519	48366750	+	0	NA	promoter-TSS (SIAH1)	NA	10949	LOC100507577								
Interval_10588	chr20	31523650	31523872	+	0	NA	intron (HM13, intron 1 of 12)	NA	9351	HM13								
Interval_7804	chr19	4568988	4569329	+	0	NA	Intergenic	NA	-9399	SEMA6B								
Interval_16373	chr8	123396431	123396598	+	0	NA	promoter-TSS (ATAD2)	NA	-49	ATAD2								
Interval_14182	chr6	36680024	36680207	+	0	NA	intron (CDKN1A, intron 1 of 2)	NA	3625	CDKN1A								
Interval_14407	chr6	92494376	92494610	+	0	NA	Intergenic	NA	150312	LOC102724665								
Interval_15549	chr7	151933372	151933536	+	0	NA	Intergenic	NA	-27403	GALNTL5								
Interval_2931	chr11	72434419	72434813	+	0	NA	promoter-TSS (CLPB)	NA	-59	CLPB								
Interval_3524	chr12	50764156	50764396	+	0	NA	exon (ATF1, exon 1 of 7)	NA	270	ATF1								
Interval_15074	chr7	66922179	66922598	+	0	NA	intron (TMEM248, intron 1 of 6)	NA	239	TMEM248								
Interval_5327	chr15	90838285	90838472	+	0	NA	Intergenic	NA	-34505	FURIN								
Interval_13389	chr5	91380759	91380999	+	0	NA	exon (ARRDC3-AS1, exon 1 of 3)	NA	532	ARRDC3-AS1								
Interval_6822	chr17	57606004	57606162	+	0	NA	intron (RP11-118E18.4, intron 2 of 2)	NA	2342	RP11-118E18.4								
Interval_8229	chr19	16182230	16183090	+	0	NA	Intergenic	NA	-2764	FAM32A								
Interval_2513	chr11	12126515	12127067	+	0	NA	intron (MICAL2, intron 1 of 27)	NA	18350	LOC102724888								
Interval_4607	chr14	77320802	77321164	+	0	NA	promoter-TSS (GSTZ1)	NA	-13	GSTZ1								
Interval_16096	chr8	71736978	71737215	+	0	NA	Intergenic	NA	-107020	LOC100132891								
Interval_16757	chr9	35732236	35732608	+	0	NA	promoter-TSS (TLN1)	NA	-27	TLN1								
Interval_8200	chr19	15441419	15441588	+	0	NA	intron (WIZ, intron 3 of 11)	NA	-8045	MIR1470								
Interval_47	chr1	1968458	1968688	+	0	NA	intron (KIAA1751, intron 11 of 38)	NA	22404	KIAA1751								
Interval_4608	chr14	77457512	77457958	+	0	NA	promoter-TSS (VIPAS39)	NA	-95	VIPAS39								
Interval_6980	chr17	74464664	74465018	+	0	NA	Intergenic	NA	-1542	CD300A								
Interval_10898	chr20	60055786	60056043	+	0	NA	promoter-TSS (C20orf197)	NA	-11	C20orf197								
Interval_12636	chr4	14924931	14925343	+	0	NA	intron (CPEB2-AS1, intron 7 of 7)	NA	76908	CPEB2-AS1								
Interval_16736	chr9	34156465	34157182	+	0	NA	Intergenic	NA	-22182	UBAP1								
Interval_16214	chr8	98293899	98294425	+	0	NA	exon (NIPAL2, exon 1 of 12)	NA	890	NIPAL2								
Interval_15116	chr7	73971453	73971640	+	0	NA	Intergenic	NA	-56243	ELN								
Interval_14739	chr6	167733480	167733646	+	0	NA	Intergenic	NA	-51116	LOC401286								
Interval_16472	chr8	132768537	132768760	+	0	NA	intron (LOC102723614, intron 1 of 2)	NA	-6740	PHF20L1								
Interval_13568	chr5	140211709	140211876	+	0	NA	intron (CYSTM1, intron 2 of 2)	NA	36724	CYSTM1								
Interval_5653	chr16	23949925	23950135	+	0	NA	intron (PRKCB, intron 2 of 16)	NA	114051	PRKCB								
Interval_6892	chr17	63842592	63842977	+	0	NA	promoter-TSS (SMARCD2)	NA	207	SMARCD2								
Interval_388	chr1	26110913	26111193	+	0	NA	promoter-TSS (PDIK1L)	NA	-160	PDIK1L								
Interval_15462	chr7	138565600	138565758	+	0	NA	intron (TRIM24, intron 9 of 18)	NA	98545	SVOPL								
Interval_10816	chr20	50319317	50319509	+	0	NA	intron (RP11-290F20.2, intron 1 of 2)	NA	1929	RP11-290F20.2								
Interval_16079	chr8	66870701	66870859	+	0	NA	promoter-TSS (MCMDC2)	NA	31	MCMDC2								
Interval_953	chr1	121516754	121517008	+	0	NA	Intergenic	NA	-2231	EMBP1								
Interval_1707	chr10	1571327	1572623	+	0	NA	intron (ADARB2, intron 1 of 9)	NA	45345	ADARB2-AS1								
