PeakID (cmd=annotatePeaks.pl IKZF1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_29801	chr6	11374416	11374577	+	0	NA	intron (NEDD9, intron 1 of 9)	NA	7852	NEDD9								
Interval_21220	chr2	200316102	200316294	+	0	NA	intron (SPATS2L, intron 1 of 12)	NA	10186	SPATS2L								
Interval_21802	chr20	61571	62098	+	0	NA	Intergenic	NA	-25876	DEFB125								
Interval_16340	chr18	63237123	63237402	+	0	NA	intron (BCL2, intron 2 of 2)	NA	82516	BCL2								
Interval_17522	chr19	16041629	16041853	+	0	NA	exon (LINC00905, exon 5 of 5)	NA	8028	LINC00905								
Interval_24749	chr3	11514283	11514582	+	0	NA	intron (ATG7, intron 17 of 17)	NA	54492	VGLL4								
Interval_31694	chr7	923013	923458	+	0	NA	intron (ADAP1, intron 3 of 10)	NA	32172	ADAP1								
Interval_25984	chr3	131386757	131386930	+	0	NA	exon (NUDT16, exon 2 of 2)	NA	5172	NUDT16								
Interval_8474	chr12	95942853	95942995	+	0	NA	promoter-TSS (AMDHD1)	NA	-274	CCDC38								
Interval_35399	chr9	227991	228132	+	0	NA	intron (DOCK8, intron 1 of 47)	NA	-12168	C9orf66								
Interval_25105	chr3	41681447	41681746	+	0	NA	TTS (ULK4)	NA	280904	ULK4								
Interval_3290	chr1	224708016	224708270	+	0	NA	intron (CNIH3, intron 3 of 5)	NA	91666	CNIH3								
Interval_21296	chr2	205885574	205885809	+	0	NA	Intergenic	NA	200491	INO80D								
Interval_9863	chr14	51239958	51240395	+	0	NA	promoter-TSS (TMX1)	NA	8	TMX1								
Interval_3524	chr1	235938810	235939030	+	0	NA	Intergenic	NA	-55212	LYST								
Interval_29073	chr5	143554434	143554648	+	0	NA	intron (NR3C1, intron 1 of 8)	NA	-125319	MIR5197								
Interval_33962	chr8	38409488	38409738	+	0	NA	TTS (LETM2)	NA	-7100	LOC102723716								
Interval_3719	chr10	11036576	11036749	+	0	NA	intron (CELF2, intron 1 of 13)	NA	68826	CELF2-AS2								
Interval_9244	chr13	28394502	28394832	+	0	NA	intron (FLT1, intron 12 of 14)	NA	100461	FLT1								
Interval_12208	chr16	11104902	11105285	+	0	NA	intron (CLEC16A, intron 19 of 22)	NA	151089	SOCS1								
Interval_23851	chr22	26590561	26590731	+	0	NA	promoter-TSS (TPST2)	NA	-17369	CRYBA4								
Interval_28211	chr5	49658619	49659106	+	0	NA	Intergenic	NA	782538	EMB								
Interval_19038	chr19	58576324	58576526	+	0	NA	intron (CENPBD1P1, intron 1 of 1)	NA	1026	CENPBD1P1								
Interval_34679	chr8	102806461	102806661	+	0	NA	Intergenic	NA	57608	AZIN1								
Interval_37419	chrX	100643938	100644456	+	0	NA	promoter-TSS (SRPX2)	NA	31	SRPX2								
Interval_6306	chr11	65403717	65403935	+	0	NA	intron (FRMD8, intron 8 of 9)	NA	17256	FRMD8								
Interval_12643	chr16	31198641	31198780	+	0	NA	Intergenic	NA	-3175	C16orf98								
Interval_20708	chr2	134052191	134052490	+	0	NA	Intergenic	NA	-67833	MGAT5								
Interval_16101	chr18	48855642	48855783	+	0	NA	intron (CTIF, intron 10 of 11)	NA	94999	SMAD7								
Interval_24557	chr22_KI270736v1_random	112250	112868	+	0	NA	NA	NA	NA	NA								
Interval_13921	chr17	18682174	18682435	+	0	NA	promoter-TSS (ZNF286B)	NA	-45	ZNF286B								
Interval_17641	chr19	17779497	17779706	+	0	NA	intron (FCHO1, intron 19 of 27)	NA	-15509	B3GNT3								
Interval_19025	chr19	58475875	58476052	+	0	NA	promoter-TSS (ZNF446)	NA	85	ZNF446								
Interval_32560	chr7	85186056	85186197	+	0	NA	Intergenic	NA	-64195	SEMA3D								
Interval_10099	chr14	69710491	69710712	+	0	NA	intron (KIAA0247, intron 5 of 5)	NA	-56494	SRSF5								
Interval_24443	chr22	48444378	48444588	+	0	NA	Intergenic	NA	-44977	FAM19A5								
Interval_4860	chr10	98778197	98778358	+	0	NA	intron (HPSE2, intron 3 of 11)	NA	146286	MIR6507								
Interval_25563	chr3	71210473	71210852	+	0	NA	intron (FOXP1, intron 2 of 17)	NA	331398	MIR1284								
Interval_23482	chr21	36129515	36129727	+	0	NA	Intergenic	NA	-2981	AP000688.14								
Interval_17711	chr19	18496274	18496497	+	0	NA	intron (ELL, intron 1 of 11)	NA	25742	ELL								
Interval_37926	chrY	56832501	56833033	+	0	NA	Intergenic	NA	-123476	SPRY3-2								
Interval_29247	chr5	158464588	158464752	+	0	NA	Intergenic	NA	-54897	LOC101927697								
Interval_12708	chr16	48385966	48386221	+	0	NA	promoter-TSS (SIAH1)	NA	7862	SIAH1								
Interval_3517	chr1	235843548	235843762	+	0	NA	intron (LYST, intron 1 of 3)	NA	9366	MIR1537								
Interval_832	chr1	31394613	31395057	+	0	NA	Intergenic	NA	-15339	SERINC2								
Interval_31363	chr6	148779036	148779615	+	0	NA	intron (UST, intron 1 of 7)	NA	32397	UST								
Interval_36901	chrUn_KI270442v1	10429	10609	+	0	NA	Intergenic	NA	-234785	LOC102724902								
Interval_16744	chr19	2156002	2156139	+	0	NA	Intergenic	NA	-4450	AP3D1								
Interval_31081	chr6	116447675	116448247	+	0	NA	Intergenic	NA	-13409	FAM26F								
Interval_3162	chr1	214551531	214552137	+	0	NA	promoter-TSS (PTPN14)	NA	-153	PTPN14								
Interval_10980	chr15	45653940	45654184	+	0	NA	intron (SQRDL, intron 1 of 9)	NA	22914	SQRDL								
Interval_28009	chr5	14003980	14004184	+	0	NA	intron (DNAH5, intron 1 of 78)	NA	-59602	DNAH5								
Interval_1252	chr1	48245201	48245522	+	0	NA	intron (SLC5A9, intron 14 of 14)	NA	22676	SLC5A9								
Interval_30423	chr6	36369454	36369711	+	0	NA	intron (ETV7, intron 4 of 6)	NA	18209	ETV7								
Interval_28938	chr5	139392705	139392854	+	0	NA	exon (PROB1, exon 1 of 1)	NA	2417	PROB1								
Interval_22260	chr20	24949971	24950108	+	0	NA	intron (CST7, intron 1 of 3)	NA	809	CST7								
Interval_37126	chrX	12956286	12956482	+	0	NA	Intergenic	NA	-18723	TMSB4X								
Interval_33976	chr8	38770074	38770530	+	0	NA	intron (TACC1, intron 1 of 13)	NA	41997	TACC1								
Interval_12564	chr16	30469309	30469754	+	0	NA	Intergenic	NA	-3131	ITGAL								
Interval_2352	chr1	158809816	158810241	+	0	NA	Intergenic	NA	-21350	MNDA								
Interval_4976	chr10	103193331	103193574	+	0	NA	promoter-TSS (NT5C2)	NA	-180	NT5C2								
Interval_7862	chr12	48197937	48198220	+	0	NA	Intergenic	NA	7242	OR10AD1								
Interval_26522	chr3	194275868	194276053	+	0	NA	Intergenic	NA	28312	RP11-513G11.3								
Interval_12843	chr16	56988398	56988556	+	0	NA	Intergenic	NA	-1080	NLRC5								
Interval_24269	chr22	41447900	41448729	+	0	NA	promoter-TSS (TOB2)	NA	-84	TOB2								
Interval_5814	chr11	35115622	35115883	+	0	NA	Intergenic	NA	23304	RP4-607I7.1								
Interval_26011	chr3	136249590	136249795	+	0	NA	promoter-TSS (PCCB)	NA	-633	PCCB								
Interval_14503	chr17	40251616	40251888	+	0	NA	intron (WIPF2, intron 1 of 7)	NA	32407	WIPF2								
Interval_22285	chr20	31052067	31052314	+	0	NA	Intergenic	NA	-205474	DEFB115								
Interval_7667	chr12	23037513	23037663	+	0	NA	Intergenic	NA	-138060	RP11-153K16.1								
Interval_7506	chr12	8050769	8051543	+	0	NA	TTS (FOXJ2)	NA	15203	C3AR1								
Interval_31339	chr6	146771122	146771318	+	0	NA	intron (ADGB, intron 29 of 35)	NA	32604	KATNBL1P6								
Interval_17311	chr19	11381814	11382353	+	0	NA	exon (EPOR, exon 3 of 8)	NA	2259	EPOR								
Interval_21057	chr2	174682792	174682956	+	0	NA	promoter-TSS (WIPF1)	NA	25	WIPF1								
Interval_25570	chr3	71547886	71548309	+	0	NA	intron (FOXP1, intron 2 of 6)	NA	-6037	MIR1284								
Interval_15238	chr17	72706330	72706531	+	0	NA	intron (SLC39A11, intron 7 of 9)	NA	-65958	LINC00511								
Interval_11801	chr15	90059470	90059811	+	0	NA	intron (ZNF710, intron 1 of 3)	NA	-5753	ZNF710								
Interval_3635	chr1	247078378	247078788	+	0	NA	intron (ZNF670, intron 1 of 3)	NA	230	ZNF670-ZNF695								
Interval_24955	chr3	30494164	30494402	+	0	NA	Intergenic	NA	-24630	AC116035.1								
Interval_14138	chr17	26879477	26879687	+	0	NA	Intergenic	NA	414360	MIR4522								
Interval_37612	chrY	10655784	10656020	+	0	NA	Intergenic	NA	745104	TTTY23								
Interval_17769	chr19	19865856	19866237	+	0	NA	intron (ZNF253, intron 1 of 3)	NA	141	ZNF253								
Interval_34670	chr8	102751268	102751437	+	0	NA	Intergenic	NA	94945	LOC101927245								
Interval_29265	chr5	159905631	159905798	+	0	NA	Intergenic	NA	-11019	ADRA1B								
Interval_88	chr1	5294725	5295186	+	0	NA	Intergenic	NA	-269116	MIR4417								
Interval_8175	chr12	56688086	56688646	+	0	NA	promoter-TSS (PTGES3)	NA	42	PTGES3								
Interval_20878	chr2	157441765	157442246	+	0	NA	intron (CYTIP, intron 1 of 7)	NA	2087	CYTIP								
Interval_24041	chr22	36451788	36452073	+	0	NA	Intergenic	NA	-19408	LOC101926989								
Interval_29750	chr6	7324439	7324700	+	0	NA	Intergenic	NA	-11261	SSR1								
Interval_17037	chr19	6603847	6604284	+	0	NA	Intergenic	NA	-12913	CD70								
Interval_23924	chr22	30266956	30267411	+	0	NA	promoter-TSS (OSM)	NA	-1818	OSM								
Interval_27324	chr4	83231206	83231414	+	0	NA	Intergenic	NA	52857	COQ2								
Interval_26325	chr3	180040958	180041225	+	0	NA	Intergenic	NA	-66871	PEX5L								
Interval_18184	chr19	41407081	41407374	+	0	NA	intron (BCKDHA, intron 1 of 8)	NA	9438	BCKDHA								
Interval_18553	chr19	48424830	48425268	+	0	NA	intron (GRIN2D, intron 10 of 12)	NA	-20724	GRWD1								
Interval_34491	chr8	93916707	93916844	+	0	NA	promoter-TSS (PDP1)	NA	-172	PDP1								
Interval_18698	chr19	49937811	49938049	+	0	NA	Intergenic	NA	4866	MIR4751								
Interval_21822	chr20	380811	381002	+	0	NA	promoter-TSS (TRIB3)	NA	242	TRIB3								
Interval_34434	chr8	85007649	85007852	+	0	NA	Intergenic	NA	-99432	LRRCC1								
Interval_14156	chr17	27388336	27388618	+	0	NA	Intergenic	NA	-29528	TBC1D3P5								
Interval_35084	chr8	132316217	132316469	+	0	NA	intron (KCNQ3, intron 1 of 14)	NA	130919	KCNQ3								
Interval_19429	chr2	33476706	33476861	+	0	NA	intron (RASGRP3, intron 1 of 17)	NA	555	RASGRP3								
Interval_21199	chr2	197628162	197628333	+	0	NA	intron (RFTN2, intron 5 of 8)	NA	47613	RFTN2								
Interval_34750	chr8	114829032	114829171	+	0	NA	Intergenic	NA	839900	TRPS1								
Interval_2018	chr1	148318302	148318585	+	0	NA	Intergenic	NA	-10369	TRNAQ3								
Interval_2233	chr1	155308570	155308981	+	0	NA	promoter-TSS (FDPS)	NA	-173	FDPS								
Interval_16802	chr19	2703668	2703893	+	0	NA	Intergenic	NA	-1032	GNG7								
Interval_5900	chr11	44862244	44862501	+	0	NA	intron (TSPAN18, intron 2 of 8)	NA	88996	TP53I11								
Interval_14933	chr17	55751318	55751538	+	0	NA	exon (PCTP, exon 1 of 6)	NA	449	PCTP								
Interval_8050	chr12	53268298	53268636	+	0	NA	intron (ESPL1, intron 1 of 30)	NA	174	ESPL1								
Interval_14544	chr17	41547899	41548258	+	0	NA	Intergenic	NA	6417	LINC00974								
Interval_14989	chr17	58284763	58285229	+	0	NA	Intergenic	NA	-4061	MPO								
Interval_8170	chr12	56629107	56629571	+	0	NA	intron (BAZ2A, intron 1 of 29)	NA	-8132	BAZ2A								
Interval_20836	chr2	150413874	150414215	+	0	NA	Intergenic	NA	73651	RND3								
Interval_2559	chr1	172725221	172725360	+	0	NA	Intergenic	NA	66245	FASLG								
Interval_34950	chr8	125426772	125427295	+	0	NA	Intergenic	NA	-6084	TRIB1								
Interval_6391	chr11	66637906	66638090	+	0	NA	promoter-TSS (RBM4)	NA	-619	RBM4								
Interval_26755	chr4	7789468	7789669	+	0	NA	intron (AFAP1, intron 11 of 16)	NA	35478	AFAP1-AS1								
Interval_6280	chr11	64916108	64916418	+	0	NA	intron (ATG2A, intron 1 of 40)	NA	983	ATG2A								
Interval_22623	chr20	44455264	44455484	+	0	NA	Intergenic	NA	-4817	RP5-1013A22.2								
Interval_8293	chr12	68332408	68332545	+	0	NA	promoter-TSS (MDM1)	NA	-95	MDM1								
Interval_23515	chr21	38805017	38806200	+	0	NA	promoter-TSS (ETS2)	NA	301	ETS2								
Interval_4502	chr10	73874932	73875157	+	0	NA	promoter-TSS (CAMK2G)	NA	-462	CAMK2G								
Interval_14790	chr17	48048472	48048797	+	0	NA	promoter-TSS (NFE2L1)	NA	-146	NFE2L1								
Interval_13631	chr17	6422045	6422374	+	0	NA	Intergenic	NA	12990	AIPL1								
Interval_19662	chr2	46097825	46098084	+	0	NA	intron (PRKCE, intron 12 of 15)	NA	-159852	LOC101926974								
Interval_26366	chr3	184134876	184135499	+	0	NA	exon (EIF2B5, exon 1 of 16)	NA	165	EIF2B5								
Interval_15732	chr17_KI270730v1_random	102186	102400	+	0	NA	NA	NA	NA	NA								
Interval_17564	chr19	16542093	16542625	+	0	NA	promoter-TSS (CHERP)	NA	93	CHERP								
Interval_1662	chr1	95622548	95622824	+	0	NA	Intergenic	NA	112520	RP11-286B14.1								
Interval_22764	chr20	48856508	48856706	+	0	NA	Intergenic	NA	-28724	PREX1								
Interval_35706	chr9	36150767	36152196	+	0	NA	intron (GLIPR2, intron 4 of 4)	NA	14696	GLIPR2								
Interval_412	chr1	17281986	17282170	+	0	NA	intron (PADI3, intron 15 of 15)	NA	4130	MIR3972								
Interval_25263	chr3	48088064	48088201	+	0	NA	intron (MAP4, intron 1 of 3)	NA	-40392	MAP4								
Interval_26285	chr3	172711029	172711408	+	0	NA	promoter-TSS (NCEH1)	NA	0	NCEH1								
Interval_36478	chr9	128733184	128733532	+	0	NA	TTS (LOC100506100)	NA	8896	LOC100506100								
Interval_7755	chr12	31876690	31876827	+	0	NA	Intergenic	NA	-82723	KIAA1551								
Interval_32020	chr7	30551036	30551286	+	0	NA	intron (LOC401320, intron 6 of 6)	NA	26618	LOC401320								
Interval_12721	chr16	50246745	50246890	+	0	NA	intron (ADCY7, intron 1 of 25)	NA	-27342	ADCY7								
Interval_2134	chr1	153386566	153386875	+	0	NA	Intergenic	NA	4468	S100A8								
Interval_7042	chr11	119370805	119371014	+	0	NA	intron (USP2, intron 1 of 11)	NA	10817	USP2								
Interval_9671	chr14	23057869	23058153	+	0	NA	promoter-TSS (CDH24)	NA	-473	CDH24								
Interval_6503	chr11	70324071	70324209	+	0	NA	intron (PPFIA1, intron 2 of 30)	NA	40185	MIR548K								
Interval_1141	chr1	43472513	43473058	+	0	NA	Intergenic	NA	-18522	HYI								
Interval_2033	chr1	149891550	149891729	+	0	NA	Intergenic	NA	-3723	HIST2H2AB								
Interval_266	chr1	11736066	11737111	+	0	NA	intron (AGTRAP, intron 1 of 3)	NA	503	AGTRAP								
Interval_13772	chr17	8807242	8807783	+	0	NA	intron (PIK3R6, intron 18 of 19)	NA	-8163	MFSD6L								
Interval_8788	chr12	113439523	113439785	+	0	NA	Intergenic	NA	17417	SDSL								
Interval_23306	chr21	22703880	22704145	+	0	NA	Intergenic	NA	-375272	MIR6130								
Interval_4226	chr10	49177460	49177626	+	0	NA	intron (C10orf128, intron 1 of 4)	NA	10857	C10orf128								
Interval_23838	chr22	26092706	26092950	+	0	NA	Intergenic	NA	61581	LOC102724801								
Interval_20326	chr2	98081889	98082318	+	0	NA	Intergenic	NA	-86177	TMEM131								
Interval_18226	chr19	42202097	42202284	+	0	NA	intron (DEDD2, intron 3 of 4)	NA	17962	DEDD2								
Interval_35976	chr9	98835505	98835686	+	0	NA	intron (GALNT12, intron 5 of 9)	NA	27896	GALNT12								
Interval_33380	chr8	9553233	9553403	+	0	NA	Intergenic	NA	-1933	TNKS								
Interval_5231	chr10	124700147	124700440	+	0	NA	intron (FAM53B, intron 2 of 4)	NA	-3628	FAM53B-AS1								
Interval_32591	chr7	92645634	92645899	+	0	NA	intron (CDK6, intron 5 of 7)	NA	-55372	FAM133B								
Interval_4751	chr10	93289041	93289257	+	0	NA	Intergenic	NA	193270	MYOF								
Interval_12102	chr16	4273520	4274236	+	0	NA	promoter-TSS (TFAP4)	NA	-878	TFAP4								
Interval_23415	chr21	33479860	33480043	+	0	NA	promoter-TSS (TMEM50B)	NA	58	TMEM50B								
Interval_5938	chr11	46238991	46239410	+	0	NA	Intergenic	NA	35267	LOC101928919								
Interval_34096	chr8	48521144	48521714	+	0	NA	Intergenic	NA	-30138	RP11-770E5.1								
Interval_15147	chr17	64781462	64781847	+	0	NA	promoter-TSS (LOC146880)	NA	-150	LOC146880								
Interval_4048	chr10	41858894	41859076	+	0	NA	Intergenic	NA	-383538	LOC101929373								
Interval_25607	chr3	75180403	75180721	+	0	NA	Intergenic	NA	-33914	MIR4444-2								
Interval_34240	chr8	60952863	60953282	+	0	NA	Intergenic	NA	14676	LOC100130298								
Interval_37553	chrX	143635258	143635448	+	0	NA	promoter-TSS (SLITRK4)	NA	754	SLITRK4								
Interval_23236	chr21	10713213	10713501	+	0	NA	Intergenic	NA	191820	TPTE								
Interval_10983	chr15	46735234	46735446	+	0	NA	Intergenic	NA	-982062	SEMA6D								
Interval_15584	chr17	81491584	81491721	+	0	NA	Intergenic	NA	21238	ACTG1								
Interval_1025	chr1	38867951	38868153	+	0	NA	intron (GJA9-MYCBP, intron 1 of 3)	NA	5326	MYCBP								
Interval_11283	chr15	65305174	65305539	+	0	NA	TTS (RNU5B-1)	NA	679	RNU5B-1								
Interval_8499	chr12	97988242	97988512	+	0	NA	Intergenic	NA	7071	MIR4303								
Interval_15974	chr18	24115588	24115836	+	0	NA	intron (TTC39C, intron 7 of 13)	NA	-23350	CABYR								
Interval_813	chr1	30757173	30757407	+	0	NA	intron (LAPTM5, intron 1 of 7)	NA	546	LAPTM5								
Interval_13814	chr17	10737193	10737393	+	0	NA	intron (TMEM220-AS1, intron 3 of 4)	NA	-7092	TMEM220								
Interval_4141	chr10	43407776	43407933	+	0	NA	promoter-TSS (HNRNPF)	NA	-3	HNRNPF								
Interval_37159	chrX	18355130	18355267	+	0	NA	promoter-TSS (SCML2)	NA	-474	SCML2								
Interval_24179	chr22	39040209	39040346	+	0	NA	promoter-TSS (APOBEC3F)	NA	-391	APOBEC3F								
Interval_36968	chrUn_KI270442v1	80110	81035	+	0	NA	Intergenic	NA	-164732	LOC102724902								
Interval_9711	chr14	24160943	24161256	+	0	NA	promoter-TSS (IRF9)	NA	-114	IRF9								
Interval_30187	chr6	30742708	30743189	+	0	NA	promoter-TSS (FLOT1)	NA	-38	FLOT1								
Interval_2418	chr1	161021035	161021204	+	0	NA	exon (F11R, exon 1 of 10)	NA	224	F11R								
Interval_37201	chrX	30638405	30638730	+	0	NA	Intergenic	NA	-14792	GK								
Interval_5024	chr10	109046288	109046834	+	0	NA	Intergenic	NA	876986	XPNPEP1								
Interval_11452	chr15	70504654	70504868	+	0	NA	Intergenic	NA	81845	LOC101929151								
Interval_33987	chr8	38957553	38957750	+	0	NA	intron (PLEKHA2, intron 10 of 11)	NA	-16589	HTRA4								
Interval_31682	chr7	725657	725794	+	0	NA	promoter-TSS (HEATR2)	NA	-976	HEATR2								
Interval_14467	chr17	39648900	39649232	+	0	NA	intron (STARD3, intron 1 of 14)	NA	11955	STARD3								
Interval_9676	chr14	23070914	23071091	+	0	NA	intron (ACIN1, intron 8 of 18)	NA	563	ACIN1								
Interval_28120	chr5	36684122	36684563	+	0	NA	intron (SLC1A3, intron 9 of 9)	NA	76013	SLC1A3								
Interval_14342	chr17	34314321	34314464	+	0	NA	Intergenic	NA	-4655	CCL8								
Interval_7426	chr12	6533792	6534494	+	0	NA	promoter-TSS (GAPDH)	NA	-1100	GAPDH								
Interval_25236	chr3	46965059	46965390	+	0	NA	intron (CCDC12, intron 2 of 6)	NA	14327	CCDC12								
Interval_8139	chr12	56079972	56080262	+	0	NA	promoter-TSS (ERBB3)	NA	92	ERBB3								
Interval_11373	chr15	68341892	68342380	+	0	NA	intron (ITGA11, intron 10 of 29)	NA	64333	FEM1B								
Interval_12873	chr16	57735932	57736074	+	0	NA	exon (KATNB1, exon 1 of 20)	NA	255	KATNB1								
Interval_12431	chr16	25031876	25032071	+	0	NA	exon (LOC554206, exon 1 of 1)	NA	232	LOC554206								
Interval_12456	chr16	27398765	27398954	+	0	NA	Intergenic	NA	-28399	IL21R								
Interval_4593	chr10	79244964	79245101	+	0	NA	intron (ZMIZ1, intron 7 of 24)	NA	-102434	PPIF								
Interval_30113	chr6	28335289	28336729	+	0	NA	exon (ZSCAN31, exon 1 of 3)	NA	366	ZSCAN31								
Interval_20466	chr2	109330102	109330382	+	0	NA	intron (SH3RF3, intron 1 of 8)	NA	14790	LOC729164								
Interval_23907	chr22	29821550	29821807	+	0	NA	intron (ASCC2, intron 7 of 21)	NA	16596	ASCC2								
Interval_35524	chr9	18393241	18393603	+	0	NA	Intergenic	NA	-80659	ADAMTSL1								
Interval_17235	chr19	10405208	10405459	+	0	NA	Intergenic	NA	-1738	CDC37								
Interval_6016	chr11	57345688	57345901	+	0	NA	intron (P2RX3, intron 1 of 11)	NA	7427	P2RX3								
Interval_25222	chr3	46629629	46630204	+	0	NA	Intergenic	NA	17481	LOC100132146								
Interval_24601	chr22_KI270736v1_random	158446	158686	+	0	NA	NA	NA	NA	NA								
Interval_33524	chr8	20080285	20080498	+	0	NA	Intergenic	NA	102749	SLC18A1								
Interval_25940	chr3	128759614	128759858	+	0	NA	intron (RAB7A, intron 1 of 5)	NA	33600	RAB7A								
Interval_19517	chr2	39120963	39121393	+	0	NA	promoter-TSS (SOS1)	NA	-635	SOS1								
Interval_4280	chr10	62620746	62620944	+	0	NA	intron (ZNF365, intron 1 of 6)	NA	100397	ZNF365								
Interval_8435	chr12	93569745	93569972	+	0	NA	promoter-TSS (SOCS2)	NA	1540	SOCS2-AS1								
Interval_12547	chr16	30182943	30183171	+	0	NA	promoter-TSS (CORO1A)	NA	-353	CORO1A								
Interval_26856	chr4	24658361	24658544	+	0	NA	Intergenic	NA	-73891	DHX15								
Interval_27866	chr4	184739444	184739604	+	0	NA	Intergenic	NA	-5392	CENPU								
Interval_36384	chr9	125259156	125259584	+	0	NA	Intergenic	NA	-2440	GAPVD1								
Interval_2008	chr1	147084567	147084706	+	0	NA	Intergenic	NA	11411	TRNAH10								
Interval_32037	chr7	32662641	32662778	+	0	NA	intron (DPY19L1P1, intron 5 of 16)	NA	56459	DPY19L1P1								
Interval_4084	chr10	41900564	41901302	+	0	NA	Intergenic	NA	-341590	LOC101929373								
Interval_28776	chr5	131329281	131329481	+	0	NA	intron (CDC42SE2, intron 2 of 5)	NA	65372	CDC42SE2								
Interval_23248	chr21	10724223	10724403	+	0	NA	Intergenic	NA	202776	TPTE								
Interval_29858	chr6	13575090	13575369	+	0	NA	intron (SIRT5, intron 1 of 9)	NA	630	SIRT5								
